,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OKLAHOMA-STATE_homegame,OKLAHOMA-STATE_homegame2,OKLAHOMA-STATE_home,OKLAHOMA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-oklahoma-state,50.0,12,5.4,2,89.9,80.0,32,0.387,71,0.33799999999999997,24,0.366,26,0.769,20,1,200,84.3,25.0,12,27,75,,11.2,10,0.451,32,0.21899999999999997,7,50.0,44,0.45,17.1,17,39,0.436,17,0.0,0,"November 6, 2019",52.2,12,30.8,12,84.3,75.0,36,0.44299999999999995,61,0.377,23,0.557,34,0.765,26,0,200,89.9,20.0,8,23,80,,9.0,8,0.39299999999999996,24,0.33299999999999996,8,50.0,44,0.518,21.7,21,37,0.405,15,1.0,1,"Gallagher-Iba Arena, Stillwater, Oklahoma",ORAL-ROBERTS,Oral Roberts,89.3,Home,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,0,True,False,True,Home,True,8,15,61,44,88,7,17,71,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-15-oklahoma-state,52.9,9,10.4,5,104.5,67.9,19,0.41700000000000004,48,0.354,17,0.33299999999999996,16,0.688,11,1,200,77.3,6.9,2,19,51,,9.1,6,0.43799999999999994,21,0.28600000000000003,6,36.8,21,0.45899999999999996,17.9,12,27,0.40700000000000003,11,0.5,1,"November 9, 2019",28.6,8,22.2,6,77.3,93.1,27,0.5,58,0.483,28,0.276,16,0.688,11,0,200,104.5,32.1,9,12,69,,7.6,5,0.172,10,0.2,2,63.2,36,0.526,12.2,9,48,0.542,26,1.0,2,"Gallagher-Iba Arena, Stillwater, Oklahoma",MISSOURI-KANSAS-CITY,UMKC,65.6,Home,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,1,True,False,True,Home,True,2,26,58,36,57,6,11,48,1,0,8,15,61,0.4426229508196721,44,88,0.5,7,17,71,0.3873239436619718,1.0
2,2019-11-13-21-college-of-charleston,71.4,20,16.0,4,84.4,72.7,24,0.602,54,0.519,28,0.16699999999999998,9,0.889,8,0,200,114.1,26.1,6,15,73,,15.6,10,0.389,21,0.429,9,53.6,30,0.626,16.0,11,33,0.5760000000000001,19,1.0,3,"November 13, 2019",52.9,9,3.0,1,114.1,73.9,17,0.375,52,0.327,17,0.308,16,0.938,15,1,200,84.4,27.3,9,12,54,,10.9,7,0.519,27,0.185,5,46.4,26,0.45299999999999996,19.2,14,25,0.48,12,0.667,2,"TD Arena, Charleston, South Carolina",COLLEGE-OF-CHARLESTON,College of Charleston,63.9,Away,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,2,False,False,False,Away,True,9,19,54,30,56,5,12,52,1,0,10,41,119,0.4705882352941176,80,145,0.5517241379310345,13,28,119,0.39915966386554624,1.0
3,2019-11-17-14-oklahoma-state,61.9,13,8.7,4,88.9,75.0,30,0.46399999999999997,55,0.382,21,0.16399999999999998,9,0.667,6,2,200,79.2,26.5,9,16,57,,6.9,5,0.564,31,0.29,9,52.7,39,0.48100000000000004,25.3,20,24,0.5,12,0.5,2,"November 17, 2019",38.5,10,8.3,2,79.2,73.5,25,0.431,65,0.4,26,0.231,15,0.5329999999999999,8,0,200,88.9,25.0,10,12,64,,16.7,12,0.292,19,0.21100000000000002,4,47.3,35,0.444,13.3,11,46,0.478,22,1.0,4,"Gallagher-Iba Arena, Stillwater, Oklahoma",YALE,Yale,71.7,Home,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,3,True,False,True,Home,True,4,22,65,35,74,9,12,55,1,0,19,60,173,0.5115606936416185,110,201,0.5472636815920398,18,40,171,0.391812865497076,1.0
4,2019-11-22-20-oklahoma-state,56.5,13,0.0,0,102.9,62.8,27,0.48200000000000004,57,0.40399999999999997,23,0.263,15,0.5329999999999999,8,2,200,92.6,17.6,6,19,63,,7.4,5,0.509,29,0.31,9,42.9,33,0.491,12.4,9,28,0.5,14,0.667,4,"November 22, 2019",50.0,12,17.9,5,92.6,82.4,28,0.43,64,0.375,24,0.375,24,0.625,15,0,200,102.9,37.2,16,19,70,,7.4,5,0.391,25,0.28,7,57.1,44,0.46399999999999997,10.8,9,39,0.436,17,1.0,5,"Gallagher-Iba Arena, Stillwater, Oklahoma",WESTERN-MICHIGAN,Western Michigan,67.8,Home,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,4,True,False,True,Home,True,7,17,64,44,77,9,14,57,1,0,23,82,238,0.4894957983193277,145,275,0.5272727272727272,27,52,226,0.4092920353982301,1.0
5,2019-11-27-19-syracuse,63.0,17,8.0,2,91.1,74.3,26,0.573,55,0.491,27,0.509,28,0.821,23,0,200,108.9,34.5,10,24,86,,15.2,12,0.473,26,0.34600000000000003,9,56.3,36,0.63,21.1,18,29,0.621,18,1.0,6,"November 27, 2019",73.7,14,6.9,2,108.9,65.5,19,0.41100000000000003,56,0.33899999999999997,19,0.6609999999999999,37,0.703,26,2,200,91.1,25.7,9,20,72,,11.4,9,0.5539999999999999,31,0.258,8,43.8,28,0.489,19.0,17,25,0.44,11,0.667,4,"Barclays Center, Brooklyn, New York",SYRACUSE,Syracuse,78.9,Away,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,5,False,False,False,Away,True,9,18,55,36,64,8,11,56,1,0,30,99,302,0.4768211920529801,189,352,0.5369318181818182,36,66,283,0.4240282685512368,1.0
6,2019-11-29-21-oklahoma-state,60.0,9,2.9,1,102.6,81.3,26,0.267,58,0.259,15,0.19,11,0.545,6,2,200,48.7,18.6,8,12,37,,9.2,7,0.345,20,0.05,1,45.3,34,0.293,24.1,20,38,0.368,14,0.7140000000000001,5,"November 29, 2019",39.3,11,13.2,5,48.7,81.4,35,0.516,62,0.452,28,0.242,15,0.9329999999999999,14,0,200,102.6,18.8,6,14,78,,14.5,11,0.435,27,0.29600000000000004,8,54.7,41,0.564,15.9,13,35,0.5710000000000001,20,1.0,7,"Barclays Center, Brooklyn, New York",MISSISSIPPI,Ole Miss,75.7,Home,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,6,True,False,True,Home,True,8,20,62,41,75,1,14,58,1,0,39,117,357,0.4915966386554622,225,416,0.5408653846153846,44,77,339,0.4218289085545723,1.0
7,2019-12-04-20-oklahoma-state,55.2,16,23.3,7,98.7,80.0,28,0.523,64,0.45299999999999996,29,0.21899999999999997,14,1.0,14,3,200,108.0,37.9,11,14,81,,4.0,3,0.344,22,0.409,9,60.9,39,0.573,17.6,15,42,0.47600000000000003,20,0.625,5,"December 4, 2019",48.0,12,11.9,5,108.0,62.1,18,0.5,62,0.40299999999999997,25,0.258,16,0.75,12,1,200,98.7,20.0,7,17,74,,9.3,7,0.516,32,0.375,12,39.1,25,0.532,14.8,12,30,0.433,13,0.875,7,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,74.6,Away,GEORGETOWN,Georgetown,Oklahoma State,big-12,7,False,True,True,Home,False,12,13,62,25,64,9,20,64,0,1,47,137,419,0.4952267303102626,266,491,0.5417515274949084,45,91,397,0.3992443324937028,1.0
8,2019-12-08-14-oklahoma-state,64.3,18,11.1,4,82.4,73.0,27,0.532,63,0.444,28,0.317,20,0.65,13,1,200,108.1,37.5,12,20,80,,13.5,10,0.413,26,0.423,11,56.5,39,0.552,18.2,16,37,0.45899999999999996,17,0.889,8,"December 8, 2019",45.0,9,5.4,2,108.1,62.5,20,0.413,52,0.385,20,0.5,26,0.6920000000000001,18,2,200,82.4,27.0,10,18,61,,8.1,6,0.308,16,0.188,3,43.5,30,0.474,22.1,18,36,0.47200000000000003,17,0.778,7,"Gallagher-Iba Arena, Stillwater, Oklahoma",OKLAHOMA-STATE,Oklahoma State,74.4,Away,WICHITA-STATE,Wichita State,Oklahoma State,big-12,8,False,True,True,Home,False,3,17,52,30,69,11,17,63,0,1,59,150,481,0.4958419958419958,291,555,0.5243243243243243,54,111,461,0.4164859002169197,0.875
9,2019-12-15-15-houston,57.1,12,9.4,3,90.2,61.0,25,0.451,51,0.41200000000000003,21,0.373,19,0.789,15,2,200,100.0,29.0,9,18,61,,4.9,3,0.275,14,0.28600000000000003,4,47.2,34,0.508,13.2,9,37,0.45899999999999996,17,0.8,8,"December 15, 2019",47.4,9,13.5,5,100.0,71.0,22,0.369,61,0.311,19,0.262,16,0.625,10,3,200,90.2,39.0,16,16,55,,6.6,4,0.475,29,0.24100000000000002,7,52.8,38,0.401,11.7,9,32,0.375,12,0.667,6,"Hofheinz Pavilion, Houston, Texas",HOUSTON,Houston,60.8,Away,OKLAHOMA-STATE,Oklahoma State,Oklahoma State,big-12,9,False,False,False,Away,True,4,17,51,34,72,7,12,61,1,0,62,167,533,0.4878048780487805,321,624,0.5144230769230769,65,128,524,0.4303435114503817,0.7777777777777778
