,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COLORADO-STATE_homegame,COLORADO-STATE_homegame2,COLORADO-STATE_home,COLORADO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-07-21-boise-state,53.8,14,0.0,0,101.4,87.9,29,0.46799999999999997,63,0.413,26,0.159,10,0.5,5,5,200,86.5,13.9,5,17,64,,4.1,3,0.397,25,0.28,7,49.3,34,0.47200000000000003,14.0,11,38,0.5,19,0.545,6,"December 7, 2019",48.1,13,0.0,0,86.5,86.1,31,0.516,62,0.435,27,0.19399999999999998,12,0.917,11,3,200,101.4,12.1,4,12,75,,6.8,5,0.452,28,0.35700000000000004,10,50.7,35,0.5539999999999999,12.9,10,34,0.5,17,0.625,5,"ExtraMile Arena, Boise, Idaho",COLORADO-STATE,Colorado State,73.7,Home,BOISE-STATE,Boise State,Colorado State,mwc,10,False,False,False,Away,False,7,19,63,34,69,10,17,62,0,1,71,176,528,0.5350378787878788,311,616,0.5048701298701299,77,194,600,0.5158333333333334,0.6
11,2019-12-10-21-colorado-state,61.5,16,6.1,2,101.4,89.7,26,0.4920000000000001,60,0.433,26,0.25,15,0.6,9,6,200,95.8,22.6,7,18,68,,8.5,6,0.38299999999999995,23,0.304,7,55.0,33,0.507,15.3,12,37,0.514,19,0.5,6,"December 10, 2019",55.6,15,8.1,3,95.8,77.4,24,0.5870000000000001,52,0.519,27,0.40399999999999997,21,0.524,11,5,200,101.4,10.3,3,13,72,,11.3,8,0.365,19,0.368,7,45.0,27,0.581,15.2,11,33,0.606,20,0.583,7,"Moby Arena, Fort Collins, Colorado",SOUTH-DAKOTA-STATE,South Dakota State,71.1,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,11,True,False,True,Home,True,7,20,52,27,60,7,19,60,1,0,78,195,591,0.5279187817258884,345,685,0.5036496350364964,87,211,662,0.5158610271903323,0.5454545454545454
12,2019-12-13-20-colorado-state,76.5,13,12.5,5,68.6,80.5,33,0.467,45,0.37799999999999995,17,0.444,20,0.7,14,2,200,80.0,23.1,6,16,56,24.0,7.1,5,0.4,18,0.444,8,58.2,39,0.514,25.1,18,27,0.33299999999999996,9,0.8,8,"December 13, 2019",50.0,9,14.8,4,80.0,76.9,20,0.306,62,0.29,18,0.226,14,0.7140000000000001,10,6,200,68.6,19.5,8,17,48,,15.7,11,0.355,22,0.091,2,41.8,28,0.35,15.0,12,40,0.4,16,0.5379999999999999,7,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,69.6,Away,COLORADO,Colorado,Colorado State,mwc,12,False,True,True,Home,False,2,16,62,28,67,8,9,45,0,1,85,215,643,0.5326594090202177,372,745,0.4993288590604027,94,230,722,0.5138504155124654,0.5833333333333334
13,2019-12-21-14-tulsa,67.6,25,1.8,1,107.2,78.7,37,0.611,72,0.514,37,0.431,31,0.742,23,6,275,114.4,33.3,12,19,111,,11.3,11,0.514,37,0.37799999999999995,14,59.0,49,0.64,19.7,21,35,0.657,23,0.5710000000000001,8,"December 21, 2019",59.5,22,5.7,2,114.4,66.7,24,0.512,84,0.44,37,0.298,25,0.72,18,4,275,107.2,21.3,10,24,104,,8.2,8,0.345,29,0.414,12,41.0,34,0.542,12.0,13,55,0.455,25,0.667,8,"BOK Center, Tulsa, Oklahoma",TULSA,Tulsa,70.8,Away,COLORADO-STATE,Colorado State,Colorado State,mwc,13,False,False,False,Away,True,14,23,72,49,83,12,25,84,1,0,87,231,705,0.5127659574468085,400,812,0.4926108374384237,102,239,767,0.5110821382007823,0.5384615384615384
14,2019-12-28-16-colorado-state,25.0,6,0.0,0,126.1,66.7,20,0.519,53,0.45299999999999996,24,0.17,9,0.778,7,0,200,89.9,24.1,7,17,62,,7.2,5,0.45299999999999996,24,0.292,7,45.8,27,0.541,24.0,18,29,0.586,17,0.0,0,"December 28, 2019",81.3,26,6.9,2,89.9,75.9,22,0.619,59,0.542,32,0.35600000000000004,21,0.667,14,6,200,126.1,33.3,10,6,87,,15.9,11,0.508,30,0.3,9,54.2,32,0.631,12.8,10,29,0.7929999999999999,23,0.6,9,"Moby Arena, Fort Collins, Colorado","Doane College
			","Doane College
			",68.6,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,14,True,False,True,Home,True,9,23,59,32,59,7,17,53,1,0,101,254,777,0.5218790218790219,449,895,0.5016759776536313,114,264,851,0.5111633372502937,0.5714285714285714
15,2020-01-01-22-nevada,61.9,13,0.0,0,89.3,83.3,25,0.41200000000000003,57,0.368,21,0.298,17,0.706,12,7,200,81.3,14.7,5,12,59,,4.0,3,0.263,15,0.33299999999999996,5,46.9,30,0.469,19.9,16,42,0.381,16,0.562,9,"January 1, 2020",60.0,15,19.0,8,81.3,85.3,29,0.4920000000000001,60,0.41700000000000004,25,0.15,9,0.889,8,5,200,89.3,16.7,5,19,67,,6.7,5,0.433,26,0.34600000000000003,9,53.1,34,0.521,18.0,14,34,0.47100000000000003,16,0.643,9,"Lawlor Events Center, Reno, Nevada",COLORADO-STATE,Colorado State,74.7,Home,NEVADA,Nevada,Colorado State,mwc,15,False,False,False,Away,False,5,16,57,30,64,9,16,60,0,1,110,277,836,0.5287081339712919,481,954,0.5041928721174004,121,281,904,0.5116150442477876,0.6
16,2020-01-04-13-colorado-state,47.6,10,0.0,0,102.9,67.9,19,0.473,55,0.382,21,0.218,12,0.75,9,11,200,87.1,11.8,4,22,61,,15.7,11,0.473,26,0.385,10,37.1,23,0.502,17.7,13,29,0.379,11,0.312,5,"January 4, 2020",57.7,15,13.8,4,87.1,88.2,30,0.5589999999999999,51,0.51,26,0.49,25,0.6,15,7,200,102.9,32.1,9,16,72,,11.4,8,0.451,23,0.217,5,62.9,39,0.573,20.5,16,28,0.75,21,0.588,10,"Moby Arena, Fort Collins, Colorado",WYOMING,Wyoming,69.8,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,16,True,False,True,Home,True,5,21,51,39,62,10,11,55,1,0,115,293,893,0.5212765957446809,511,1018,0.5019646365422397,130,297,964,0.5103734439834025,0.5625
17,2020-01-11-17-san-jose-state,74.1,20,0.0,0,92.1,79.5,31,0.525,59,0.45799999999999996,27,0.508,30,0.633,19,7,200,106.6,29.4,10,17,81,,10.5,8,0.39,23,0.348,8,56.2,41,0.5529999999999999,15.3,13,36,0.528,19,0.611,11,"January 11, 2020",66.7,16,11.1,4,106.6,70.6,24,0.426,68,0.353,24,0.235,16,0.75,12,12,200,92.1,20.5,8,22,70,,7.9,6,0.441,30,0.33299999999999996,10,43.8,32,0.46299999999999997,10.7,9,38,0.368,14,0.33299999999999996,6,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,76.4,Away,COLORADO-STATE,Colorado State,Colorado State,mwc,17,False,False,False,Away,True,8,19,59,41,73,10,14,68,1,0,120,314,944,0.5233050847457628,550,1080,0.5092592592592593,140,308,1019,0.5083415112855741,0.5882352941176471
18,2020-01-15-21-colorado-state,33.3,10,2.8,1,131.3,66.7,16,0.5589999999999999,59,0.508,30,0.18600000000000005,11,0.545,6,4,200,90.0,15.6,5,15,72,,16.3,13,0.305,18,0.33299999999999996,6,37.5,21,0.561,24.8,21,41,0.585,24,0.789,15,"January 15, 2020",71.1,27,4.9,2,90.0,84.4,27,0.742,64,0.594,38,0.172,11,0.909,10,7,200,131.3,33.3,8,13,105,,15.0,12,0.43799999999999994,28,0.679,19,62.5,35,0.758,21.6,19,36,0.528,19,0.632,12,"Moby Arena, Fort Collins, Colorado",NEW-MEXICO,New Mexico,80.2,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,18,True,False,True,Home,True,19,19,64,35,56,6,24,59,1,0,128,333,1003,0.5234297108673978,591,1153,0.5125758889852559,150,322,1087,0.5032198712051518,0.6111111111111112
19,2020-01-18-16-air-force,46.2,12,6.9,2,92.9,86.2,25,0.583,54,0.48100000000000004,26,0.48100000000000004,26,0.5770000000000001,15,7,200,111.4,13.9,5,20,78,,11.4,8,0.556,30,0.3670000000000001,11,46.2,30,0.588,8.4,6,24,0.625,15,0.65,13,"January 18, 2020",59.1,13,0.0,0,111.4,86.1,31,0.47200000000000003,53,0.415,22,0.34,18,0.833,15,10,200,92.9,13.8,4,21,65,,4.3,3,0.45299999999999996,24,0.25,6,53.8,35,0.528,19.8,15,29,0.552,16,0.474,9,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,70.0,Away,COLORADO-STATE,Colorado State,Colorado State,mwc,19,False,False,False,Away,True,11,15,54,30,65,6,16,53,1,0,147,352,1067,0.5365510777881912,626,1209,0.5177832919768404,156,346,1146,0.506108202443281,0.631578947368421
