,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COLORADO-STATE_homegame,COLORADO-STATE_homegame2,COLORADO-STATE_home,COLORADO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
20,2020-01-22-21-colorado-state,48.0,12,6.7,3,128.4,75.9,22,0.4920000000000001,60,0.41700000000000004,25,0.16699999999999998,10,0.9,9,13,200,101.5,21.2,7,15,68,,4.5,3,0.433,26,0.34600000000000003,9,46.8,29,0.525,13.4,10,34,0.47100000000000003,16,0.316,6,"January 22, 2020",41.2,14,0.0,0,101.5,78.8,26,0.611,63,0.54,34,0.20600000000000002,13,0.6920000000000001,9,7,200,128.4,24.1,7,11,86,,6.0,4,0.28600000000000003,18,0.5,9,53.2,33,0.622,5.5,4,45,0.556,25,0.667,14,"Moby Arena, Fort Collins, Colorado",FRESNO-STATE,Fresno State,67.0,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,20,True,False,True,Home,True,9,25,63,33,62,9,16,60,1,0,158,367,1121,0.5388046387154326,656,1274,0.5149136577708007,162,362,1199,0.5045871559633027,0.65
21,2020-01-25-22-utah-state,45.5,10,9.1,3,116.7,73.7,14,0.4320000000000001,59,0.373,22,0.22,13,0.769,10,8,200,92.4,24.2,8,14,61,,9.1,6,0.40700000000000003,24,0.292,7,42.3,22,0.46799999999999997,12.2,9,35,0.429,15,0.636,14,"January 25, 2020",69.0,20,14.3,5,92.4,75.8,25,0.6629999999999999,49,0.5920000000000001,29,0.327,16,0.75,12,6,200,116.7,26.3,5,14,77,,4.5,3,0.327,16,0.43799999999999994,7,57.7,30,0.68,20.0,14,33,0.667,22,0.727,16,"Dee Glen Smith Spectrum, Logan, Utah",COLORADO-STATE,Colorado State,65.9,Home,UTAH-STATE,Utah State,Colorado State,mwc,21,False,False,False,Away,False,7,15,59,22,52,7,22,49,0,1,167,392,1184,0.542652027027027,689,1336,0.5157185628742516,171,378,1259,0.5039714058776807,0.6666666666666666
22,2020-01-29-21-colorado-state,48.6,17,11.8,4,127.8,73.3,22,0.627,67,0.522,35,0.134,9,0.778,7,9,200,126.4,26.5,9,22,91,,5.6,4,0.433,29,0.483,14,48.4,31,0.638,12.4,10,38,0.5529999999999999,21,0.591,13,"January 29, 2020",60.0,18,7.9,3,126.4,73.5,25,0.616,56,0.536,30,0.536,30,0.767,23,8,200,127.8,26.7,8,11,92,,5.6,4,0.39299999999999996,22,0.409,9,51.6,33,0.655,12.6,10,34,0.618,21,0.652,15,"Moby Arena, Fort Collins, Colorado",NEVADA,Nevada,72.3,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,22,True,False,True,Home,True,9,21,56,33,64,14,21,67,1,0,174,407,1243,0.5374094931617055,711,1388,0.5122478386167147,178,400,1308,0.5099388379204893,0.6363636363636364
23,2020-02-01-16-colorado-state,41.4,12,8.6,3,131.9,72.0,18,0.493,69,0.42,29,0.188,13,0.6920000000000001,9,12,200,106.9,32.5,13,25,77,,9.7,7,0.46399999999999997,32,0.313,10,47.7,31,0.512,13.8,12,37,0.514,19,0.478,11,"February 1, 2020",68.8,22,5.4,2,106.9,67.5,27,0.721,52,0.615,32,0.5379999999999999,28,0.7140000000000001,20,8,200,131.9,28.0,7,14,95,,6.9,5,0.327,17,0.647,11,52.3,34,0.727,14.6,11,35,0.6,21,0.667,16,"Moby Arena, Fort Collins, Colorado",NEVADA-LAS-VEGAS,UNLV,71.7,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,23,True,False,True,Home,True,11,21,52,34,65,10,19,69,1,0,183,428,1299,0.5408006158583526,744,1452,0.5123966942148761,192,421,1375,0.5156363636363637,0.6521739130434783
24,2020-02-04-21-fresno-state,57.7,15,11.8,4,94.6,77.8,28,0.508,63,0.413,26,0.33299999999999996,21,0.762,16,8,200,108.1,26.5,9,16,80,,13.5,10,0.444,28,0.429,12,52.9,37,0.5479999999999999,11.1,9,35,0.4,14,0.68,17,"February 4, 2020",33.3,9,8.6,3,108.1,73.5,25,0.508,61,0.44299999999999995,27,0.295,18,0.444,8,15,200,94.6,22.2,8,18,70,,8.1,6,0.44299999999999995,27,0.29600000000000004,8,47.1,33,0.503,15.9,13,34,0.5589999999999999,19,0.348,8,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,73.8,Away,COLORADO-STATE,Colorado State,Colorado State,mwc,24,False,False,False,Away,True,12,14,63,37,70,8,19,61,1,0,194,449,1351,0.5477424130273871,778,1517,0.5128543177323666,202,440,1444,0.5145429362880887,0.6666666666666666
25,2020-02-11-21-colorado-state,51.6,16,8.3,3,112.5,72.4,21,0.573,62,0.5,31,0.065,4,1.0,4,7,200,117.2,25.9,7,11,75,,9.4,6,0.435,27,0.33299999999999996,9,50.0,28,0.5870000000000001,11.1,8,35,0.629,22,0.741,20,"February 11, 2020",53.3,16,14.3,5,117.2,74.1,20,0.586,58,0.517,30,0.138,8,0.5,4,9,200,112.5,27.6,8,10,72,,6.3,4,0.379,22,0.364,8,50.0,28,0.583,14.0,10,36,0.611,22,0.654,17,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,64.4,Away,UTAH-STATE,Utah State,Colorado State,mwc,25,False,True,True,Home,False,8,22,58,28,56,9,22,62,0,1,206,463,1414,0.545968882602546,815,1587,0.5135475740390675,210,459,1505,0.5142857142857142,0.68
26,2020-02-15-16-wyoming,40.9,9,3.3,1,93.3,89.2,33,0.47200000000000003,54,0.40700000000000003,22,0.741,40,0.65,26,9,200,102.7,36.4,12,21,77,,4.0,3,0.444,24,0.292,7,64.3,45,0.527,19.2,17,30,0.5,15,0.667,18,"February 15, 2020",45.8,11,6.7,2,102.7,63.6,21,0.483,59,0.40700000000000003,24,0.28800000000000003,17,0.765,13,20,200,93.3,10.8,4,28,70,,13.3,10,0.4920000000000001,29,0.31,9,35.7,25,0.522,11.9,9,30,0.5,15,0.231,6,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,75.0,Away,COLORADO-STATE,Colorado State,Colorado State,mwc,26,False,False,False,Away,True,7,15,54,45,70,9,15,59,1,0,214,485,1472,0.5475543478260869,843,1643,0.5130858186244674,219,481,1567,0.5165922144224633,0.6538461538461539
27,2020-02-18-22-nevada-las-vegas,65.0,13,2.4,1,114.3,70.0,21,0.449,49,0.408,20,0.51,25,0.48,12,10,200,80.0,12.8,5,11,56,,7.1,5,0.28600000000000003,14,0.28600000000000003,4,37.7,26,0.46,17.8,13,35,0.457,16,0.643,18,"February 18, 2020",57.6,19,11.4,4,80.0,87.2,34,0.5760000000000001,66,0.5,33,0.076,5,0.8,4,14,200,114.3,30.0,9,23,80,,14.3,10,0.364,24,0.41700000000000004,10,62.3,43,0.585,13.9,11,42,0.5479999999999999,23,0.5,14,"Thomas & Mack Center, Las Vegas, Nevada",COLORADO-STATE,Colorado State,69.6,Home,NEVADA-LAS-VEGAS,UNLV,Colorado State,mwc,27,False,False,False,Away,False,4,16,49,26,69,10,23,66,0,1,221,500,1526,0.5448885976408913,888,1713,0.5183887915936952,228,496,1626,0.5153751537515375,0.6666666666666666
28,2020-02-22-16-colorado-state,30.0,6,3.2,1,106.8,64.3,18,0.43,57,0.35100000000000003,20,0.474,27,0.815,22,21,200,97.3,21.6,8,23,71,,11.0,8,0.544,31,0.29,9,40.0,26,0.508,14.8,12,26,0.423,11,0.25,7,"February 22, 2020",60.0,15,7.7,2,97.3,78.4,29,0.57,50,0.5,25,0.58,29,0.7240000000000001,21,10,200,106.8,35.7,10,18,78,,9.6,7,0.38,19,0.368,7,60.0,39,0.612,22.3,18,31,0.581,18,0.655,19,"Moby Arena, Fort Collins, Colorado",SAN-JOSE-STATE,San Jose State,72.8,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,28,True,False,True,Home,True,7,18,50,39,65,9,11,57,1,0,225,516,1575,0.5419047619047619,914,1782,0.5129068462401796,238,519,1692,0.5177304964539007,0.6428571428571429
29,2020-02-25-23-san-diego-state,47.6,10,9.5,2,95.7,80.6,29,0.44299999999999995,53,0.396,21,0.321,17,0.765,13,11,200,87.0,17.2,5,18,60,,8.7,6,0.377,20,0.25,5,52.3,34,0.491,18.8,14,33,0.485,16,0.633,19,"February 25, 2020",68.4,13,9.1,3,87.0,82.8,24,0.45399999999999996,54,0.35200000000000004,19,0.37,20,0.85,17,1,200,95.7,19.4,7,14,66,5.0,11.6,8,0.611,33,0.33299999999999996,11,47.7,31,0.52,16.0,12,21,0.381,8,0.9640000000000001,27,"Viejas Arena, San Diego, California",COLORADO-STATE,Colorado State,69.3,Home,SAN-DIEGO-STATE,San Diego State,Colorado State,mwc,29,False,False,False,Away,False,5,16,53,34,65,11,8,54,0,1,232,534,1625,0.5427692307692308,953,1847,0.5159718462371413,247,530,1749,0.5148656375071471,0.6551724137931034
30,2020-02-29-16-colorado-state,55.6,15,0.0,0,135.9,68.0,17,0.5529999999999999,57,0.474,27,0.263,15,0.733,11,19,200,115.6,32.3,10,19,74,,6.3,4,0.491,28,0.321,9,48.2,27,0.5770000000000001,14.7,11,29,0.621,18,0.3670000000000001,11,"February 29, 2020",86.2,25,3.4,1,115.6,67.7,21,0.6829999999999999,52,0.5579999999999999,29,0.442,23,0.696,16,11,200,135.9,32.0,8,15,87,,14.1,9,0.596,31,0.419,13,51.8,29,0.691,11.4,8,21,0.762,16,0.645,20,"Moby Arena, Fort Collins, Colorado",AIR-FORCE,Air Force,64.0,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,30,True,False,True,Home,True,13,16,52,29,56,9,18,57,1,0,237,550,1678,0.5396305125148987,987,1912,0.5162133891213391,258,538,1803,0.5130338325013866,0.6333333333333333
31,2020-03-04-20-colorado-state,76.0,19,4.5,2,100.0,62.9,22,0.564,55,0.455,25,0.509,28,0.643,18,23,200,108.1,6.1,2,17,80,,10.8,8,0.473,26,0.462,12,35.3,24,0.586,8.2,6,29,0.44799999999999995,13,0.258,8,"March 4, 2020",56.0,14,13.8,4,108.1,93.9,31,0.46,63,0.397,25,0.302,19,0.8420000000000001,16,12,200,100.0,37.1,13,22,74,,4.1,3,0.302,19,0.42100000000000004,8,64.7,44,0.514,18.3,16,44,0.386,17,0.625,20,"Thomas & Mack Center, Las Vegas, Nevada",COLORADO-STATE,Colorado State,73.7,Away,WYOMING,Wyoming,Colorado State,mwc,31,False,True,True,Home,False,8,17,63,44,68,12,13,55,0,1,250,566,1730,0.5439306358381503,1016,1968,0.5162601626016261,267,556,1860,0.514247311827957,0.6451612903225806
