,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,APPALACHIAN-STATE_homegame,APPALACHIAN-STATE_homegame2,APPALACHIAN-STATE_home,APPALACHIAN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-michigan,34.6,9,0.0,0,101.3,69.4,25,0.491,57,0.456,26,0.386,22,0.682,15,1,200,91.0,19.2,5,23,71,,11.5,9,0.228,13,0.308,4,48.4,30,0.526,21.3,18,44,0.5,22,0.0,0,"November 5, 2019",51.7,15,13.6,6,91.0,80.8,21,0.5489999999999999,61,0.475,29,0.311,19,0.632,12,0,200,101.3,30.6,11,18,79,,10.3,8,0.41,25,0.36,9,51.6,32,0.564,19.7,17,36,0.556,20,1.0,1,"Crisler Arena, Ann Arbor, Michigan",APPALACHIAN-STATE,Appalachian State,78.2,Home,MICHIGAN,Michigan,Appalachian State,sun-belt,0,False,False,False,Away,False,4,22,57,30,62,9,20,61,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-07-19-appalachian-state,42.9,9,0.0,0,112.2,72.7,24,0.35200000000000004,71,0.29600000000000004,21,0.141,10,0.6,6,0,200,75.7,36.2,17,27,56,,4.1,3,0.535,38,0.21100000000000002,8,51.3,41,0.37,17.5,16,33,0.39399999999999996,13,0.0,0,"November 7, 2019",46.2,12,6.1,2,75.7,63.8,30,0.5820000000000001,49,0.531,26,0.857,42,0.619,26,1,200,112.2,27.3,9,16,83,,12.2,9,0.408,20,0.25,5,48.8,39,0.602,17.2,14,29,0.7240000000000001,21,0.5,1,"Holmes Convocation Center, Boone, North Carolina","Ferrum
			","Ferrum
			",74.4,Home,APPALACHIAN-STATE,Appalachian State,Appalachian State,sun-belt,1,True,False,True,Home,True,5,21,49,39,80,8,13,71,1,0,4,22,57,0.4912280701754386,30,62,0.4838709677419355,9,20,61,0.5491803278688525,0.0
2,2019-11-12-19-appalachian-state,52.4,11,8.0,2,98.6,80.0,20,0.39799999999999996,59,0.35600000000000004,21,0.322,19,0.789,15,2,200,89.9,26.3,10,22,62,,5.8,4,0.373,22,0.22699999999999998,5,47.6,30,0.456,17.2,14,37,0.4320000000000001,16,0.33299999999999996,1,"November 12, 2019",55.0,11,8.1,3,89.9,73.7,28,0.5329999999999999,45,0.444,20,0.622,28,0.7140000000000001,20,1,200,98.6,20.0,5,19,68,,10.1,7,0.444,20,0.4,8,52.4,33,0.583,18.5,13,25,0.48,12,0.667,2,"Holmes Convocation Center, Boone, North Carolina",EAST-CAROLINA,East Carolina,69.2,Home,APPALACHIAN-STATE,Appalachian State,Appalachian State,sun-belt,2,True,False,True,Home,True,8,12,45,33,63,5,16,59,1,0,9,43,106,0.5330188679245284,69,142,0.4859154929577465,17,33,132,0.4431818181818182,0.5
3,2019-11-15-16-appalachian-state,52.2,12,9.5,4,77.8,75.0,30,0.47200000000000003,53,0.434,23,0.302,16,0.563,9,1,200,81.9,16.1,5,21,59,,9.7,7,0.302,16,0.25,4,49.3,35,0.48700000000000004,21.0,16,37,0.514,19,0.667,2,"November 15, 2019",38.1,8,0.0,0,81.9,83.9,26,0.369,61,0.344,21,0.262,16,0.688,11,2,200,77.8,25.0,10,16,56,,5.6,4,0.311,19,0.158,3,50.7,36,0.408,17.1,14,42,0.429,18,0.5,2,"Greensboro Coliseum, Greensboro, North Carolina",APPALACHIAN-STATE,Appalachian State,72.1,Away,MONTANA-STATE,Montana State,Appalachian State,sun-belt,3,False,True,True,Home,False,3,18,61,36,71,4,19,53,0,1,17,55,151,0.5331125827814569,102,205,0.4975609756097561,22,49,191,0.4293193717277487,0.6666666666666666
4,2019-11-16-15-appalachian-state,61.1,11,3.4,1,113.1,71.4,15,0.489,47,0.38299999999999995,18,0.043,2,0.5,1,4,200,77.0,15.4,4,15,47,,9.8,6,0.511,24,0.41700000000000004,10,40.4,19,0.49,26.2,17,23,0.348,8,0.2,1,"November 16, 2019",41.7,10,21.7,5,77.0,84.6,22,0.614,44,0.545,24,0.4320000000000001,19,0.789,15,2,200,113.1,28.6,6,10,69,,16.4,10,0.341,15,0.4,6,59.6,28,0.6509999999999999,22.3,15,29,0.621,18,0.6,3,"Greensboro Coliseum, Greensboro, North Carolina",TENNESSEE-TECH,Tennessee Tech,61.5,Home,APPALACHIAN-STATE,Appalachian State,Appalachian State,sun-belt,4,True,False,True,Home,True,6,18,44,28,47,10,8,47,1,0,20,73,212,0.4858490566037736,138,276,0.5,26,68,244,0.4385245901639344,0.5
5,2019-11-18-19-north-carolina-greensboro,25.0,4,15.8,6,82.1,73.2,30,0.336,55,0.29100000000000004,16,0.327,18,0.222,4,3,200,61.2,31.8,14,10,41,,9.0,6,0.327,18,0.278,5,51.8,44,0.32299999999999995,18.2,14,37,0.297,11,0.5,3,"November 18, 2019",50.0,11,18.9,7,61.2,68.2,30,0.396,67,0.32799999999999996,22,0.09,6,0.33299999999999996,2,2,200,82.1,26.8,11,18,55,,13.4,9,0.433,29,0.31,9,48.2,41,0.39399999999999996,13.6,11,38,0.342,13,0.667,4,"Greensboro Coliseum, Greensboro, North Carolina",APPALACHIAN-STATE,Appalachian State,66.7,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Appalachian State,sun-belt,5,False,False,False,Away,False,5,11,55,44,85,9,13,67,0,1,26,91,256,0.5078125,166,323,0.5139318885448917,36,76,291,0.44673539518900346,0.6
6,2019-11-21-19-appalachian-state,55.6,10,3.8,1,91.4,77.1,27,0.408,49,0.3670000000000001,18,0.3670000000000001,18,0.833,15,2,200,78.6,6.5,2,20,55,,8.6,6,0.429,21,0.19,4,43.9,29,0.478,21.9,16,28,0.5,14,0.5,2,"November 21, 2019",52.4,11,7.1,2,78.6,93.5,29,0.444,54,0.389,21,0.46299999999999997,25,0.64,16,3,200,91.4,22.9,8,14,64,,14.3,10,0.519,28,0.214,6,56.1,37,0.486,14.5,11,26,0.5770000000000001,15,0.5710000000000001,4,"Holmes Convocation Center, Boone, North Carolina",CHARLOTTE,Charlotte,70.2,Home,APPALACHIAN-STATE,Appalachian State,Appalachian State,sun-belt,6,True,False,True,Home,True,6,15,54,37,66,4,14,49,1,0,31,102,311,0.47749196141479106,210,408,0.5147058823529411,45,89,358,0.4371508379888268,0.5
7,2019-11-26-19-east-tennessee-state,54.5,12,6.7,2,111.4,70.3,26,0.491,54,0.40700000000000003,22,0.5,27,0.593,16,4,200,98.6,18.9,7,23,69,,10.0,7,0.48100000000000004,26,0.34600000000000003,9,44.6,33,0.516,12.0,9,28,0.46399999999999997,13,0.5,4,"November 26, 2019",57.7,15,14.3,4,98.6,81.1,30,0.544,57,0.456,26,0.456,26,0.615,16,1,200,111.4,29.7,11,20,78,,4.3,3,0.474,27,0.37,10,55.4,41,0.562,14.9,12,30,0.5329999999999999,16,0.857,6,"Freedom Hall Civic Center, Johnson City, Tennessee",APPALACHIAN-STATE,Appalachian State,69.6,Home,EAST-TENNESSEE-STATE,ETSU,Appalachian State,sun-belt,7,False,False,False,Away,False,9,13,54,33,74,10,16,57,0,1,37,117,365,0.4726027397260274,247,474,0.5210970464135021,49,103,407,0.4336609336609337,0.5714285714285714
8,2019-12-03-19-appalachian-state,47.8,11,4.8,2,121.6,52.6,20,0.583,48,0.479,23,0.042,2,1.0,2,0,200,78.4,14.3,3,13,58,,6.8,5,0.41700000000000004,20,0.5,10,39.0,23,0.5920000000000001,36.4,28,28,0.46399999999999997,13,0.0,0,"December 3, 2019",55.6,20,7.1,2,78.4,85.7,18,0.56,75,0.48,36,0.12,9,0.667,6,4,200,121.6,47.4,18,10,90,,17.6,13,0.44,33,0.364,12,61.0,36,0.568,13.2,12,42,0.5710000000000001,24,0.556,5,"Holmes Convocation Center, Boone, North Carolina","St. Andrews
			","St. Andrews
			",73.6,Home,APPALACHIAN-STATE,Appalachian State,Appalachian State,sun-belt,8,True,False,True,Home,True,12,24,75,36,59,10,13,48,1,0,46,130,419,0.4749403341288783,280,548,0.5109489051094891,59,119,464,0.44719827586206895,0.5
9,2019-12-14-12-howard,63.3,19,13.9,5,78.7,83.3,30,0.523,66,0.455,30,0.242,16,0.75,12,4,200,108.0,34.4,11,13,81,,9.3,7,0.33299999999999996,22,0.409,9,60.3,41,0.55,13.1,11,44,0.47700000000000004,21,0.6,6,"December 14, 2019",60.0,12,6.8,3,108.0,65.6,21,0.385,61,0.32799999999999996,20,0.213,13,0.9229999999999999,12,10,200,78.7,16.7,6,16,59,,5.3,4,0.41,25,0.28,7,39.7,27,0.439,18.4,15,36,0.361,13,0.091,1,"Burr Gymnasium, Washington, District of Columbia",HOWARD,Howard,74.9,Away,APPALACHIAN-STATE,Appalachian State,Appalachian State,sun-belt,9,False,False,False,Away,True,9,21,66,41,68,7,13,61,1,0,58,154,494,0.4878542510121458,316,607,0.5205930807248764,69,132,512,0.4599609375,0.5555555555555556
10,2019-12-19-20-south-alabama,35.5,11,10.3,3,106.0,72.4,21,0.588,57,0.544,31,0.316,18,0.778,14,4,200,120.9,32.0,8,13,81,,10.4,7,0.33299999999999996,19,0.263,5,53.7,29,0.618,13.3,10,38,0.684,26,0.636,7,"December 19, 2019",56.0,14,2.6,1,120.9,68.0,17,0.544,57,0.439,25,0.175,10,0.9,9,5,200,106.0,27.6,8,21,71,,9.0,6,0.491,28,0.429,12,46.3,25,0.575,16.3,12,29,0.44799999999999995,13,0.545,6,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,66.7,Away,APPALACHIAN-STATE,Appalachian State,Appalachian State,sun-belt,10,False,False,False,Away,True,5,26,57,29,54,12,13,57,1,0,67,175,560,0.4919642857142857,357,675,0.5288888888888889,76,145,573,0.4520069808027923,0.6
11,2019-12-21-15-troy,58.3,14,11.1,4,92.9,68.3,28,0.519,53,0.45299999999999996,24,0.491,26,0.5770000000000001,15,4,200,100.0,19.4,6,15,70,,14.3,10,0.396,21,0.33299999999999996,7,47.2,34,0.536,12.3,9,32,0.531,17,0.667,8,"December 21, 2019",76.2,16,0.0,0,100.0,80.6,25,0.402,66,0.318,21,0.182,12,1.0,12,8,200,92.9,31.7,13,22,65,,4.3,3,0.455,30,0.3670000000000001,11,52.8,38,0.45299999999999996,15.4,13,36,0.278,10,0.385,5,"Trojan Arena, Troy, Alabama",TROY,Troy,70.0,Away,APPALACHIAN-STATE,Appalachian State,Appalachian State,sun-belt,11,False,False,False,Away,True,7,17,53,34,72,11,10,66,1,0,72,201,617,0.5008103727714749,386,729,0.5294924554183813,88,158,630,0.4603174603174603,0.6363636363636364
12,2019-12-29-16-north-carolina-state,45.8,11,2.7,1,101.4,57.9,22,0.4,65,0.369,24,0.24600000000000002,16,0.5,8,5,200,84.5,22.2,10,17,60,,11.3,8,0.33799999999999997,22,0.182,4,38.6,32,0.413,12.2,10,43,0.465,20,0.615,8,"December 29, 2019",42.9,12,16.3,7,84.5,77.8,35,0.4920000000000001,62,0.452,28,0.306,19,0.579,11,3,200,101.4,42.1,16,15,72,,9.9,7,0.40299999999999997,25,0.2,5,61.4,51,0.507,17.6,15,37,0.622,23,0.769,10,"PNC Arena, Raleigh, North Carolina",APPALACHIAN-STATE,Appalachian State,71.3,Home,NORTH-CAROLINA-STATE,NC State,Appalachian State,sun-belt,12,False,False,False,Away,False,4,20,65,32,83,5,23,62,0,1,79,218,670,0.5022388059701492,420,801,0.5243445692883895,99,168,696,0.4547413793103448,0.6666666666666666
13,2020-01-02-19-appalachian-state,59.3,16,2.5,1,76.9,59.5,25,0.4920000000000001,61,0.44299999999999995,27,0.213,13,0.6920000000000001,9,4,200,88.5,21.2,7,23,69,,20.5,16,0.361,22,0.273,6,42.7,32,0.514,21.2,18,39,0.5379999999999999,21,0.7140000000000001,10,"January 2, 2020",42.9,9,7.7,3,88.5,78.8,26,0.397,58,0.36200000000000004,21,0.483,28,0.5,14,6,200,76.9,40.5,17,14,60,,12.8,10,0.31,18,0.222,4,57.3,43,0.42100000000000004,25.4,24,40,0.425,17,0.5710000000000001,8,"Holmes Convocation Center, Boone, North Carolina",APPALACHIAN-STATE,Appalachian State,78.2,Away,GEORGIA-STATE,Georgia State,Appalachian State,sun-belt,13,False,True,True,Home,False,4,17,58,43,75,6,21,61,0,1,83,238,735,0.4931972789115646,452,884,0.5113122171945701,104,191,758,0.4577836411609499,0.6153846153846154
14,2020-01-04-16-appalachian-state,58.3,14,6.5,2,96.1,80.8,21,0.467,60,0.4,24,0.433,26,0.615,16,6,200,93.5,18.4,7,16,72,,11.7,9,0.5,30,0.267,8,43.8,28,0.498,12.3,10,30,0.5329999999999999,16,0.6,9,"January 4, 2020",45.8,11,10.0,3,93.5,81.6,31,0.509,56,0.429,24,0.33899999999999997,19,0.895,17,6,200,96.1,19.2,5,23,74,,6.5,5,0.446,25,0.36,9,56.3,36,0.569,22.8,19,31,0.484,15,0.6,9,"Holmes Convocation Center, Boone, North Carolina",GEORGIA-SOUTHERN,Georgia Southern,77.2,Home,APPALACHIAN-STATE,Appalachian State,Appalachian State,sun-belt,14,True,False,True,Home,True,9,15,56,36,64,8,16,60,1,0,87,255,793,0.4861286254728878,495,959,0.516162669447341,110,212,819,0.4603174603174603,0.5714285714285714
15,2020-01-06-19-appalachian-state,40.0,12,4.8,1,100.0,76.5,26,0.539,64,0.469,30,0.23399999999999999,15,0.8,12,9,200,111.0,28.1,9,14,81,,15.1,11,0.406,26,0.34600000000000003,9,53.0,35,0.569,13.5,11,38,0.5529999999999999,21,0.43799999999999994,7,"January 6, 2020",65.4,17,10.5,4,111.0,71.9,23,0.5589999999999999,59,0.441,26,0.16899999999999998,10,0.7,7,7,200,100.0,23.5,8,16,73,,8.2,6,0.644,38,0.368,14,47.0,31,0.573,21.1,17,21,0.5710000000000001,12,0.562,9,"Holmes Convocation Center, Boone, North Carolina",APPALACHIAN-STATE,Appalachian State,72.9,Away,LOUISIANA-LAFAYETTE,Louisiana,Appalachian State,sun-belt,15,False,True,True,Home,False,14,12,59,31,66,9,21,64,0,1,96,270,849,0.4876325088339223,531,1023,0.5190615835777126,118,228,879,0.4607508532423209,0.6
16,2020-01-09-20-texas-arlington,59.1,13,3.1,1,104.8,69.7,23,0.46,50,0.44,22,0.34,17,0.588,10,8,200,88.9,31.0,9,17,56,,11.1,7,0.32,16,0.125,2,51.6,32,0.48200000000000004,17.3,12,34,0.588,20,0.529,9,"January 9, 2020",68.2,15,11.8,4,88.9,69.0,20,0.46399999999999997,55,0.4,22,0.382,21,0.7140000000000001,15,11,200,104.8,30.3,10,18,66,,9.5,6,0.418,23,0.304,7,48.4,30,0.508,12.3,9,32,0.469,15,0.353,6,"College Park Center, Arlington, Texas",APPALACHIAN-STATE,Appalachian State,62.5,Home,TEXAS-ARLINGTON,Texas-Arlington,Appalachian State,sun-belt,16,False,False,False,Away,False,2,20,50,32,62,7,15,55,0,1,110,282,908,0.4922907488986784,562,1089,0.5160697887970616,127,249,943,0.4660657476139979,0.5625
17,2020-01-11-17-texas-state,35.3,6,6.3,2,134.4,61.9,13,0.42200000000000004,45,0.37799999999999995,17,0.556,25,0.76,19,9,200,93.4,34.6,9,15,57,,3.3,2,0.267,12,0.33299999999999996,4,46.8,22,0.501,21.1,15,33,0.39399999999999996,13,0.5,9,"January 11, 2020",67.9,19,3.0,1,93.4,65.4,17,0.635,52,0.5379999999999999,28,0.327,17,0.941,16,8,200,134.4,38.1,8,21,82,,9.8,6,0.385,20,0.5,10,53.2,25,0.682,11.9,8,32,0.563,18,0.556,10,"Strahan Coliseum, San Marcos, Texas",APPALACHIAN-STATE,Appalachian State,61.5,Home,TEXAS-STATE,Texas State,Appalachian State,sun-belt,17,False,False,False,Away,False,4,13,45,22,47,10,18,52,0,1,112,302,958,0.4906054279749478,594,1151,0.5160729800173762,134,264,998,0.4659318637274549,0.5294117647058824
18,2020-01-16-19-appalachian-state,50.0,14,5.9,2,113.7,81.1,30,0.485,66,0.424,28,0.455,30,0.5329999999999999,16,7,225,109.6,32.6,14,26,80,,4.1,3,0.364,24,0.33299999999999996,8,55.0,44,0.498,8.1,7,42,0.47600000000000003,20,0.632,12,"January 16, 2020",45.8,11,4.8,2,109.6,67.4,29,0.466,58,0.414,24,0.621,36,0.8059999999999999,29,9,225,113.7,18.9,7,21,83,,2.7,2,0.414,24,0.25,6,45.0,36,0.5529999999999999,5.1,4,34,0.529,18,0.526,10,"Holmes Convocation Center, Boone, North Carolina",ARKANSAS-STATE,Arkansas State,64.6,Home,APPALACHIAN-STATE,Appalachian State,Appalachian State,sun-belt,18,True,False,True,Home,True,6,18,58,36,80,8,20,66,1,0,116,315,1003,0.4875373878364905,616,1198,0.5141903171953256,144,282,1050,0.4742857142857143,0.5
