,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEBRASKA-OMAHA_homegame,NEBRASKA-OMAHA_homegame2,NEBRASKA-OMAHA_home,NEBRASKA-OMAHA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-wichita-state,45.5,10,5.0,2,97.1,70.5,31,0.43799999999999994,56,0.39299999999999996,22,0.179,10,0.5,5,1,200,77.1,12.5,4,10,54,,5.7,4,0.33899999999999997,19,0.263,5,46.1,35,0.444,17.7,13,37,0.45899999999999996,17,0.0,0,"November 5, 2019",57.7,15,18.9,7,77.1,87.5,28,0.444,71,0.366,26,0.16899999999999998,12,0.41700000000000004,5,0,200,97.1,29.5,13,14,68,,11.4,8,0.4370000000000001,31,0.355,11,53.9,41,0.44299999999999995,8.4,7,40,0.375,15,1.0,1,"Charles Koch Arena, Wichita, Kansas",NEBRASKA-OMAHA,Omaha,70.2,Home,WICHITA-STATE,Wichita State,Omaha,summit,0,False,False,False,Away,False,5,17,56,35,76,11,15,71,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-07-13-nebraska-omaha,57.1,12,8.3,4,100.0,75.0,24,0.371,66,0.318,21,0.076,5,0.8,4,0,200,73.6,26.3,10,11,53,,6.9,5,0.439,29,0.24100000000000002,7,48.6,34,0.38799999999999996,17.0,14,37,0.37799999999999995,14,0.0,0,"November 7, 2019",65.6,21,16.2,6,73.6,73.7,28,0.531,64,0.5,32,0.109,7,0.5710000000000001,4,1,200,100.0,25.0,8,9,72,,5.6,4,0.25,16,0.25,4,51.4,36,0.535,15.2,12,48,0.583,28,0.5,1,"Baxter Arena, Omaha, Nebraska","Midland Lutheran
			","Midland Lutheran
			",71.9,Home,NEBRASKA-OMAHA,Omaha,Omaha,summit,1,True,False,True,Home,True,4,28,64,36,70,7,14,66,1,0,5,17,56,0.4375,35,76,0.4605263157894737,11,15,71,0.4436619718309859,0.0
2,2019-11-11-20-nebraska-omaha,57.1,12,4.3,2,115.4,70.0,21,0.39299999999999996,61,0.344,21,0.311,19,0.684,13,2,200,78.2,17.9,7,21,61,,10.3,8,0.32799999999999996,20,0.3,6,40.6,28,0.436,18.7,16,41,0.366,15,0.33299999999999996,1,"November 11, 2019",45.7,16,14.6,6,78.2,82.1,32,0.636,59,0.593,35,0.39,23,0.652,15,1,200,115.4,30.0,9,17,90,,9.0,7,0.203,12,0.41700000000000004,5,59.4,41,0.644,18.8,16,47,0.638,30,0.667,2,"Baxter Arena, Omaha, Nebraska",BETHUNE-COOKMAN,Bethune-Cookman,78.0,Home,NEBRASKA-OMAHA,Omaha,Omaha,summit,2,True,False,True,Home,True,5,30,59,41,69,6,15,61,1,0,9,45,120,0.4875,71,146,0.4863013698630137,18,29,137,0.4087591240875912,0.5
3,2019-11-13-21-colorado-state,52.2,12,7.7,3,114.3,74.3,26,0.43799999999999994,65,0.354,23,0.138,9,0.889,8,2,200,92.9,23.8,10,22,65,,2.9,2,0.415,27,0.40700000000000003,11,46.8,36,0.469,12.7,10,38,0.316,12,0.5,2,"November 13, 2019",62.1,18,10.5,4,92.9,76.2,32,0.557,61,0.475,29,0.311,19,0.632,12,1,200,114.3,25.7,9,15,80,,5.7,4,0.361,22,0.455,10,53.2,41,0.5710000000000001,11.5,9,39,0.48700000000000004,19,0.667,2,"Moby Arena, Fort Collins, Colorado",NEBRASKA-OMAHA,Omaha,69.7,Home,COLORADO-STATE,Colorado State,Omaha,summit,3,False,False,False,Away,False,11,12,65,36,77,10,19,61,0,1,14,75,179,0.5363128491620112,112,215,0.5209302325581395,24,44,198,0.404040404040404,0.6666666666666666
4,2019-11-19-19-dayton,37.0,10,2.7,1,134.8,64.5,20,0.525,59,0.45799999999999996,27,0.18600000000000005,11,0.545,6,3,200,98.6,31.0,9,13,68,,8.7,6,0.305,18,0.444,8,48.3,29,0.529,16.9,13,41,0.46299999999999997,19,0.4,2,"November 19, 2019",56.8,21,12.2,5,98.6,69.0,20,0.6559999999999999,64,0.578,37,0.23399999999999999,15,0.6,9,0,200,134.8,35.5,11,11,93,,8.7,6,0.42200000000000004,27,0.37,10,51.7,31,0.654,12.4,10,37,0.73,27,1.0,3,"University of Dayton Arena, Dayton, Ohio",NEBRASKA-OMAHA,Omaha,69.2,Home,DAYTON,Dayton,Omaha,summit,4,False,False,False,Away,False,8,19,59,29,60,10,27,64,0,1,25,87,244,0.5102459016393442,148,292,0.5068493150684932,34,63,259,0.44015444015444016,0.5
5,2019-11-21-19-washington-state,27.6,8,2.9,1,101.3,79.5,35,0.551,59,0.4920000000000001,29,0.40700000000000003,24,0.833,20,3,200,111.8,13.8,4,18,85,,0.0,0,0.322,19,0.368,7,53.4,39,0.604,12.6,10,40,0.55,22,0.5,3,"November 21, 2019",50.0,12,5.0,2,111.8,86.2,25,0.435,69,0.348,24,0.304,21,0.81,17,2,200,101.3,20.5,9,18,77,,1.3,1,0.507,35,0.34299999999999997,12,46.6,34,0.48700000000000004,6.0,5,34,0.353,12,0.5,2,"Beasley Coliseum, Pullman, Washington",WASHINGTON-STATE,Washington State,75.7,Away,NEBRASKA-OMAHA,Omaha,Omaha,summit,5,False,False,False,Away,True,7,22,59,39,73,12,12,69,1,0,33,106,303,0.5132013201320133,177,352,0.5028409090909091,44,90,323,0.4829721362229102,0.4
6,2019-11-25-20-nebraska-omaha,52.6,10,4.7,2,114.7,68.6,24,0.3670000000000001,60,0.317,19,0.2,12,0.583,7,4,200,75.0,37.5,15,20,51,,5.9,4,0.4,24,0.25,6,52.0,39,0.38799999999999996,20.7,17,36,0.361,13,0.33299999999999996,2,"November 25, 2019",55.2,16,8.3,3,75.0,62.5,25,0.516,63,0.46,29,0.302,19,0.684,13,3,200,114.7,31.4,11,16,78,,10.3,7,0.317,20,0.35,7,48.0,36,0.541,10.1,8,43,0.512,22,0.5710000000000001,4,"Baxter Arena, Omaha, Nebraska",SOUTHERN,Southern,68.4,Home,NEBRASKA-OMAHA,Omaha,Omaha,summit,6,True,False,True,Home,True,7,22,63,36,75,6,13,60,1,0,40,128,362,0.5193370165745856,216,425,0.508235294117647,56,102,392,0.4744897959183674,0.5
7,2019-11-26-20-nebraska-omaha,75.0,18,7.1,3,101.4,72.4,21,0.5379999999999999,52,0.462,24,0.26899999999999996,14,0.643,9,4,200,94.2,14.3,4,15,65,,11.6,8,0.5,26,0.308,8,43.9,25,0.5539999999999999,19.4,14,26,0.615,16,0.429,3,"November 26, 2019",61.5,16,7.7,2,94.2,85.7,24,0.518,55,0.473,26,0.309,17,0.765,13,3,200,101.4,27.6,8,15,70,,10.1,7,0.23600000000000002,13,0.385,5,56.1,32,0.555,19.4,15,42,0.5,21,0.625,5,"Baxter Arena, Omaha, Nebraska",LOYOLA-MD,Loyola (MD),69.4,Home,NEBRASKA-OMAHA,Omaha,Omaha,summit,7,True,False,True,Home,True,5,21,55,32,57,8,16,52,1,0,47,150,425,0.5188235294117647,252,500,0.504,62,115,452,0.4601769911504425,0.5714285714285714
8,2019-12-01-20-saint-marys-ca,44.4,12,11.1,4,115.4,72.0,18,0.516,61,0.44299999999999995,27,0.066,4,0.75,3,4,200,101.5,11.1,3,13,66,,6.2,4,0.295,18,0.5,9,40.4,21,0.525,10.0,7,43,0.419,18,0.556,5,"December 1, 2019",46.7,14,9.3,4,101.5,88.9,24,0.602,59,0.508,30,0.136,8,0.5,4,1,200,115.4,28.0,7,8,75,,6.2,4,0.39,23,0.478,11,59.6,31,0.597,10.1,7,36,0.528,19,0.889,8,"McKeon Pavilion, Moraga, California",NEBRASKA-OMAHA,Omaha,64.9,Home,SAINT-MARYS-CA,Saint Mary's,Omaha,summit,8,False,False,False,Away,False,9,18,61,21,52,11,19,59,0,1,52,171,480,0.51875,284,557,0.5098743267504489,70,131,504,0.4682539682539682,0.625
9,2019-12-03-20-arkansas-state,61.5,16,0.0,0,109.9,74.2,23,0.518,55,0.473,26,0.382,21,0.762,16,5,200,102.8,34.4,11,23,73,,9.9,7,0.2,11,0.455,5,54.0,34,0.562,19.9,16,44,0.47700000000000004,21,0.5,5,"December 3, 2019",68.0,17,6.8,3,102.8,65.6,21,0.509,55,0.455,25,0.473,26,0.846,22,2,200,109.9,25.8,8,19,78,,12.7,9,0.309,17,0.353,6,46.0,29,0.579,15.3,12,38,0.5,19,0.75,6,"Convocation Center, Jonesboro, Arkansas",NEBRASKA-OMAHA,Omaha,70.7,Home,ARKANSAS-STATE,Arkansas State,Omaha,summit,9,False,False,False,Away,False,5,21,55,34,63,6,19,55,0,1,61,189,541,0.5184842883548983,305,609,0.5008210180623974,81,150,563,0.4822380106571936,0.5555555555555556
