,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TENNESSEE-STATE_homegame,TENNESSEE-STATE_homegame2,TENNESSEE-STATE_home,TENNESSEE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-tennessee-state,29.2,7,0.0,0,135.9,72.0,18,0.424,66,0.364,24,0.28800000000000003,19,0.526,10,1,200,84.6,25.6,11,17,66,,7.7,6,0.379,25,0.32,8,42.6,29,0.44,15.8,14,41,0.39,16,0.0,0,"November 5, 2019",61.0,25,17.1,7,84.6,74.4,32,0.7979999999999999,62,0.6609999999999999,41,0.258,16,0.43799999999999994,7,0,200,135.9,28.0,7,21,106,,7.7,6,0.5479999999999999,34,0.5,17,57.4,39,0.7609999999999999,18.8,16,28,0.857,24,1.0,1,"Gentry Center Complex, Nashville, Tennessee",ALABAMA-AM,Alabama A&M,78.3,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc,0,True,False,True,Home,True,17,24,62,39,68,8,16,66,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-chattanooga,36.0,9,12.2,5,83.1,73.8,31,0.474,57,0.439,25,0.08800000000000001,5,0.6,3,1,200,80.3,12.9,4,22,57,,2.8,2,0.263,15,0.267,4,47.9,35,0.48,20.2,15,42,0.5,21,0.5,1,"November 9, 2019",61.9,13,4.8,2,80.3,87.1,27,0.4,60,0.35,21,0.317,19,0.579,11,1,200,83.1,26.2,11,12,59,,8.5,6,0.317,19,0.316,6,52.1,38,0.4270000000000001,16.0,13,41,0.366,15,0.5,1,"The McKenzie Arena, Chattanooga, Tennessee",TENNESSEE-STATE,Tennessee State,70.7,Home,CHATTANOOGA,Chattanooga,Tennessee State,ovc,1,False,False,False,Away,False,4,21,57,35,73,6,15,60,0,1,17,24,62,0.7983870967741935,39,68,0.5735294117647058,8,16,66,0.42424242424242425,1.0
2,2019-11-12-20-tennessee-state,33.3,9,2.7,1,105.3,55.6,15,0.565,54,0.5,27,0.444,24,0.708,17,2,200,104.0,14.3,4,12,78,,4.0,3,0.37,20,0.35,7,34.5,19,0.596,16.8,13,34,0.588,20,0.33299999999999996,1,"November 12, 2019",46.9,15,17.6,6,104.0,85.7,24,0.61,59,0.542,32,0.22,13,0.5379999999999999,7,1,200,105.3,44.4,12,26,79,,4.0,3,0.373,22,0.364,8,65.5,36,0.606,25.4,22,37,0.649,24,0.667,2,"Gentry Center Complex, Nashville, Tennessee",LIPSCOMB,Lipscomb,74.8,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc,2,True,False,True,Home,True,8,24,59,36,55,7,20,54,1,0,21,45,119,0.6428571428571429,74,141,0.524822695035461,14,31,126,0.4126984126984127,0.5
3,2019-11-18-20-tennessee-state,35.0,7,6.8,3,126.9,44.1,15,0.389,54,0.37,20,0.556,30,0.767,23,0,200,83.3,26.5,9,18,65,,9.0,7,0.33299999999999996,18,0.111,2,35.3,24,0.47600000000000003,21.1,18,36,0.5,18,0.0,0,"November 18, 2019",44.7,17,8.3,3,83.3,73.5,25,0.568,73,0.521,38,0.26,19,0.8420000000000001,16,1,200,126.9,55.9,19,23,99,,10.3,8,0.397,29,0.24100000000000002,7,64.7,44,0.603,16.4,16,44,0.705,31,0.75,3,"Gentry Center Complex, Nashville, Tennessee","Fisk
			","Fisk
			",78.1,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc,3,True,False,True,Home,True,7,31,73,44,68,2,18,54,1,0,29,69,178,0.6320224719101124,110,196,0.5612244897959183,21,51,180,0.4583333333333333,0.6666666666666666
4,2019-11-21-20-texas-tech,56.3,9,7.4,2,104.3,71.9,23,0.406,48,0.33299999999999996,16,0.375,18,0.722,13,2,181,82.6,18.2,6,26,52,,7.2,5,0.563,27,0.259,7,44.6,29,0.504,23.3,17,21,0.429,9,0.6,3,"November 21, 2019",58.8,10,4.8,1,82.6,81.8,27,0.4,50,0.34,17,0.76,38,0.8420000000000001,32,0,181,104.3,28.1,9,17,72,12.0,13.0,9,0.46,23,0.261,6,55.4,36,0.529,15.2,12,27,0.40700000000000003,11,1.0,4,"United Supermarkets Arena, Lubbock, Texas",TENNESSEE-STATE,Tennessee State,76.6,Home,TEXAS-TECH,Texas Tech,Tennessee State,ovc,4,False,False,False,Away,False,7,9,48,29,65,6,11,50,0,1,36,100,251,0.6135458167330677,154,264,0.5833333333333334,23,69,234,0.4423076923076923,0.75
5,2019-11-25-22-san-diego-state,64.7,11,8.6,3,92.5,80.6,25,0.4270000000000001,48,0.354,17,0.20800000000000002,10,0.8,8,3,200,73.1,15.4,4,22,49,,7.5,5,0.521,25,0.28,7,50.9,29,0.46399999999999997,24.5,17,23,0.435,10,0.5,3,"November 25, 2019",45.0,9,13.0,3,73.1,84.6,22,0.41100000000000003,56,0.35700000000000004,20,0.304,17,0.941,16,0,200,92.5,19.4,6,14,62,,7.5,5,0.375,21,0.28600000000000003,6,49.1,28,0.484,14.8,11,35,0.4,14,1.0,6,"Viejas Arena, San Diego, California",TENNESSEE-STATE,Tennessee State,67.4,Home,SAN-DIEGO-STATE,San Diego State,Tennessee State,ovc,5,False,False,False,Away,False,7,10,48,29,57,6,14,56,0,1,43,109,299,0.580267558528428,183,329,0.5562310030395137,29,80,284,0.43485915492957744,0.6
6,2019-11-28-14-cal-poly,55.6,15,9.7,3,94.7,80.6,25,0.58,56,0.48200000000000004,27,0.41100000000000003,23,0.7390000000000001,17,3,200,107.9,37.0,10,26,82,,7.9,6,0.33899999999999997,19,0.579,11,60.3,35,0.613,22.3,19,37,0.4320000000000001,16,0.5710000000000001,4,"November 28, 2019",33.3,8,2.7,1,107.9,63.0,17,0.5379999999999999,52,0.462,24,0.5379999999999999,28,0.5710000000000001,16,6,200,94.7,19.4,6,24,72,,11.8,9,0.40399999999999997,21,0.381,8,39.7,23,0.551,20.9,17,31,0.516,16,0.14300000000000002,1,"Orleans Arena, Paradise, Nevada",CAL-POLY,Cal Poly,76.1,Away,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc,6,False,False,False,Away,True,11,16,56,35,58,8,16,52,1,0,50,119,347,0.5590778097982709,212,386,0.5492227979274611,35,94,340,0.4308823529411765,0.5
7,2019-11-29-16-north-florida,70.0,21,29.0,9,98.6,68.6,24,0.589,56,0.536,30,0.41100000000000003,23,0.652,15,3,200,109.5,38.5,10,16,81,,8.1,6,0.28600000000000003,16,0.375,6,55.7,34,0.605,19.5,16,40,0.6,24,0.625,5,"November 29, 2019",56.0,14,0.0,0,109.5,61.5,16,0.47600000000000003,63,0.397,25,0.23800000000000002,15,0.867,13,4,200,98.6,31.4,11,23,73,,9.5,7,0.508,32,0.313,10,44.3,27,0.52,18.7,16,31,0.484,15,0.556,5,"Orleans Arena, Paradise, Nevada",NORTH-FLORIDA,North Florida,74.0,Away,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc,7,False,False,False,Away,True,6,24,56,34,61,10,15,63,1,0,61,135,403,0.5620347394540943,247,444,0.5563063063063063,43,110,392,0.4451530612244898,0.5714285714285714
8,2019-12-06-13-tennessee-state,26.1,6,9.1,3,109.6,66.7,22,0.527,56,0.41100000000000003,23,0.304,17,0.882,15,7,200,101.4,22.6,7,23,74,,2.7,2,0.46399999999999997,26,0.5,13,45.3,29,0.5770000000000001,21.1,17,30,0.33299999999999996,10,0.364,4,"December 6, 2019",69.2,18,10.0,3,101.4,77.4,24,0.528,54,0.48100000000000004,26,0.574,31,0.742,23,3,200,109.6,33.3,11,18,80,,9.6,7,0.389,21,0.23800000000000002,5,54.7,35,0.5820000000000001,17.1,14,33,0.636,21,0.667,6,"Gentry Center Complex, Nashville, Tennessee",CHICAGO-STATE,Chicago State,72.9,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc,8,True,False,True,Home,True,5,21,54,35,64,13,10,56,1,0,67,159,459,0.565359477124183,281,505,0.5564356435643565,53,125,455,0.4494505494505495,0.625
9,2019-12-10-19-arkansas-little-rock,42.9,9,12.5,5,110.3,75.0,21,0.431,58,0.36200000000000004,21,0.466,27,0.444,12,4,200,79.5,33.3,13,28,62,,12.8,10,0.466,27,0.29600000000000004,8,50.7,34,0.43799999999999994,22.3,20,31,0.419,13,0.6,6,"December 10, 2019",55.2,16,22.6,7,79.5,66.7,26,0.602,54,0.537,29,0.593,32,0.6559999999999999,21,5,200,110.3,25.0,7,19,86,,12.8,10,0.259,14,0.5,7,49.3,33,0.621,18.1,15,40,0.55,22,0.545,6,"Jack Stephens Center, Little Rock, Arkansas",TENNESSEE-STATE,Tennessee State,77.5,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Tennessee State,ovc,9,False,False,False,Away,False,8,13,58,34,67,7,22,54,0,1,72,180,513,0.5614035087719298,316,569,0.5553602811950791,66,135,511,0.4579256360078278,0.6666666666666666
