,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,UTAH-VALLEY_homegame,UTAH-VALLEY_homegame2,UTAH-VALLEY_home,UTAH-VALLEY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-07-16-southern-utah,38.5,10,15.2,7,93.6,61.5,24,0.545,55,0.473,26,0.309,17,0.706,12,7,200,92.3,12.9,4,28,72,,10.3,8,0.364,20,0.4,8,40.0,28,0.5710000000000001,20.4,16,35,0.514,18,0.364,4,"December 7, 2019",28.6,6,8.6,3,92.3,87.1,27,0.379,62,0.33899999999999997,21,0.516,32,0.813,26,4,200,93.6,38.5,15,20,73,,10.3,8,0.258,16,0.313,5,60.0,42,0.473,19.1,18,46,0.348,16,0.556,5,"Centrum, Cedar City, Utah",UTAH-VALLEY,Utah Valley,77.6,Home,SOUTHERN-UTAH,Southern Utah,Utah Valley,wac,10,False,False,False,Away,False,8,18,55,28,70,5,16,62,0,1,75,185,606,0.4909240924092409,349,685,0.5094890510948905,48,209,598,0.4698996655518395,0.4
11,2019-12-14-21-utah-valley,42.9,12,14.6,6,96.1,65.8,25,0.525,60,0.467,28,0.35,21,0.762,16,2,200,103.9,12.5,4,20,79,,11.8,9,0.25,15,0.467,7,41.4,29,0.564,12.6,10,45,0.467,21,0.7140000000000001,5,"December 14, 2019",60.0,15,13.3,6,103.9,87.5,28,0.483,58,0.431,25,0.44799999999999995,26,0.654,17,8,200,96.1,34.2,13,16,73,,3.9,3,0.293,17,0.353,6,58.6,41,0.519,21.5,19,41,0.46299999999999997,19,0.33299999999999996,4,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,76.2,Away,NORTHERN-ARIZONA,Northern Arizona,Utah Valley,wac,11,False,True,True,Home,False,6,19,58,41,70,7,21,60,0,1,83,203,661,0.4954614220877458,377,755,0.4993377483443709,53,225,660,0.4613636363636364,0.3636363636363637
12,2019-12-18-21-wyoming,34.8,8,9.7,3,106.3,86.4,19,0.531,49,0.469,23,0.3670000000000001,18,0.9440000000000001,17,8,200,109.5,15.4,4,18,69,,9.5,6,0.306,15,0.4,6,47.9,23,0.599,12.3,8,34,0.5,17,0.385,5,"December 18, 2019",44.0,11,5.9,2,109.5,84.6,22,0.5579999999999999,52,0.48100000000000004,25,0.25,13,0.6920000000000001,9,9,200,106.3,13.6,3,19,67,,3.2,2,0.40399999999999997,21,0.381,8,52.1,25,0.5760000000000001,14.8,10,31,0.5479999999999999,17,0.25,3,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,63.4,Away,UTAH-VALLEY,Utah Valley,Utah Valley,wac,12,False,False,False,Away,True,6,17,49,23,48,8,17,52,1,0,89,222,719,0.4944367176634214,418,825,0.5066666666666667,60,246,720,0.4666666666666667,0.3333333333333333
13,2019-12-21-19-long-beach-state,45.8,11,14.6,6,93.2,77.1,27,0.425,67,0.358,24,0.209,14,0.5710000000000001,8,9,200,89.0,31.7,13,16,65,,4.1,3,0.478,32,0.281,9,52.6,40,0.441,17.0,15,35,0.429,15,0.35700000000000004,5,"December 21, 2019",40.0,10,22.9,8,89.0,68.3,28,0.475,60,0.41700000000000004,25,0.25,15,0.733,11,9,200,93.2,22.9,8,17,68,,5.5,4,0.317,19,0.368,7,47.4,36,0.507,15.3,12,41,0.439,18,0.308,4,"The Walter Pyramid, Long Beach, California",UTAH-VALLEY,Utah Valley,73.4,Home,LONG-BEACH-STATE,Long Beach State,Utah Valley,wac,13,False,False,False,Away,False,9,15,67,40,76,7,18,60,0,1,95,239,768,0.4967447916666667,441,873,0.5051546391752577,68,263,772,0.4727979274611399,0.38461538461538464
14,2019-12-28-17-utah-valley,60.0,15,3.3,1,100.0,84.4,27,0.431,65,0.385,25,0.16899999999999998,11,0.818,9,0,200,81.3,23.1,9,22,65,,12.5,10,0.4,26,0.231,6,50.7,36,0.46299999999999997,21.4,19,39,0.48700000000000004,19,0.0,0,"December 28, 2019",76.9,20,10.3,4,81.3,76.9,30,0.588,51,0.51,26,0.588,30,0.667,20,9,200,100.0,15.6,5,14,80,,11.3,9,0.41200000000000003,21,0.381,8,49.3,35,0.613,22.8,19,30,0.6,18,0.4,6,"UCCU Center, Orem, Utah","Antelope Valley
			","Antelope Valley
			",79.7,Home,UTAH-VALLEY,Utah Valley,Utah Valley,wac,14,True,False,True,Home,True,8,18,51,35,71,6,19,65,1,0,104,254,835,0.4910179640718562,481,949,0.5068493150684932,75,281,832,0.4729567307692308,0.35714285714285715
15,2020-01-02-20-chicago-state,57.1,20,7.3,3,100.0,78.9,30,0.693,57,0.614,35,0.456,26,0.5770000000000001,15,9,200,128.8,17.9,5,20,94,,6.8,5,0.298,17,0.529,9,53.0,35,0.6779999999999999,9.3,7,40,0.65,26,0.43799999999999994,7,"January 2, 2020",39.1,9,7.5,3,128.8,82.1,23,0.4320000000000001,59,0.39,23,0.475,28,0.7859999999999999,22,12,200,100.0,21.1,8,22,73,,5.5,4,0.305,18,0.278,5,47.0,31,0.505,12.3,10,41,0.439,18,0.25,4,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",CHICAGO-STATE,Chicago State,72.8,Away,UTAH-VALLEY,Utah Valley,Utah Valley,wac,15,False,False,False,Away,True,9,26,57,35,66,5,18,59,1,0,112,272,886,0.4966139954853273,516,1020,0.5058823529411764,81,300,897,0.4698996655518395,0.4
16,2020-01-04-20-missouri-kansas-city,36.8,7,19.4,7,91.9,74.2,23,0.382,55,0.345,19,0.473,26,0.8079999999999999,21,10,200,85.1,28.1,9,21,63,,10.8,8,0.345,19,0.21100000000000002,4,50.8,32,0.46799999999999997,20.4,17,36,0.41700000000000004,15,0.41200000000000003,7,"January 4, 2020",54.5,12,13.9,5,85.1,71.9,23,0.48100000000000004,53,0.415,22,0.491,26,0.654,17,7,200,91.9,25.8,8,19,68,,9.5,7,0.321,17,0.41200000000000003,7,49.2,31,0.52,18.9,15,36,0.41700000000000004,15,0.562,9,"Swinney Recreation Center, Kansas City, Missouri",UTAH-VALLEY,Utah Valley,73.9,Home,MISSOURI-KANSAS-CITY,UMKC,Utah Valley,wac,16,False,False,False,Away,False,4,15,55,32,63,7,15,53,0,1,121,298,943,0.5084835630965006,551,1086,0.507366482504604,86,318,956,0.4675732217573222,0.4375
17,2020-01-11-22-seattle,38.5,5,10.3,4,116.9,61.3,19,0.27899999999999997,52,0.25,13,0.48100000000000004,25,0.84,21,11,200,70.4,29.4,10,16,50,,7.0,5,0.385,20,0.15,3,44.6,29,0.391,22.2,18,32,0.313,10,0.389,7,"January 11, 2020",50.0,15,21.9,7,70.4,70.6,24,0.5379999999999999,66,0.455,30,0.242,16,0.75,12,9,200,116.9,38.7,12,25,83,,9.9,7,0.409,27,0.40700000000000003,11,55.4,36,0.564,11.0,9,39,0.48700000000000004,19,0.5,9,"Connolly Center, Seattle, Washington",UTAH-VALLEY,Utah Valley,71.2,Home,SEATTLE,Seattle,Utah Valley,wac,17,False,False,False,Away,False,3,10,52,29,65,11,19,66,0,1,125,313,998,0.501503006012024,583,1149,0.5073977371627503,93,333,1009,0.4682854311199207,0.4117647058823529
18,2020-01-16-21-utah-valley,72.7,16,9.1,3,84.8,81.3,26,0.561,49,0.449,22,0.34700000000000003,17,0.882,15,6,200,106.1,22.2,6,16,70,,10.6,7,0.5920000000000001,29,0.379,11,54.2,32,0.613,21.0,15,20,0.55,11,0.684,13,"January 16, 2020",71.4,15,10.0,2,106.1,77.8,21,0.452,52,0.40399999999999997,21,0.26899999999999996,14,0.643,9,12,200,84.8,18.8,6,18,56,,9.1,6,0.365,19,0.263,5,45.8,27,0.47700000000000004,18.3,13,33,0.485,16,0.368,7,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,65.9,Away,NEW-MEXICO-STATE,New Mexico State,Utah Valley,wac,18,False,True,True,Home,False,5,16,52,27,59,11,11,49,0,1,128,323,1050,0.4904761904761905,612,1214,0.5041186161449753,104,352,1075,0.4725581395348837,0.3888888888888889
19,2020-01-18-16-utah-valley,61.5,16,6.9,2,105.9,70.4,19,0.46,63,0.413,26,0.27,17,0.706,12,12,200,102.9,23.1,9,22,70,,10.3,7,0.302,19,0.316,6,42.4,28,0.4920000000000001,6.6,5,44,0.455,20,0.33299999999999996,6,"January 18, 2020",61.9,13,13.6,6,102.9,76.9,30,0.47,50,0.42,21,0.62,31,0.8059999999999999,25,12,200,105.9,29.6,8,15,72,,1.5,1,0.42,21,0.23800000000000002,5,57.6,38,0.556,15.9,12,29,0.552,16,0.4,8,"UCCU Center, Orem, Utah",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,67.9,Home,UTAH-VALLEY,Utah Valley,Utah Valley,wac,19,True,False,True,Home,True,5,16,50,38,66,6,20,63,1,0,133,339,1102,0.4886569872958258,639,1273,0.5019638648860958,115,363,1124,0.476423487544484,0.3684210526315789
20,2020-01-23-22-cal-state-bakersfield,42.1,8,13.5,7,75.3,69.6,32,0.396,53,0.358,19,0.491,26,0.5770000000000001,15,13,225,74.0,21.6,8,18,57,,13.0,10,0.34,18,0.222,4,48.2,40,0.436,20.9,17,35,0.429,15,0.381,8,"January 23, 2020",22.7,5,14.3,5,74.0,78.4,29,0.34600000000000003,68,0.324,22,0.27899999999999997,19,0.579,11,10,225,75.3,30.4,14,21,58,,6.5,5,0.235,16,0.188,3,51.8,43,0.377,17.3,16,52,0.365,19,0.5,10,"Icardo Center, Bakersfield, California",UTAH-VALLEY,Utah Valley,68.2,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Utah Valley,wac,20,False,False,False,Away,False,4,15,53,40,83,3,19,68,0,1,138,355,1152,0.4878472222222222,677,1339,0.5056011949215833,121,383,1187,0.4755686604886268,0.4
21,2020-01-25-20-grand-canyon,50.0,14,17.9,7,98.6,76.9,30,0.5529999999999999,57,0.491,28,0.40399999999999997,23,0.435,10,13,200,104.3,15.6,5,20,73,,10.0,7,0.40399999999999997,23,0.304,7,49.3,35,0.537,6.9,5,34,0.618,21,0.409,9,"January 25, 2020",54.2,13,2.9,1,104.3,84.4,27,0.433,60,0.4,24,0.4,24,0.708,17,12,200,98.6,23.1,9,16,69,,1.4,1,0.35,21,0.19,4,50.7,36,0.483,11.3,9,39,0.513,20,0.4,8,"Grand Canyon University Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,69.7,Away,UTAH-VALLEY,Utah Valley,Utah Valley,wac,21,False,False,False,Away,True,7,21,57,35,71,4,20,60,1,0,142,370,1205,0.4838174273858921,717,1422,0.5042194092827004,124,402,1255,0.4685258964143426,0.3809523809523809
22,2020-01-29-21-utah-valley,40.0,10,14.9,7,95.3,72.2,26,0.451,61,0.41,25,0.23,14,0.7140000000000001,10,6,200,101.6,29.7,11,17,65,,4.7,3,0.27899999999999997,17,0.294,5,50.7,37,0.48,9.4,7,44,0.455,20,0.7140000000000001,15,"January 29, 2020",80.0,20,13.6,6,101.6,70.3,26,0.44799999999999995,58,0.431,25,0.259,15,0.6,9,14,200,95.3,27.8,10,16,61,,4.7,3,0.19,11,0.182,2,49.3,36,0.46799999999999997,13.4,10,47,0.489,23,0.391,9,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,64.4,Away,CALIFORNIA-BAPTIST,California Baptist,Utah Valley,wac,22,False,True,True,Home,False,2,23,58,36,73,5,20,61,0,1,149,391,1262,0.4869255150554675,752,1493,0.5036838580040187,128,422,1315,0.4669201520912548,0.4090909090909091
23,2020-02-08-16-utah-valley,46.4,13,13.5,5,100.0,77.1,27,0.4920000000000001,63,0.444,28,0.556,35,0.7140000000000001,25,12,225,102.4,25.0,10,25,87,,9.4,8,0.20600000000000002,13,0.462,6,49.3,37,0.546,16.1,15,50,0.44,22,0.5,12,"February 8, 2020",82.8,24,12.0,6,102.4,75.0,30,0.541,61,0.475,29,0.44299999999999995,27,0.7040000000000001,19,15,225,100.0,22.9,8,27,85,,10.6,9,0.39299999999999996,24,0.33299999999999996,8,50.7,38,0.5760000000000001,21.5,20,37,0.568,21,0.375,9,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,75.8,Away,SEATTLE,Seattle,Utah Valley,wac,23,False,True,True,Home,False,8,21,61,38,75,6,22,63,0,1,151,414,1320,0.4852272727272727,788,1566,0.5031928480204342,133,442,1376,0.4662063953488372,0.39130434782608703
24,2020-02-13-20-texas-pan-american,64.3,18,4.1,2,102.6,65.6,21,0.517,60,0.467,28,0.317,19,0.526,10,16,200,92.3,20.0,7,17,72,,7.7,6,0.317,19,0.316,6,41.8,28,0.522,19.0,16,41,0.537,22,0.36,9,"February 13, 2020",57.1,16,4.9,2,92.3,80.0,28,0.46799999999999997,62,0.452,28,0.40299999999999997,25,0.88,22,14,200,102.6,34.4,11,22,80,,12.8,10,0.21,13,0.154,2,58.2,39,0.541,17.0,15,49,0.531,26,0.41700000000000004,10,"UTRGV Fieldhouse, Edinburg, Texas",UTAH-VALLEY,Utah Valley,78.0,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Utah Valley,wac,24,False,False,False,Away,False,6,22,60,28,67,2,26,62,0,1,159,435,1381,0.4876900796524258,826,1641,0.5033516148689823,139,464,1439,0.4673384294649062,0.375
25,2020-02-15-18-new-mexico-state,53.3,16,3.1,1,131.3,60.0,15,0.644,52,0.5770000000000001,30,0.34600000000000003,18,0.833,15,17,200,128.1,23.8,5,17,82,,10.9,7,0.385,20,0.35,7,43.5,20,0.677,13.1,9,32,0.7190000000000001,23,0.34600000000000003,9,"February 15, 2020",56.7,17,3.1,1,128.1,76.2,16,0.6729999999999999,52,0.5770000000000001,30,0.40399999999999997,21,0.667,14,6,200,131.3,40.0,10,17,84,,10.9,7,0.385,20,0.5,10,56.5,26,0.6779999999999999,16.4,12,32,0.625,20,0.778,21,"Pan American Center, Las Cruces, New Mexico",UTAH-VALLEY,Utah Valley,64.3,Home,NEW-MEXICO-STATE,New Mexico State,Utah Valley,wac,25,False,False,False,Away,False,7,23,52,20,46,10,20,52,0,1,165,457,1441,0.4888965995836225,854,1708,0.5,141,490,1501,0.4673550966022652,0.36
26,2020-02-20-21-utah-valley,18.2,4,5.9,2,104.3,80.8,21,0.39299999999999996,61,0.361,22,0.24600000000000002,15,0.667,10,16,200,84.1,33.3,13,19,58,,8.7,6,0.27899999999999997,17,0.235,4,52.3,34,0.426,17.2,14,44,0.409,18,0.40700000000000003,11,"February 20, 2020",66.7,16,6.8,3,84.1,66.7,26,0.55,50,0.48,24,0.44,22,0.773,17,17,200,104.3,19.2,5,14,72,,13.0,9,0.32,16,0.43799999999999994,7,47.7,31,0.596,17.9,13,34,0.5,17,0.37,10,"UCCU Center, Orem, Utah",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,68.8,Home,UTAH-VALLEY,Utah Valley,Utah Valley,wac,26,True,False,True,Home,True,7,17,50,31,65,4,18,61,1,0,172,480,1493,0.4943067649028801,874,1754,0.4982896237172178,151,510,1553,0.474243399871217,0.3461538461538461
