,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-AT_homegame,NORTH-CAROLINA-AT_homegame2,NORTH-CAROLINA-AT_home,NORTH-CAROLINA-AT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-north-carolina-greensboro,53.3,8,13.8,4,118.6,63.2,24,0.37,46,0.326,15,0.565,26,0.615,16,1,200,71.4,23.5,8,22,50,,8.6,6,0.37,17,0.235,4,44.4,32,0.428,23.9,18,29,0.379,11,0.0,0,"November 5, 2019",63.0,17,20.7,6,71.4,76.5,26,0.516,63,0.429,27,0.429,27,0.667,18,0,200,118.6,36.8,14,20,83,,17.1,12,0.54,34,0.324,11,55.6,40,0.547,11.8,10,29,0.552,16,1.0,1,"Greensboro Coliseum, Greensboro, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,70.1,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,North Carolina A&T,meac,0,False,False,False,Away,False,4,11,46,32,72,11,16,63,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-north-carolina-at,40.0,8,7.7,3,81.8,72.2,26,0.33299999999999996,66,0.303,20,0.242,16,0.313,5,1,200,63.6,35.6,16,21,49,,10.4,8,0.39399999999999996,26,0.154,4,51.9,42,0.33299999999999996,22.3,21,40,0.4,16,0.5,1,"November 8, 2019",56.0,14,10.0,4,63.6,64.4,29,0.509,53,0.47200000000000003,25,0.396,21,0.429,9,1,200,81.8,27.8,10,19,63,,14.3,11,0.264,14,0.28600000000000003,4,48.1,39,0.5,27.0,23,39,0.5379999999999999,21,0.5,1,"Ellis Corbett Sports Center, Greensboro, North Carolina",CHARLESTON-SOUTHERN,Charleston Southern,77.3,Home,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,1,True,False,True,Home,True,4,21,53,39,81,4,16,66,1,0,4,11,46,0.3695652173913043,32,72,0.4444444444444444,11,16,63,0.5158730158730159,0.0
2,2019-11-12-19-western-carolina,37.0,10,4.3,1,118.4,63.6,14,0.431,65,0.415,27,0.231,15,0.5329999999999999,8,2,200,84.2,26.2,11,18,64,,13.2,10,0.215,14,0.14300000000000002,2,39.1,25,0.444,18.3,16,51,0.49,25,0.33299999999999996,1,"November 12, 2019",63.3,19,2.0,1,84.2,73.8,31,0.735,51,0.588,30,0.431,22,0.682,15,1,200,118.4,36.4,8,14,90,,7.9,6,0.5489999999999999,28,0.536,15,60.9,39,0.732,25.7,21,23,0.652,15,0.667,2,"Ramsey Center, Cullowhee, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,75.8,Home,WESTERN-CAROLINA,Western Carolina,North Carolina A&T,meac,2,False,False,False,Away,False,2,25,65,25,64,15,15,51,0,1,8,32,99,0.4444444444444444,71,153,0.4640522875816994,15,32,129,0.4224806201550387,0.5
3,2019-11-15-21-utah-state,42.9,9,10.8,4,112.5,65.4,17,0.408,60,0.35,21,0.183,11,0.455,5,3,200,75.0,19.5,8,25,54,,13.9,10,0.33299999999999996,20,0.35,7,37.3,25,0.414,17.8,14,40,0.35,14,0.25,1,"November 15, 2019",75.9,22,12.5,5,75.0,80.5,33,0.606,52,0.5579999999999999,29,0.5770000000000001,30,0.6,18,0,200,112.5,34.6,9,13,81,17.0,6.9,5,0.28800000000000003,15,0.33299999999999996,5,62.7,42,0.611,18.7,15,37,0.649,24,1.0,4,"Dee Glen Smith Spectrum, Logan, Utah",NORTH-CAROLINA-AT,North Carolina A&T,71.7,Home,UTAH-STATE,Utah State,North Carolina A&T,meac,3,False,False,False,Away,False,7,14,60,25,67,5,24,52,0,1,10,57,164,0.4390243902439024,96,217,0.4423963133640553,30,47,180,0.5111111111111111,0.3333333333333333
4,2019-11-19-20-north-texas,47.6,10,18.5,5,117.6,77.3,17,0.42200000000000004,51,0.41200000000000003,21,0.47100000000000003,24,0.708,17,4,200,88.2,25.8,8,22,60,,8.8,6,0.11800000000000001,6,0.16699999999999998,1,47.2,25,0.48100000000000004,19.6,15,45,0.444,20,0.2,1,"November 19, 2019",38.5,10,17.8,8,88.2,74.2,23,0.6559999999999999,48,0.542,26,0.563,27,0.63,17,3,200,117.6,22.7,5,19,80,,13.2,9,0.43799999999999994,21,0.524,11,52.8,28,0.6579999999999999,14.3,10,27,0.556,15,0.4,2,"UNT Coliseum, Denton, Texas",NORTH-CAROLINA-AT,North Carolina A&T,67.6,Home,NORTH-TEXAS,North Texas,North Carolina A&T,meac,4,False,False,False,Away,False,1,20,51,25,53,11,15,48,0,1,17,71,224,0.43080357142857145,121,284,0.426056338028169,35,71,232,0.5323275862068966,0.25
5,2019-11-22-11-nicholls-state,55.0,11,10.8,4,76.1,70.0,28,0.525,40,0.5,20,0.825,33,0.727,24,4,200,93.0,40.9,9,22,66,,14.1,10,0.1,4,0.5,2,59.7,37,0.593,27.8,21,36,0.5,18,0.33299999999999996,2,"November 22, 2019",22.2,4,8.3,3,93.0,59.1,13,0.32799999999999996,61,0.295,18,0.32799999999999996,20,0.7,14,4,200,76.1,30.0,12,22,54,,12.7,9,0.39299999999999996,24,0.16699999999999998,4,40.3,25,0.38299999999999995,17.7,15,37,0.37799999999999995,14,0.33299999999999996,2,"Montego Bay Convention Centre, Montego Bay",NICHOLLS-STATE,Nicholls State,70.6,Away,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,5,False,False,False,Away,True,2,18,40,37,62,4,14,61,1,0,18,91,275,0.4290909090909091,146,337,0.4332344213649852,46,86,280,0.5535714285714286,0.2
6,2019-11-24-12-eastern-michigan,57.1,12,11.1,3,86.6,84.6,22,0.479,48,0.43799999999999994,21,0.43799999999999994,21,0.381,8,5,200,80.6,28.6,8,25,54,,13.4,9,0.396,19,0.21100000000000002,4,55.6,30,0.466,21.8,16,29,0.586,17,0.28600000000000003,2,"November 24, 2019",37.5,6,3.4,1,80.6,71.4,20,0.462,39,0.41,16,0.795,31,0.71,22,0,200,86.6,15.4,4,19,58,,14.9,10,0.308,12,0.33299999999999996,4,44.4,24,0.54,26.5,19,27,0.444,12,1.0,6,"Montego Bay Convention Centre, Montego Bay",NORTH-CAROLINA-AT,North Carolina A&T,67.4,Home,EASTERN-MICHIGAN,Eastern Michigan,North Carolina A&T,meac,6,False,False,False,Away,False,4,17,48,30,54,4,12,39,0,1,20,109,315,0.4412698412698413,183,399,0.4586466165413534,50,100,341,0.5131964809384164,0.3333333333333333
7,2019-11-30-14-north-carolina-at,54.5,12,4.9,2,71.4,73.2,30,0.46299999999999997,54,0.40700000000000003,22,0.278,15,0.733,11,5,200,96.8,22.6,7,11,61,,11.1,7,0.426,23,0.261,6,51.4,37,0.499,11.7,8,31,0.516,16,0.444,4,"November 30, 2019",27.8,5,6.5,2,96.8,77.4,24,0.32,61,0.295,18,0.14800000000000002,9,0.667,6,6,200,71.4,26.8,11,14,45,,6.3,4,0.32799999999999996,20,0.15,3,48.6,35,0.345,13.3,10,41,0.366,15,0.25,2,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,63.2,Away,JACKSONVILLE,Jacksonville,North Carolina A&T,meac,7,False,True,True,Home,False,3,15,61,35,72,6,16,54,0,1,24,126,363,0.4462809917355372,213,453,0.4701986754966888,54,112,380,0.5078947368421053,0.2857142857142857
8,2019-12-04-19-north-carolina-at,46.7,7,3.6,1,75.4,86.7,26,0.3670000000000001,49,0.306,15,0.306,15,0.33299999999999996,5,5,200,59.4,16.7,6,22,41,,8.7,6,0.551,27,0.222,6,48.5,32,0.365,24.5,18,22,0.409,9,0.444,4,"December 4, 2019",68.4,13,13.6,3,59.4,83.3,30,0.429,49,0.38799999999999996,19,0.429,21,0.47600000000000003,10,6,200,75.4,13.3,4,16,52,,8.7,6,0.429,21,0.19,4,51.5,34,0.441,19.4,14,28,0.536,15,0.33299999999999996,3,"Ellis Corbett Sports Center, Greensboro, North Carolina",LONGWOOD,Longwood,68.6,Home,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,8,True,False,True,Home,True,4,15,49,34,66,6,9,49,1,0,27,141,424,0.42806603773584906,248,525,0.4723809523809524,60,128,434,0.5023041474654378,0.25
9,2019-12-07-14-bradley,78.6,11,7.1,3,122.1,62.5,15,0.313,56,0.25,14,0.33899999999999997,19,0.895,17,7,200,76.5,35.1,13,19,52,,7.4,5,0.536,30,0.233,7,45.9,28,0.4,18.9,15,26,0.26899999999999996,7,0.3,3,"December 7, 2019",66.7,20,15.4,4,76.5,64.9,24,0.589,56,0.536,30,0.375,21,0.81,17,3,200,122.1,37.5,9,17,83,,7.4,5,0.25,14,0.429,6,54.1,33,0.629,14.4,11,42,0.5710000000000001,24,0.667,6,"Carver Arena, Peoria, Illinois",NORTH-CAROLINA-AT,North Carolina A&T,67.5,Home,BRADLEY,Bradley,North Carolina A&T,meac,9,False,False,False,Away,False,7,7,56,28,61,6,24,56,0,1,31,156,473,0.4281183932346723,282,591,0.4771573604060914,66,137,483,0.4886128364389234,0.3333333333333333
