,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PITTSBURGH_homegame,PITTSBURGH_homegame2,PITTSBURGH_home,PITTSBURGH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-pittsburgh,28.6,6,24.0,6,95.5,67.6,23,0.45299999999999996,53,0.396,21,0.28300000000000003,15,0.867,13,1,200,92.4,30.0,9,27,61,,6.1,4,0.377,20,0.3,6,50.0,32,0.507,20.1,15,33,0.455,15,0.0,0,"November 6, 2019",68.8,11,3.0,1,92.4,70.0,21,0.402,51,0.314,16,0.608,31,0.71,22,0,200,95.5,32.4,11,16,63,,7.6,5,0.51,26,0.34600000000000003,9,50.0,32,0.479,15.7,12,25,0.28,7,1.0,1,"Petersen Events Center, Pittsburgh, Pennsylvania",FLORIDA-STATE,Florida State,66.4,Home,PITTSBURGH,Pitt,Pittsburgh,acc,0,True,False,True,Home,True,9,7,51,32,64,6,15,53,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-12-pittsburgh,51.9,14,12.5,5,97.2,55.2,16,0.5,65,0.415,27,0.2,13,0.769,10,1,200,104.2,43.2,16,19,75,,15.3,11,0.369,24,0.45799999999999996,11,48.5,32,0.527,19.4,17,41,0.39,16,0.5,1,"November 9, 2019",42.9,12,19.5,8,104.2,56.8,21,0.536,56,0.5,28,0.321,18,0.556,10,1,200,97.2,44.8,13,12,70,,9.7,7,0.28600000000000003,16,0.25,4,51.5,34,0.542,23.8,20,40,0.6,24,0.5,1,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,71.9,Away,NICHOLLS-STATE,Nicholls State,Pittsburgh,acc,1,False,True,True,Home,False,4,24,56,34,66,11,16,65,0,1,9,7,51,0.4019607843137255,32,64,0.5,6,15,53,0.4528301886792453,1.0
2,2019-11-12-18-robert-morris,59.1,13,13.2,5,87.7,81.3,26,0.49,50,0.44,22,0.54,27,0.815,22,1,200,109.2,38.5,10,11,71,,10.8,7,0.24,12,0.41700000000000004,5,62.1,36,0.565,15.1,11,38,0.447,17,0.667,2,"November 12, 2019",72.7,16,7.9,3,109.2,61.5,16,0.44,58,0.379,22,0.10300000000000001,6,1.0,6,3,200,87.7,18.8,6,19,57,,7.7,5,0.345,20,0.35,7,37.9,22,0.46799999999999997,15.4,11,38,0.395,15,0.0,0,"UPMC Events Center, Moon, Pennsylvania",ROBERT-MORRIS,Robert Morris,64.8,Away,PITTSBURGH,Pitt,Pittsburgh,acc,2,False,False,False,Away,True,5,17,50,36,58,7,15,58,1,0,13,31,107,0.4719626168224299,66,130,0.5076923076923077,17,31,118,0.4788135593220339,0.5
3,2019-11-15-19-pittsburgh,56.5,13,11.6,5,80.3,76.7,33,0.45,60,0.38299999999999995,23,0.317,19,0.737,14,0,200,103.0,47.4,18,27,68,,6.1,4,0.38299999999999995,23,0.348,8,63.0,51,0.493,14.9,12,37,0.405,15,1.0,2,"November 15, 2019",50.0,8,2.7,1,103.0,52.6,20,0.309,55,0.29100000000000004,16,0.564,31,0.613,19,2,200,80.3,23.3,10,21,53,,9.1,6,0.218,12,0.16699999999999998,2,37.0,30,0.38,12.7,10,43,0.326,14,0.5,2,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,66.4,Away,WEST-VIRGINIA,West Virginia,Pittsburgh,acc,3,False,True,True,Home,False,2,14,55,30,81,8,15,60,0,1,18,48,157,0.4777070063694268,102,188,0.5425531914893617,24,46,176,0.4659090909090909,0.6666666666666666
4,2019-11-18-19-pittsburgh,73.7,14,12.5,4,98.4,59.3,16,0.42200000000000004,51,0.373,19,0.157,8,0.875,7,4,200,78.1,24.1,7,22,50,,12.5,8,0.353,18,0.278,5,41.1,23,0.456,21.6,15,33,0.424,14,0.2,1,"November 18, 2019",68.4,13,6.1,2,78.1,75.9,22,0.43799999999999994,48,0.396,19,0.542,26,0.8079999999999999,21,2,200,98.4,40.7,11,12,63,,6.3,4,0.33299999999999996,16,0.25,4,58.9,33,0.522,20.2,15,32,0.469,15,0.6,3,"Petersen Events Center, Pittsburgh, Pennsylvania",MONMOUTH,Monmouth,63.6,Home,PITTSBURGH,Pitt,Pittsburgh,acc,4,True,False,True,Home,True,4,15,48,33,56,5,14,51,1,0,20,62,212,0.4339622641509434,132,269,0.4907063197026023,32,61,236,0.461864406779661,0.5
5,2019-11-21-19-pittsburgh,80.0,12,5.3,2,103.1,69.4,25,0.37,46,0.326,15,0.217,10,0.7,7,5,200,64.1,29.6,8,15,41,,6.3,4,0.304,14,0.28600000000000003,4,52.4,33,0.40399999999999997,30.4,22,32,0.344,11,0.0,0,"November 21, 2019",65.4,17,0.0,0,64.1,70.4,19,0.467,61,0.426,26,0.262,16,0.563,9,2,200,103.1,30.6,11,11,66,,23.4,15,0.377,23,0.217,5,47.6,30,0.48100000000000004,8.1,6,38,0.5529999999999999,21,0.667,4,"Petersen Events Center, Pittsburgh, Pennsylvania",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,64.2,Home,PITTSBURGH,Pitt,Pittsburgh,acc,5,True,False,True,Home,True,5,21,61,30,63,4,11,46,1,0,24,77,260,0.4346153846153846,165,325,0.5076923076923077,37,75,287,0.4547038327526132,0.6
6,2019-11-25-18-kansas-state,9.1,2,15.8,6,85.5,73.0,27,0.479,47,0.46799999999999997,22,0.447,21,0.857,18,2,200,91.3,36.4,8,18,63,,5.8,4,0.34,16,0.063,1,59.3,35,0.5529999999999999,27.2,21,31,0.677,21,0.7140000000000001,5,"November 25, 2019",52.2,12,3.2,1,91.3,63.6,14,0.483,58,0.397,23,0.22399999999999998,13,0.231,3,1,200,85.5,27.0,10,24,59,,14.5,10,0.345,20,0.5,10,40.7,24,0.46,16.9,13,38,0.342,13,0.8,4,"Suncoast Credit Union Arena, Fort Myers, Florida",KANSAS-STATE,Kansas State,68.6,Away,PITTSBURGH,Pitt,Pittsburgh,acc,6,False,False,False,Away,True,1,21,47,35,59,10,13,58,1,0,29,98,321,0.440809968847352,195,388,0.5025773195876289,41,86,333,0.44294294294294295,0.6666666666666666
7,2019-11-27-20-northwestern,48.3,14,3.3,1,83.1,93.3,28,0.5,65,0.446,29,0.185,12,0.583,7,2,200,101.4,21.2,7,13,72,,7.0,5,0.385,25,0.28,7,55.6,35,0.509,11.4,9,40,0.55,22,0.75,6,"November 27, 2019",31.6,6,7.5,3,101.4,78.8,26,0.433,52,0.365,19,0.308,16,0.875,14,3,200,83.1,6.7,2,16,59,,2.8,2,0.423,22,0.318,7,44.4,28,0.495,16.9,12,30,0.4,12,0.5,3,"Suncoast Credit Union Arena, Fort Myers, Florida",NORTHWESTERN,Northwestern,71.2,Away,PITTSBURGH,Pitt,Pittsburgh,acc,7,False,False,False,Away,True,7,22,65,35,63,7,12,52,1,0,30,119,368,0.44565217391304346,230,447,0.5145413870246085,51,99,391,0.4488491048593351,0.7142857142857143
8,2019-12-03-21-pittsburgh,36.0,9,4.8,2,102.9,72.7,24,0.45,60,0.41700000000000004,25,0.16699999999999998,10,0.6,6,2,200,87.0,44.4,16,20,60,,8.7,6,0.38299999999999995,23,0.174,4,58.0,40,0.46299999999999997,23.7,20,37,0.568,21,0.75,6,"December 3, 2019",66.7,18,13.5,5,87.0,55.6,20,0.509,58,0.466,27,0.293,17,0.706,12,2,200,102.9,27.3,9,16,71,,13.0,9,0.276,16,0.313,5,42.0,29,0.537,15.5,12,42,0.524,22,0.778,7,"Petersen Events Center, Pittsburgh, Pennsylvania",RUTGERS,Rutgers,68.9,Home,PITTSBURGH,Pitt,Pittsburgh,acc,8,True,False,True,Home,True,5,22,58,29,69,4,21,60,1,0,37,141,433,0.453810623556582,265,510,0.5196078431372549,58,111,443,0.4469525959367946,0.75
9,2019-12-06-21-louisville,50.0,10,4.3,1,110.3,70.4,19,0.406,53,0.377,20,0.113,6,0.5,3,3,200,79.3,27.3,9,16,46,,8.6,5,0.226,12,0.25,3,46.7,28,0.41200000000000003,17.7,12,41,0.415,17,0.7,7,"December 6, 2019",73.9,17,4.9,2,79.3,72.7,24,0.5820000000000001,49,0.469,23,0.204,10,0.7,7,0,200,110.3,29.6,8,12,64,1.0,5.2,3,0.531,26,0.423,11,53.3,32,0.595,18.3,12,23,0.522,12,1.0,9,"KFC Yum! Center, Louisville, Kentucky",PITTSBURGH,Pitt,58.3,Home,LOUISVILLE,Louisville,Pittsburgh,acc,9,False,False,False,Away,False,3,17,53,28,60,11,12,49,0,1,42,163,491,0.460285132382892,294,579,0.5077720207253886,62,132,503,0.4473161033797217,0.7777777777777778
