,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CANISIUS_homegame,CANISIUS_homegame2,CANISIUS_home,CANISIUS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-09-16-brown,47.6,10,4.2,1,98.7,68.8,22,0.45299999999999996,53,0.396,21,0.45299999999999996,24,0.833,20,1,200,89.5,27.3,9,26,68,,11.8,9,0.302,16,0.375,6,47.7,31,0.528,25.7,22,37,0.405,15,0.0,0,"November 9, 2019",52.2,12,2.7,1,89.5,72.7,24,0.519,54,0.426,23,0.46299999999999997,25,0.76,19,0,200,98.7,31.3,10,19,75,,11.8,9,0.556,30,0.33299999999999996,10,52.3,34,0.569,22.6,19,24,0.542,13,1.0,2,"Pizzitola Sports Center, Providence, Rhode Island",CANISIUS,Canisius,76.1,Home,BROWN,Brown,Canisius,maac,0,False,False,False,Away,False,6,15,53,31,65,10,13,54,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-13-19-albany-ny,60.0,12,5.6,2,116.9,72.7,16,0.379,58,0.345,20,0.31,18,0.722,13,2,200,80.3,22.2,8,17,57,,11.3,8,0.397,23,0.174,4,41.4,24,0.428,15.4,12,35,0.457,16,0.0,0,"November 13, 2019",48.4,15,11.4,4,80.3,77.8,28,0.627,55,0.564,31,0.345,19,0.737,14,1,200,116.9,27.3,6,18,83,,7.0,5,0.345,19,0.368,7,58.6,34,0.648,17.0,13,36,0.667,24,0.5,1,"SEFCU Arena, Albany, New York",CANISIUS,Canisius,70.8,Home,ALBANY-NY,Albany (NY),Canisius,maac,1,False,False,False,Away,False,4,16,58,24,58,7,24,55,0,1,6,15,53,0.4528301886792453,31,65,0.476923076923077,10,13,54,0.5185185185185185,0.0
2,2019-11-16-19-canisius,51.9,14,4.7,2,116.9,75.0,21,0.627,55,0.491,27,0.273,15,0.8,12,2,200,114.1,60.0,15,18,81,,9.9,7,0.545,30,0.5,15,67.9,36,0.652,27.2,23,25,0.48,12,0.5,2,"November 16, 2019",44.1,15,4.0,1,114.1,40.0,10,0.649,57,0.596,34,0.368,21,0.429,9,2,200,116.9,25.0,7,13,83,,14.1,10,0.24600000000000002,14,0.429,6,32.1,17,0.62,15.3,12,43,0.6509999999999999,28,0.33299999999999996,1,"Koessler Athletic Center, Buffalo, New York",BUCKNELL,Bucknell,71.1,Home,CANISIUS,Canisius,Canisius,maac,2,True,False,True,Home,True,6,28,57,17,53,15,12,55,1,0,10,31,111,0.4144144144144144,55,123,0.4471544715447153,17,37,109,0.5733944954128439,0.0
3,2019-11-23-14-canisius,16.7,3,13.3,4,96.8,42.9,12,0.415,47,0.38299999999999995,18,0.511,24,0.75,18,4,200,90.5,20.0,6,16,57,,15.9,10,0.255,12,0.25,3,31.0,18,0.488,18.4,13,35,0.429,15,0.2,1,"November 23, 2019",35.0,7,5.7,2,90.5,80.0,24,0.441,51,0.392,20,0.33299999999999996,17,0.941,16,2,200,96.8,57.1,16,16,61,,9.5,6,0.41200000000000003,21,0.23800000000000002,5,69.0,40,0.516,23.5,18,30,0.5,15,0.5,2,"Koessler Athletic Center, Buffalo, New York",ST-BONAVENTURE,St. Bonaventure,63.2,Home,CANISIUS,Canisius,Canisius,maac,3,True,False,True,Home,True,5,15,51,40,58,3,15,47,1,0,16,59,168,0.4940476190476191,72,176,0.4090909090909091,32,49,164,0.5914634146341463,0.3333333333333333
4,2019-11-26-20-illinois-chicago,82.4,28,6.9,2,77.1,87.2,34,0.68,61,0.557,34,0.311,19,0.579,11,2,200,113.3,31.0,9,32,94,,8.4,7,0.44299999999999995,27,0.556,15,63.2,43,0.6709999999999999,23.2,21,34,0.5589999999999999,19,0.6,3,"November 26, 2019",73.7,14,11.8,4,113.3,69.0,20,0.41200000000000003,51,0.373,19,0.765,39,0.564,22,5,200,77.1,12.8,5,20,64,,9.6,8,0.431,22,0.182,4,36.8,25,0.46,22.7,20,29,0.517,15,0.28600000000000003,2,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,83.3,Away,CANISIUS,Canisius,Canisius,maac,4,False,False,False,Away,True,15,19,61,43,68,4,15,51,1,0,21,74,219,0.4817351598173516,112,234,0.4786324786324786,35,64,211,0.5521327014218009,0.5
5,2019-12-01-12-canisius,54.2,13,2.4,1,108.6,62.1,18,0.449,59,0.40700000000000003,24,0.33899999999999997,20,0.65,13,4,200,94.3,32.3,10,19,66,,12.9,9,0.33899999999999997,20,0.25,5,46.7,28,0.48200000000000004,15.0,12,39,0.48700000000000004,19,0.5,4,"December 1, 2019",58.6,17,5.1,2,94.3,67.7,21,0.535,57,0.509,29,0.35100000000000003,20,0.75,15,2,200,108.6,37.9,11,20,76,,11.4,8,0.263,15,0.2,3,53.3,32,0.5710000000000001,16.5,13,42,0.619,26,0.667,4,"FAU Arena, Boca Raton, Florida",MERCER,Mercer,69.5,Home,CANISIUS,Canisius,Canisius,maac,5,True,False,True,Home,True,3,26,57,32,60,5,19,59,1,0,36,93,280,0.525,155,302,0.5132450331125827,39,79,262,0.5248091603053435,0.6
6,2019-12-02-14-hofstra,52.4,11,8.7,4,88.9,62.5,20,0.435,54,0.389,21,0.278,15,0.667,10,3,200,79.2,17.6,6,21,57,,12.5,9,0.35200000000000004,19,0.263,5,39.4,26,0.466,19.8,15,35,0.457,16,0.5710000000000001,4,"December 2, 2019",40.9,9,0.0,0,79.2,82.4,28,0.39299999999999996,61,0.361,22,0.27899999999999997,17,0.941,16,3,200,88.9,37.5,12,14,64,,11.1,8,0.24600000000000002,15,0.267,4,60.6,40,0.46299999999999997,19.9,17,46,0.391,18,0.667,6,"FAU Arena, Boca Raton, Florida",CANISIUS,Canisius,72.1,Home,HOFSTRA,Hofstra,Canisius,maac,6,False,False,False,Away,False,5,16,54,26,66,4,18,61,0,1,39,119,337,0.5267062314540061,187,362,0.5165745856353591,44,98,321,0.5109034267912772,0.6666666666666666
7,2019-12-04-19-florida-atlantic,42.9,9,0.0,0,87.3,69.4,25,0.391,55,0.382,21,0.418,23,0.696,16,4,200,83.1,22.9,8,19,59,,15.5,11,0.29100000000000004,16,0.063,1,46.5,33,0.447,15.6,12,39,0.513,20,0.5,4,"December 4, 2019",45.5,10,7.7,3,83.1,77.1,27,0.431,58,0.379,22,0.293,17,0.706,12,4,200,87.3,30.6,11,19,62,,7.0,5,0.345,20,0.3,6,53.5,38,0.469,19.6,16,38,0.42100000000000004,16,0.556,5,"FAU Arena, Boca Raton, Florida",CANISIUS,Canisius,70.5,Home,FLORIDA-ATLANTIC,Florida Atlantic,Canisius,maac,7,False,False,False,Away,False,1,20,55,33,71,6,16,58,0,1,44,135,391,0.5140664961636828,213,428,0.4976635514018692,48,116,382,0.4921465968586388,0.5714285714285714
8,2019-12-14-14-canisius,48.0,12,7.1,3,105.3,75.8,25,0.484,61,0.41,25,0.311,19,0.684,13,10,200,94.7,41.2,14,25,72,,9.2,7,0.475,29,0.31,9,58.2,39,0.514,21.5,19,32,0.5,16,0.091,1,"December 14, 2019",53.6,15,3.1,1,94.7,58.8,20,0.536,56,0.5,28,0.5539999999999999,31,0.645,20,4,200,105.3,24.2,8,17,80,,10.5,8,0.25,14,0.28600000000000003,4,41.8,28,0.5660000000000001,16.7,14,42,0.5710000000000001,24,0.556,5,"Koessler Athletic Center, Buffalo, New York",HOLY-CROSS,Holy Cross,75.9,Home,CANISIUS,Canisius,Canisius,maac,8,True,False,True,Home,True,4,24,56,28,67,9,16,61,1,0,45,155,446,0.4988789237668162,246,499,0.4929859719438878,54,132,440,0.484090909090909,0.5
9,2019-12-18-19-buffalo,69.6,16,7.0,3,109.3,45.9,17,0.44299999999999995,61,0.377,23,0.44299999999999995,27,0.7040000000000001,19,5,200,97.3,29.7,11,20,73,,10.7,8,0.377,23,0.348,8,37.8,28,0.494,17.1,15,38,0.395,15,0.5,5,"December 18, 2019",57.6,19,13.2,5,97.3,70.3,26,0.545,67,0.493,33,0.26899999999999996,18,0.5,9,4,200,109.3,54.1,20,20,82,,10.7,8,0.358,24,0.292,7,62.2,46,0.5429999999999999,18.5,17,43,0.605,26,0.636,7,"Alumni Arena, Buffalo, New York",CANISIUS,Canisius,75.2,Home,BUFFALO,Buffalo,Canisius,maac,9,False,False,False,Away,False,8,15,61,28,74,7,26,67,0,1,49,179,502,0.5029880478087649,274,566,0.4840989399293286,63,148,501,0.4840319361277445,0.5555555555555556
10,2019-12-23-18-siena,63.0,17,4.5,2,94.8,72.7,24,0.525,60,0.45,27,0.217,13,0.6920000000000001,9,6,200,93.5,6.5,2,17,72,,13.0,10,0.3670000000000001,22,0.409,9,40.6,26,0.544,15.4,12,38,0.474,18,0.455,5,"December 23, 2019",48.3,14,5.3,2,93.5,93.5,29,0.4920000000000001,65,0.446,29,0.2,13,0.6920000000000001,9,5,200,94.8,27.3,9,14,73,,7.8,6,0.32299999999999995,21,0.28600000000000003,6,59.4,38,0.513,17.5,15,44,0.523,23,0.444,4,"Times Union Center , Albany, New York",CANISIUS,Canisius,76.7,Home,SIENA,Siena,Canisius,maac,10,False,False,False,Away,False,9,18,60,26,64,6,23,65,0,1,57,194,563,0.4964476021314387,302,640,0.471875,70,174,568,0.4911971830985916,0.5
11,2019-12-30-12-pittsburgh,51.7,15,8.3,3,117.6,57.7,15,0.55,60,0.483,29,0.3,18,0.722,13,7,200,106.8,48.4,15,23,79,,10.8,8,0.3670000000000001,22,0.364,8,52.6,30,0.5760000000000001,23.6,21,38,0.5529999999999999,21,0.41700000000000004,5,"December 30, 2019",46.2,12,10.5,4,106.8,51.6,16,0.5870000000000001,52,0.5,26,0.635,33,0.7879999999999999,26,3,200,117.6,42.3,11,18,87,,18.9,14,0.308,16,0.563,9,47.4,27,0.643,20.4,17,36,0.47200000000000003,17,0.769,10,"Petersen Events Center, Pittsburgh, Pennsylvania",CANISIUS,Canisius,74.1,Home,PITTSBURGH,Pitt,Canisius,maac,11,False,False,False,Away,False,8,21,60,30,57,9,17,52,0,1,66,212,623,0.4991974317817015,328,704,0.4659090909090909,76,197,633,0.4913112164296998,0.4545454545454545
12,2020-01-03-19-canisius,50.0,13,9.8,4,84.8,66.7,26,0.606,47,0.5529999999999999,26,0.40399999999999997,19,0.737,14,5,200,89.9,9.1,2,18,71,,8.9,7,0.298,14,0.35700000000000004,5,45.9,28,0.634,30.2,24,33,0.636,21,0.5,5,"January 3, 2020",69.2,18,9.1,3,89.9,90.9,20,0.43799999999999994,65,0.4,26,0.27699999999999997,18,0.556,10,8,200,84.8,33.3,13,21,67,,19.0,15,0.369,24,0.20800000000000002,5,54.1,33,0.455,20.7,19,41,0.512,21,0.385,5,"Koessler Athletic Center, Buffalo, New York",CANISIUS,Canisius,78.8,Away,MANHATTAN,Manhattan,Canisius,maac,12,False,True,True,Home,False,5,21,65,33,61,5,21,47,0,1,74,233,683,0.5036603221083455,358,761,0.4704336399474376,85,214,685,0.4985401459854015,0.4166666666666667
13,2020-01-05-14-canisius,47.4,9,13.9,5,63.6,82.1,32,0.402,51,0.373,19,0.196,10,0.5,5,8,200,69.7,24.1,7,13,46,,3.0,2,0.294,15,0.2,3,57.4,39,0.413,21.3,15,36,0.444,16,0.385,5,"January 5, 2020",68.8,11,8.3,3,69.7,75.9,22,0.316,57,0.281,16,0.158,9,0.667,6,9,200,63.6,17.9,7,15,42,,7.6,5,0.368,21,0.19,4,42.6,29,0.34299999999999997,17.6,13,36,0.33299999999999996,12,0.35700000000000004,5,"Koessler Athletic Center, Buffalo, New York",CANISIUS,Canisius,65.5,Away,FAIRFIELD,Fairfield,Canisius,maac,13,False,True,True,Home,False,4,12,57,29,68,3,16,51,0,1,79,254,748,0.4979946524064171,391,822,0.475669099756691,90,235,732,0.505464480874317,0.38461538461538464
14,2020-01-10-19-monmouth,45.0,9,9.3,4,107.7,70.0,21,0.45,50,0.4,20,0.52,26,0.769,20,10,200,83.3,21.9,7,25,65,,10.3,8,0.36,18,0.278,5,45.2,28,0.521,26.4,22,32,0.469,15,0.33299999999999996,5,"January 10, 2020",43.3,13,12.5,4,83.3,78.1,25,0.5670000000000001,60,0.5,30,0.433,26,0.615,16,6,200,107.7,30.0,9,25,84,,12.8,10,0.28300000000000003,17,0.47100000000000003,8,54.8,34,0.581,18.3,16,43,0.512,22,0.5710000000000001,8,"Multipurpose Activity Center, West Long Branch, New Jersey",CANISIUS,Canisius,78.4,Home,MONMOUTH,Monmouth,Canisius,maac,14,False,False,False,Away,False,5,15,50,28,62,8,22,60,0,1,83,266,805,0.4850931677018634,420,890,0.4719101123595506,93,251,783,0.4987228607918263,0.35714285714285715
15,2020-01-12-13-saint-peters,62.5,15,14.3,6,90.7,80.6,25,0.53,50,0.48,24,0.58,29,0.655,19,10,200,96.0,18.5,5,23,72,,8.0,6,0.36,18,0.278,5,51.7,30,0.564,22.3,18,32,0.594,19,0.375,6,"January 12, 2020",41.7,10,12.5,4,96.0,81.5,22,0.491,53,0.45299999999999996,24,0.491,26,0.615,16,8,200,90.7,19.4,6,27,68,,9.3,7,0.20800000000000002,11,0.364,4,48.3,28,0.52,16.8,13,42,0.47600000000000003,20,0.385,5,"Yanitelli Center, Jersey City, New Jersey",SAINT-PETERS,St. Peter's,74.6,Away,CANISIUS,Canisius,Canisius,maac,15,False,False,False,Away,True,5,19,50,30,58,4,20,53,1,0,88,281,855,0.4830409356725146,448,952,0.4705882352941176,101,273,843,0.5035587188612101,0.3333333333333333
16,2020-01-17-19-canisius,50.0,11,2.9,1,105.8,64.3,18,0.465,57,0.386,22,0.316,18,0.556,10,8,200,91.3,27.0,10,17,63,,13.0,9,0.526,30,0.3,9,43.1,28,0.48100000000000004,15.6,12,27,0.48100000000000004,13,0.467,7,"January 17, 2020",50.0,14,11.1,3,91.3,73.0,27,0.536,56,0.5,28,0.33899999999999997,19,0.684,13,10,200,105.8,35.7,10,19,73,,7.2,5,0.39299999999999996,22,0.182,4,56.9,37,0.561,19.9,16,34,0.706,24,0.41200000000000003,7,"Koessler Athletic Center, Buffalo, New York",SIENA,Siena,69.3,Home,CANISIUS,Canisius,Canisius,maac,16,True,False,True,Home,True,4,24,56,37,65,9,13,57,1,0,93,300,905,0.4856353591160221,478,1010,0.4732673267326733,105,293,896,0.5027901785714286,0.375
17,2020-01-19-14-canisius,50.0,14,2.4,1,125.0,81.0,17,0.542,59,0.475,28,0.61,36,0.611,22,8,200,113.2,33.3,12,18,86,,3.9,3,0.424,25,0.32,8,50.9,29,0.565,12.8,11,34,0.588,20,0.529,9,"January 19, 2020",62.2,23,5.9,2,113.2,66.7,24,0.68,61,0.607,37,0.262,16,0.75,12,10,200,125.0,19.0,4,24,95,,5.3,4,0.32799999999999996,20,0.45,9,49.1,28,0.6920000000000001,15.0,12,41,0.6829999999999999,28,0.444,8,"Koessler Athletic Center, Buffalo, New York",RIDER,Rider,75.9,Home,CANISIUS,Canisius,Canisius,maac,17,True,False,True,Home,True,9,28,61,28,57,8,20,59,1,0,97,324,961,0.4885535900104058,515,1075,0.4790697674418605,114,306,953,0.5005246589716684,0.4117647058823529
18,2020-01-24-19-iona,62.5,15,5.9,2,103.0,79.3,23,0.518,56,0.429,24,0.214,12,0.667,8,11,200,98.5,22.6,7,15,66,,10.4,7,0.35700000000000004,20,0.5,10,50.0,30,0.535,16.4,12,36,0.389,14,0.42100000000000004,8,"January 24, 2020",55.6,15,11.1,4,98.5,77.4,24,0.518,57,0.474,27,0.21100000000000002,12,0.833,10,9,200,103.0,20.7,6,13,69,,14.9,10,0.40399999999999997,23,0.217,5,50.0,30,0.55,15.0,11,34,0.647,22,0.35700000000000004,5,"Hynes Athletics Center, New Rochelle, New York",CANISIUS,Canisius,67.2,Home,IONA,Iona,Canisius,maac,18,False,False,False,Away,False,10,14,56,30,60,5,22,57,0,1,106,352,1022,0.5,543,1132,0.4796819787985866,122,326,1012,0.5029644268774703,0.4444444444444444
19,2020-01-26-14-fairfield,34.8,8,14.3,6,96.9,51.7,15,0.439,57,0.40399999999999997,23,0.105,6,0.833,5,12,200,84.6,15.4,4,19,55,,10.8,7,0.281,16,0.25,4,34.5,19,0.45899999999999996,16.8,12,41,0.46299999999999997,19,0.4,8,"January 26, 2020",28.6,6,7.3,3,84.6,84.6,22,0.40700000000000003,54,0.389,21,0.389,21,0.905,19,11,200,96.9,48.3,14,12,63,,13.8,9,0.222,12,0.16699999999999998,2,65.5,36,0.4920000000000001,15.9,12,42,0.452,19,0.42100000000000004,8,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",CANISIUS,Canisius,64.9,Home,FAIRFIELD,Fairfield,Canisius,maac,19,False,False,False,Away,False,4,19,57,19,55,2,19,54,0,1,116,366,1078,0.5009276437847866,573,1192,0.4807046979865772,127,348,1069,0.5037418147801683,0.42105263157894735
20,2020-01-31-19-canisius,63.6,21,4.3,2,110.6,76.7,23,0.75,54,0.611,33,0.16699999999999998,9,1.0,9,8,200,136.4,35.3,6,14,90,,1.5,1,0.519,28,0.536,15,61.7,29,0.772,19.5,14,26,0.6920000000000001,18,0.579,11,"January 31, 2020",54.8,17,3.8,1,136.4,64.7,11,0.539,64,0.484,31,0.109,7,0.5710000000000001,4,13,200,110.6,23.3,7,12,73,,7.6,5,0.281,18,0.389,7,38.3,18,0.542,6.9,5,46,0.522,24,0.381,8,"Koessler Athletic Center, Buffalo, New York",CANISIUS,Canisius,65.8,Away,QUINNIPIAC,Quinnipiac,Canisius,maac,20,False,True,True,Home,False,7,24,64,18,47,15,18,54,0,1,120,385,1135,0.4977973568281938,592,1247,0.4747393744987971,129,367,1123,0.4991095280498664,0.4
21,2020-02-02-14-canisius,65.2,15,7.3,3,100.0,75.8,25,0.529,52,0.442,23,0.26899999999999996,14,0.7140000000000001,10,15,200,98.5,19.2,5,16,65,,6.1,4,0.5,26,0.34600000000000003,9,50.8,30,0.5539999999999999,17.1,12,26,0.5379999999999999,14,0.25,5,"February 2, 2020",57.1,16,0.0,0,98.5,80.8,21,0.5,62,0.452,28,0.09699999999999999,6,0.667,4,13,200,100.0,24.2,8,15,66,,6.1,4,0.33899999999999997,21,0.28600000000000003,6,49.2,29,0.509,12.2,9,41,0.537,22,0.409,9,"Koessler Athletic Center, Buffalo, New York",MARIST,Marist,65.8,Home,CANISIUS,Canisius,Canisius,maac,21,True,False,True,Home,True,6,22,62,29,59,9,14,52,1,0,127,409,1199,0.5,610,1294,0.4714064914992272,144,385,1177,0.5106202209005948,0.3809523809523809
22,2020-02-07-19-rider,34.8,8,10.8,4,88.4,70.3,26,0.49,52,0.442,23,0.25,13,0.6920000000000001,9,14,200,87.0,22.2,6,17,60,,11.6,8,0.5,26,0.192,5,50.0,32,0.516,22.8,17,26,0.6920000000000001,18,0.391,9,"February 7, 2020",41.7,10,7.7,2,87.0,77.8,21,0.491,56,0.429,24,0.321,18,0.33299999999999996,6,9,200,88.4,29.7,11,10,61,,13.0,9,0.33899999999999997,19,0.368,7,50.0,32,0.473,19.0,15,37,0.45899999999999996,17,0.591,13,"Alumni Gymnasium, Lawrenceville, New Jersey",CANISIUS,Canisius,68.9,Home,RIDER,Rider,Canisius,maac,22,False,False,False,Away,False,5,18,52,32,64,7,17,56,0,1,133,431,1261,0.5,639,1353,0.4722838137472284,153,399,1229,0.5113913751017087,0.4090909090909091
