,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ALABAMA_homegame,ALABAMA_homegame2,ALABAMA_home,ALABAMA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-alabama,34.5,10,10.5,4,93.0,61.7,29,0.485,68,0.426,29,0.294,20,0.75,15,0,200,94.2,24.2,8,19,81,,9.3,8,0.382,26,0.308,8,46.3,37,0.523,17.2,16,42,0.5,21,1.0,1,"November 5, 2019",37.0,10,11.9,5,94.2,75.8,25,0.428,76,0.355,27,0.289,22,0.682,15,1,200,93.0,38.3,18,18,80,,11.6,10,0.5,38,0.289,11,53.8,43,0.46299999999999997,18.2,19,38,0.42100000000000004,16,0.0,0,"Coleman Coliseum , Tuscaloosa, Alabama",ALABAMA,Alabama,86.5,Away,PENNSYLVANIA,Penn,Alabama,sec,0,False,True,True,Home,False,11,16,76,43,80,8,21,68,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-11-20-alabama,45.8,11,13.3,4,102.6,60.0,18,0.384,69,0.348,24,0.24600000000000002,17,0.353,6,2,200,77.6,26.7,12,19,59,,19.7,15,0.406,28,0.179,5,40.0,30,0.38299999999999995,12.6,11,41,0.46299999999999997,19,0.33299999999999996,1,"November 11, 2019",80.8,21,12.2,5,77.6,73.3,33,0.517,59,0.441,26,0.373,22,0.773,17,1,200,102.6,40.0,12,18,78,,6.6,5,0.4920000000000001,29,0.31,9,60.0,45,0.562,21.7,19,30,0.5670000000000001,17,0.5,1,"Coleman Coliseum , Tuscaloosa, Alabama",FLORIDA-ATLANTIC,Florida Atlantic,76.3,Home,ALABAMA,Alabama,Alabama,sec,1,True,False,True,Home,True,9,17,59,45,75,5,19,69,1,0,11,16,76,0.4276315789473684,43,80,0.5375,8,21,68,0.4852941176470588,0.0
2,2019-11-15-19-rhode-island,51.6,16,10.6,5,109.4,87.5,28,0.508,66,0.47,31,0.242,16,0.75,12,2,200,92.9,25.0,8,22,79,,4.7,4,0.33299999999999996,22,0.22699999999999998,5,56.3,36,0.537,23.1,22,44,0.591,26,0.33299999999999996,1,"November 15, 2019",45.5,15,13.6,6,92.9,75.0,24,0.5710000000000001,63,0.524,33,0.413,26,0.8079999999999999,21,1,200,109.4,12.5,4,18,93,,15.3,13,0.254,16,0.375,6,43.8,28,0.617,13.9,12,47,0.574,27,0.667,2,"Ryan Center, Kingston, Rhode Island",ALABAMA,Alabama,85.5,Home,RHODE-ISLAND,Rhode Island,Alabama,sec,2,False,False,False,Away,False,5,26,66,36,64,6,27,63,0,1,20,33,135,0.4666666666666667,88,155,0.567741935483871,13,40,137,0.4343065693430657,0.5
3,2019-11-19-20-alabama,57.1,12,12.5,4,98.8,83.3,20,0.39,68,0.309,21,0.382,26,0.769,20,1,200,89.0,25.6,11,20,73,,14.6,12,0.603,41,0.268,11,46.3,31,0.45399999999999996,12.2,11,27,0.37,10,0.8,4,"November 19, 2019",40.7,11,22.2,6,89.0,74.4,32,0.575,53,0.509,27,0.509,27,0.741,20,2,200,98.8,16.7,4,19,81,,8.5,7,0.396,21,0.33299999999999996,7,53.7,36,0.615,24.5,21,32,0.625,20,0.5,2,"Coleman Coliseum , Tuscaloosa, Alabama",FURMAN,Furman,81.6,Home,ALABAMA,Alabama,Alabama,sec,3,True,False,True,Home,True,7,20,53,36,67,11,10,68,1,0,25,59,201,0.4800995024875622,124,219,0.5662100456621004,19,67,200,0.4775,0.3333333333333333
4,2019-11-27-14-alabama,51.7,15,8.1,3,83.8,80.0,32,0.444,71,0.408,29,0.29600000000000004,21,0.619,13,0,200,95.0,50.0,19,19,76,6.0,10.0,8,0.19699999999999998,14,0.35700000000000004,5,65.4,51,0.469,20.0,20,57,0.42100000000000004,24,1.0,5,"November 27, 2019",46.2,12,7.0,4,95.0,50.0,19,0.46299999999999997,68,0.382,26,0.132,9,0.444,4,3,200,83.8,20.0,8,23,67,,7.5,6,0.456,31,0.355,11,34.6,27,0.46399999999999997,16.3,14,37,0.405,15,0.4,2,"Imperial Arena at Atlantis Resort, Paradise Island",ALABAMA,Alabama,80.1,Away,NORTH-CAROLINA,UNC,Alabama,sec,4,False,True,True,Home,False,11,15,68,27,78,5,24,71,0,1,32,79,254,0.5,160,286,0.5594405594405595,30,77,268,0.4552238805970149,0.5
5,2019-11-28-18-iowa-state,41.9,13,7.5,3,126.8,76.5,26,0.5,74,0.419,31,0.243,18,0.833,15,4,200,108.5,43.9,18,20,89,,9.8,8,0.35100000000000003,26,0.462,12,58.7,44,0.539,17.2,17,48,0.396,19,0.33299999999999996,2,"November 28, 2019",44.4,16,16.7,8,108.5,56.1,23,0.63,69,0.522,36,0.348,24,0.708,17,2,200,126.8,23.5,8,16,104,,6.1,5,0.42,29,0.517,15,41.3,31,0.647,12.1,11,40,0.525,21,0.667,4,"Imperial Arena at Atlantis Resort, Paradise Island",ALABAMA,Alabama,82.5,Home,IOWA-STATE,Iowa State,Alabama,sec,5,False,False,False,Away,False,12,19,74,44,75,15,21,69,0,1,43,94,322,0.4922360248447205,187,364,0.5137362637362637,35,101,339,0.4528023598820059,0.4
6,2019-11-29-21-alabama,42.3,11,10.5,2,120.3,65.5,19,0.519,53,0.491,26,0.377,20,0.65,13,6,200,98.6,24.0,6,19,68,,14.5,10,0.226,12,0.25,3,46.3,25,0.544,19.5,15,41,0.561,23,0.25,2,"November 29, 2019",57.1,16,2.4,1,98.6,76.0,19,0.6829999999999999,52,0.5379999999999999,28,0.423,22,0.545,12,4,200,120.3,34.5,10,18,83,,10.1,7,0.635,33,0.455,15,53.7,29,0.665,19.6,15,19,0.684,13,0.429,3,"Imperial Arena at Atlantis Resort, Paradise Island",SOUTHERN-MISSISSIPPI,Southern Miss,69.5,Home,ALABAMA,Alabama,Alabama,sec,6,True,False,True,Home,True,15,13,52,29,54,3,23,53,1,0,55,113,396,0.4936868686868687,231,439,0.5261958997722096,50,122,408,0.482843137254902,0.3333333333333333
7,2019-12-06-20-alabama,25.0,6,0.0,0,100.0,75.9,22,0.426,61,0.39299999999999996,24,0.344,21,0.762,16,2,200,87.2,32.4,11,27,68,,15.4,12,0.213,13,0.308,4,52.4,33,0.479,21.3,19,48,0.41700000000000004,20,0.778,7,"December 6, 2019",61.9,13,16.7,8,87.2,67.6,23,0.564,47,0.447,21,0.745,35,0.7140000000000001,25,4,200,100.0,24.1,7,19,78,,14.1,11,0.6809999999999999,32,0.344,11,47.6,30,0.613,24.3,20,15,0.667,10,0.5,4,"Coleman Coliseum , Tuscaloosa, Alabama",STEPHEN-F-AUSTIN,Stephen F. Austin,77.8,Home,ALABAMA,Alabama,Alabama,sec,7,True,False,True,Home,True,11,10,47,30,63,4,20,61,1,0,70,126,448,0.515625,260,493,0.5273833671399595,53,145,461,0.4869848156182213,0.42857142857142855
8,2019-12-14-14-penn-state,44.4,12,5.6,2,89.0,80.0,32,0.414,76,0.355,27,0.184,14,0.5710000000000001,8,5,200,86.6,26.5,13,22,71,,6.1,5,0.434,33,0.273,9,50.6,45,0.43,10.9,10,43,0.419,18,0.444,4,"December 14, 2019",60.9,14,16.3,7,86.6,73.5,36,0.429,63,0.365,23,0.413,26,0.731,19,2,200,89.0,20.0,8,14,73,,7.3,6,0.429,27,0.29600000000000004,8,49.4,44,0.484,17.7,16,36,0.41700000000000004,15,0.818,9,"Bryce Jordan Center, University Park, Pennsylvania",ALABAMA,Alabama,81.5,Home,PENN-STATE,Penn State,Alabama,sec,8,False,False,False,Away,False,9,18,76,45,89,8,15,63,0,1,81,136,495,0.5202020202020202,290,556,0.5215827338129496,57,165,522,0.4798850574712644,0.5
9,2019-12-18-19-samford,60.6,20,10.0,4,102.4,76.5,26,0.648,64,0.516,33,0.406,26,0.846,22,5,200,123.5,28.1,9,17,105,,11.8,10,0.531,34,0.5,17,53.0,35,0.688,17.5,16,30,0.5329999999999999,16,0.5,5,"December 18, 2019",57.6,19,10.0,3,123.5,71.9,23,0.551,68,0.485,33,0.20600000000000002,14,0.857,12,7,200,102.4,23.5,8,20,87,,7.1,6,0.41200000000000003,28,0.321,9,47.0,31,0.583,20.4,19,40,0.6,24,0.462,6,"Legacy Arena, Birmingham, Alabama",SAMFORD,Samford,84.5,Away,ALABAMA,Alabama,Alabama,sec,9,False,False,False,Away,True,17,16,64,35,66,9,24,68,1,0,90,154,571,0.5061295971978984,335,645,0.5193798449612403,65,180,585,0.4743589743589744,0.4444444444444444
