,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,JACKSONVILLE_homegame,JACKSONVILLE_homegame2,JACKSONVILLE_home,JACKSONVILLE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-xavier,43.5,10,2.7,1,104.1,72.2,26,0.455,56,0.41100000000000003,23,0.214,12,0.5,6,1,200,78.1,14.7,5,19,57,,9.6,7,0.375,21,0.23800000000000002,5,44.3,31,0.462,21.7,17,35,0.514,18,0.0,0,"November 5, 2019",37.9,11,5.7,2,78.1,85.3,29,0.517,60,0.483,29,0.4,24,0.583,14,0,200,104.1,27.8,10,15,76,19.0,13.7,10,0.38299999999999995,23,0.174,4,55.7,39,0.532,13.5,11,37,0.6759999999999999,25,1.0,1,"Cintas Center, Cincinnati, Ohio",JACKSONVILLE,Jacksonville,73.1,Home,XAVIER,Xavier,Jacksonville,atlantic-sun,0,False,False,False,Away,False,5,18,56,31,70,4,25,60,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-jacksonville,37.5,9,11.1,4,107.8,71.4,25,0.377,69,0.348,24,0.24600000000000002,17,0.765,13,0,200,84.4,18.6,8,19,65,,9.1,7,0.261,18,0.222,4,42.3,33,0.42200000000000004,11.6,10,51,0.392,20,0.0,0,"November 8, 2019",43.3,13,9.8,5,84.4,81.4,35,0.5489999999999999,61,0.4920000000000001,30,0.41,25,0.64,16,1,200,107.8,28.6,10,15,83,,3.9,3,0.41,25,0.28,7,57.7,45,0.569,15.3,13,36,0.639,23,0.5,1,"Swisher Gymnasium, Jacksonville, Florida","Johnson (Fl)
			","Johnson (Fl)
			",77.5,Home,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,1,True,False,True,Home,True,7,23,61,45,78,4,20,69,1,0,5,18,56,0.4553571428571429,31,70,0.4428571428571429,4,25,60,0.5166666666666667,0.0
2,2019-11-11-19-jacksonville,59.3,16,12.9,4,83.1,78.4,29,0.516,62,0.435,27,0.177,11,1.0,11,1,200,105.6,16.1,5,19,75,,11.3,8,0.435,27,0.37,10,50.0,34,0.5579999999999999,11.9,9,35,0.486,17,0.667,2,"November 11, 2019",62.5,10,0.0,0,105.6,83.9,26,0.39,50,0.32,16,0.54,27,0.741,20,2,200,83.1,21.6,8,12,59,,2.8,2,0.38,19,0.368,7,50.0,34,0.47,20.5,16,31,0.29,9,0.33299999999999996,1,"BankUnited Center, Coral Gables, Florida",JACKSONVILLE,Jacksonville,71.0,Away,BOWLING-GREEN-STATE,Bowling Green State,Jacksonville,atlantic-sun,2,False,True,True,Home,False,7,9,50,34,68,10,17,62,0,1,12,41,117,0.5042735042735043,76,148,0.5135135135135135,8,45,129,0.4418604651162791,0.5
3,2019-11-15-19-massachusetts-lowell,53.3,16,6.3,2,109.9,74.2,23,0.59,61,0.4920000000000001,30,0.213,13,0.615,8,2,200,112.7,26.9,7,17,80,,7.0,5,0.41,25,0.48,12,52.6,30,0.595,14.2,11,36,0.5,18,0.5,2,"November 15, 2019",64.3,18,0.0,0,112.7,73.1,19,0.532,62,0.452,28,0.27399999999999997,17,0.706,12,3,200,109.9,25.8,8,13,78,,2.8,2,0.484,30,0.33299999999999996,10,47.4,27,0.557,10.3,8,32,0.563,18,0.4,2,"Costello Athletic Center, Lowell, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,70.6,Away,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,3,False,False,False,Away,True,12,18,61,30,57,10,18,62,1,0,19,50,167,0.470059880239521,110,216,0.5092592592592593,18,62,191,0.4659685863874346,0.3333333333333333
4,2019-11-16-13-dartmouth,59.1,13,15.0,3,60.7,81.3,26,0.48,50,0.44,22,0.34,17,0.529,9,2,200,93.4,20.7,6,8,57,,8.2,5,0.36,18,0.222,4,52.5,32,0.491,10.9,7,32,0.563,18,0.6,3,"November 16, 2019",42.9,6,3.1,1,93.4,79.3,23,0.337,52,0.26899999999999996,14,0.077,4,0.5,2,1,200,60.7,18.8,6,15,37,,3.3,2,0.615,32,0.21899999999999997,7,47.5,29,0.34299999999999997,21.8,15,20,0.35,7,0.75,3,"Costello Athletic Center, Lowell, Massachusetts",DARTMOUTH,Dartmouth,61.0,Away,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,4,False,False,False,Away,True,4,18,50,32,61,7,7,52,1,0,31,68,228,0.5021929824561403,140,273,0.5128205128205128,28,80,253,0.4822134387351778,0.5
5,2019-11-17-13-merrimack,58.8,10,17.4,4,91.5,88.0,22,0.39399999999999996,47,0.36200000000000004,17,0.213,10,0.7,7,3,200,74.6,35.7,10,10,44,,10.2,6,0.36200000000000004,17,0.17600000000000002,3,60.4,32,0.425,23.7,16,30,0.467,14,0.5,3,"November 17, 2019",66.7,12,6.7,2,74.6,64.3,18,0.489,47,0.38299999999999995,18,0.213,10,0.8,8,2,200,91.5,12.0,3,11,54,,16.9,10,0.511,24,0.41700000000000004,10,39.6,21,0.522,17.6,11,23,0.348,8,0.6,3,"Costello Athletic Center, Lowell, Massachusetts",JACKSONVILLE,Jacksonville,58.8,Home,MERRIMACK,Merrimack,Jacksonville,atlantic-sun,5,False,False,False,Away,False,3,14,47,32,53,10,8,47,0,1,35,86,278,0.4982014388489209,172,334,0.5149700598802395,35,87,305,0.4573770491803278,0.6
6,2019-11-21-19-jacksonville,34.4,11,11.1,4,105.6,81.6,31,0.529,70,0.457,32,0.486,34,0.647,22,2,250,107.9,24.4,10,26,96,,7.9,7,0.429,30,0.33299999999999996,10,51.9,41,0.557,11.5,11,40,0.55,22,0.6,3,"November 21, 2019",55.2,16,15.0,6,107.9,75.6,31,0.53,66,0.439,29,0.53,35,0.6859999999999999,24,4,250,105.6,18.4,7,26,94,,4.5,4,0.455,30,0.4,12,48.1,38,0.569,16.4,16,36,0.47200000000000003,17,0.429,3,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,71.5,Away,WESTERN-CAROLINA,Western Carolina,Jacksonville,atlantic-sun,6,False,True,True,Home,False,12,17,66,38,79,10,22,70,0,1,38,100,325,0.4830769230769231,204,387,0.5271317829457365,45,95,352,0.4616477272727273,0.5
7,2019-11-25-20-campbell,30.4,7,2.9,1,93.9,85.2,23,0.52,49,0.469,23,0.265,13,0.462,6,5,200,86.4,25.0,7,12,57,,9.1,6,0.306,15,0.33299999999999996,5,54.5,30,0.517,26.8,20,34,0.529,18,0.375,3,"November 25, 2019",64.0,16,0.0,0,86.4,75.0,21,0.509,54,0.46299999999999997,25,0.16699999999999998,9,0.778,7,1,200,93.9,14.8,4,14,62,,16.7,11,0.37,20,0.25,5,45.5,25,0.532,14.7,10,34,0.588,20,0.8,4,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",JACKSONVILLE,Jacksonville,66.2,Home,CAMPBELL,Campbell,Jacksonville,atlantic-sun,7,False,False,False,Away,False,5,18,49,30,55,5,20,54,0,1,50,117,391,0.4910485933503837,242,466,0.51931330472103,55,117,422,0.4727488151658768,0.42857142857142855
8,2019-11-30-14-north-carolina-at,54.5,12,4.9,2,71.4,73.2,30,0.46299999999999997,54,0.40700000000000003,22,0.278,15,0.733,11,5,200,96.8,22.6,7,11,61,,11.1,7,0.426,23,0.261,6,51.4,37,0.499,11.7,8,31,0.516,16,0.444,4,"November 30, 2019",27.8,5,6.5,2,96.8,77.4,24,0.32,61,0.295,18,0.14800000000000002,9,0.667,6,6,200,71.4,26.8,11,14,45,,6.3,4,0.32799999999999996,20,0.15,3,48.6,35,0.345,13.3,10,41,0.366,15,0.25,2,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,63.2,Away,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,8,False,False,False,Away,True,6,16,54,37,72,3,15,61,1,0,55,135,440,0.4943181818181818,272,521,0.5220729366602687,60,137,476,0.476890756302521,0.375
9,2019-12-04-21-marquette,44.4,8,2.8,1,101.4,62.5,20,0.336,61,0.295,18,0.426,26,0.5770000000000001,15,6,200,75.7,26.7,12,20,56,,10.8,8,0.32799999999999996,20,0.25,5,41.6,32,0.382,15.2,13,41,0.317,13,0.4,4,"December 4, 2019",68.0,17,22.0,9,75.7,73.3,33,0.483,59,0.424,25,0.45799999999999996,27,0.667,18,2,200,101.4,37.5,12,23,75,,13.5,10,0.39,23,0.304,7,58.4,45,0.522,15.5,13,36,0.5,18,0.75,6,"Fiserv Forum, Milwaukee, Wisconsin",JACKSONVILLE,Jacksonville,73.6,Home,MARQUETTE,Marquette,Jacksonville,atlantic-sun,9,False,False,False,Away,False,5,13,61,32,77,7,18,59,0,1,61,151,494,0.4908906882591093,309,593,0.521079258010118,63,152,537,0.4590316573556797,0.4444444444444444
