,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BRIGHAM-YOUNG_homegame,BRIGHAM-YOUNG_homegame2,BRIGHAM-YOUNG_home,BRIGHAM-YOUNG_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-brigham-young,19.0,4,2.9,1,100.0,89.3,25,0.41200000000000003,57,0.368,21,0.316,18,0.611,11,1,200,76.3,15.2,5,21,58,,9.2,7,0.24600000000000002,14,0.35700000000000004,5,49.2,30,0.442,19.8,16,43,0.3720000000000001,16,0.0,0,"November 5, 2019",57.1,16,4.7,2,76.3,84.8,28,0.588,57,0.491,28,0.263,15,0.6,9,0,200,100.0,10.7,3,17,76,,6.6,5,0.40399999999999997,23,0.478,11,50.8,31,0.593,19.1,15,34,0.5,17,1.0,1,"Marriott Center, Provo, Utah",CAL-STATE-FULLERTON,Cal State Fullerton,76.3,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,0,True,False,True,Home,True,11,17,57,31,61,5,16,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-brigham-young,44.4,12,3.1,1,100.0,93.1,27,0.516,61,0.44299999999999995,27,0.295,18,0.722,13,0,200,107.0,32.4,11,15,76,,7.0,5,0.32799999999999996,20,0.45,9,60.3,38,0.546,16.9,14,41,0.439,18,1.0,2,"November 9, 2019",64.0,16,2.4,1,107.0,67.6,23,0.518,56,0.446,25,0.28600000000000003,16,0.813,13,1,200,100.0,6.9,2,18,71,,15.5,11,0.429,24,0.33299999999999996,8,39.7,25,0.5579999999999999,11.3,8,32,0.531,17,0.5,1,"Marriott Center, Provo, Utah",BRIGHAM-YOUNG,BYU,71.1,Away,SAN-DIEGO-STATE,San Diego State,Brigham Young,wcc,1,False,True,True,Home,False,8,17,56,25,63,9,18,61,0,1,11,17,57,0.5877192982456141,31,61,0.5081967213114754,5,16,57,0.412280701754386,1.0
2,2019-11-13-21-brigham-young,39.3,11,15.8,6,94.4,81.1,30,0.5,56,0.5,28,0.179,10,0.7,7,1,200,87.5,25.9,7,20,63,,8.3,6,0.214,12,0.0,0,57.8,37,0.519,23.0,18,44,0.636,28,0.667,2,"November 13, 2019",60.9,14,2.3,1,87.5,74.1,20,0.45,60,0.38299999999999995,23,0.33299999999999996,20,0.7,14,1,200,94.4,18.9,7,15,68,,9.7,7,0.3670000000000001,22,0.364,8,42.2,27,0.489,12.7,10,38,0.395,15,0.667,2,"Marriott Center, Provo, Utah",SOUTHERN-UTAH,Southern Utah,72.1,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,2,True,False,True,Home,True,8,15,60,27,64,0,28,56,1,0,19,34,113,0.5530973451327433,56,124,0.4516129032258064,14,34,118,0.4661016949152542,0.5
3,2019-11-15-21-houston,57.1,16,0.0,0,97.3,67.7,21,0.525,61,0.45899999999999996,28,0.23,14,0.5710000000000001,8,1,200,98.6,25.8,8,16,72,,5.5,4,0.361,22,0.364,8,46.8,29,0.532,18.3,15,39,0.513,20,0.75,3,"November 15, 2019",44.8,13,20.5,8,98.6,74.2,23,0.5,62,0.46799999999999997,29,0.226,14,0.643,9,1,200,97.3,32.3,10,15,71,,6.8,5,0.27399999999999997,17,0.235,4,53.2,33,0.517,16.0,13,45,0.556,25,0.5,1,"Hofheinz Pavilion, Houston, Texas",HOUSTON,Houston,73.2,Away,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,3,False,False,False,Away,True,8,20,61,29,62,4,25,62,1,0,27,49,173,0.5173410404624278,83,188,0.4414893617021277,14,62,174,0.4770114942528736,0.6666666666666666
4,2019-11-20-22-boise-state,53.6,15,0.0,0,91.1,86.5,32,0.426,74,0.37799999999999995,28,0.095,7,0.7140000000000001,5,2,225,86.1,19.6,9,19,68,,5.1,4,0.324,24,0.292,7,49.4,41,0.44,12.5,11,50,0.42,21,0.6,3,"November 20, 2019",28.0,7,6.0,3,86.1,80.4,37,0.434,61,0.41,25,0.44299999999999995,27,0.7040000000000001,19,2,225,91.1,13.5,5,11,72,,8.9,7,0.311,19,0.158,3,50.6,42,0.488,12.1,10,42,0.524,22,0.5,2,"ExtraMile Arena, Boise, Idaho",BRIGHAM-YOUNG,BYU,70.3,Home,BOISE-STATE,Boise State,Brigham Young,wcc,4,False,False,False,Away,False,7,21,74,41,83,3,22,61,0,1,35,69,234,0.5192307692307693,112,250,0.44799999999999995,18,87,236,0.4830508474576271,0.75
5,2019-11-25-23-ucla,41.9,13,4.9,2,101.6,61.3,19,0.71,50,0.62,31,0.16,8,0.875,7,2,200,125.8,30.0,6,16,78,,11.3,7,0.36,18,0.5,9,49.0,25,0.725,19.5,13,32,0.688,22,0.667,4,"November 25, 2019",60.0,15,0.0,0,125.8,70.0,14,0.5,55,0.455,25,0.273,15,0.5329999999999999,8,2,200,101.6,38.7,12,16,63,,16.1,10,0.255,14,0.35700000000000004,5,51.0,26,0.507,17.4,13,41,0.488,20,0.667,4,"Lahaina Civic Center, Lahaina, Hawaii",UCLA,UCLA,62.0,Away,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,5,False,False,False,Away,True,9,22,50,25,51,5,20,55,1,0,42,90,308,0.4967532467532468,153,333,0.4594594594594595,21,109,297,0.4730639730639731,0.6
6,2019-11-26-22-brigham-young,62.1,18,4.8,1,80.0,83.3,25,0.508,61,0.475,29,0.24600000000000002,15,0.6,9,1,200,101.4,25.7,9,10,71,4.0,12.9,9,0.295,18,0.222,4,52.3,34,0.521,15.1,12,43,0.581,25,0.833,5,"November 26, 2019",63.6,14,2.3,1,101.4,74.3,26,0.491,54,0.40700000000000003,22,0.07400000000000001,4,0.75,3,3,200,80.0,16.7,5,17,56,,7.1,5,0.611,33,0.273,9,47.7,31,0.501,24.4,18,21,0.619,13,0.5710000000000001,4,"Lahaina Civic Center, Lahaina, Hawaii",BRIGHAM-YOUNG,BYU,70.0,Away,KANSAS,Kansas,Brigham Young,wcc,6,False,True,True,Home,False,9,13,54,31,65,4,25,61,0,1,51,112,358,0.526536312849162,178,384,0.4635416666666667,26,129,352,0.4772727272727273,0.6666666666666666
7,2019-11-27-23-brigham-young,45.2,14,8.0,2,138.5,88.5,23,0.629,58,0.534,31,0.121,7,0.5710000000000001,4,2,200,118.5,14.3,4,13,77,,1.5,1,0.379,22,0.5,11,50.0,27,0.628,11.6,8,36,0.556,20,0.75,6,"November 27, 2019",68.8,22,5.6,2,118.5,85.7,24,0.6859999999999999,59,0.542,32,0.18600000000000005,11,0.818,9,3,200,138.5,11.5,3,16,90,,4.6,3,0.5760000000000001,34,0.5,17,50.0,27,0.701,5.9,4,25,0.6,15,0.625,5,"Lahaina Civic Center, Lahaina, Hawaii",VIRGINIA-TECH,Virginia Tech,65.3,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,7,True,False,True,Home,True,17,15,59,27,54,11,20,58,1,0,60,125,412,0.5218446601941747,209,449,0.4654788418708241,30,154,413,0.4818401937046005,0.5714285714285714
8,2019-11-30-15-brigham-young,52.0,13,3.6,1,136.1,89.5,17,0.5,58,0.431,25,0.172,10,0.5,5,0,200,87.5,13.5,5,21,63,,11.1,8,0.259,15,0.5329999999999999,8,39.3,22,0.502,16.1,12,43,0.395,17,0.0,0,"November 30, 2019",60.0,21,4.7,2,87.5,86.5,32,0.804,51,0.6859999999999999,35,0.41200000000000003,21,0.762,16,3,200,136.1,10.5,2,13,98,,5.6,4,0.451,23,0.522,12,60.7,34,0.804,19.9,15,28,0.821,23,0.667,6,"Marriott Center, Provo, Utah","Montana Tech
			","Montana Tech
			",71.9,Home,BRIGHAM-YOUNG,BYU,Brigham Young,wcc,8,True,False,True,Home,True,12,23,51,34,56,8,17,58,1,0,77,140,471,0.5424628450106157,236,503,0.4691848906560636,41,174,471,0.5,0.625
9,2019-12-04-20-utah,45.7,16,4.3,2,118.6,85.2,23,0.631,65,0.5379999999999999,35,0.262,17,0.765,13,4,225,110.5,20.7,6,29,95,,4.7,4,0.369,24,0.5,12,51.8,29,0.65,21.6,20,41,0.561,23,0.6,6,"December 4, 2019",40.5,15,2.4,1,110.5,79.3,23,0.609,64,0.578,37,0.484,31,0.774,24,2,225,118.6,14.8,4,17,102,,11.6,10,0.281,18,0.222,4,48.2,27,0.648,12.4,11,46,0.7170000000000001,33,0.75,6,"Jon M. Huntsman Center, Salt Lake City, Utah",BRIGHAM-YOUNG,BYU,76.8,Home,UTAH,Utah,Brigham Young,wcc,9,False,False,False,Away,False,12,23,65,29,56,4,33,64,0,1,89,163,522,0.5680076628352491,270,559,0.483005366726297,49,191,529,0.5,0.6666666666666666
