,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LEHIGH_homegame,LEHIGH_homegame2,LEHIGH_home,LEHIGH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-lehigh,66.7,16,14.3,6,84.9,77.1,27,0.475,59,0.40700000000000003,24,0.271,16,0.625,10,0,200,90.4,22.9,8,12,66,,9.6,7,0.322,19,0.42100000000000004,8,50.0,35,0.495,19.5,16,40,0.4,16,1.0,1,"November 5, 2019",50.0,12,7.5,3,90.4,77.1,27,0.475,59,0.40700000000000003,24,0.153,9,0.667,6,1,200,84.9,22.9,8,16,62,,8.2,6,0.28800000000000003,17,0.47100000000000003,8,50.0,35,0.49,21.3,17,42,0.381,16,0.0,0,"Stabler Arena, Bethlehem, Pennsylvania",LEHIGH,Lehigh,73.4,Away,MONMOUTH,Monmouth,Lehigh,patriot,0,False,True,True,Home,False,8,16,59,35,70,8,16,59,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-19-albany-ny,56.7,17,24.1,7,89.7,73.5,25,0.542,59,0.508,30,0.254,15,0.667,10,1,200,94.9,14.8,4,24,74,,7.7,6,0.271,16,0.25,4,47.5,29,0.56,18.6,15,43,0.605,26,0.5,1,"November 9, 2019",57.9,11,0.0,0,94.9,85.2,23,0.397,58,0.32799999999999996,19,0.534,31,0.774,24,1,200,89.7,26.5,9,17,70,,6.4,5,0.5,29,0.276,8,52.5,32,0.48100000000000004,17.3,15,29,0.379,11,0.0,0,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),77.9,Away,LEHIGH,Lehigh,Lehigh,patriot,1,False,False,False,Away,True,4,26,59,29,61,8,11,58,1,0,8,16,59,0.4745762711864407,35,70,0.5,8,16,59,0.4745762711864407,0.0
2,2019-11-12-19-lehigh,62.5,10,5.9,3,92.0,70.3,26,0.25,74,0.21600000000000005,16,0.18899999999999997,14,0.429,6,0,200,49.4,16.4,9,18,43,,8.0,7,0.446,33,0.152,5,38.0,35,0.267,17.5,17,41,0.268,11,0.0,0,"November 12, 2019",60.0,18,14.6,6,49.4,83.6,46,0.47100000000000003,68,0.441,30,0.294,20,0.8,16,1,200,92.0,29.7,11,16,80,,5.7,5,0.25,17,0.235,4,62.0,57,0.516,19.8,19,51,0.51,26,0.667,2,"Stabler Arena, Bethlehem, Pennsylvania","Cairn
			","Cairn
			",87.1,Home,LEHIGH,Lehigh,Lehigh,patriot,2,True,False,True,Home,True,4,26,68,57,92,5,11,74,1,0,12,42,118,0.5084745762711864,64,131,0.4885496183206106,16,27,117,0.4358974358974359,0.5
3,2019-11-16-13-virginia-tech,66.7,14,3.6,1,119.7,61.3,19,0.462,53,0.396,21,0.094,5,0.8,4,2,200,80.3,20.7,6,9,53,,7.6,5,0.415,22,0.318,7,41.7,25,0.479,24.6,18,31,0.452,14,0.5,2,"November 16, 2019",61.3,19,12.9,4,80.3,79.3,23,0.585,65,0.47700000000000004,31,0.062,4,0.75,3,0,200,119.7,38.7,12,8,79,,12.1,8,0.569,37,0.37799999999999995,14,58.3,35,0.59,13.0,10,28,0.607,17,1.0,4,"Cassell Coliseum, Blacksburg, Virginia",LEHIGH,Lehigh,66.1,Home,VIRGINIA-TECH,Virginia Tech,Lehigh,patriot,3,False,False,False,Away,False,7,14,53,25,60,14,17,65,0,1,16,68,186,0.4946236559139785,121,223,0.5426008968609866,21,38,191,0.36387434554973824,0.6666666666666666
4,2019-11-18-19-lehigh,40.9,9,4.8,3,113.0,62.5,25,0.433,60,0.3670000000000001,22,0.38299999999999995,23,0.696,16,0,200,88.3,24.2,8,16,68,,7.8,6,0.45,27,0.29600000000000004,8,45.2,33,0.479,16.6,14,33,0.424,14,0.0,0,"November 18, 2019",60.0,21,6.1,2,88.3,75.8,25,0.493,76,0.461,35,0.19699999999999998,15,0.8,12,2,200,113.0,37.5,15,19,87,,14.3,11,0.184,14,0.35700000000000004,5,54.8,40,0.523,9.8,9,62,0.484,30,0.6,3,"Stabler Arena, Bethlehem, Pennsylvania","Misericordia
			","Misericordia
			",77.0,Home,LEHIGH,Lehigh,Lehigh,patriot,4,True,False,True,Home,True,5,30,76,40,73,8,14,60,1,0,23,82,239,0.4874476987447699,146,283,0.5159010600706714,35,55,256,0.419921875,0.5
5,2019-11-21-20-drake,31.8,7,10.7,3,108.8,69.6,16,0.429,56,0.39299999999999996,22,0.268,15,0.667,10,3,200,85.3,15.6,5,14,58,,16.2,11,0.23199999999999998,13,0.308,4,38.2,21,0.45899999999999996,14.9,11,43,0.419,18,0.5,3,"November 21, 2019",48.3,14,9.3,4,85.3,84.4,27,0.623,53,0.547,29,0.18899999999999997,10,0.8,8,1,200,108.8,30.4,7,15,74,,5.9,4,0.47200000000000003,25,0.32,8,61.8,34,0.6409999999999999,22.8,17,28,0.75,21,0.8,4,"Knapp Center, Des Moines, Iowa",LEHIGH,Lehigh,68.4,Home,DRAKE,Drake,Lehigh,patriot,5,False,False,False,Away,False,4,18,56,21,55,8,21,53,0,1,28,112,315,0.4888888888888889,186,356,0.5224719101123596,43,69,316,0.4224683544303797,0.6
6,2019-11-23-20-saint-marys-ca,33.3,8,3.2,1,120.3,70.6,24,0.531,49,0.49,24,0.34700000000000003,17,0.8240000000000001,14,4,200,103.1,20.8,5,20,66,,4.7,3,0.245,12,0.33299999999999996,4,50.0,29,0.578,19.9,14,37,0.541,20,0.429,3,"November 23, 2019",65.2,15,5.4,2,103.1,79.2,19,0.5,56,0.41100000000000003,23,0.48200000000000004,27,0.778,21,1,200,120.3,29.4,10,14,77,,17.2,11,0.446,25,0.4,10,50.0,29,0.5589999999999999,5.6,4,31,0.419,13,0.833,5,"McKeon Pavilion, Moraga, California",LEHIGH,Lehigh,64.5,Home,SAINT-MARYS-CA,Saint Mary's,Lehigh,patriot,6,False,False,False,Away,False,4,20,49,29,58,10,13,56,0,1,32,130,371,0.4797843665768194,207,411,0.5036496350364964,51,90,369,0.451219512195122,0.5
7,2019-11-30-16-columbia,27.6,8,6.1,2,98.6,83.3,25,0.508,62,0.46799999999999997,29,0.032,2,0.5,1,5,200,92.8,18.5,5,19,64,,5.8,4,0.306,19,0.263,5,52.6,30,0.508,16.0,12,43,0.5579999999999999,24,0.375,3,"November 30, 2019",46.2,12,14.0,6,92.8,81.5,22,0.555,55,0.473,26,0.218,12,0.583,7,5,200,98.6,16.7,5,9,68,,7.2,5,0.4,22,0.409,9,47.4,27,0.56,16.6,12,33,0.515,17,0.375,3,"Levien Gym, New York, New York",LEHIGH,Lehigh,68.8,Home,COLUMBIA,Columbia,Lehigh,patriot,7,False,False,False,Away,False,5,24,62,30,57,9,17,55,0,1,36,150,420,0.4857142857142857,236,469,0.5031982942430704,61,103,425,0.4576470588235294,0.42857142857142855
8,2019-12-04-19-saint-francis-pa,25.0,7,2.4,1,106.9,75.0,27,0.516,61,0.45899999999999996,28,0.16399999999999998,10,0.6,6,6,200,95.8,25.0,8,17,69,,1.4,1,0.361,22,0.318,7,51.5,35,0.525,18.7,15,39,0.5379999999999999,21,0.33299999999999996,3,"December 4, 2019",51.9,14,10.3,4,95.8,75.0,24,0.46799999999999997,63,0.429,27,0.33299999999999996,21,0.857,18,4,200,106.9,25.0,9,16,77,,8.3,6,0.349,22,0.22699999999999998,5,48.5,33,0.528,8.8,7,41,0.537,22,0.5,4,"DeGol Arena, Loretto, Pennsylvania",LEHIGH,Lehigh,71.9,Home,SAINT-FRANCIS-PA,Saint Francis (PA),Lehigh,patriot,8,False,False,False,Away,False,7,21,61,35,68,5,22,63,0,1,41,174,482,0.4885892116182573,266,526,0.5057034220532319,70,120,480,0.46875,0.375
9,2019-12-07-19-lehigh,75.0,21,9.5,4,91.5,80.8,21,0.573,55,0.509,28,0.4,22,0.682,15,3,200,109.9,25.0,8,13,78,,9.9,7,0.418,23,0.304,7,50.0,29,0.596,14.5,11,32,0.6559999999999999,21,0.727,8,"December 7, 2019",48.1,13,3.1,1,109.9,75.0,24,0.518,55,0.491,27,0.182,10,0.8,8,7,200,91.5,19.2,5,20,65,,7.0,5,0.23600000000000002,13,0.231,3,50.0,29,0.544,23.3,18,42,0.5710000000000001,24,0.3,3,"Stabler Arena, Bethlehem, Pennsylvania",LEHIGH,Lehigh,70.6,Away,YALE,Yale,Lehigh,patriot,9,False,True,True,Home,False,3,24,55,29,58,7,21,55,0,1,48,195,543,0.4917127071823205,301,594,0.5067340067340067,75,142,543,0.4686924493554328,0.3333333333333333
