,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MISSISSIPPI_homegame,MISSISSIPPI_homegame2,MISSISSIPPI_home,MISSISSIPPI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-08-19-mississippi,80.0,12,6.7,2,98.6,67.9,19,0.391,46,0.326,15,0.261,12,0.583,7,1,200,59.7,4.0,1,19,43,,15.3,11,0.413,19,0.316,6,37.7,20,0.41600000000000004,31.0,23,27,0.33299999999999996,9,0.5,1,"November 8, 2019",64.0,16,11.1,3,59.7,96.0,24,0.518,56,0.446,25,0.35700000000000004,20,0.65,13,0,200,98.6,32.1,9,20,71,,19.4,14,0.46399999999999997,26,0.308,8,62.3,33,0.542,17.8,14,30,0.5670000000000001,17,1.0,1,"The Pavilion at Ole Miss, Oxford, Mississippi",ARKANSAS-STATE,Arkansas State,72.1,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,0,True,False,True,Home,True,8,17,56,33,53,6,9,46,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-12-19-mississippi,47.1,8,8.3,3,98.6,82.1,23,0.375,52,0.327,17,0.40399999999999997,21,0.762,16,1,200,79.7,22.9,8,21,55,,11.6,8,0.40399999999999997,21,0.23800000000000002,5,49.2,31,0.444,21.7,17,31,0.387,12,0.667,2,"November 12, 2019",53.8,14,9.7,3,79.7,77.1,27,0.5589999999999999,51,0.51,26,0.33299999999999996,17,0.647,11,0,200,98.6,17.9,5,16,68,,17.4,12,0.294,15,0.33299999999999996,5,50.8,32,0.5760000000000001,17.0,12,36,0.583,21,1.0,2,"The Pavilion at Ole Miss, Oxford, Mississippi",NORFOLK-STATE,Norfolk State,68.5,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,1,True,False,True,Home,True,5,21,51,32,63,5,12,52,1,0,8,17,56,0.5178571428571429,33,53,0.6226415094339622,6,9,46,0.39130434782608703,1.0
2,2019-11-15-19-mississippi,45.0,9,6.5,3,110.4,67.9,19,0.381,59,0.33899999999999997,20,0.28800000000000003,17,0.765,13,1,200,75.3,24.2,8,19,58,,6.5,5,0.542,32,0.156,5,44.3,27,0.4320000000000001,22.2,19,27,0.556,15,0.75,3,"November 15, 2019",50.0,16,18.5,5,75.3,75.8,25,0.5660000000000001,61,0.525,32,0.32799999999999996,20,0.8,16,0,200,110.4,32.1,9,20,85,,13.0,10,0.24600000000000002,15,0.33299999999999996,5,55.7,34,0.603,16.7,14,46,0.5870000000000001,27,1.0,3,"The Pavilion at Ole Miss, Oxford, Mississippi",WESTERN-MICHIGAN,Western Michigan,76.8,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,2,True,False,True,Home,True,5,27,61,34,61,5,15,59,1,0,13,38,107,0.5373831775700935,65,116,0.5603448275862069,11,21,98,0.3826530612244898,1.0
3,2019-11-19-19-mississippi,43.8,7,9.4,3,100.0,61.5,16,0.321,56,0.28600000000000003,16,0.321,18,0.889,16,4,200,80.0,30.6,11,17,52,,9.2,6,0.304,17,0.235,4,43.5,27,0.40299999999999997,15.8,12,39,0.308,12,0.33299999999999996,2,"November 19, 2019",71.4,15,2.6,1,80.0,69.4,25,0.469,49,0.429,21,0.449,22,0.8640000000000001,19,0,200,100.0,38.5,10,18,65,,10.8,7,0.34700000000000003,17,0.235,4,56.5,35,0.547,20.4,15,32,0.531,17,1.0,4,"The Pavilion at Ole Miss, Oxford, Mississippi",SEATTLE,Seattle,65.0,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,3,True,False,True,Home,True,4,17,49,35,62,4,12,56,1,0,18,65,168,0.5476190476190477,99,177,0.559322033898305,16,36,157,0.3821656050955414,1.0
4,2019-11-23-13-memphis,73.1,19,6.4,3,106.1,70.0,21,0.485,66,0.39399999999999996,26,0.455,30,0.733,22,1,200,104.9,35.1,13,30,86,,9.8,8,0.409,27,0.444,12,50.7,34,0.536,15.9,15,39,0.359,14,0.8,4,"November 23, 2019",50.0,15,23.1,9,104.9,64.9,24,0.5429999999999999,58,0.517,30,0.621,36,0.667,24,1,200,106.1,30.0,9,26,87,16.0,13.4,11,0.19,11,0.273,3,49.3,33,0.579,17.8,16,47,0.574,27,0.833,5,"FedExForum, Memphis, Tennessee",MISSISSIPPI,Ole Miss,82.2,Home,MEMPHIS,Memphis,Mississippi,sec,4,False,False,False,Away,False,12,14,66,34,67,3,27,58,0,1,22,82,217,0.5299539170506913,134,239,0.5606694560669456,20,48,213,0.3661971830985916,1.0
5,2019-11-27-17-penn-state,53.8,14,7.7,3,93.5,80.6,25,0.47600000000000003,62,0.419,26,0.306,19,0.789,15,1,200,96.1,24.2,8,18,74,,10.4,8,0.258,16,0.43799999999999994,7,51.6,33,0.521,17.6,15,46,0.413,19,0.833,5,"November 27, 2019",61.5,16,26.1,12,96.1,75.8,25,0.491,58,0.44799999999999995,26,0.31,18,0.833,15,1,200,93.5,19.4,6,20,72,,13.0,10,0.32799999999999996,19,0.263,5,48.4,31,0.541,19.5,16,39,0.5379999999999999,21,0.833,5,"Barclays Center, Brooklyn, New York",PENN-STATE,Penn State,77.3,Away,MISSISSIPPI,Ole Miss,Mississippi,sec,5,False,False,False,Away,True,7,19,62,33,64,5,21,58,1,0,34,96,283,0.519434628975265,168,306,0.5490196078431373,23,75,271,0.4040590405904059,0.8
6,2019-11-29-21-oklahoma-state,60.0,9,2.9,1,102.6,81.3,26,0.267,58,0.259,15,0.19,11,0.545,6,2,200,48.7,18.6,8,12,37,,9.2,7,0.345,20,0.05,1,45.3,34,0.293,24.1,20,38,0.368,14,0.7140000000000001,5,"November 29, 2019",39.3,11,13.2,5,48.7,81.4,35,0.516,62,0.452,28,0.242,15,0.9329999999999999,14,0,200,102.6,18.8,6,14,78,,14.5,11,0.435,27,0.29600000000000004,8,54.7,41,0.564,15.9,13,35,0.5710000000000001,20,1.0,7,"Barclays Center, Brooklyn, New York",MISSISSIPPI,Ole Miss,75.7,Home,OKLAHOMA-STATE,Oklahoma State,Mississippi,sec,6,False,False,False,Away,False,1,14,58,34,75,8,20,62,0,1,41,115,345,0.5115942028985507,201,370,0.5432432432432432,28,96,329,0.4194528875379939,0.8333333333333334
7,2019-12-03-19-mississippi,58.3,14,0.0,0,90.6,78.4,29,0.596,47,0.511,24,0.319,15,0.733,11,0,200,104.7,12.5,3,15,67,24.0,7.8,5,0.36200000000000004,17,0.47100000000000003,8,52.5,32,0.619,19.5,13,30,0.5329999999999999,16,1.0,8,"December 3, 2019",72.7,16,3.3,1,104.7,87.5,21,0.46399999999999997,55,0.4,22,0.273,15,0.467,7,3,200,90.6,21.6,8,16,58,,10.9,7,0.4,22,0.318,7,47.5,29,0.467,14.0,10,33,0.455,15,0.625,5,"The Pavilion at Ole Miss, Oxford, Mississippi",MISSISSIPPI,Ole Miss,64.1,Away,BUTLER,Butler,Mississippi,sec,7,False,True,True,Home,False,7,15,55,29,61,8,16,47,0,1,42,129,403,0.4764267990074442,235,445,0.5280898876404494,36,116,391,0.43478260869565216,0.7142857142857143
8,2019-12-07-14-mississippi,69.6,16,3.7,1,133.9,83.3,20,0.521,47,0.489,23,0.638,30,0.6,18,7,200,108.1,44.0,11,23,67,,4.8,3,0.255,12,0.25,3,63.3,31,0.547,14.2,10,35,0.5710000000000001,20,0.364,4,"December 7, 2019",69.2,18,5.7,2,108.1,56.0,14,0.6559999999999999,45,0.578,26,0.8,36,0.667,24,3,200,133.9,16.7,4,19,83,,6.5,4,0.4,18,0.389,7,36.7,18,0.6679999999999999,9.0,6,27,0.7040000000000001,19,0.667,6,"The Pavilion at Ole Miss, Oxford, Mississippi",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,62.2,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,8,True,False,True,Home,True,7,19,45,18,49,3,20,47,1,0,49,144,458,0.4748908296943232,264,506,0.5217391304347826,44,132,438,0.4520547945205479,0.625
9,2019-12-14-15-mississippi,53.8,14,3.2,1,115.5,84.0,21,0.466,59,0.441,26,0.305,18,0.5,9,7,200,90.1,22.9,8,18,64,,8.5,6,0.305,18,0.16699999999999998,3,48.3,29,0.474,15.2,12,41,0.561,23,0.364,4,"December 14, 2019",82.1,23,9.8,4,90.1,77.1,27,0.66,53,0.528,28,0.302,16,0.75,12,3,200,115.5,16.0,4,19,82,,11.3,8,0.415,22,0.636,14,51.7,31,0.677,18.9,14,31,0.452,14,0.7,7,"The Pavilion at Ole Miss, Oxford, Mississippi",MIDDLE-TENNESSEE,Middle Tennessee,71.1,Home,MISSISSIPPI,Ole Miss,Mississippi,sec,9,True,False,True,Home,True,14,14,53,31,60,3,23,59,1,0,56,163,503,0.4910536779324056,282,555,0.5081081081081081,47,152,485,0.4587628865979381,0.6666666666666666
