,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,RICE_homegame,RICE_homegame2,RICE_home,RICE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-arkansas,43.8,7,4.8,2,107.1,74.1,20,0.304,56,0.28600000000000003,16,0.268,15,0.6,9,1,200,50.6,10.3,4,16,43,,10.6,9,0.446,25,0.08,2,36.4,24,0.341,27.7,24,31,0.452,14,0.0,0,"November 5, 2019",51.4,19,16.1,5,50.6,89.7,35,0.627,67,0.552,37,0.16399999999999998,11,0.636,7,0,200,107.1,25.9,7,16,91,,16.5,14,0.373,25,0.4,10,63.6,42,0.63,22.6,21,42,0.643,27,1.0,1,"Bud Walton Arena, Fayetteville, Arkansas",RICE,Rice,84.7,Home,ARKANSAS,Arkansas,Rice,cusa,0,False,False,False,Away,False,2,14,56,24,66,10,27,67,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-rice,32.0,8,10.3,4,106.7,71.4,25,0.408,65,0.385,25,0.231,15,0.5329999999999999,8,1,200,81.3,12.2,5,11,61,,6.7,5,0.33799999999999997,22,0.136,3,39.5,30,0.423,11.2,9,43,0.512,22,0.5,1,"November 9, 2019",48.3,14,18.6,8,81.3,87.8,36,0.523,65,0.446,29,0.215,14,0.857,12,1,200,106.7,28.6,10,13,80,,5.3,4,0.4,26,0.385,10,60.5,46,0.5579999999999999,14.4,12,39,0.48700000000000004,19,0.5,1,"Tudor Fieldhouse, Houston, Texas",PENNSYLVANIA,Penn,74.9,Home,RICE,Rice,Rice,cusa,1,True,False,True,Home,True,10,19,65,46,76,3,22,65,1,0,2,14,56,0.3035714285714285,24,66,0.3636363636363637,10,27,67,0.6268656716417911,0.0
2,2019-11-10-17-rice,22.2,4,11.1,4,97.0,62.9,22,0.31,63,0.28600000000000003,18,0.079,5,0.2,1,0,200,59.7,25.0,11,9,40,,9.0,6,0.254,16,0.188,3,41.8,33,0.306,15.5,12,47,0.319,15,0.0,0,"November 10, 2019",53.8,14,12.8,6,59.7,75.0,33,0.47600000000000003,62,0.419,26,0.129,8,0.75,6,1,200,97.0,37.1,13,10,65,,11.9,8,0.419,26,0.26899999999999996,7,58.2,46,0.494,18.6,15,36,0.528,19,0.667,2,"Tudor Fieldhouse, Houston, Texas","Wayland Baptist
			","Wayland Baptist
			",67.1,Home,RICE,Rice,Rice,cusa,2,True,False,True,Home,True,7,19,62,46,79,3,15,63,1,0,12,33,121,0.4214876033057851,70,142,0.4929577464788733,13,49,132,0.5189393939393939,0.5
3,2019-11-12-19-northwestern-state,75.0,18,14.7,5,97.4,89.7,26,0.517,60,0.4,24,0.4,24,0.75,18,1,200,105.3,21.6,8,21,80,,13.2,10,0.583,35,0.4,14,51.5,34,0.56,14.5,12,25,0.4,10,0.75,3,"November 12, 2019",30.4,7,12.0,3,105.3,78.4,29,0.5,54,0.426,23,0.444,24,0.833,20,2,200,97.4,10.3,3,22,74,,6.6,5,0.37,20,0.4,8,48.5,32,0.5660000000000001,17.8,14,34,0.441,15,0.33299999999999996,1,"Prather Coliseum, Natchitoches, Louisiana",NORTHWESTERN-STATE,Northwestern State,75.9,Away,RICE,Rice,Rice,cusa,3,False,False,False,Away,True,14,10,60,34,66,8,15,54,1,0,19,52,183,0.4398907103825137,116,221,0.5248868778280543,16,64,195,0.4512820512820513,0.6666666666666666
4,2019-11-16-17-california-santa-barbara,60.7,17,2.2,1,114.1,84.6,22,0.6509999999999999,53,0.528,28,0.34,18,0.722,13,1,200,115.5,20.7,6,16,82,,5.6,4,0.47200000000000003,25,0.52,13,50.9,28,0.6659999999999999,17.6,13,28,0.536,15,0.8,4,"November 16, 2019",61.8,21,3.6,1,115.5,79.3,23,0.607,61,0.557,34,0.18,11,0.636,7,2,200,114.1,15.4,4,14,81,,8.5,6,0.24600000000000002,15,0.4,6,49.1,27,0.612,14.3,11,46,0.609,28,0.33299999999999996,1,"The Thunderdome, Santa Barbara, California",CALIFORNIA-SANTA-BARBARA,UCSB,70.9,Away,RICE,Rice,Rice,cusa,4,False,False,False,Away,True,13,15,53,28,55,6,28,61,1,0,33,62,243,0.4588477366255144,150,287,0.5226480836236934,24,79,249,0.461847389558233,0.75
5,2019-11-19-20-rice,42.4,14,3.3,1,114.1,83.3,30,0.59,67,0.493,33,0.418,28,0.643,18,1,200,124.4,42.1,16,24,97,,7.7,6,0.38799999999999996,26,0.5,13,62.2,46,0.604,13.1,12,41,0.488,20,0.667,2,"November 19, 2019",53.6,15,0.0,0,124.4,57.9,22,0.5660000000000001,61,0.45899999999999996,28,0.4920000000000001,30,0.667,20,2,200,114.1,16.7,6,19,89,,9.0,7,0.508,31,0.419,13,37.8,28,0.591,12.9,11,30,0.5,15,0.667,4,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,78.3,Away,HOUSTON,Houston,Rice,cusa,5,False,True,True,Home,False,13,15,61,28,74,13,20,67,0,1,46,77,296,0.4932432432432433,178,342,0.52046783625731,30,107,310,0.4903225806451613,0.8
6,2019-11-22-14-milwaukee,61.9,13,4.7,2,90.8,72.0,36,0.595,42,0.5,21,0.9520000000000001,40,0.625,25,2,200,98.7,11.1,3,24,75,,9.2,7,0.5479999999999999,23,0.348,8,50.6,39,0.615,23.2,18,19,0.684,13,0.7140000000000001,5,"November 22, 2019",28.0,7,0.0,0,98.7,88.9,24,0.406,69,0.36200000000000004,25,0.304,21,0.619,13,2,200,90.8,28.0,14,27,69,,5.3,4,0.377,26,0.231,6,49.4,38,0.4370000000000001,12.3,11,43,0.442,19,0.667,4,"Baha Mar Convention Center, Nassau",MILWAUKEE,Milwaukee,76.0,Away,RICE,Rice,Rice,cusa,6,False,False,False,Away,True,8,13,42,39,77,6,19,69,1,0,59,92,357,0.5056022408963585,206,416,0.4951923076923077,43,127,377,0.5079575596816976,0.6666666666666666
7,2019-11-23-17-rice,46.2,12,12.0,3,85.5,77.4,24,0.536,55,0.473,26,0.327,18,0.667,12,0,200,102.9,17.6,6,10,71,,8.7,6,0.418,23,0.304,7,46.2,30,0.5589999999999999,12.5,9,32,0.594,19,1.0,7,"November 23, 2019",45.0,9,3.1,1,102.9,82.4,28,0.43,57,0.35100000000000003,20,0.24600000000000002,14,0.7140000000000001,10,3,200,85.5,22.6,7,17,59,,2.9,2,0.561,32,0.281,9,53.8,35,0.46299999999999997,18.1,14,25,0.44,11,0.625,5,"Baha Mar Convention Center, Nassau",RICE,Rice,68.6,Away,LIBERTY,Liberty,Rice,cusa,7,False,True,True,Home,False,9,11,57,35,65,7,19,55,0,1,67,105,399,0.5150375939849624,245,493,0.4969574036511156,49,146,446,0.4921524663677129,0.7142857142857143
8,2019-11-24-17-east-carolina,50.0,12,1.9,1,90.8,58.1,25,0.5,56,0.429,24,0.518,29,0.7240000000000001,21,3,200,101.3,28.6,8,20,77,,3.9,3,0.48200000000000004,27,0.29600000000000004,8,46.5,33,0.552,16.9,14,29,0.552,16,0.667,6,"November 24, 2019",15.4,4,6.9,2,101.3,71.4,20,0.368,72,0.361,26,0.306,22,0.727,16,5,200,90.8,41.9,18,26,69,,5.3,4,0.278,20,0.05,1,53.5,38,0.418,11.9,11,52,0.48100000000000004,25,0.28600000000000003,2,"Baha Mar Convention Center, Nassau",EAST-CAROLINA,East Carolina,75.6,Away,RICE,Rice,Rice,cusa,8,False,False,False,Away,True,8,16,56,33,71,1,25,72,1,0,76,116,456,0.5043859649122807,280,558,0.5017921146953405,56,165,501,0.4970059880239521,0.625
9,2019-12-07-15-lamar,77.8,14,5.1,2,98.6,71.9,23,0.44299999999999995,53,0.34,18,0.377,20,0.65,13,4,200,81.1,25.7,9,21,60,,5.4,4,0.528,28,0.39299999999999996,11,47.8,32,0.48,25.4,21,25,0.28,7,0.6,6,"December 7, 2019",48.1,13,32.0,8,81.1,74.3,26,0.509,57,0.474,27,0.35100000000000003,20,0.75,15,4,200,98.6,28.1,9,21,73,,10.8,8,0.316,18,0.222,4,52.2,35,0.5489999999999999,19.6,16,39,0.59,23,0.556,5,"Montagne Center, Beaumont, Texas",RICE,Rice,74.0,Home,LAMAR,Lamar,Rice,cusa,9,False,False,False,Away,False,11,7,53,32,67,4,23,57,0,1,84,132,512,0.50390625,313,629,0.4976152623211447,57,190,573,0.480802792321117,0.6666666666666666
