,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,KANSAS_homegame,KANSAS_homegame2,KANSAS_home,KANSAS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-duke,56.5,13,12.5,5,86.1,73.2,30,0.5,50,0.46,23,0.52,26,0.615,16,1,200,83.5,34.5,10,20,66,3.0,13.9,11,0.18,9,0.444,4,57.1,40,0.529,29.7,26,41,0.46299999999999997,19,0.0,0,"November 5, 2019",52.2,12,7.3,3,83.5,65.5,19,0.42200000000000004,64,0.359,23,0.359,23,0.609,14,0,200,86.1,26.8,11,17,68,4.0,13.9,11,0.375,24,0.33299999999999996,8,42.9,30,0.45399999999999996,17.8,16,40,0.375,15,1.0,1,"Madison Square Garden (IV), New York, New York",KANSAS,Kansas,79.1,Home,DUKE,Duke,Kansas,big-12,0,False,False,False,Away,False,4,19,50,40,70,8,15,64,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-21-kansas,45.8,11,9.1,3,107.2,70.6,24,0.452,62,0.387,24,0.21,13,0.462,6,1,200,89.9,21.1,8,18,62,,7.2,5,0.5,31,0.258,8,44.4,32,0.455,11.7,9,31,0.516,16,0.5,1,"November 8, 2019",55.6,15,6.5,2,89.9,78.9,30,0.542,59,0.45799999999999996,27,0.322,19,0.526,10,1,200,107.2,29.4,10,12,74,3.0,7.2,5,0.441,26,0.385,10,55.6,40,0.544,12.9,10,33,0.515,17,0.5,1,"Allen Fieldhouse, Lawrence, Kansas",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,68.6,Home,KANSAS,Kansas,Kansas,big-12,1,True,False,True,Home,True,10,17,59,40,72,8,16,62,1,0,4,19,50,0.5,40,70,0.5714285714285714,8,15,64,0.421875,0.0
2,2019-11-15-20-kansas,55.6,10,8.3,3,143.6,65.6,21,0.33299999999999996,60,0.3,18,0.38299999999999995,23,0.7390000000000001,17,3,200,73.1,16.7,6,24,57,,5.1,4,0.3670000000000001,22,0.182,4,39.7,27,0.402,17.6,15,38,0.368,14,0.25,1,"November 15, 2019",59.5,22,13.2,5,73.1,83.3,30,0.667,66,0.561,37,0.47,31,0.774,24,1,200,143.6,34.4,11,20,112,5.0,14.1,11,0.455,30,0.467,14,60.3,41,0.6940000000000001,8.1,7,36,0.639,23,0.667,2,"Allen Fieldhouse, Lawrence, Kansas",MONMOUTH,Monmouth,78.3,Home,KANSAS,Kansas,Kansas,big-12,2,True,False,True,Home,True,14,23,66,41,68,4,14,60,1,0,14,36,109,0.5229357798165137,80,142,0.5633802816901409,16,31,126,0.4365079365079365,0.5
3,2019-11-19-20-kansas,52.2,12,10.0,4,104.2,80.8,21,0.45799999999999996,60,0.38299999999999995,23,0.25,15,0.5329999999999999,8,1,200,87.5,31.4,11,19,63,,15.3,11,0.5,30,0.3,9,52.5,32,0.469,19.4,16,30,0.467,14,0.75,3,"November 19, 2019",63.3,19,26.7,8,87.5,68.6,24,0.565,54,0.556,30,0.33299999999999996,18,0.778,14,1,200,104.2,19.2,5,16,75,4.0,19.4,14,0.259,14,0.071,1,47.5,29,0.6,19.5,15,40,0.725,29,0.75,3,"Allen Fieldhouse, Lawrence, Kansas",EAST-TENNESSEE-STATE,ETSU,72.3,Home,KANSAS,Kansas,Kansas,big-12,3,True,False,True,Home,True,1,29,54,29,61,9,14,60,1,0,28,59,175,0.5771428571428572,121,210,0.5761904761904761,20,45,186,0.4032258064516129,0.6666666666666666
4,2019-11-25-21-chaminade,44.7,17,10.3,3,80.8,78.3,18,0.638,69,0.551,38,0.159,11,0.455,5,1,200,119.2,33.3,10,16,93,4.0,14.1,11,0.42,29,0.414,12,52.8,28,0.626,15.9,14,40,0.65,26,0.8,4,"November 25, 2019",56.5,13,0.0,0,119.2,66.7,20,0.53,50,0.46,23,0.28,14,0.7140000000000001,10,0,200,80.8,21.7,5,14,63,,10.3,8,0.42,21,0.33299999999999996,7,47.2,25,0.556,32.5,27,29,0.552,16,0.0,0,"Lahaina Civic Center, Lahaina, Hawaii","Chaminade
			","Chaminade
			",78.4,Away,KANSAS,Kansas,Kansas,big-12,4,False,False,False,Away,True,12,26,69,28,53,7,16,50,1,0,29,88,229,0.5742358078602621,150,271,0.5535055350553506,29,59,246,0.4166666666666667,0.75
5,2019-11-26-22-brigham-young,62.1,18,4.8,1,80.0,83.3,25,0.508,61,0.475,29,0.24600000000000002,15,0.6,9,1,200,101.4,25.7,9,10,71,4.0,12.9,9,0.295,18,0.222,4,52.3,34,0.521,15.1,12,43,0.581,25,0.833,5,"November 26, 2019",63.6,14,2.3,1,101.4,74.3,26,0.491,54,0.40700000000000003,22,0.07400000000000001,4,0.75,3,3,200,80.0,16.7,5,17,56,,7.1,5,0.611,33,0.273,9,47.7,31,0.501,24.4,18,21,0.619,13,0.5710000000000001,4,"Lahaina Civic Center, Lahaina, Hawaii",BRIGHAM-YOUNG,BYU,70.0,Away,KANSAS,Kansas,Kansas,big-12,5,False,False,False,Away,True,4,25,61,34,65,9,13,54,1,0,41,114,298,0.5889261744966443,178,324,0.5493827160493827,36,75,296,0.4358108108108108,0.8
6,2019-11-27-17-kansas,70.4,19,10.4,5,113.9,80.0,24,0.565,62,0.435,27,0.306,19,0.737,14,1,225,106.3,9.7,3,25,84,,7.6,6,0.532,33,0.485,16,44.3,27,0.591,14.6,12,29,0.379,11,0.833,5,"November 27, 2019",36.4,12,17.2,5,106.3,90.3,28,0.593,59,0.5589999999999999,33,0.475,28,0.7140000000000001,20,1,225,113.9,20.0,6,20,90,4.0,8.9,7,0.18600000000000005,11,0.364,4,55.7,34,0.622,13.4,11,48,0.604,29,0.857,6,"Lahaina Civic Center, Lahaina, Hawaii",DAYTON,Dayton,69.9,Home,KANSAS,Kansas,Kansas,big-12,6,True,False,True,Home,True,4,29,59,34,61,16,11,62,1,0,45,139,359,0.575208913649025,212,389,0.5449871465295629,45,88,350,0.4442857142857143,0.8333333333333334
7,2019-12-07-19-kansas,38.9,7,0.0,0,100.0,67.9,19,0.358,60,0.3,18,0.35,21,0.7140000000000001,15,1,200,80.6,33.3,14,15,58,20.0,15.3,11,0.5670000000000001,34,0.20600000000000002,7,47.1,33,0.414,18.8,16,26,0.423,11,0.875,7,"December 7, 2019",51.9,14,15.4,4,80.6,66.7,28,0.588,51,0.529,27,0.373,19,0.632,12,1,200,100.0,32.1,9,19,72,2.0,12.5,9,0.255,13,0.462,6,52.9,37,0.6,26.1,21,38,0.5529999999999999,21,0.875,7,"Allen Fieldhouse, Lawrence, Kansas",COLORADO,Colorado,72.0,Home,KANSAS,Kansas,Kansas,big-12,7,True,False,True,Home,True,6,21,51,37,70,7,11,60,1,0,49,168,418,0.5777511961722488,246,450,0.5466666666666666,61,99,412,0.4623786407766991,0.8571428571428571
8,2019-12-10-20-kansas,50.0,12,9.7,3,133.8,55.6,15,0.41700000000000004,66,0.364,24,0.22699999999999998,15,0.867,13,5,200,95.8,21.1,8,20,68,,4.2,3,0.53,35,0.2,7,35.4,23,0.465,8.8,7,31,0.5479999999999999,17,0.5,5,"December 10, 2019",71.9,23,9.7,3,95.8,78.9,30,0.644,59,0.542,32,0.45799999999999996,27,0.7040000000000001,19,1,200,133.8,44.4,12,15,95,2.0,7.0,5,0.475,28,0.429,12,64.6,42,0.6609999999999999,13.4,11,31,0.645,20,0.889,8,"Allen Fieldhouse, Lawrence, Kansas",MILWAUKEE,Milwaukee,71.5,Home,KANSAS,Kansas,Kansas,big-12,8,True,False,True,Home,True,12,20,59,42,65,7,17,66,1,0,55,189,469,0.5788912579957356,283,520,0.5442307692307692,68,110,472,0.4491525423728814,0.875
9,2019-12-14-17-kansas,50.0,11,0.0,0,134.2,62.1,18,0.51,52,0.423,22,0.115,6,0.667,4,7,200,78.1,12.9,4,13,57,,6.8,5,0.34600000000000003,18,0.5,9,36.7,22,0.52,28.7,22,34,0.382,13,0.41700000000000004,5,"December 14, 2019",52.6,20,26.5,9,78.1,87.1,27,0.636,66,0.5760000000000001,38,0.273,18,0.778,14,1,200,134.2,37.9,11,10,98,2.0,13.7,10,0.348,23,0.348,8,63.3,38,0.657,11.9,10,43,0.698,30,0.9,9,"Sprint Center, Kansas City, Missouri",MISSOURI-KANSAS-CITY,UMKC,73.2,Home,KANSAS,Kansas,Kansas,big-12,9,True,False,True,Home,True,8,30,66,38,60,9,13,52,1,0,67,209,528,0.5861742424242424,325,585,0.5555555555555556,75,127,538,0.4451672862453532,0.8888888888888888
