,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LOUISIANA-STATE_homegame,LOUISIANA-STATE_homegame2,LOUISIANA-STATE_home,LOUISIANA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-08-20-louisiana-state,50.0,12,0.0,0,108.6,75.8,25,0.413,75,0.32,24,0.28,21,0.81,17,1,200,97.5,28.0,14,23,79,,13.6,11,0.467,35,0.4,14,47.0,39,0.465,9.7,9,40,0.25,10,0.5,1,"November 8, 2019",40.7,11,20.0,8,97.5,72.0,36,0.535,57,0.474,27,0.596,34,0.794,27,0,200,108.6,24.2,8,18,88,22.0,3.7,3,0.316,18,0.389,7,53.0,44,0.602,18.2,16,39,0.513,20,1.0,1,"Maravich Assembly Center, Baton Rouge, Louisiana",BOWLING-GREEN-STATE,Bowling Green State,80.6,Home,LOUISIANA-STATE,LSU,Louisiana State,sec,0,True,False,True,Home,True,7,20,57,44,83,14,10,75,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-13-18-virginia-commonwealth,29.0,9,11.4,4,105.0,61.8,21,0.575,60,0.517,31,0.28300000000000003,17,0.765,13,1,200,102.5,41.9,13,25,82,23.0,8.8,7,0.28300000000000003,17,0.41200000000000003,7,52.3,34,0.602,27.8,26,43,0.5579999999999999,24,0.5,1,"November 13, 2019",50.0,13,16.3,7,102.5,58.1,18,0.484,63,0.413,26,0.46,29,0.7929999999999999,23,0,200,105.0,38.2,13,19,84,,17.5,14,0.444,28,0.321,9,47.7,31,0.547,17.4,16,35,0.486,17,1.0,3,"Stuart Siegel Center, Richmond, Virginia",LOUISIANA-STATE,LSU,80.4,Home,VIRGINIA-COMMONWEALTH,VCU,Louisiana State,sec,1,False,False,False,Away,False,7,24,60,34,65,9,17,63,0,1,7,20,57,0.5350877192982456,44,83,0.5301204819277109,14,10,75,0.4133333333333333,1.0
2,2019-11-16-16-louisiana-state,50.0,12,5.3,2,97.4,53.1,17,0.452,62,0.387,24,0.177,11,0.818,9,2,200,84.4,25.6,10,20,65,,14.3,11,0.419,26,0.308,8,38.0,27,0.483,23.0,20,36,0.444,16,0.5,2,"November 16, 2019",42.9,12,13.9,5,84.4,74.4,29,0.527,56,0.5,28,0.41100000000000003,23,0.696,16,1,200,97.4,46.9,15,13,75,23.0,9.1,7,0.321,18,0.16699999999999998,3,62.0,44,0.56,26.6,24,38,0.6579999999999999,25,0.667,2,"Maravich Assembly Center, Baton Rouge, Louisiana",NICHOLLS-STATE,Nicholls State,76.6,Home,LOUISIANA-STATE,LSU,Louisiana State,sec,2,True,False,True,Home,True,3,25,56,44,71,8,16,62,1,0,14,44,117,0.5555555555555556,78,148,0.527027027027027,23,27,138,0.44565217391304346,0.5
3,2019-11-19-19-louisiana-state,52.6,10,5.7,2,108.5,63.6,21,0.35200000000000004,61,0.311,19,0.262,16,0.43799999999999994,7,1,200,70.4,20.0,9,18,50,,5.6,4,0.541,33,0.152,5,38.5,30,0.364,13.9,11,28,0.5,14,0.8,4,"November 19, 2019",48.3,14,10.7,3,70.4,80.0,36,0.534,59,0.4920000000000001,29,0.373,22,0.636,14,1,200,108.5,36.4,12,16,77,,12.7,9,0.40700000000000003,24,0.20800000000000002,5,61.5,48,0.5539999999999999,16.9,14,35,0.6859999999999999,24,0.75,3,"Maravich Assembly Center, Baton Rouge, Louisiana",MARYLAND-BALTIMORE-COUNTY,UMBC,71.0,Home,LOUISIANA-STATE,LSU,Louisiana State,sec,3,True,False,True,Home,True,5,24,59,48,78,5,14,61,1,0,17,69,173,0.5462427745664741,122,219,0.5570776255707762,31,43,200,0.4475,0.6666666666666666
4,2019-11-22-19-utah-state,42.9,12,20.0,7,106.7,79.3,23,0.568,59,0.475,28,0.237,14,0.7859999999999999,11,2,200,104.0,23.3,7,18,78,,12.0,9,0.424,25,0.44,11,50.8,30,0.594,18.7,15,34,0.5,17,0.6,3,"November 22, 2019",72.0,18,0.0,0,104.0,76.7,23,0.535,57,0.439,25,0.40399999999999997,23,0.826,19,0,200,106.7,20.7,6,12,80,15.0,9.3,7,0.386,22,0.5,11,49.2,29,0.589,17.3,14,35,0.4,14,1.0,6,"Montego Bay Convention Centre, Montego Bay",LOUISIANA-STATE,LSU,74.8,Home,UTAH-STATE,Utah State,Louisiana State,sec,4,False,False,False,Away,False,11,17,59,30,59,11,14,57,0,1,22,93,232,0.5431034482758621,170,297,0.5723905723905723,36,57,261,0.4252873563218391,0.75
5,2019-11-24-14-rhode-island,50.0,19,2.0,1,106.4,79.4,27,0.6,70,0.5429999999999999,38,0.214,15,0.8,12,2,200,123.1,34.5,10,11,96,,7.7,6,0.28600000000000003,20,0.4,8,58.7,37,0.622,11.5,10,50,0.6,30,0.667,4,"November 24, 2019",38.2,13,6.0,3,123.1,65.5,19,0.529,69,0.493,34,0.23199999999999998,16,0.625,10,2,200,106.4,20.6,7,17,83,,9.0,7,0.275,19,0.263,5,41.3,26,0.542,11.6,10,50,0.58,29,0.667,4,"Montego Bay Convention Centre, Montego Bay",RHODE-ISLAND,Rhode Island,78.4,Away,LOUISIANA-STATE,LSU,Louisiana State,sec,5,False,False,False,Away,True,8,30,70,37,63,5,29,69,1,0,33,110,291,0.5481099656357389,200,356,0.5617977528089888,47,71,318,0.4449685534591195,0.6
6,2019-11-29-20-louisiana-state,26.1,6,5.9,2,117.7,75.0,18,0.456,57,0.40399999999999997,23,0.228,13,0.462,6,5,200,93.5,36.1,13,14,58,,6.5,4,0.298,17,0.353,6,51.7,31,0.45899999999999996,17.2,13,40,0.425,17,0.375,3,"November 29, 2019",48.3,14,10.0,4,93.5,63.9,23,0.583,54,0.537,29,0.259,14,0.7140000000000001,10,2,200,117.7,25.0,6,11,73,,9.7,6,0.37,20,0.25,5,48.3,29,0.602,9.1,6,34,0.706,24,0.7140000000000001,5,"Maravich Assembly Center, Baton Rouge, Louisiana",MISSOURI-STATE,Missouri State,61.9,Home,LOUISIANA-STATE,LSU,Louisiana State,sec,6,True,False,True,Home,True,5,24,54,29,60,6,17,57,1,0,41,140,361,0.5581717451523546,237,419,0.5656324582338902,52,100,387,0.4599483204134367,0.6666666666666666
7,2019-12-03-21-louisiana-state,43.5,10,0.0,0,123.3,71.4,20,0.397,63,0.365,23,0.095,6,0.667,4,5,200,74.0,20.0,8,15,54,,9.6,7,0.175,11,0.364,4,41.2,28,0.41,17.6,14,52,0.365,19,0.375,3,"December 3, 2019",67.6,23,13.5,7,74.0,80.0,32,0.589,62,0.5479999999999999,34,0.33899999999999997,21,0.81,17,2,200,123.3,28.6,8,8,90,,12.3,9,0.33899999999999997,21,0.23800000000000002,5,58.8,40,0.625,12.3,10,41,0.7070000000000001,29,0.75,6,"Maravich Assembly Center, Baton Rouge, Louisiana",NEW-ORLEANS,New Orleans,72.9,Home,LOUISIANA-STATE,LSU,Louisiana State,sec,7,True,False,True,Home,True,5,29,62,40,68,4,19,63,1,0,46,164,415,0.5614457831325301,266,479,0.5553235908141962,58,117,444,0.4594594594594595,0.7142857142857143
8,2019-12-08-16-louisiana-state,39.1,9,4.3,2,141.6,46.9,15,0.44299999999999995,61,0.377,23,0.098,6,0.833,5,6,200,76.6,21.6,8,18,59,,6.5,5,0.41,25,0.32,8,33.3,23,0.462,24.8,21,36,0.41700000000000004,15,0.25,2,"December 8, 2019",35.0,14,8.3,3,76.6,78.4,29,0.625,72,0.556,40,0.33299999999999996,24,0.792,19,2,200,141.6,53.1,17,11,109,,14.3,11,0.361,26,0.385,10,66.7,46,0.653,10.8,10,46,0.652,30,0.778,7,"Maravich Assembly Center, Baton Rouge, Louisiana",NORTHWESTERN-STATE,Northwestern State,76.6,Home,LOUISIANA-STATE,LSU,Louisiana State,sec,8,True,False,True,Home,True,10,30,72,46,69,8,15,61,1,0,51,193,477,0.5649895178197065,306,547,0.5594149908592322,62,136,507,0.4516765285996055,0.75
9,2019-12-18-19-louisiana-state,45.2,14,6.5,2,96.9,83.3,20,0.515,68,0.456,31,0.132,9,0.444,4,2,200,113.8,48.7,19,10,74,,7.7,5,0.382,26,0.308,8,61.9,39,0.512,10.0,8,42,0.5479999999999999,23,0.833,10,"December 18, 2019",56.0,14,14.3,6,113.8,51.3,20,0.5379999999999999,53,0.47200000000000003,25,0.151,8,0.75,6,3,200,96.9,16.7,4,15,63,,7.7,5,0.415,22,0.318,7,38.1,24,0.555,21.0,15,31,0.581,18,0.7,7,"Maravich Assembly Center, Baton Rouge, Louisiana",LOUISIANA-STATE,LSU,64.5,Away,EAST-TENNESSEE-STATE,ETSU,Louisiana State,sec,9,False,True,True,Home,False,7,18,53,24,63,8,23,68,0,1,61,223,549,0.5728597449908925,352,616,0.5714285714285714,70,151,568,0.4507042253521127,0.7777777777777778
