,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DEPAUL_homegame,DEPAUL_homegame2,DEPAUL_home,DEPAUL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-depaul,35.3,6,2.6,1,94.7,76.7,23,0.28,66,0.258,17,0.318,21,0.81,17,1,200,71.1,37.0,17,14,54,,11.8,9,0.364,24,0.125,3,52.6,40,0.355,18.4,17,42,0.33299999999999996,14,0.0,0,"November 5, 2019",41.4,12,11.9,5,71.1,63.0,29,0.56,58,0.5,29,0.259,15,0.467,7,0,200,94.7,23.3,7,21,72,,14.5,11,0.345,20,0.35,7,47.4,36,0.5529999999999999,20.8,17,38,0.579,22,1.0,1,"Wintrust Arena, Chicago, Illinois",ALCORN-STATE,Alcorn State,75.6,Home,DEPAUL,DePaul,DePaul,big-east,0,True,False,True,Home,True,7,22,58,36,76,3,14,66,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-06-20-depaul,75.0,12,2.6,1,115.1,91.7,22,0.395,57,0.281,16,0.298,17,0.588,10,0,200,75.3,18.2,8,16,55,,6.8,5,0.579,33,0.39399999999999996,13,44.1,30,0.423,16.8,13,24,0.125,3,0.0,0,"November 6, 2019",48.5,16,20.8,5,75.3,81.8,36,0.643,56,0.589,33,0.321,18,0.667,12,0,200,115.1,8.3,2,18,84,,11.0,8,0.304,17,0.353,6,55.9,38,0.6509999999999999,16.9,13,39,0.6920000000000001,27,1.0,2,"Wintrust Arena, Chicago, Illinois","Chicago
			","Chicago
			",72.8,Home,DEPAUL,DePaul,DePaul,big-east,1,True,False,True,Home,True,6,27,56,38,68,13,3,57,1,0,7,22,58,0.5603448275862069,36,76,0.4736842105263158,3,14,66,0.2803030303030303,1.0
2,2019-11-08-20-depaul,40.9,9,11.1,4,102.9,66.7,22,0.51,48,0.45799999999999996,22,0.292,14,0.7140000000000001,10,1,200,86.8,26.9,7,21,59,,5.9,4,0.292,14,0.35700000000000004,5,49.2,29,0.54,27.9,21,34,0.5,17,0.5,1,"November 8, 2019",54.2,13,11.8,4,86.8,73.1,19,0.509,54,0.444,24,0.519,28,0.536,15,0,200,102.9,33.3,11,17,70,,14.7,10,0.33299999999999996,18,0.389,7,50.8,30,0.52,15.3,12,36,0.47200000000000003,17,1.0,3,"Wintrust Arena, Chicago, Illinois",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,68.5,Home,DEPAUL,DePaul,DePaul,big-east,2,True,False,True,Home,True,7,17,54,30,59,5,17,48,1,0,13,49,114,0.6008771929824561,74,144,0.5138888888888888,16,17,123,0.3333333333333333,1.0
3,2019-11-11-20-iowa,57.1,20,21.1,8,95.1,78.1,25,0.711,57,0.614,35,0.35100000000000003,20,0.6,12,0,201,113.4,20.8,5,25,93,,14.6,12,0.35100000000000003,20,0.55,11,53.6,30,0.6990000000000001,22.4,19,37,0.649,24,1.0,4,"November 11, 2019",50.0,12,5.4,2,113.4,79.2,19,0.48200000000000004,56,0.429,24,0.5710000000000001,32,0.75,24,1,201,95.1,21.9,7,16,78,,12.2,10,0.321,18,0.33299999999999996,6,46.4,26,0.5479999999999999,21.3,19,38,0.474,18,0.5,1,"Carver-Hawkeye Arena, Iowa City, Iowa",IOWA,Iowa,81.4,Away,DEPAUL,DePaul,DePaul,big-east,3,False,False,False,Away,True,11,24,57,30,56,6,18,56,1,0,20,66,168,0.5714285714285714,104,203,0.5123152709359606,21,34,171,0.3830409356725146,1.0
4,2019-11-16-13-depaul,47.6,10,0.0,0,113.6,58.6,17,0.42100000000000004,57,0.368,21,0.21100000000000002,12,0.5,6,3,200,81.8,30.8,12,13,54,,15.2,10,0.474,27,0.222,6,42.6,29,0.431,18.4,14,30,0.5,15,0.25,1,"November 16, 2019",51.7,15,23.3,7,81.8,69.2,27,0.552,58,0.5,29,0.276,16,0.688,11,0,200,113.6,41.4,12,15,75,,15.2,10,0.36200000000000004,21,0.28600000000000003,6,57.4,39,0.5720000000000001,17.7,14,37,0.622,23,1.0,5,"Wintrust Arena, Chicago, Illinois",CORNELL,Cornell,66.2,Home,DEPAUL,DePaul,DePaul,big-east,4,True,False,True,Home,True,6,23,58,39,68,6,15,57,1,0,31,90,225,0.6066666666666667,134,259,0.5173745173745173,27,52,227,0.40748898678414097,1.0
5,2019-11-23-12-boston-college,57.7,15,21.9,7,89.3,88.2,30,0.46,63,0.413,26,0.28600000000000003,18,0.778,14,0,200,96.0,43.8,14,19,72,,6.7,5,0.28600000000000003,18,0.33299999999999996,6,66.7,44,0.503,18.4,16,45,0.444,20,1.0,6,"November 23, 2019",60.0,12,15.6,7,96.0,56.3,18,0.446,56,0.35700000000000004,20,0.33899999999999997,19,0.895,17,2,200,89.3,11.8,4,15,67,,10.7,8,0.429,24,0.41700000000000004,10,33.3,22,0.515,19.9,16,32,0.313,10,0.667,4,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,75.3,Away,DEPAUL,DePaul,DePaul,big-east,5,False,False,False,Away,True,6,20,63,44,66,10,10,56,1,0,37,113,283,0.5954063604240283,173,327,0.5290519877675841,33,67,284,0.4102112676056338,1.0
6,2019-11-26-20-depaul,42.3,11,4.3,2,107.3,64.7,22,0.434,68,0.382,26,0.309,21,0.762,16,2,200,91.5,20.5,8,20,75,,8.5,7,0.353,24,0.292,7,41.1,30,0.48100000000000004,14.4,13,44,0.4320000000000001,19,0.7140000000000001,5,"November 26, 2019",58.8,20,11.4,5,91.5,79.5,31,0.536,70,0.486,34,0.271,19,0.684,13,0,200,107.3,35.3,12,19,88,,13.4,11,0.34299999999999997,24,0.292,7,58.9,43,0.557,15.2,14,46,0.5870000000000001,27,1.0,7,"Wintrust Arena, Chicago, Illinois",CENTRAL-MICHIGAN,Central Michigan,82.0,Home,DEPAUL,DePaul,DePaul,big-east,6,True,False,True,Home,True,7,27,70,43,73,7,19,68,1,0,43,133,346,0.5708092485549133,217,393,0.5521628498727735,43,77,340,0.4161764705882353,1.0
7,2019-11-29-15-minnesota,53.8,14,28.1,9,100.0,61.5,24,0.484,62,0.419,26,0.32299999999999995,20,0.65,13,0,200,107.4,42.1,16,24,73,,8.8,6,0.258,16,0.5,8,51.9,40,0.51,13.4,11,46,0.391,18,1.0,8,"November 29, 2019",57.1,12,13.0,6,107.4,57.9,22,0.402,61,0.344,21,0.4920000000000001,30,0.633,19,4,200,100.0,38.5,15,19,68,,5.9,4,0.475,29,0.24100000000000002,7,48.1,37,0.452,11.9,10,32,0.43799999999999994,14,0.429,3,"Williams Arena, Minneapolis, Minnesota",MINNESOTA,Minnesota,68.4,Away,DEPAUL,DePaul,DePaul,big-east,7,False,False,False,Away,True,8,18,62,40,77,7,14,61,1,0,50,160,416,0.5649038461538461,260,466,0.5579399141630901,50,96,408,0.4191176470588235,1.0
8,2019-12-04-20-depaul,42.9,9,7.1,3,90.3,71.1,27,0.45299999999999996,53,0.396,21,0.28300000000000003,15,0.8,12,3,225,83.3,29.0,9,20,60,,6.9,5,0.34,18,0.33299999999999996,6,52.2,36,0.499,26.1,21,35,0.429,15,0.625,5,"December 4, 2019",68.0,17,17.1,6,83.3,71.0,22,0.4370000000000001,63,0.397,25,0.28600000000000003,18,0.556,10,0,225,90.3,28.9,11,17,65,,16.7,12,0.33299999999999996,21,0.23800000000000002,5,47.8,33,0.45399999999999996,14.5,12,42,0.47600000000000003,20,1.0,9,"Wintrust Arena, Chicago, Illinois",TEXAS-TECH,Texas Tech,64.3,Home,DEPAUL,DePaul,DePaul,big-east,8,True,False,True,Home,True,5,20,63,33,69,6,15,53,1,0,58,178,478,0.5543933054393305,300,543,0.5524861878453039,57,110,469,0.4168443496801706,1.0
9,2019-12-08-17-depaul,61.5,16,9.5,4,83.1,81.0,34,0.44299999999999995,70,0.371,26,0.22899999999999998,16,0.75,12,3,200,89.2,32.5,13,18,74,,14.5,12,0.44299999999999995,31,0.32299999999999995,10,57.3,47,0.47700000000000004,18.9,18,39,0.41,16,0.667,6,"December 8, 2019",40.7,11,28.2,11,89.2,67.5,27,0.47700000000000004,65,0.415,27,0.27699999999999997,18,0.389,7,1,200,83.1,19.0,8,17,69,,13.3,11,0.354,23,0.348,8,42.7,35,0.469,19.8,18,42,0.452,19,0.9,9,"Wintrust Arena, Chicago, Illinois",DEPAUL,DePaul,83.1,Away,BUFFALO,Buffalo,DePaul,big-east,9,False,True,True,Home,False,8,19,65,35,82,10,16,70,0,1,63,198,541,0.5406654343807763,333,612,0.5441176470588235,63,125,522,0.4204980842911877,1.0
