,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MILWAUKEE_homegame,MILWAUKEE_homegame2,MILWAUKEE_home,MILWAUKEE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-14-20-milwaukee,42.9,12,17.0,8,89.5,68.8,33,0.5529999999999999,57,0.491,28,0.281,16,0.75,12,4,200,98.7,41.9,13,17,75,,13.2,10,0.281,16,0.43799999999999994,7,58.2,46,0.58,24.7,21,41,0.512,21,0.6,6,"December 14, 2019",38.1,8,12.2,5,98.7,58.1,18,0.37,69,0.304,21,0.33299999999999996,23,0.7390000000000001,17,6,200,89.5,31.3,15,20,68,,9.2,7,0.319,22,0.409,9,41.8,33,0.425,15.0,14,47,0.255,12,0.455,5,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,75.8,Away,EASTERN-ILLINOIS,Eastern Illinois,Milwaukee,horizon,10,False,True,True,Home,False,9,12,69,33,79,7,21,57,0,1,79,185,637,0.4764521193092622,359,706,0.5084985835694051,73,154,554,0.4756317689530686,0.5
11,2019-12-21-17-wisconsin,40.9,9,6.7,2,125.8,74.1,20,0.5,52,0.423,22,0.365,19,0.632,12,7,200,97.0,18.2,6,22,64,,4.5,3,0.327,17,0.47100000000000003,8,43.3,26,0.524,15.4,11,35,0.4,14,0.41700000000000004,5,"December 21, 2019",65.4,17,11.4,4,97.0,81.8,27,0.596,52,0.5,26,0.5,26,0.8079999999999999,21,5,200,125.8,25.9,7,19,83,,9.1,6,0.423,22,0.455,10,56.7,34,0.645,12.4,9,30,0.5329999999999999,16,0.545,6,"Kohl Center, Madison, Wisconsin",MILWAUKEE,Milwaukee,66.2,Home,WISCONSIN,Wisconsin,Milwaukee,horizon,11,False,False,False,Away,False,8,14,52,26,60,10,16,52,0,1,88,197,706,0.4660056657223796,392,785,0.4993630573248408,80,175,611,0.4828150572831424,0.4545454545454545
12,2019-12-28-13-northern-kentucky,34.6,9,9.7,3,108.8,61.8,21,0.45799999999999996,59,0.441,26,0.254,15,0.667,10,8,200,94.1,30.3,10,26,64,,4.4,3,0.28800000000000003,17,0.11800000000000001,2,46.3,31,0.484,15.5,12,42,0.5710000000000001,24,0.385,5,"December 28, 2019",50.0,11,2.4,1,94.1,69.7,23,0.473,56,0.39299999999999996,22,0.48200000000000004,27,0.778,21,4,200,108.8,38.2,13,18,74,,5.9,4,0.446,25,0.36,9,53.7,36,0.5379999999999999,15.0,12,31,0.419,13,0.6920000000000001,9,"Bank of Kentucky Center, Highland Heights, Kentucky",MILWAUKEE,Milwaukee,68.0,Home,NORTHERN-KENTUCKY,Northern Kentucky,Milwaukee,horizon,12,False,False,False,Away,False,2,24,59,31,67,9,13,56,0,1,96,211,758,0.4683377308707124,418,845,0.4946745562130178,90,191,663,0.4917043740573152,0.4166666666666667
13,2019-12-30-19-wright-state,37.0,10,2.7,1,109.3,72.4,21,0.527,56,0.48200000000000004,27,0.304,17,0.647,11,9,200,93.3,16.7,5,21,70,,12.0,9,0.33899999999999997,19,0.263,5,44.1,26,0.546,20.1,16,37,0.595,22,0.35700000000000004,5,"December 30, 2019",66.7,20,2.7,1,93.3,83.3,25,0.634,56,0.536,30,0.33899999999999997,19,0.579,11,3,200,109.3,27.6,8,16,82,,2.7,2,0.33899999999999997,19,0.579,11,55.9,33,0.631,20.9,17,37,0.514,19,0.8,12,"Ervin J. Nutter Center, Dayton, Ohio",MILWAUKEE,Milwaukee,74.6,Home,WRIGHT-STATE,Wright State,Milwaukee,horizon,13,False,False,False,Away,False,5,22,56,26,59,11,19,56,0,1,98,235,817,0.4675642594859241,449,912,0.4923245614035088,99,204,719,0.4902642559109875,0.38461538461538464
14,2020-01-03-20-milwaukee,41.4,12,15.4,6,102.6,71.4,30,0.484,62,0.46799999999999997,29,0.306,19,0.737,14,12,200,97.4,26.5,9,17,74,,9.2,7,0.21,13,0.154,2,51.3,39,0.521,16.6,14,49,0.551,27,0.25,4,"January 3, 2020",58.6,17,4.1,2,97.4,73.5,25,0.515,68,0.426,29,0.20600000000000002,14,0.5710000000000001,8,9,200,102.6,28.6,12,21,78,,10.5,8,0.426,29,0.414,12,48.7,37,0.522,14.9,13,39,0.436,17,0.4,6,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",IUPUI,IUPUI,75.8,Home,MILWAUKEE,Milwaukee,Milwaukee,horizon,14,True,False,True,Home,True,12,17,68,37,76,2,27,62,1,0,103,257,873,0.4713631156930126,475,971,0.4891864057672503,110,223,775,0.5006451612903225,0.35714285714285715
15,2020-01-05-14-milwaukee,50.0,10,20.7,6,97.0,53.8,21,0.5,46,0.435,20,0.413,19,0.8420000000000001,16,11,200,93.9,25.9,7,21,62,,6.1,4,0.304,14,0.429,6,42.4,28,0.563,22.7,16,32,0.43799999999999994,14,0.353,6,"January 5, 2020",45.0,9,6.3,2,93.9,74.1,20,0.381,63,0.317,20,0.302,19,0.8420000000000001,16,9,200,97.0,46.2,18,17,64,,7.6,5,0.54,34,0.235,8,57.6,38,0.444,15.4,13,29,0.414,12,0.43799999999999994,7,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",ILLINOIS-CHICAGO,UIC,65.5,Home,MILWAUKEE,Milwaukee,Milwaukee,horizon,15,True,False,True,Home,True,8,12,63,38,66,6,14,46,1,0,115,274,941,0.4744952178533475,512,1047,0.4890162368672397,112,250,837,0.4994026284348865,0.4
16,2020-01-11-19-green-bay,43.3,13,8.0,4,103.9,66.7,22,0.5920000000000001,60,0.5,30,0.38299999999999995,23,0.696,16,9,200,113.0,27.6,8,22,87,,7.8,6,0.35,21,0.524,11,48.4,30,0.613,18.6,16,39,0.48700000000000004,19,0.47100000000000003,8,"January 11, 2020",63.0,17,2.6,1,113.0,72.4,21,0.46799999999999997,62,0.435,27,0.419,26,0.846,22,11,200,103.9,33.3,11,21,80,,9.1,7,0.19399999999999998,12,0.33299999999999996,4,51.6,32,0.5379999999999999,14.0,12,50,0.46,23,0.389,7,"Resch Center, Green Bay, Wisconsin",GREEN-BAY,Green Bay,77.1,Away,MILWAUKEE,Milwaukee,Milwaukee,horizon,16,False,False,False,Away,True,11,19,60,30,62,4,23,62,1,0,123,286,1004,0.4686254980079681,550,1113,0.4941599281221923,118,264,883,0.4994337485843714,0.4375
17,2020-01-16-20-milwaukee,38.5,10,2.4,1,107.7,66.7,26,0.544,57,0.456,26,0.544,31,0.903,28,15,200,115.4,36.7,11,22,90,,10.3,8,0.386,22,0.455,10,53.6,37,0.627,19.4,17,35,0.457,16,0.21100000000000002,4,"January 16, 2020",50.0,14,11.4,4,115.4,63.3,19,0.485,68,0.41200000000000003,28,0.353,24,0.75,18,10,200,107.7,33.3,13,25,84,,7.7,6,0.382,26,0.385,10,46.4,32,0.529,13.3,12,42,0.429,18,0.444,8,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,78.1,Away,DETROIT-MERCY,Detroit,Milwaukee,horizon,17,False,True,True,Home,False,10,18,68,32,69,10,16,57,0,1,134,305,1064,0.4755639097744361,580,1175,0.4936170212765957,122,287,945,0.4973544973544973,0.4705882352941176
18,2020-01-18-19-milwaukee,48.0,12,5.6,2,112.3,53.8,21,0.58,50,0.5,25,0.38,19,0.526,10,13,200,104.6,25.9,7,20,68,,3.1,2,0.46,23,0.348,8,42.4,28,0.5760000000000001,19.3,14,27,0.63,17,0.35,7,"January 18, 2020",55.6,15,14.8,4,104.6,74.1,20,0.469,65,0.415,27,0.24600000000000002,16,0.75,12,10,200,112.3,46.2,18,23,73,,12.3,8,0.446,29,0.24100000000000002,7,57.6,38,0.503,11.1,9,36,0.556,20,0.474,9,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",OAKLAND,Oakland,64.8,Home,MILWAUKEE,Milwaukee,Milwaukee,horizon,18,True,False,True,Home,True,7,20,65,38,66,8,17,50,1,0,144,323,1132,0.4761484098939929,612,1244,0.4919614147909968,132,303,1002,0.5,0.4444444444444444
19,2020-01-23-19-youngstown-state,37.5,12,16.7,7,89.0,76.5,26,0.435,77,0.41600000000000004,32,0.20800000000000002,16,0.5,8,10,225,91.5,33.3,13,21,75,,8.5,7,0.247,19,0.158,3,53.4,39,0.44299999999999995,10.6,10,58,0.5,29,0.5,10,"January 23, 2020",50.0,14,6.9,4,91.5,66.7,26,0.47700000000000004,64,0.43799999999999994,28,0.406,26,0.462,12,10,225,89.0,23.5,8,19,73,,4.9,4,0.344,22,0.22699999999999998,5,46.6,34,0.478,15.7,14,42,0.5479999999999999,23,0.524,11,"Beeghly Center, Youngstown, Ohio",YOUNGSTOWN-STATE,Youngstown State,72.9,Away,MILWAUKEE,Milwaukee,Milwaukee,horizon,19,False,False,False,Away,True,3,29,77,39,73,5,23,64,1,0,151,343,1197,0.4757727652464495,650,1310,0.4961832061068702,140,320,1052,0.5038022813688213,0.4736842105263158
20,2020-01-25-15-cleveland-state,66.7,10,5.4,2,98.6,72.0,18,0.28800000000000003,59,0.254,15,0.33899999999999997,20,0.95,19,11,200,74.6,22.5,9,27,53,,14.1,10,0.35600000000000004,21,0.19,4,41.5,27,0.387,17.1,14,38,0.289,11,0.47600000000000003,10,"January 25, 2020",43.5,10,10.5,4,74.6,77.5,31,0.5670000000000001,45,0.511,23,0.622,28,0.679,19,14,200,98.6,28.0,7,20,70,,11.3,8,0.17800000000000002,8,0.625,5,58.5,38,0.6,23.9,18,37,0.486,18,0.364,8,"Wolstein Center, Cleveland, Ohio",MILWAUKEE,Milwaukee,71.4,Home,CLEVELAND-STATE,Cleveland State,Milwaukee,horizon,20,False,False,False,Away,False,4,11,59,27,65,5,18,45,0,1,154,372,1274,0.4733124018838305,689,1383,0.4981923355025307,145,343,1116,0.5022401433691757,0.5
21,2020-01-31-20-milwaukee,22.7,5,4.9,2,81.3,82.9,29,0.41100000000000003,56,0.39299999999999996,22,0.46399999999999997,26,0.731,19,4,200,86.7,25.8,8,18,65,,6.7,5,0.196,11,0.182,2,56.1,37,0.475,19.2,16,45,0.444,20,0.826,19,"January 31, 2020",44.0,11,8.9,4,86.7,74.2,23,0.434,61,0.41,25,0.16399999999999998,10,0.8,8,12,200,81.3,17.1,6,23,61,,4.0,3,0.32799999999999996,20,0.15,3,43.9,29,0.46399999999999997,17.6,14,41,0.537,22,0.455,10,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,75.1,Away,WRIGHT-STATE,Wright State,Milwaukee,horizon,21,False,True,True,Home,False,3,22,61,29,66,2,20,56,0,1,158,383,1333,0.4651162790697674,716,1448,0.49447513812154703,150,361,1161,0.5047372954349698,0.4761904761904762
22,2020-02-02-14-milwaukee,57.1,12,6.7,2,82.4,88.2,30,0.455,55,0.382,21,0.327,18,0.833,15,7,200,95.6,25.0,8,15,65,,13.2,9,0.509,28,0.28600000000000003,8,57.6,38,0.511,17.1,13,27,0.48100000000000004,13,0.696,16,"February 2, 2020",68.4,13,3.7,1,95.6,75.0,24,0.425,53,0.358,19,0.226,12,0.917,11,13,200,82.4,11.8,4,17,56,,8.8,6,0.434,23,0.304,7,42.4,28,0.47700000000000004,18.2,13,30,0.4,12,0.435,10,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,68.1,Away,NORTHERN-KENTUCKY,Northern Kentucky,Milwaukee,horizon,22,False,True,True,Home,False,7,12,53,28,66,8,13,55,0,1,161,405,1394,0.4637733142037303,745,1514,0.4920739762219287,152,381,1217,0.5004108463434676,0.4545454545454545
23,2020-02-06-20-illinois-chicago,77.8,21,9.5,4,82.6,82.9,29,0.611,54,0.5,27,0.185,10,0.8,8,13,200,107.2,15.4,4,15,74,,7.2,5,0.48100000000000004,26,0.462,12,54.1,33,0.63,19.3,14,28,0.536,15,0.45799999999999996,11,"February 6, 2020",61.9,13,21.4,6,107.2,84.6,22,0.405,58,0.36200000000000004,21,0.276,16,0.625,10,14,200,82.6,17.1,6,9,57,,11.6,8,0.276,16,0.313,5,45.9,28,0.434,13.3,10,42,0.381,16,0.44,11,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,69.2,Away,MILWAUKEE,Milwaukee,Milwaukee,horizon,23,False,False,False,Away,True,12,15,54,33,61,5,16,58,1,0,168,417,1447,0.4623358673116794,773,1580,0.4892405063291139,160,394,1272,0.4984276729559749,0.43478260869565216
24,2020-02-08-12-iupui,40.7,11,6.3,2,90.8,76.1,35,0.508,62,0.435,27,0.355,22,0.773,17,13,225,92.0,27.3,9,26,80,,5.7,5,0.40299999999999997,25,0.36,9,55.7,44,0.552,23.5,22,37,0.486,18,0.48,12,"February 8, 2020",52.2,12,5.4,2,92.0,72.7,24,0.414,70,0.32899999999999996,23,0.47100000000000003,33,0.636,21,20,225,90.8,23.9,11,21,79,,13.8,12,0.5429999999999999,38,0.316,12,44.3,35,0.461,13.3,13,32,0.344,11,0.231,6,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,76.9,Away,MILWAUKEE,Milwaukee,Milwaukee,horizon,24,False,False,False,Away,True,9,18,62,44,79,12,11,70,1,0,180,432,1501,0.4676882078614257,806,1641,0.4911639244363194,165,410,1330,0.4943609022556391,0.4583333333333333
25,2020-02-15-19-milwaukee,27.3,9,8.0,2,113.9,84.8,28,0.603,58,0.569,33,0.483,28,0.857,24,14,200,119.0,30.8,8,22,94,,8.9,7,0.22399999999999998,13,0.308,4,61.0,36,0.659,16.6,14,45,0.644,29,0.48100000000000004,13,"February 15, 2020",59.3,16,2.2,1,119.0,69.2,18,0.585,59,0.45799999999999996,27,0.424,25,0.84,21,14,200,113.9,15.2,5,25,90,,10.1,8,0.5760000000000001,34,0.441,15,39.0,23,0.635,16.7,14,25,0.48,12,0.462,12,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,78.6,Away,GREEN-BAY,Green Bay,Milwaukee,horizon,25,False,True,True,Home,False,15,12,59,23,59,4,29,58,0,1,189,450,1563,0.4692898272552783,850,1720,0.4941860465116279,177,421,1400,0.4903571428571429,0.48
26,2020-02-21-20-oakland,52.0,13,9.1,3,107.1,76.9,20,0.484,62,0.40299999999999997,25,0.19399999999999998,12,0.667,8,15,200,97.1,19.4,7,23,68,,5.7,4,0.516,32,0.313,10,43.5,27,0.502,12.9,10,30,0.5,15,0.444,12,"February 21, 2020",52.0,13,6.7,2,97.1,80.6,29,0.56,50,0.5,25,0.58,29,0.655,19,17,200,107.1,23.1,6,14,75,,7.1,5,0.34,17,0.353,6,56.5,35,0.588,14.9,11,33,0.5760000000000001,19,0.39299999999999996,11,"Athletics Center O'rena, Rochester, Michigan",MILWAUKEE,Milwaukee,69.7,Home,OAKLAND,Oakland,Milwaukee,horizon,26,False,False,False,Away,False,10,15,62,27,62,6,19,50,0,1,204,462,1622,0.4734895191122072,873,1779,0.4907251264755481,181,450,1458,0.4948559670781893,0.4615384615384616
