,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BETHUNE-COOKMAN_homegame,BETHUNE-COOKMAN_homegame2,BETHUNE-COOKMAN_home,BETHUNE-COOKMAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-bethune-cookman,42.3,11,1.6,1,114.6,50.0,20,0.389,72,0.361,26,0.444,32,0.375,12,0,200,70.8,21.2,11,18,68,,15.6,15,0.264,19,0.21100000000000002,4,33.7,31,0.39,18.1,19,53,0.415,22,0.0,0,"November 6, 2019",51.2,22,20.8,11,70.8,78.8,41,0.5589999999999999,85,0.506,43,0.247,21,0.7140000000000001,15,0,200,114.6,50.0,20,24,110,,10.4,10,0.271,23,0.391,9,66.3,61,0.579,18.2,21,62,0.5479999999999999,34,1.0,1,"Moore Gymnasium, Daytona Beach, Florida","Johnson (Fl)
			","Johnson (Fl)
			",95.6,Home,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,0,True,False,True,Home,True,9,34,85,61,92,4,22,72,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-20-texas-tech,23.5,4,12.5,5,103.9,67.9,19,0.325,57,0.298,17,0.175,10,0.7,7,1,200,57.9,14.3,5,19,44,,6.6,5,0.298,17,0.17600000000000002,3,38.1,24,0.35600000000000004,24.6,20,40,0.35,14,0.5,1,"November 9, 2019",78.6,22,10.0,4,57.9,85.7,30,0.534,59,0.475,28,0.373,22,0.727,16,0,200,103.9,32.1,9,15,79,13.0,11.8,9,0.322,19,0.368,7,61.9,39,0.569,17.9,15,40,0.525,21,1.0,2,"United Supermarkets Arena, Lubbock, Texas",BETHUNE-COOKMAN,Bethune-Cookman,76.1,Home,TEXAS-TECH,Texas Tech,Bethune-Cookman,meac,1,False,False,False,Away,False,3,14,57,24,63,7,21,59,0,1,9,34,85,0.5588235294117647,61,92,0.6630434782608695,4,22,72,0.3888888888888889,1.0
2,2019-11-11-20-nebraska-omaha,57.1,12,4.3,2,115.4,70.0,21,0.39299999999999996,61,0.344,21,0.311,19,0.684,13,2,200,78.2,17.9,7,21,61,,10.3,8,0.32799999999999996,20,0.3,6,40.6,28,0.436,18.7,16,41,0.366,15,0.33299999999999996,1,"November 11, 2019",45.7,16,14.6,6,78.2,82.1,32,0.636,59,0.593,35,0.39,23,0.652,15,1,200,115.4,30.0,9,17,90,,9.0,7,0.203,12,0.41700000000000004,5,59.4,41,0.644,18.8,16,47,0.638,30,0.667,2,"Baxter Arena, Omaha, Nebraska",BETHUNE-COOKMAN,Bethune-Cookman,78.0,Home,NEBRASKA-OMAHA,Omaha,Bethune-Cookman,meac,2,False,False,False,Away,False,6,15,61,28,69,5,30,59,0,1,12,48,142,0.4647887323943662,85,155,0.5483870967741935,11,43,131,0.4541984732824427,0.5
3,2019-11-15-19-bethune-cookman,28.6,4,5.1,2,117.6,60.0,18,0.272,57,0.24600000000000002,14,0.368,21,0.524,11,0,200,49.4,15.2,7,26,42,,4.7,4,0.368,21,0.14300000000000002,3,32.9,25,0.314,27.4,25,36,0.306,11,0.0,0,"November 15, 2019",42.4,14,22.2,8,49.4,84.8,39,0.615,61,0.541,33,0.639,39,0.6409999999999999,25,2,200,117.6,40.0,12,25,100,,20.0,17,0.361,22,0.409,9,67.1,51,0.629,18.7,18,39,0.615,24,0.5,2,"Moore Gymnasium, Daytona Beach, Florida","Trinity Baptist
			","Trinity Baptist
			",85.3,Home,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,3,True,False,True,Home,True,9,24,61,51,76,3,11,57,1,0,18,63,203,0.4433497536945813,113,224,0.5044642857142857,16,73,190,0.5105263157894737,0.3333333333333333
4,2019-11-22-13-incarnate-word,46.7,14,6.4,3,80.6,67.6,23,0.625,56,0.536,30,0.33899999999999997,19,0.684,13,2,200,115.3,24.1,7,21,83,,12.5,9,0.321,18,0.556,10,47.6,30,0.638,17.9,14,38,0.526,20,0.6,3,"November 22, 2019",40.0,8,5.3,2,115.3,75.9,22,0.36,57,0.35100000000000003,20,0.386,22,0.773,17,4,200,80.6,32.4,11,19,58,,12.5,9,0.175,10,0.1,1,52.4,33,0.43,19.4,16,47,0.40399999999999997,19,0.2,1,"McDermott Center, San Antonio, Texas",INCARNATE-WORD,Incarnate Word,72.2,Away,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,4,False,False,False,Away,True,10,20,56,30,63,1,19,57,1,0,27,87,264,0.4829545454545455,164,300,0.5466666666666666,19,84,247,0.4554655870445344,0.5
5,2019-11-23-13-eastern-illinois,60.0,15,2.9,1,94.0,78.8,26,0.53,50,0.5,25,0.36,18,0.722,13,2,200,98.5,34.8,8,16,66,,10.4,7,0.4,20,0.15,3,60.7,34,0.564,19.5,14,30,0.733,22,0.667,4,"November 23, 2019",58.3,14,0.0,0,98.5,65.2,15,0.474,58,0.414,24,0.22399999999999998,13,0.615,8,3,200,94.0,21.2,7,18,63,,6.0,4,0.397,23,0.304,7,39.3,22,0.491,16.9,13,35,0.486,17,0.5,3,"McDermott Center, San Antonio, Texas",EASTERN-ILLINOIS,Eastern Illinois,67.4,Away,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,5,False,False,False,Away,True,3,22,50,34,56,7,17,58,1,0,37,107,320,0.5078125,194,363,0.5344352617079889,20,103,304,0.4375,0.6
6,2019-11-24-13-bethune-cookman,77.3,17,4.8,2,97.4,66.7,14,0.434,61,0.361,22,0.311,19,0.895,17,0,200,92.1,21.6,8,18,70,,11.8,9,0.426,26,0.34600000000000003,9,37.9,22,0.5,16.8,14,35,0.371,13,0.0,0,"November 24, 2019",53.8,14,8.6,3,92.1,78.4,29,0.5,53,0.491,26,0.509,27,0.778,21,2,200,97.4,33.3,7,16,74,,9.2,7,0.20800000000000002,11,0.091,1,62.1,36,0.562,21.7,18,42,0.595,25,0.7140000000000001,5,"McDermott Center, San Antonio, Texas","St. Francis (IL)
			","St. Francis (IL)
			",76.4,Home,BETHUNE-COOKMAN,Bethune-Cookman,Bethune-Cookman,meac,6,True,False,True,Home,True,1,25,53,36,58,9,13,61,1,0,40,129,370,0.5108108108108108,228,419,0.5441527446300716,27,120,362,0.4433701657458564,0.6666666666666666
7,2019-12-01-18-georgia-tech,50.0,13,5.0,2,103.0,66.7,18,0.41200000000000003,68,0.382,26,0.162,11,0.818,9,3,200,98.5,47.4,18,23,65,,7.6,5,0.132,9,0.444,4,55.4,36,0.444,12.1,10,59,0.373,22,0.625,5,"December 1, 2019",46.2,12,15.3,9,98.5,52.6,20,0.54,50,0.52,26,0.5,25,0.56,14,2,200,103.0,33.3,9,15,68,,4.5,3,0.2,10,0.2,2,44.6,29,0.5489999999999999,17.6,13,40,0.6,24,0.6,3,"McCamish Pavilion, Atlanta, Georgia",BETHUNE-COOKMAN,Bethune-Cookman,65.6,Home,GEORGIA-TECH,Georgia Tech,Bethune-Cookman,meac,7,False,False,False,Away,False,4,22,68,36,65,2,24,50,0,1,41,154,423,0.5094562647754137,264,477,0.5534591194968553,36,133,423,0.44208037825059104,0.7142857142857143
8,2019-12-03-19-stetson,44.0,11,6.9,2,105.9,75.0,21,0.451,61,0.41,25,0.295,18,0.667,12,4,200,98.5,27.0,10,18,67,,10.3,7,0.295,18,0.278,5,47.7,31,0.48200000000000004,11.6,9,43,0.465,20,0.556,5,"December 3, 2019",50.0,11,2.3,1,98.5,73.0,27,0.521,48,0.45799999999999996,22,0.625,30,0.733,22,5,200,105.9,25.0,7,15,72,,5.9,4,0.396,19,0.316,6,52.3,34,0.578,17.5,13,29,0.552,16,0.5,5,"Edmunds Center, DeLand, Florida",BETHUNE-COOKMAN,Bethune-Cookman,68.4,Home,STETSON,Stetson,Bethune-Cookman,meac,8,False,False,False,Away,False,5,20,61,31,65,6,16,48,0,1,45,176,491,0.4959266802443992,300,542,0.5535055350553506,38,157,473,0.45243128964059204,0.625
9,2019-12-07-18-jacksonville,36.4,8,8.8,3,105.1,67.7,21,0.37,69,0.319,22,0.188,13,0.6920000000000001,9,5,200,76.9,10.6,5,16,60,,10.3,8,0.391,27,0.259,7,33.3,26,0.39899999999999997,9.7,8,42,0.35700000000000004,15,0.5,5,"December 7, 2019",59.3,16,4.8,2,76.9,89.4,42,0.534,59,0.45799999999999996,27,0.39,23,0.826,19,6,200,105.1,32.3,10,16,82,,7.7,6,0.424,25,0.36,9,66.7,52,0.586,19.7,17,34,0.529,18,0.455,5,"Swisher Gymnasium, Jacksonville, Florida",BETHUNE-COOKMAN,Bethune-Cookman,77.6,Home,JACKSONVILLE,Jacksonville,Bethune-Cookman,meac,9,False,False,False,Away,False,7,15,69,26,78,9,18,59,0,1,50,196,552,0.4909420289855073,331,607,0.5453047775947282,44,173,521,0.4587332053742802,0.5555555555555556
