,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ARKANSAS-STATE_homegame,ARKANSAS-STATE_homegame2,ARKANSAS-STATE_home,ARKANSAS-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-arkansas-state,64.7,11,2.6,1,98.5,73.7,28,0.406,53,0.321,17,0.151,8,0.75,6,0,200,74.2,35.1,13,23,49,,4.5,3,0.491,26,0.34600000000000003,9,54.7,41,0.431,27.1,21,27,0.29600000000000004,8,0.0,0,"November 6, 2019",74.1,20,7.4,2,74.2,64.9,24,0.509,58,0.466,27,0.293,17,0.353,6,0,200,98.5,26.3,10,15,65,,13.6,9,0.32799999999999996,19,0.263,5,45.3,34,0.4920000000000001,15.5,12,39,0.564,22,1.0,1,"Convocation Center, Jonesboro, Arkansas","Arkansas-Monticello
			","Arkansas-Monticello
			",66.4,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,0,True,False,True,Home,True,5,22,58,34,75,9,8,53,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-mississippi,80.0,12,6.7,2,98.6,67.9,19,0.391,46,0.326,15,0.261,12,0.583,7,1,200,59.7,4.0,1,19,43,,15.3,11,0.413,19,0.316,6,37.7,20,0.41600000000000004,31.0,23,27,0.33299999999999996,9,0.5,1,"November 8, 2019",64.0,16,11.1,3,59.7,96.0,24,0.518,56,0.446,25,0.35700000000000004,20,0.65,13,0,200,98.6,32.1,9,20,71,,19.4,14,0.46399999999999997,26,0.308,8,62.3,33,0.542,17.8,14,30,0.5670000000000001,17,1.0,1,"The Pavilion at Ole Miss, Oxford, Mississippi",ARKANSAS-STATE,Arkansas State,72.1,Home,MISSISSIPPI,Ole Miss,Arkansas State,sun-belt,1,False,False,False,Away,False,6,9,46,20,53,8,17,56,0,1,5,22,58,0.5086206896551724,34,75,0.4533333333333333,9,8,53,0.4056603773584906,1.0
2,2019-11-14-20-arkansas-state,52.6,10,0.0,0,110.9,78.3,18,0.469,48,0.396,19,0.43799999999999994,21,0.524,11,4,200,87.5,20.0,7,16,56,,12.5,8,0.5,24,0.292,7,43.1,25,0.483,17.3,12,24,0.5,12,0.0,0,"November 14, 2019",72.4,21,8.3,2,87.5,80.0,28,0.61,50,0.58,29,0.28,14,0.7140000000000001,10,1,200,110.9,21.7,5,15,71,,9.4,6,0.18,9,0.33299999999999996,3,56.9,33,0.627,18.8,13,41,0.634,26,0.667,2,"Convocation Center, Jonesboro, Arkansas",VIRGINIA-MILITARY-INSTITUTE,VMI,63.8,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,2,True,False,True,Home,True,3,26,50,33,58,7,12,48,1,0,11,31,104,0.4567307692307692,54,128,0.421875,17,25,109,0.4633027522935779,0.5
3,2019-11-15-20-arkansas-state,52.0,13,0.0,0,111.1,58.1,18,0.5710000000000001,49,0.51,25,0.28600000000000003,14,0.7859999999999999,11,2,200,93.1,24.0,6,18,67,,6.9,5,0.408,20,0.3,6,42.9,24,0.602,28.5,22,29,0.655,19,0.5,2,"November 15, 2019",64.3,18,6.9,2,93.1,76.0,19,0.534,58,0.483,28,0.379,22,0.818,18,1,200,111.1,41.9,13,16,80,,16.7,12,0.276,16,0.375,6,57.1,32,0.584,19.1,16,42,0.524,22,0.75,3,"Convocation Center, Jonesboro, Arkansas",CALIFORNIA-DAVIS,UC-Davis,71.6,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,3,True,False,True,Home,True,6,22,58,32,56,6,19,49,1,0,14,57,154,0.5064935064935064,87,186,0.4677419354838709,24,37,157,0.4649681528662421,0.6666666666666666
4,2019-11-17-14-arkansas-state,77.8,21,6.4,3,128.1,64.7,22,0.537,54,0.5,27,0.315,17,0.588,10,3,200,106.3,18.2,6,21,68,,7.8,5,0.29600000000000004,16,0.25,4,41.8,28,0.5479999999999999,8.9,6,38,0.605,23,0.4,2,"November 17, 2019",71.0,22,13.2,5,106.3,81.8,27,0.5589999999999999,59,0.525,31,0.39,23,0.696,16,1,200,128.1,35.3,12,17,82,,6.3,4,0.203,12,0.33299999999999996,4,58.2,39,0.586,9.2,7,47,0.574,27,0.8,4,"Convocation Center, Jonesboro, Arkansas",IDAHO,Idaho,63.5,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,4,True,False,True,Home,True,4,27,59,39,67,4,23,54,1,0,20,79,212,0.5141509433962265,119,242,0.4917355371900826,30,56,206,0.4902912621359223,0.75
5,2019-11-20-21-colorado-state,51.9,14,7.9,3,113.0,73.1,19,0.62,54,0.5,27,0.35200000000000004,19,0.684,13,1,200,115.9,20.0,5,25,80,,10.1,7,0.37,20,0.65,13,47.1,24,0.635,13.8,10,34,0.41200000000000003,14,0.833,5,"November 20, 2019",75.0,21,17.6,6,115.9,80.0,20,0.535,57,0.491,28,0.42100000000000004,24,0.708,17,2,200,113.0,26.9,7,16,78,,5.8,4,0.33299999999999996,19,0.263,5,52.9,27,0.57,11.8,9,38,0.605,23,0.6,3,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,69.2,Away,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,5,False,False,False,Away,True,13,14,54,24,51,5,23,57,1,0,24,106,271,0.5239852398523985,158,309,0.511326860841424,34,79,260,0.5,0.8
6,2019-11-30-17-arkansas-state,41.4,12,2.8,1,74.0,75.6,34,0.5429999999999999,58,0.5,29,0.379,22,0.591,13,1,200,98.7,20.0,7,26,76,,14.3,11,0.22399999999999998,13,0.385,5,51.3,41,0.555,17.1,14,45,0.5329999999999999,24,0.857,6,"November 30, 2019",60.0,9,8.9,4,98.7,80.0,28,0.321,53,0.28300000000000003,15,0.66,35,0.657,23,2,200,74.0,24.4,11,22,57,,6.5,5,0.321,17,0.235,4,48.8,39,0.409,22.6,20,36,0.306,11,0.7140000000000001,5,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,77.0,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Arkansas State,sun-belt,6,False,True,True,Home,False,4,11,53,39,80,5,24,58,0,1,37,120,325,0.54,182,360,0.5055555555555555,39,102,317,0.5063091482649842,0.8333333333333334
7,2019-12-03-20-arkansas-state,61.5,16,0.0,0,109.9,74.2,23,0.518,55,0.473,26,0.382,21,0.762,16,5,200,102.8,34.4,11,23,73,,9.9,7,0.2,11,0.455,5,54.0,34,0.562,19.9,16,44,0.47700000000000004,21,0.5,5,"December 3, 2019",68.0,17,6.8,3,102.8,65.6,21,0.509,55,0.455,25,0.473,26,0.846,22,2,200,109.9,25.8,8,19,78,,12.7,9,0.309,17,0.353,6,46.0,29,0.579,15.3,12,38,0.5,19,0.75,6,"Convocation Center, Jonesboro, Arkansas",NEBRASKA-OMAHA,Omaha,70.7,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,7,True,False,True,Home,True,6,19,55,29,63,5,21,55,1,0,41,131,378,0.5092592592592593,221,440,0.5022727272727273,44,126,375,0.512,0.7142857142857143
8,2019-12-07-15-tulsa,43.5,10,3.1,1,110.5,65.2,15,0.578,45,0.511,23,0.37799999999999995,17,0.8240000000000001,14,2,200,115.8,18.2,4,16,66,,8.8,5,0.311,14,0.429,6,42.2,19,0.622,16.0,10,31,0.5479999999999999,17,0.778,7,"December 7, 2019",50.0,12,3.2,1,115.8,81.8,18,0.585,47,0.511,24,0.23399999999999999,11,0.727,8,2,200,110.5,34.8,8,14,63,,7.0,4,0.319,15,0.467,7,57.8,26,0.603,17.5,11,32,0.531,17,0.778,7,"Donald W. Reynolds Center, Tulsa, Oklahoma",TULSA,Tulsa,57.2,Away,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,8,False,False,False,Away,True,6,17,45,19,45,7,17,47,1,0,47,150,433,0.5092378752886836,250,503,0.4970178926441352,49,147,430,0.5127906976744186,0.75
9,2019-12-11-20-missouri-state,22.2,4,3.3,1,119.0,68.4,13,0.406,48,0.375,18,0.33299999999999996,16,0.875,14,3,200,84.1,25.0,7,18,53,,9.5,6,0.22899999999999998,11,0.273,3,42.6,20,0.47700000000000004,21.4,15,37,0.405,15,0.7,7,"December 11, 2019",44.0,11,10.8,4,84.1,75.0,21,0.636,44,0.568,25,0.523,23,0.826,19,5,200,119.0,31.6,6,16,75,,12.7,8,0.318,14,0.429,6,57.4,27,0.6829999999999999,20.6,14,30,0.633,19,0.545,6,"JQH Arena, Springfield, Missouri",ARKANSAS-STATE,Arkansas State,63.3,Home,MISSOURI-STATE,Missouri State,Arkansas State,sun-belt,9,False,False,False,Away,False,3,15,48,20,47,6,19,44,0,1,53,167,478,0.5156903765690377,269,548,0.4908759124087591,56,164,477,0.5199161425576521,0.7777777777777778
10,2019-12-18-20-arkansas-state,28.6,6,5.9,2,111.3,74.2,23,0.41100000000000003,56,0.375,21,0.536,30,0.7,21,6,200,94.4,31.0,13,30,67,,8.5,6,0.28600000000000003,16,0.25,4,49.3,36,0.47700000000000004,15.8,13,40,0.425,17,0.455,5,"December 18, 2019",66.7,16,12.5,5,94.4,69.0,29,0.542,48,0.5,24,0.8540000000000001,41,0.659,27,3,200,111.3,25.8,8,28,79,,8.5,6,0.292,14,0.28600000000000003,4,50.7,37,0.585,16.4,13,34,0.588,20,0.727,8,"Convocation Center, Jonesboro, Arkansas",LOUISIANA-LAFAYETTE,Louisiana,71.4,Home,ARKANSAS-STATE,Arkansas State,Arkansas State,sun-belt,10,True,False,True,Home,True,4,20,48,37,73,4,17,56,1,0,56,182,526,0.5057034220532319,289,595,0.4857142857142857,62,183,521,0.5297504798464492,0.7
