,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,STEPHEN-F-AUSTIN_homegame,STEPHEN-F-AUSTIN_homegame2,STEPHEN-F-AUSTIN_home,STEPHEN-F-AUSTIN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-stephen-f-austin,38.9,7,5.7,3,101.1,40.5,15,0.41700000000000004,54,0.33299999999999996,18,0.593,32,0.7809999999999999,25,0,200,79.5,12.1,4,21,70,,11.4,10,0.556,30,0.3,9,27.1,19,0.506,27.6,26,24,0.375,9,0.0,0,"November 6, 2019",47.1,16,25.0,6,79.5,87.9,29,0.521,71,0.479,34,0.33799999999999997,24,0.625,15,0,200,101.1,59.5,22,28,89,,11.4,10,0.254,18,0.33299999999999996,6,72.9,51,0.54,23.5,25,53,0.528,28,1.0,1,"William Johnson Coliseum, Nacogdoches, Texas","Le Tourneau
			","Le Tourneau
			",88.3,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,0,True,False,True,Home,True,6,28,71,51,70,9,9,54,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-14-stephen-f-austin,57.1,12,2.5,1,116.0,60.9,14,0.521,47,0.447,21,0.40399999999999997,19,0.789,15,1,200,79.0,14.8,4,17,64,,12.3,10,0.38299999999999995,18,0.389,7,36.0,18,0.5710000000000001,35.1,30,29,0.483,14,0.0,0,"November 9, 2019",54.3,19,10.3,3,79.0,85.2,23,0.6859999999999999,59,0.593,35,0.28800000000000003,17,0.765,13,0,200,116.0,39.1,9,15,94,,13.6,11,0.322,19,0.579,11,64.0,32,0.701,24.9,22,40,0.6,24,1.0,2,"William Johnson Coliseum, Nacogdoches, Texas",NORTH-CAROLINA-CENTRAL,North Carolina Central,81.1,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,1,True,False,True,Home,True,11,24,59,32,50,7,14,47,1,0,6,28,71,0.5211267605633803,51,70,0.7285714285714285,9,9,54,0.4166666666666667,1.0
2,2019-11-13-19-stephen-f-austin,64.0,16,2.4,1,117.1,55.9,19,0.644,45,0.556,25,0.667,30,0.733,22,3,200,105.3,30.0,6,28,80,,7.9,6,0.4,18,0.444,8,46.3,25,0.675,26.5,21,27,0.63,17,0.0,0,"November 13, 2019",46.4,13,7.4,2,105.3,70.0,14,0.4920000000000001,64,0.43799999999999994,28,0.516,33,0.7879999999999999,26,0,200,117.1,44.1,15,27,89,,10.5,8,0.344,22,0.318,7,53.7,29,0.5589999999999999,15.1,14,42,0.5,21,1.0,3,"William Johnson Coliseum, Nacogdoches, Texas",NIAGARA,Niagara,76.5,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,2,True,False,True,Home,True,7,21,64,29,54,8,17,45,1,0,17,52,130,0.5961538461538461,83,120,0.6916666666666667,16,23,101,0.4653465346534654,1.0
3,2019-11-16-18-stephen-f-austin,55.0,11,2.3,1,101.2,66.7,22,0.563,40,0.5,20,0.75,30,0.733,22,3,200,82.7,15.4,4,20,67,,7.4,6,0.35,14,0.35700000000000004,5,44.1,26,0.618,36.1,30,26,0.5770000000000001,15,0.4,2,"November 16, 2019",51.7,15,19.2,5,82.7,84.6,22,0.516,61,0.475,29,0.41,25,0.76,19,0,200,101.2,33.3,11,25,82,,21.0,17,0.295,18,0.278,5,55.9,33,0.563,21.7,20,43,0.5579999999999999,24,1.0,4,"William Johnson Coliseum, Nacogdoches, Texas",DREXEL,Drexel,81.1,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,3,True,False,True,Home,True,5,24,61,33,59,5,15,40,1,0,24,73,194,0.5618556701030928,112,174,0.6436781609195402,24,40,146,0.5205479452054794,1.0
4,2019-11-20-19-rutgers,35.0,7,8.0,2,97.2,76.9,20,0.41200000000000003,51,0.392,20,0.47100000000000003,24,0.625,15,1,200,80.3,26.5,9,27,57,,12.7,9,0.255,13,0.154,2,48.3,29,0.457,21.6,17,38,0.474,18,0.8,4,"November 20, 2019",54.5,12,18.4,7,80.3,73.5,25,0.578,45,0.489,22,0.622,28,0.607,17,1,200,97.2,23.1,6,22,69,,12.7,9,0.444,20,0.4,8,51.7,31,0.5920000000000001,24.9,19,25,0.56,14,0.8,4,"Rutgers Athletic Center, New Brunswick, New Jersey",STEPHEN-F-AUSTIN,Stephen F. Austin,70.9,Home,RUTGERS,Rutgers,Stephen F. Austin,southland,4,False,False,False,Away,False,2,18,51,29,60,8,14,45,0,1,29,97,255,0.5509803921568628,145,233,0.6223175965665236,29,55,186,0.5295698924731183,1.0
5,2019-11-26-21-duke,47.2,17,5.1,2,96.5,66.7,20,0.5,74,0.486,36,0.23,17,0.647,11,1,225,98.8,24.2,8,29,85,,15.1,13,0.135,10,0.2,2,44.4,28,0.518,14.7,14,64,0.531,34,0.833,5,"November 26, 2019",77.8,21,21.9,14,98.8,75.8,25,0.546,54,0.5,27,0.741,40,0.6,24,1,225,96.5,33.3,10,18,83,1.0,9.3,8,0.278,15,0.33299999999999996,5,55.6,35,0.568,21.8,20,39,0.564,22,0.857,6,"Cameron Indoor Stadium, Durham, North Carolina",DUKE,Duke,76.0,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,5,False,False,False,Away,True,2,34,74,28,63,5,22,54,1,0,31,115,306,0.5277777777777778,174,293,0.5938566552901023,37,69,231,0.5389610389610391,0.8
6,2019-11-30-17-arkansas-state,41.4,12,2.8,1,74.0,75.6,34,0.5429999999999999,58,0.5,29,0.379,22,0.591,13,1,200,98.7,20.0,7,26,76,,14.3,11,0.22399999999999998,13,0.385,5,51.3,41,0.555,17.1,14,45,0.5329999999999999,24,0.857,6,"November 30, 2019",60.0,9,8.9,4,98.7,80.0,28,0.321,53,0.28300000000000003,15,0.66,35,0.657,23,2,200,74.0,24.4,11,22,57,,6.5,5,0.321,17,0.235,4,48.8,39,0.409,22.6,20,36,0.306,11,0.7140000000000001,5,"Convocation Center, Jonesboro, Arkansas",ARKANSAS-STATE,Arkansas State,77.0,Away,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,6,False,False,False,Away,True,5,24,58,41,80,4,11,53,1,0,33,149,380,0.5223684210526316,202,356,0.5674157303370787,42,91,285,0.5403508771929825,0.8333333333333334
7,2019-12-02-19-stephen-f-austin,43.8,7,1.7,1,134.1,40.7,11,0.408,49,0.327,16,0.245,12,0.75,9,0,200,57.6,16.7,5,22,49,,12.9,11,0.49,24,0.33299999999999996,8,28.1,16,0.44799999999999995,39.2,35,25,0.32,8,0.0,0,"December 2, 2019",45.7,21,16.0,4,57.6,83.3,25,0.679,70,0.657,46,0.4,28,0.679,19,1,200,134.1,59.3,16,14,114,,27.1,23,0.171,12,0.25,3,71.9,41,0.684,17.9,18,58,0.741,43,0.875,7,"William Johnson Coliseum, Nacogdoches, Texas","Arlington Baptist
			","Arlington Baptist
			",85.0,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,7,True,False,True,Home,True,3,43,70,41,57,8,8,49,1,0,38,173,438,0.5251141552511416,243,436,0.5573394495412844,46,102,338,0.5059171597633136,0.8571428571428571
8,2019-12-06-20-alabama,25.0,6,0.0,0,100.0,75.9,22,0.426,61,0.39299999999999996,24,0.344,21,0.762,16,2,200,87.2,32.4,11,27,68,,15.4,12,0.213,13,0.308,4,52.4,33,0.479,21.3,19,48,0.41700000000000004,20,0.778,7,"December 6, 2019",61.9,13,16.7,8,87.2,67.6,23,0.564,47,0.447,21,0.745,35,0.7140000000000001,25,4,200,100.0,24.1,7,19,78,,14.1,11,0.6809999999999999,32,0.344,11,47.6,30,0.613,24.3,20,15,0.667,10,0.5,4,"Coleman Coliseum , Tuscaloosa, Alabama",STEPHEN-F-AUSTIN,Stephen F. Austin,77.8,Home,ALABAMA,Alabama,Stephen F. Austin,southland,8,False,False,False,Away,False,4,20,61,33,63,11,10,47,0,1,41,216,508,0.5462598425196851,284,493,0.5760649087221096,54,110,387,0.4935400516795866,0.875
9,2019-12-14-21-stephen-f-austin,44.4,8,4.2,1,108.2,65.6,21,0.561,41,0.439,18,0.439,18,0.722,13,4,200,96.7,17.4,4,17,59,,9.8,6,0.46299999999999997,19,0.526,10,45.5,25,0.595,25.8,17,22,0.364,8,0.5,4,"December 14, 2019",68.2,15,4.5,1,96.7,82.6,19,0.491,53,0.415,22,0.358,19,0.737,14,2,200,108.2,34.4,11,16,66,,8.2,5,0.547,29,0.276,8,54.5,30,0.532,12.8,9,24,0.583,14,0.8,8,"William Johnson Coliseum, Nacogdoches, Texas",LOUISIANA-MONROE,Louisiana-Monroe,61.3,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Stephen F. Austin,southland,9,True,False,True,Home,True,8,14,53,30,55,10,8,41,1,0,45,236,569,0.5333919156414763,317,556,0.5701438848920863,65,120,434,0.5011520737327189,0.7777777777777778
