,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PORTLAND_homegame,PORTLAND_homegame2,PORTLAND_home,PORTLAND_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-portland,69.2,9,2.6,1,113.2,79.4,27,0.235,66,0.19699999999999998,13,0.121,8,0.625,5,0,200,47.4,27.1,13,17,36,,3.9,3,0.5,33,0.152,5,48.8,40,0.258,21.5,19,33,0.242,8,0.0,0,"November 5, 2019",68.8,22,15.2,5,47.4,72.9,35,0.569,65,0.4920000000000001,32,0.308,20,0.6,12,0,200,113.2,20.6,7,8,86,,13.2,10,0.4,26,0.385,10,51.2,42,0.5770000000000001,10.9,9,39,0.564,22,1.0,1,"Chiles Center, Portland, Oregon","Willamette
			","Willamette
			",76.2,Home,PORTLAND,Portland,Portland,wcc,0,True,False,True,Home,True,10,22,65,42,82,5,8,66,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-23-southern-california,52.2,12,7.3,3,110.1,52.9,18,0.527,56,0.41100000000000003,23,0.161,9,0.667,6,1,200,94.2,25.0,8,12,65,,15.9,11,0.5,28,0.46399999999999997,13,39.4,26,0.539,21.1,16,28,0.35700000000000004,10,0.5,1,"November 8, 2019",70.0,21,7.1,2,94.2,75.0,24,0.574,61,0.4920000000000001,30,0.16399999999999998,10,0.6,6,0,200,110.1,47.1,16,13,76,,11.6,8,0.32799999999999996,20,0.5,10,60.6,40,0.578,23.4,20,41,0.488,20,1.0,2,"Galen Center, Los Angeles, California",PORTLAND,Portland,69.0,Home,SOUTHERN-CALIFORNIA,USC,Portland,wcc,1,False,False,False,Away,False,13,10,56,26,66,10,20,61,0,1,10,22,65,0.5692307692307692,42,82,0.5121951219512195,5,8,66,0.2348484848484849,1.0
2,2019-11-10-17-san-jose-state,73.1,19,6.3,2,79.2,80.6,25,0.565,54,0.48100000000000004,26,0.278,15,0.733,11,1,200,100.0,11.1,3,18,72,,8.3,6,0.37,20,0.45,9,48.3,28,0.589,18.8,14,34,0.5,17,0.667,2,"November 10, 2019",56.5,13,8.8,3,100.0,88.9,24,0.44799999999999995,58,0.397,23,0.276,16,0.313,5,1,200,79.2,19.4,6,14,57,,8.3,6,0.44799999999999995,26,0.231,6,51.7,30,0.434,16.7,13,32,0.531,17,0.5,1,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,72.4,Away,PORTLAND,Portland,Portland,wcc,2,False,False,False,Away,True,9,17,54,28,58,6,17,58,1,0,23,32,121,0.5495867768595041,68,148,0.4594594594594595,15,28,127,0.39763779527559057,0.5
3,2019-11-16-22-portland,56.0,14,5.1,2,106.0,83.3,20,0.491,56,0.446,25,0.25,14,0.5,7,2,200,92.5,21.4,6,17,62,,9.0,6,0.304,17,0.294,5,50.0,26,0.495,15.0,11,39,0.513,20,0.33299999999999996,1,"November 16, 2019",60.7,17,5.1,2,92.5,78.6,22,0.578,51,0.5489999999999999,28,0.314,16,0.75,12,1,200,106.0,16.7,4,14,71,,9.0,6,0.235,12,0.25,3,50.0,26,0.606,15.9,11,39,0.6409999999999999,25,0.75,3,"Chiles Center, Portland, Oregon",MAINE,Maine,66.6,Home,PORTLAND,Portland,Portland,wcc,3,True,False,True,Home,True,3,25,51,26,52,5,20,56,1,0,32,49,175,0.5542857142857143,96,206,0.4660194174757282,21,45,185,0.4135135135135135,0.6666666666666666
4,2019-11-20-22-portland-state,75.0,21,8.3,4,96.2,60.0,21,0.594,53,0.528,28,0.5660000000000001,30,0.633,19,1,200,105.1,8.3,2,19,82,,5.1,4,0.302,16,0.43799999999999994,7,39.0,23,0.61,17.5,14,37,0.568,21,0.8,4,"November 20, 2019",44.4,12,0.0,0,105.1,91.7,22,0.439,66,0.409,27,0.39399999999999996,26,0.654,17,3,200,96.2,40.0,14,29,75,,11.5,9,0.273,18,0.222,4,61.0,36,0.479,13.4,12,48,0.479,23,0.25,1,"Peter W. Stott Center, Portland, Oregon",PORTLAND-STATE,Portland State,77.8,Away,PORTLAND,Portland,Portland,wcc,4,False,False,False,Away,True,7,21,53,23,59,4,23,66,1,0,35,74,226,0.5597345132743363,122,258,0.4728682170542636,26,65,241,0.4315352697095436,0.75
5,2019-11-23-16-portland,72.7,16,6.1,2,110.8,84.6,22,0.446,56,0.39299999999999996,22,0.304,17,0.706,12,5,200,95.4,32.4,11,18,62,,6.2,4,0.304,17,0.353,6,55.0,33,0.484,15.9,12,39,0.41,16,0.28600000000000003,2,"November 23, 2019",80.8,21,12.8,5,95.4,67.6,23,0.604,53,0.491,26,0.245,13,0.615,8,1,200,110.8,15.4,4,16,72,,4.6,3,0.377,20,0.6,12,45.0,27,0.608,14.6,10,33,0.424,14,0.833,5,"Chiles Center, Portland, Oregon",CALIFORNIA-DAVIS,UC-Davis,65.1,Home,PORTLAND,Portland,Portland,wcc,5,True,False,True,Home,True,12,14,53,27,60,6,16,56,1,0,42,95,279,0.5663082437275986,145,317,0.4574132492113565,30,88,307,0.43322475570032576,0.8
6,2019-12-01-20-portland,47.6,10,0.0,0,106.6,75.0,15,0.42100000000000004,57,0.368,21,0.193,11,0.727,8,6,200,91.8,42.4,14,22,56,,9.8,6,0.33299999999999996,19,0.316,6,54.7,29,0.45,16.3,12,38,0.395,15,0.25,2,"December 1, 2019",57.1,12,23.7,9,91.8,57.6,19,0.568,44,0.47700000000000004,21,0.47700000000000004,21,0.7140000000000001,15,1,200,106.6,25.0,5,14,65,,4.9,3,0.386,17,0.47100000000000003,8,45.3,24,0.602,18.4,12,27,0.48100000000000004,13,0.857,6,"Chiles Center, Portland, Oregon",INCARNATE-WORD,Incarnate Word,60.6,Home,PORTLAND,Portland,Portland,wcc,6,True,False,True,Home,True,8,13,44,24,53,6,15,57,1,0,54,109,332,0.572289156626506,172,377,0.4562334217506631,36,104,363,0.4352617079889807,0.8333333333333334
7,2019-12-04-22-portland,66.7,16,15.2,5,83.1,81.1,30,0.444,62,0.387,24,0.40299999999999997,25,0.64,16,7,200,92.2,26.8,11,24,71,,10.4,8,0.40299999999999997,25,0.28,7,52.6,41,0.48100000000000004,13.1,11,37,0.45899999999999996,17,0.222,2,"December 4, 2019",84.2,16,13.5,5,92.2,73.2,30,0.371,58,0.32799999999999996,19,0.517,30,0.7,21,2,200,83.1,18.9,7,21,64,,6.5,5,0.431,25,0.2,5,47.4,37,0.44299999999999995,16.4,14,33,0.424,14,0.75,6,"Chiles Center, Portland, Oregon",PORTLAND,Portland,76.6,Away,CAL-STATE-NORTHRIDGE,Cal State Northridge,Portland,wcc,7,False,True,True,Home,False,5,14,58,37,78,7,17,62,0,1,62,122,376,0.5718085106382979,196,430,0.4558139534883721,42,119,420,0.43333333333333335,0.8571428571428571
8,2019-12-07-22-seattle,37.5,9,4.7,2,100.0,70.3,26,0.539,51,0.47100000000000003,24,0.5489999999999999,28,0.5710000000000001,16,3,200,97.3,12.5,4,24,71,,5.5,4,0.373,19,0.368,7,43.5,30,0.552,15.9,12,32,0.531,17,0.667,6,"December 7, 2019",46.2,12,6.3,2,97.3,87.5,28,0.455,66,0.39399999999999996,26,0.348,23,0.565,13,5,200,100.0,29.7,11,20,73,,5.5,4,0.348,23,0.348,8,56.5,39,0.474,9.5,8,43,0.419,18,0.545,6,"ShoWare Center, Kent, Washington",PORTLAND,Portland,73.1,Home,SEATTLE,Seattle,Portland,wcc,8,False,False,False,Away,False,7,17,51,30,69,8,18,66,0,1,67,136,434,0.5449308755760369,233,508,0.4586614173228346,49,136,482,0.4346473029045643,0.75
9,2019-12-13-22-portland,52.4,11,2.3,1,101.3,60.0,21,0.414,64,0.32799999999999996,21,0.047,3,0.667,2,0,200,72.4,15.0,6,17,55,,11.8,9,0.609,39,0.282,11,36.0,27,0.42,20.7,17,25,0.4,10,0.0,0,"December 13, 2019",64.5,20,8.0,2,72.4,85.0,34,0.5,68,0.456,31,0.20600000000000002,14,0.643,9,3,200,101.3,40.0,14,8,77,,10.5,8,0.368,25,0.24,6,64.0,48,0.516,16.8,15,43,0.581,25,0.7,7,"Chiles Center, Portland, Oregon","Evergreen State
			","Evergreen State
			",76.0,Home,PORTLAND,Portland,Portland,wcc,9,True,False,True,Home,True,6,25,68,48,75,11,10,64,1,0,74,153,485,0.5443298969072164,263,577,0.4558058925476603,57,154,548,0.4370437956204379,0.6666666666666666
10,2019-12-16-22-portland,52.0,13,7.4,2,90.4,87.5,28,0.38799999999999996,67,0.373,25,0.16399999999999998,11,0.727,8,8,200,82.2,22.9,8,24,60,,5.5,4,0.179,12,0.16699999999999998,2,53.7,36,0.415,13.3,11,55,0.418,23,0.0,0,"December 16, 2019",61.9,13,16.4,9,82.2,77.1,27,0.5539999999999999,46,0.457,21,0.63,29,0.517,15,3,200,90.4,12.5,4,12,66,,8.2,6,0.413,19,0.474,9,46.3,31,0.552,20.3,15,27,0.444,12,0.727,8,"Chiles Center, Portland, Oregon",FLORIDA-AM,Florida A&M,73.0,Home,PORTLAND,Portland,Portland,wcc,10,True,False,True,Home,True,9,12,46,31,67,2,23,67,1,0,80,178,553,0.538878842676311,311,652,0.4769938650306749,68,164,612,0.43464052287581706,0.7
11,2019-12-19-22-portland,34.5,10,9.4,3,85.1,81.5,22,0.508,61,0.475,29,0.27899999999999997,17,0.647,11,8,200,98.6,25.0,8,20,73,,8.1,6,0.213,13,0.308,4,50.8,30,0.528,14.9,12,48,0.521,25,0.273,3,"December 19, 2019",55.6,10,10.4,5,98.6,75.0,24,0.467,46,0.391,18,0.609,28,0.7140000000000001,20,4,200,85.1,18.5,5,19,63,,6.8,5,0.304,14,0.5,7,49.2,29,0.531,25.5,20,32,0.344,11,0.667,8,"Chiles Center, Portland, Oregon",PORTLAND,Portland,73.7,Away,JACKSON-STATE,Jackson State,Portland,wcc,11,False,True,True,Home,False,7,11,46,29,59,4,25,61,0,1,89,190,599,0.5400667779632721,342,719,0.4756606397774687,70,187,679,0.43004418262150224,0.7272727272727273
12,2019-12-22-15-portland,59.4,19,20.0,5,80.0,86.2,25,0.563,64,0.5,32,0.281,18,0.5,9,3,200,115.7,40.6,13,19,81,,17.1,12,0.344,22,0.364,8,62.3,38,0.5579999999999999,12.2,10,42,0.5710000000000001,24,0.727,8,"December 22, 2019",64.7,11,9.5,4,115.7,59.4,19,0.418,49,0.34700000000000003,17,0.429,21,0.7140000000000001,15,5,200,80.0,13.8,4,16,56,,7.1,5,0.49,24,0.292,7,37.7,23,0.475,20.5,15,25,0.4,10,0.615,8,"Stan Sheriff Center, Honolulu, Hawaii",PORTLAND,Portland,69.8,Away,HOUSTON,Houston,Portland,wcc,12,False,True,True,Home,False,7,10,49,23,61,8,24,64,0,1,96,201,645,0.5348837209302325,371,778,0.4768637532133676,74,212,740,0.4364864864864865,0.6666666666666666
