,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TEXAS-PAN-AMERICAN_homegame,TEXAS-PAN-AMERICAN_homegame2,TEXAS-PAN-AMERICAN_home,TEXAS-PAN-AMERICAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-15-13-nebraska-omaha,37.9,11,6.4,3,117.9,72.0,18,0.45,70,0.414,29,0.314,22,0.8640000000000001,19,7,200,105.1,29.3,12,21,82,,10.3,8,0.22899999999999998,16,0.313,5,45.5,30,0.51,12.1,11,54,0.444,24,0.364,4,"December 15, 2019",47.2,17,7.4,4,105.1,70.7,29,0.647,58,0.621,36,0.414,24,0.708,17,7,200,117.9,28.0,7,18,92,,2.6,2,0.19,11,0.273,3,54.5,36,0.6629999999999999,18.0,15,47,0.7020000000000001,33,0.462,6,"Baxter Arena, Omaha, Nebraska",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,78.4,Home,NEBRASKA-OMAHA,Omaha,Texas-Rio Grande Valley,wac,10,False,False,False,Away,False,5,24,70,30,66,3,33,58,0,1,63,198,607,0.4818780889621087,309,621,0.4975845410628019,64,154,509,0.4911591355599214,0.4
11,2019-12-21-14-texas-tech,62.5,15,3.0,1,97.1,69.2,18,0.4370000000000001,63,0.381,24,0.095,6,0.5,3,8,200,82.9,29.7,11,26,58,,8.6,6,0.302,19,0.368,7,46.0,29,0.44,19.6,16,44,0.386,17,0.33299999999999996,4,"December 21, 2019",72.7,16,6.8,3,82.9,70.3,26,0.49,49,0.449,22,0.551,27,0.741,20,3,200,97.1,30.8,8,14,68,24.0,10.0,7,0.327,16,0.25,4,54.0,34,0.55,19.8,15,33,0.545,18,0.727,8,"United Supermarkets Arena, Lubbock, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,69.8,Home,TEXAS-TECH,Texas Tech,Texas-Rio Grande Valley,wac,11,False,False,False,Away,False,7,17,63,29,63,4,18,49,0,1,68,222,677,0.4785819793205318,339,687,0.4934497816593886,67,187,567,0.5070546737213404,0.3636363636363637
12,2019-12-30-19-oklahoma,50.0,14,2.7,1,109.6,69.0,20,0.493,68,0.41200000000000003,28,0.11800000000000001,8,0.625,5,9,200,86.7,5.7,2,23,72,,14.5,12,0.441,30,0.3670000000000001,11,34.4,22,0.501,16.4,14,38,0.447,17,0.308,4,"December 30, 2019",70.0,21,10.5,4,86.7,94.3,33,0.568,59,0.508,30,0.4920000000000001,29,0.828,24,3,200,109.6,31.0,9,13,91,,8.4,7,0.373,22,0.318,7,65.6,42,0.625,20.9,19,37,0.622,23,0.75,9,"Lloyd Noble Center, Norman, Oklahoma",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,83.3,Home,OKLAHOMA,Oklahoma,Texas-Rio Grande Valley,wac,12,False,False,False,Away,False,11,17,68,22,64,7,23,59,0,1,75,239,740,0.475,368,750,0.4906666666666666,71,205,616,0.5056818181818182,0.3333333333333333
13,2020-01-02-22-california-baptist,36.0,9,16.1,5,102.7,56.0,14,0.384,69,0.36200000000000004,25,0.348,24,0.583,14,10,200,90.5,39.6,19,22,67,,12.2,9,0.145,10,0.3,3,45.2,33,0.41700000000000004,15.0,14,59,0.373,22,0.28600000000000003,4,"January 2, 2020",50.0,11,5.1,3,90.5,60.4,29,0.5539999999999999,46,0.478,22,0.63,29,0.862,25,4,200,102.7,44.0,11,24,76,,10.8,8,0.326,15,0.467,7,54.8,40,0.636,28.1,23,31,0.484,15,0.7140000000000001,10,"CBU Events Center, Riverside, California",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,73.6,Home,CALIFORNIA-BAPTIST,California Baptist,Texas-Rio Grande Valley,wac,13,False,False,False,Away,False,3,22,69,33,73,7,15,46,0,1,86,256,808,0.4764851485148514,390,814,0.4791154791154792,78,228,675,0.5111111111111111,0.3076923076923077
14,2020-01-09-20-texas-pan-american,70.8,17,5.4,2,115.2,56.7,17,0.5429999999999999,47,0.511,24,0.447,21,0.619,13,8,200,97.0,17.4,4,25,64,,10.6,7,0.319,15,0.2,3,39.6,21,0.562,16.4,11,32,0.6559999999999999,21,0.529,9,"January 9, 2020",56.0,14,6.3,2,97.0,82.6,19,0.491,58,0.431,25,0.466,27,0.7040000000000001,19,10,200,115.2,43.3,13,15,76,,9.1,6,0.36200000000000004,21,0.33299999999999996,7,60.4,32,0.537,12.5,10,37,0.486,18,0.33299999999999996,5,"UTRGV Fieldhouse, Edinburg, Texas",MISSOURI-KANSAS-CITY,UMKC,65.9,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac,14,True,False,True,Home,True,7,18,58,32,53,3,21,47,1,0,89,278,877,0.4692132269099202,423,887,0.4768883878241263,85,243,721,0.5138696255201111,0.2857142857142857
15,2020-01-11-20-texas-pan-american,71.4,15,14.6,6,116.0,69.7,23,0.561,41,0.512,21,0.6829999999999999,28,0.607,17,15,200,84.0,8.0,2,18,63,,2.7,2,0.22,9,0.444,4,43.1,25,0.58,29.2,22,32,0.531,17,0.21100000000000002,4,"January 11, 2020",77.4,24,6.3,2,84.0,92.0,23,0.546,65,0.47700000000000004,31,0.32299999999999995,21,0.762,16,10,200,116.0,30.3,10,22,87,,20.0,15,0.369,24,0.375,9,56.9,33,0.58,12.9,11,41,0.537,22,0.375,6,"UTRGV Fieldhouse, Edinburg, Texas",CHICAGO-STATE,Chicago State,75.1,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas-Rio Grande Valley,wac,15,True,False,True,Home,True,9,22,65,33,58,4,17,41,1,0,96,296,935,0.4705882352941176,455,940,0.4840425531914894,88,264,768,0.515625,0.3333333333333333
16,2020-01-16-22-seattle,50.0,13,13.2,5,126.4,70.6,24,0.4920000000000001,59,0.441,26,0.40700000000000003,24,0.667,16,11,200,102.8,25.7,9,24,74,,5.6,4,0.271,16,0.375,6,47.8,33,0.526,14.7,12,43,0.465,20,0.353,6,"January 16, 2020",63.3,19,14.0,6,102.8,74.3,26,0.589,62,0.484,30,0.387,24,0.75,18,9,200,126.4,29.4,10,22,91,,8.3,6,0.387,24,0.542,13,52.2,36,0.62,8.8,7,38,0.447,17,0.526,10,"Connolly Center, Seattle, Washington",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,71.9,Home,SEATTLE,Seattle,Texas-Rio Grande Valley,wac,16,False,False,False,Away,False,6,20,59,33,69,13,17,62,0,1,105,318,1000,0.4755,488,998,0.4889779559118237,92,281,809,0.5179233621755254,0.375
17,2020-01-18-16-utah-valley,61.5,16,6.9,2,105.9,70.4,19,0.46,63,0.413,26,0.27,17,0.706,12,12,200,102.9,23.1,9,22,70,,10.3,7,0.302,19,0.316,6,42.4,28,0.4920000000000001,6.6,5,44,0.455,20,0.33299999999999996,6,"January 18, 2020",61.9,13,13.6,6,102.9,76.9,30,0.47,50,0.42,21,0.62,31,0.8059999999999999,25,12,200,105.9,29.6,8,15,72,,1.5,1,0.42,21,0.23800000000000002,5,57.6,38,0.556,15.9,12,29,0.552,16,0.4,8,"UCCU Center, Orem, Utah",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,67.9,Home,UTAH-VALLEY,Utah Valley,Texas-Rio Grande Valley,wac,17,False,False,False,Away,False,6,20,63,28,66,5,16,50,0,1,111,338,1059,0.4763928234183192,521,1067,0.4882849109653234,105,298,871,0.5229621125143513,0.35294117647058826
18,2020-01-25-20-texas-pan-american,80.0,20,0.0,0,103.3,73.9,17,0.644,45,0.556,25,0.35600000000000004,16,0.563,9,6,200,111.7,36.8,7,15,67,,8.3,5,0.444,20,0.4,8,57.1,24,0.637,20.0,13,25,0.68,17,0.7140000000000001,15,"January 25, 2020",50.0,12,16.0,4,111.7,63.2,12,0.552,48,0.5,24,0.20800000000000002,10,0.9,9,13,200,103.3,26.1,6,19,62,,10.0,6,0.313,15,0.33299999999999996,5,42.9,18,0.588,22.3,15,33,0.5760000000000001,19,0.316,6,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,60.2,Away,NEW-MEXICO-STATE,New Mexico State,Texas-Rio Grande Valley,wac,18,False,True,True,Home,False,5,19,48,18,42,8,17,45,0,1,117,358,1122,0.4754901960784314,549,1133,0.4845542806707856,110,314,921,0.5200868621064061,0.3333333333333333
19,2020-01-30-20-texas-pan-american,65.5,19,0.0,0,111.3,66.7,20,0.7,50,0.58,29,0.44,22,0.773,17,12,200,122.5,38.1,8,17,87,,5.6,4,0.4,20,0.6,12,54.9,28,0.72,24.1,19,30,0.5670000000000001,17,0.429,9,"January 30, 2020",72.4,21,13.3,4,122.5,61.9,13,0.508,63,0.46,29,0.27,17,0.882,15,14,200,111.3,33.3,10,17,79,,14.1,10,0.381,24,0.25,6,45.1,23,0.556,12.4,10,39,0.59,23,0.3,6,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,71.3,Away,GRAND-CANYON,Grand Canyon,Texas-Rio Grande Valley,wac,19,False,True,True,Home,False,6,23,63,23,51,12,17,50,0,1,122,377,1170,0.4786324786324786,567,1175,0.4825531914893617,118,331,966,0.5258799171842651,0.3157894736842105
