,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PRESBYTERIAN_homegame,PRESBYTERIAN_homegame2,PRESBYTERIAN_home,PRESBYTERIAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-07-19-clemson,55.6,10,6.1,2,114.5,69.7,23,0.402,51,0.353,18,0.17600000000000002,9,0.444,4,1,200,65.2,22.2,8,10,45,,11.6,8,0.353,18,0.278,5,44.9,31,0.40700000000000003,26.7,20,33,0.39399999999999996,13,0.0,0,"November 7, 2019",45.2,14,6.1,2,65.2,77.8,28,0.5670000000000001,67,0.46299999999999997,31,0.06,4,0.75,3,1,200,114.5,30.3,10,16,79,,8.7,6,0.507,34,0.41200000000000003,14,55.1,38,0.573,13.8,11,33,0.515,17,0.5,1,"Littlejohn Coliseum, Clemson, South Carolina",PRESBYTERIAN,Presbyterian,68.6,Home,CLEMSON,Clemson,Presbyterian,big-south,0,False,False,False,Away,False,5,13,51,31,69,14,17,67,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-11-19-virginia-military-institute,41.4,12,10.7,3,106.9,75.8,25,0.54,63,0.46,29,0.317,20,0.6,12,1,225,111.1,31.6,12,14,80,,11.1,8,0.33299999999999996,21,0.47600000000000003,10,52.1,37,0.552,14.3,12,42,0.452,19,0.5,1,"November 11, 2019",74.1,20,11.9,5,111.1,68.4,26,0.531,64,0.42200000000000004,27,0.172,11,0.818,9,3,225,106.9,24.2,8,12,77,,8.3,6,0.563,36,0.389,14,47.9,34,0.556,12.7,10,28,0.46399999999999997,13,0.0,0,"Cameron Hall, Lexington, Virginia",VIRGINIA-MILITARY-INSTITUTE,VMI,63.9,Away,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,1,False,False,False,Away,True,10,19,63,37,71,14,13,64,1,0,5,13,51,0.4019607843137255,31,69,0.4492753623188406,14,17,67,0.5671641791044776,0.0
2,2019-11-14-19-presbyterian,46.7,14,12.5,4,85.9,80.0,28,0.578,58,0.517,30,0.31,18,0.556,10,0,200,120.3,40.7,11,11,77,,14.1,9,0.345,20,0.35,7,62.9,39,0.579,10.8,8,38,0.605,23,1.0,3,"November 14, 2019",40.9,9,7.9,3,120.3,59.3,16,0.446,56,0.39299999999999996,22,0.161,9,0.556,5,2,200,85.9,20.0,7,17,55,,6.3,4,0.429,24,0.25,6,37.1,23,0.456,16.7,12,32,0.5,16,0.33299999999999996,1,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,64.4,Away,MOREHEAD-STATE,Morehead State,Presbyterian,big-south,2,False,True,True,Home,False,6,16,56,23,62,7,23,58,0,1,15,32,114,0.4780701754385965,68,140,0.4857142857142857,28,30,131,0.5496183206106869,0.5
3,2019-11-18-19-notre-dame,47.8,11,8.0,2,103.3,71.4,20,0.46399999999999997,55,0.418,23,0.073,4,0.5,2,3,200,86.9,24.2,8,16,53,,9.8,6,0.382,21,0.23800000000000002,5,45.9,28,0.466,16.2,11,34,0.529,18,0.25,1,"November 18, 2019",71.4,15,11.8,4,86.9,75.8,25,0.51,51,0.41200000000000003,21,0.353,18,0.611,11,1,200,103.3,28.6,8,9,63,,8.2,5,0.51,26,0.385,10,54.1,33,0.529,14.5,10,25,0.44,11,0.8,4,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",PRESBYTERIAN,Presbyterian,60.7,Home,NOTRE-DAME,Notre Dame,Presbyterian,big-south,3,False,False,False,Away,False,5,18,55,28,61,10,11,51,0,1,21,48,170,0.4676470588235294,91,202,0.4504950495049505,35,53,189,0.5582010582010583,0.3333333333333333
4,2019-11-22-17-sacred-heart,73.9,17,6.7,2,107.8,70.4,19,0.402,66,0.348,23,0.091,6,0.667,4,4,200,74.0,19.5,8,16,57,,14.3,11,0.364,24,0.292,7,39.7,27,0.414,19.9,17,42,0.381,16,0.2,1,"November 22, 2019",60.0,18,21.4,9,74.0,80.5,33,0.593,59,0.508,30,0.237,14,0.929,13,3,200,107.8,29.6,8,10,83,,14.3,11,0.4920000000000001,29,0.345,10,60.3,41,0.632,22.6,19,30,0.667,20,0.4,2,"TD Bank Sports Center, Hamden, Connecticut",PRESBYTERIAN,Presbyterian,77.3,Home,SACRED-HEART,Sacred Heart,Presbyterian,big-south,4,False,False,False,Away,False,7,16,66,27,68,10,20,59,0,1,26,66,225,0.4666666666666667,119,263,0.4524714828897338,45,64,240,0.5479166666666667,0.25
5,2019-11-23-18-quinnipiac,76.9,20,11.1,2,112.3,70.0,21,0.484,61,0.426,26,0.14800000000000002,9,0.556,5,5,200,98.5,23.5,8,19,64,,6.2,4,0.27899999999999997,17,0.41200000000000003,7,45.3,29,0.49,12.2,9,44,0.4320000000000001,19,0.16699999999999998,1,"November 23, 2019",65.0,13,4.5,2,98.5,76.5,26,0.52,51,0.392,20,0.47100000000000003,24,0.833,20,2,200,112.3,30.0,9,8,73,,9.2,6,0.647,33,0.39399999999999996,13,54.7,35,0.585,14.0,10,18,0.389,7,0.5,2,"TD Bank Sports Center, Hamden, Connecticut",PRESBYTERIAN,Presbyterian,64.8,Home,QUINNIPIAC,Quinnipiac,Presbyterian,big-south,5,False,False,False,Away,False,7,19,61,29,64,13,7,51,0,1,33,82,291,0.4518900343642612,146,331,0.44108761329305135,55,84,299,0.5568561872909699,0.2
6,2019-11-24-13-presbyterian,60.0,12,9.8,4,92.3,69.4,25,0.45,50,0.4,20,0.48,24,0.833,20,3,200,100.0,30.0,9,13,65,,6.2,4,0.4,20,0.25,5,51.5,34,0.529,15.4,11,30,0.5,15,0.5710000000000001,4,"November 24, 2019",50.0,11,0.0,0,100.0,70.0,21,0.429,56,0.39299999999999996,22,0.28600000000000003,16,0.75,12,6,200,92.3,30.6,11,22,60,,9.2,6,0.268,15,0.267,4,48.5,32,0.47200000000000003,17.1,13,41,0.439,18,0.14300000000000002,1,"TD Bank Sports Center, Hamden, Connecticut",PRESBYTERIAN,Presbyterian,64.5,Away,ALBANY-NY,Albany (NY),Presbyterian,big-south,6,False,True,True,Home,False,4,18,56,32,66,5,15,50,0,1,40,101,352,0.4573863636363637,175,395,0.4430379746835443,68,91,350,0.5514285714285714,0.16666666666666666
7,2019-11-30-16-presbyterian,59.1,13,0.0,0,116.0,71.9,23,0.474,58,0.379,22,0.19,11,0.364,4,0,200,78.7,25.6,10,21,59,,4.0,3,0.534,31,0.355,11,46.5,33,0.467,25.9,22,27,0.40700000000000003,11,0.0,0,"November 30, 2019",47.1,16,7.4,2,78.7,74.4,29,0.562,65,0.523,34,0.308,20,0.7,14,6,200,116.0,28.1,9,13,87,,17.3,13,0.354,23,0.217,5,53.5,38,0.584,11.9,10,42,0.69,29,0.25,2,"Ross E.Templeton Center, Clinton, South Carolina","Toccoa Falls
			","Toccoa Falls
			",75.4,Home,PRESBYTERIAN,Presbyterian,Presbyterian,big-south,7,True,False,True,Home,True,5,29,65,38,71,11,11,58,1,0,44,119,408,0.4534313725490196,207,461,0.4490238611713666,73,106,400,0.53875,0.14285714285714285
8,2019-12-07-14-south-carolina-state,33.3,8,2.2,1,112.7,71.8,28,0.455,56,0.429,24,0.39299999999999996,22,0.773,17,7,200,95.8,29.4,10,21,68,,5.6,4,0.28600000000000003,16,0.188,3,52.1,38,0.512,18.6,15,40,0.525,21,0.222,2,"December 7, 2019",71.4,20,5.0,2,95.8,70.6,24,0.4920000000000001,63,0.444,28,0.381,24,0.75,18,5,200,112.7,28.2,11,17,80,,12.7,9,0.28600000000000003,18,0.33299999999999996,6,47.9,35,0.5379999999999999,9.8,8,45,0.489,22,0.375,3,"SHM Memorial Center, Orangeburg, South Carolina",PRESBYTERIAN,Presbyterian,71.4,Home,SOUTH-CAROLINA-STATE,South Carolina State,Presbyterian,big-south,8,False,False,False,Away,False,3,21,56,38,73,6,22,63,0,1,49,148,473,0.4682875264270613,245,532,0.4605263157894737,84,117,458,0.5305676855895196,0.25
9,2019-12-10-15-st-francis-ny,47.8,11,7.3,3,94.1,71.8,28,0.5529999999999999,47,0.489,23,0.34,16,0.688,11,8,200,92.6,18.5,5,19,63,,7.4,5,0.34,16,0.375,6,50.0,33,0.5770000000000001,23.9,17,31,0.5479999999999999,17,0.2,2,"December 10, 2019",41.7,10,9.7,3,92.6,81.5,22,0.434,61,0.39299999999999996,24,0.27899999999999997,17,0.647,11,6,200,94.1,28.2,11,18,64,,11.8,8,0.32799999999999996,20,0.25,5,50.0,33,0.46299999999999997,13.8,11,41,0.46299999999999997,19,0.4,4,"Pope Physical Education Center, Brooklyn Heights, New York",PRESBYTERIAN,Presbyterian,67.8,Home,ST-FRANCIS-NY,St. Francis (NY),Presbyterian,big-south,9,False,False,False,Away,False,6,17,47,33,66,5,19,61,0,1,52,169,529,0.4669187145557656,283,605,0.4677685950413223,90,139,521,0.525911708253359,0.2222222222222222
