,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COLGATE_homegame,COLGATE_homegame2,COLGATE_home,COLGATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-colgate,43.3,13,5.9,2,114.3,73.1,19,0.523,65,0.462,30,0.138,9,0.778,7,1,200,107.1,20.6,7,19,75,,7.1,5,0.4,26,0.308,8,43.3,26,0.541,11.5,9,39,0.564,22,0.0,0,"November 6, 2019",48.1,13,2.6,1,107.1,79.4,27,0.574,54,0.5,27,0.389,21,0.857,18,0,200,114.3,26.9,7,11,80,,8.6,6,0.37,20,0.4,8,56.7,34,0.625,14.8,11,34,0.5589999999999999,19,1.0,1,"Cotterell Court, Hamilton, New York",NJIT,NJIT,69.6,Home,COLGATE,Colgate,Colgate,patriot,0,True,False,True,Home,True,8,19,54,34,60,8,22,65,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-15-clemson,53.8,14,5.0,2,112.5,71.4,20,0.5529999999999999,57,0.456,26,0.08800000000000001,5,1.0,5,1,200,94.4,14.3,4,16,68,,2.8,2,0.579,33,0.33299999999999996,11,42.9,24,0.573,23.3,18,24,0.625,15,0.5,1,"November 10, 2019",35.5,11,4.2,1,94.4,85.7,24,0.5670000000000001,60,0.517,31,0.3,18,0.722,13,1,200,112.5,28.6,8,9,81,,18.1,13,0.33299999999999996,20,0.3,6,57.1,32,0.591,13.9,11,40,0.625,25,0.667,2,"Littlejohn Coliseum, Clemson, South Carolina",COLGATE,Colgate,72.5,Home,CLEMSON,Clemson,Colgate,patriot,1,False,False,False,Away,False,11,15,57,24,56,6,25,60,0,1,8,19,54,0.5740740740740741,34,60,0.5666666666666667,8,22,65,0.5230769230769231,1.0
2,2019-11-13-19-syracuse,77.8,14,10.5,4,106.1,62.5,15,0.408,60,0.3,18,0.11699999999999999,7,0.7140000000000001,5,2,200,81.8,26.8,11,14,54,,9.1,6,0.6829999999999999,41,0.317,13,40.0,26,0.426,19.2,15,19,0.263,5,0.33299999999999996,1,"November 13, 2019",71.4,20,31.6,6,81.8,73.2,30,0.573,55,0.509,28,0.218,12,0.583,7,1,200,106.1,37.5,9,11,70,,13.6,9,0.309,17,0.41200000000000003,7,60.0,39,0.5770000000000001,17.7,13,38,0.5529999999999999,21,0.5,1,"Carrier Dome, Syracuse, New York",COLGATE,Colgate,66.0,Home,SYRACUSE,Syracuse,Colgate,patriot,2,False,False,False,Away,False,13,5,60,26,65,7,21,55,0,1,19,34,111,0.5630630630630631,58,116,0.5,14,47,125,0.544,0.5
3,2019-11-18-20-auburn,26.9,7,0.0,0,126.4,65.6,21,0.43799999999999994,65,0.4,26,0.10800000000000001,7,0.7140000000000001,5,3,200,86.1,25.0,8,14,62,,9.7,7,0.369,24,0.20800000000000002,5,45.3,29,0.45399999999999996,13.9,11,41,0.512,21,0.25,1,"November 18, 2019",40.0,14,22.0,9,86.1,75.0,24,0.606,66,0.53,35,0.22699999999999998,15,0.733,11,0,200,126.4,34.4,11,14,91,19.0,9.7,7,0.424,28,0.35700000000000004,10,54.7,35,0.622,12.1,10,38,0.6579999999999999,25,1.0,5,"Auburn Arena, Auburn, Alabama",COLGATE,Colgate,71.7,Home,AUBURN,Auburn,Colgate,patriot,3,False,False,False,Away,False,5,21,65,29,64,10,25,66,0,1,32,39,171,0.5087719298245614,84,181,0.4640883977900552,21,68,180,0.5527777777777778,0.3333333333333333
4,2019-11-21-19-colgate,37.5,6,5.9,2,121.9,71.9,23,0.34299999999999997,51,0.314,16,0.431,22,0.682,15,0,200,68.5,21.6,8,12,50,,8.2,6,0.392,20,0.15,3,44.9,31,0.40700000000000003,23.8,19,31,0.419,13,0.0,0,"November 21, 2019",65.7,23,9.7,3,68.5,78.4,29,0.621,66,0.53,35,0.152,10,0.7,7,3,200,121.9,28.1,9,19,89,,13.7,10,0.485,32,0.375,12,55.1,38,0.629,14.6,12,34,0.6759999999999999,23,0.4,2,"Cotterell Court, Hamilton, New York","SUNY-Cortland
			","SUNY-Cortland
			",73.1,Home,COLGATE,Colgate,Colgate,patriot,4,True,False,True,Home,True,12,23,66,38,69,3,13,51,1,0,37,60,236,0.4894067796610169,113,245,0.4612244897959184,31,93,246,0.5670731707317073,0.25
5,2019-11-24-17-colgate,28.0,7,4.8,1,97.0,65.0,26,0.456,57,0.439,25,0.12300000000000001,7,0.5710000000000001,4,6,200,84.8,17.2,5,14,56,,4.5,3,0.263,15,0.133,2,44.9,31,0.46399999999999997,15.5,11,42,0.5479999999999999,23,0.0,0,"November 24, 2019",59.1,13,0.0,0,84.8,82.8,24,0.431,65,0.33799999999999997,22,0.154,10,0.8,8,3,200,97.0,35.0,14,13,64,,7.6,5,0.677,44,0.273,12,55.1,38,0.45899999999999996,12.6,10,21,0.47600000000000003,10,0.5,3,"Kress Events Center, Green Bay, Wisconsin",CAL-STATE-NORTHRIDGE,Cal State Northridge,66.0,Home,COLGATE,Colgate,Colgate,patriot,5,True,False,True,Home,True,12,10,65,38,69,2,23,57,1,0,49,83,302,0.5182119205298014,151,314,0.4808917197452229,34,106,297,0.5286195286195287,0.4
6,2019-11-26-20-green-bay,67.6,25,6.7,3,112.5,82.9,29,0.738,63,0.5870000000000001,37,0.095,6,1.0,6,3,200,137.5,27.3,6,21,99,,1.4,1,0.556,35,0.5429999999999999,19,61.4,35,0.752,14.4,11,28,0.643,18,0.5710000000000001,4,"November 26, 2019",60.7,17,7.1,2,137.5,72.7,16,0.5,64,0.43799999999999994,28,0.344,22,0.773,17,4,200,112.5,17.1,6,11,81,,12.5,9,0.297,19,0.42100000000000004,8,38.6,22,0.544,6.4,5,45,0.444,20,0.33299999999999996,2,"Kress Events Center, Green Bay, Wisconsin",GREEN-BAY,Green Bay,72.2,Away,COLGATE,Colgate,Colgate,patriot,6,False,False,False,Away,True,19,18,63,35,57,8,20,64,1,0,61,93,367,0.502724795640327,189,383,0.4934725848563969,36,129,354,0.5169491525423728,0.5
7,2019-11-30-14-colgate,45.8,11,17.1,6,98.6,81.8,27,0.5,52,0.462,24,0.308,16,0.625,10,4,200,84.9,22.6,7,21,62,,6.8,5,0.28800000000000003,15,0.267,4,53.1,34,0.52,26.2,21,37,0.541,20,0.33299999999999996,2,"November 30, 2019",38.5,10,13.5,5,84.9,77.4,24,0.491,58,0.44799999999999995,26,0.32799999999999996,19,0.789,15,3,200,98.6,18.2,6,16,72,,13.7,10,0.397,23,0.217,5,46.9,30,0.537,14.2,11,35,0.6,21,0.625,5,"Cotterell Court, Hamilton, New York",SIENA,Siena,72.8,Home,COLGATE,Colgate,Colgate,patriot,7,True,False,True,Home,True,5,21,58,30,64,4,20,52,1,0,80,111,430,0.5372093023255814,224,440,0.509090909090909,44,149,418,0.5143540669856459,0.5714285714285714
8,2019-12-04-19-binghamton,35.5,11,5.0,2,101.4,70.5,31,0.573,62,0.5,31,0.226,14,0.7859999999999999,11,3,200,112.3,23.3,7,14,82,,4.1,3,0.419,26,0.34600000000000003,9,51.4,38,0.597,13.9,11,36,0.611,22,0.667,6,"December 4, 2019",41.4,12,0.0,0,112.3,76.7,23,0.45899999999999996,74,0.392,29,0.10800000000000001,8,0.75,6,5,200,101.4,29.5,13,15,74,,6.8,5,0.45899999999999996,34,0.294,10,48.6,36,0.47600000000000003,9.4,8,40,0.475,19,0.444,4,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,72.7,Away,COLGATE,Colgate,Colgate,patriot,8,False,False,False,Away,True,9,22,62,38,74,10,19,74,1,0,85,132,488,0.5317622950819673,254,504,0.503968253968254,48,169,470,0.5127659574468085,0.625
9,2019-12-08-13-niagara,40.6,13,2.6,1,117.7,89.3,25,0.574,68,0.47100000000000003,32,0.08800000000000001,6,0.667,4,4,225,103.8,26.3,10,18,82,,6.3,5,0.544,37,0.37799999999999995,14,53.0,35,0.579,20.3,18,31,0.581,18,0.6,6,"December 8, 2019",42.4,14,6.5,2,103.8,73.7,28,0.615,61,0.541,33,0.377,23,0.7829999999999999,18,5,225,117.7,10.7,3,11,93,,16.5,13,0.361,22,0.409,9,47.0,31,0.647,13.4,11,39,0.615,24,0.28600000000000003,2,"Gallagher Center, Niagara University, New York",COLGATE,Colgate,70.6,Home,NIAGARA,Niagara,Colgate,patriot,9,False,False,False,Away,False,14,18,68,35,66,9,24,61,0,1,94,154,550,0.5363636363636364,292,578,0.5051903114186851,58,188,544,0.5055147058823529,0.6666666666666666
