,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHERN-UTAH_homegame,SOUTHERN-UTAH_homegame2,SOUTHERN-UTAH_home,SOUTHERN-UTAH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-southern-utah,41.7,10,0.0,0,119.6,73.0,27,0.39899999999999997,69,0.348,24,0.217,15,0.733,11,0,200,71.7,15.9,7,24,66,,6.5,6,0.36200000000000004,25,0.28,7,42.0,34,0.433,21.7,21,44,0.386,17,0.0,0,"November 5, 2019",62.5,25,15.9,7,71.7,84.1,37,0.61,73,0.5479999999999999,40,0.466,34,0.618,21,0,200,119.6,27.0,10,17,110,,17.4,16,0.342,25,0.36,9,58.0,47,0.617,13.7,14,48,0.6459999999999999,31,1.0,1,"Centrum, Cedar City, Utah","Bethesda University (CA)
			","Bethesda University (CA)
			",91.6,Home,SOUTHERN-UTAH,Southern Utah,Southern Utah,big-sky,0,True,False,True,Home,True,9,31,73,47,81,7,17,69,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-14-nebraska,32.3,10,14.9,7,86.7,83.3,40,0.434,76,0.408,31,0.276,21,0.619,13,0,250,87.8,28.9,13,23,79,,7.8,7,0.303,23,0.174,4,57.0,53,0.45899999999999996,15.8,16,53,0.509,27,1.0,2,"November 9, 2019",55.6,15,9.4,5,87.8,71.1,32,0.40399999999999997,73,0.37,27,0.397,29,0.655,19,2,250,86.7,16.7,8,17,78,,10.0,9,0.35600000000000004,26,0.192,5,43.0,40,0.449,13.2,13,47,0.46799999999999997,22,0.0,0,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,72.3,Away,SOUTHERN-UTAH,Southern Utah,Southern Utah,big-sky,1,False,False,False,Away,True,4,27,76,53,93,5,22,73,1,0,9,31,73,0.6095890410958904,47,81,0.5802469135802469,7,17,69,0.3985507246376812,1.0
2,2019-11-13-21-brigham-young,39.3,11,15.8,6,94.4,81.1,30,0.5,56,0.5,28,0.179,10,0.7,7,1,200,87.5,25.9,7,20,63,,8.3,6,0.214,12,0.0,0,57.8,37,0.519,23.0,18,44,0.636,28,0.667,2,"November 13, 2019",60.9,14,2.3,1,87.5,74.1,20,0.45,60,0.38299999999999995,23,0.33299999999999996,20,0.7,14,1,200,94.4,18.9,7,15,68,,9.7,7,0.3670000000000001,22,0.364,8,42.2,27,0.489,12.7,10,38,0.395,15,0.667,2,"Marriott Center, Provo, Utah",SOUTHERN-UTAH,Southern Utah,72.1,Home,BRIGHAM-YOUNG,BYU,Southern Utah,big-sky,2,False,False,False,Away,False,0,28,56,37,64,8,15,60,0,1,13,58,149,0.5201342281879194,100,174,0.5747126436781609,12,39,142,0.4014084507042254,1.0
3,2019-11-18-23-ucla,40.0,8,4.4,2,97.4,67.6,23,0.402,56,0.35700000000000004,20,0.41100000000000003,23,0.696,16,2,200,78.2,18.2,6,28,61,,10.3,8,0.33899999999999997,19,0.263,5,43.3,29,0.456,20.5,17,37,0.405,15,0.5,2,"November 18, 2019",54.2,13,27.0,10,78.2,81.8,27,0.455,56,0.429,24,0.696,39,0.6409999999999999,25,0,200,97.4,32.4,11,22,76,,14.1,11,0.196,11,0.273,3,56.7,38,0.51,17.0,15,45,0.467,21,1.0,4,"Pauley Pavilion, Los Angeles, California",SOUTHERN-UTAH,Southern Utah,78.2,Home,UCLA,UCLA,Southern Utah,big-sky,3,False,False,False,Away,False,5,15,56,29,67,3,21,56,0,1,13,86,205,0.5146341463414634,137,238,0.5756302521008403,20,54,202,0.4158415841584158,0.6666666666666666
4,2019-11-23-11-charleston-southern,46.7,14,10.3,4,62.5,81.6,31,0.5589999999999999,59,0.508,30,0.271,16,0.875,14,2,200,111.1,46.2,12,14,80,,12.5,9,0.28800000000000003,17,0.353,6,67.2,43,0.601,19.5,16,42,0.5710000000000001,24,0.6,3,"November 23, 2019",37.5,6,4.8,2,111.1,53.8,14,0.302,58,0.276,16,0.207,12,0.833,10,5,200,62.5,18.4,7,16,45,,6.9,5,0.32799999999999996,19,0.158,3,32.8,21,0.353,20.2,16,39,0.33299999999999996,13,0.16699999999999998,1,"Freedom Hall Civic Center, Johnson City, Tennessee",CHARLESTON-SOUTHERN,Charleston Southern,71.7,Away,SOUTHERN-UTAH,Southern Utah,Southern Utah,big-sky,4,False,False,False,Away,True,6,24,59,43,64,3,13,58,1,0,18,101,261,0.4904214559386973,166,305,0.5442622950819672,23,75,258,0.4244186046511628,0.5
5,2019-11-24-14-east-tennessee-state,17.4,4,13.0,3,100.0,83.3,25,0.431,58,0.397,23,0.276,16,0.5,8,3,200,82.9,21.6,8,21,58,,11.4,8,0.276,16,0.25,4,49.3,33,0.442,18.7,15,42,0.452,19,0.5,3,"November 24, 2019",61.9,13,14.3,6,82.9,78.4,29,0.5429999999999999,47,0.447,21,0.532,25,0.76,19,1,200,100.0,16.7,5,16,70,,8.6,6,0.511,24,0.375,9,50.7,34,0.594,19.4,14,23,0.522,12,0.833,5,"Freedom Hall Civic Center, Johnson City, Tennessee",SOUTHERN-UTAH,Southern Utah,70.2,Home,EAST-TENNESSEE-STATE,ETSU,Southern Utah,big-sky,5,False,False,False,Away,False,4,19,58,33,67,9,12,47,0,1,24,125,320,0.503125,209,369,0.5663956639566395,26,88,316,0.4018987341772152,0.6
6,2019-11-29-14-southern-utah,25.0,3,0.0,0,157.5,58.3,14,0.245,53,0.226,12,0.28300000000000003,15,0.9329999999999999,14,0,200,50.0,7.9,3,11,40,,8.8,7,0.34,18,0.111,2,27.4,17,0.33299999999999996,28.7,24,35,0.28600000000000003,10,0.0,0,"November 29, 2019",59.6,31,2.9,1,50.0,92.1,35,0.818,74,0.703,52,0.10800000000000001,8,0.625,5,3,200,157.5,41.7,10,14,126,,21.3,17,0.4320000000000001,32,0.531,17,72.6,45,0.81,13.4,12,42,0.833,35,0.5710000000000001,4,"Centrum, Cedar City, Utah","West Coast Baptist
			","West Coast Baptist
			",80.5,Home,SOUTHERN-UTAH,Southern Utah,Southern Utah,big-sky,6,True,False,True,Home,True,17,35,74,45,62,2,10,53,1,0,28,144,378,0.492063492063492,242,436,0.5550458715596329,35,100,363,0.4201101928374656,0.5
7,2019-12-01-16-loyola-marymount,43.8,7,2.8,1,103.4,65.2,15,0.40399999999999997,47,0.34,16,0.38299999999999995,18,0.722,13,4,200,86.4,46.2,12,17,51,,1.7,1,0.5529999999999999,26,0.231,6,55.1,27,0.45899999999999996,24.7,18,21,0.47600000000000003,10,0.5,4,"December 1, 2019",40.0,10,9.5,2,86.4,53.8,14,0.54,50,0.5,25,0.18,9,0.778,7,4,200,103.4,34.8,8,17,61,,6.8,4,0.28,14,0.28600000000000003,4,44.9,22,0.562,16.9,11,36,0.583,21,0.429,3,"Albert Gersten Pavilion, Los Angeles, California",SOUTHERN-UTAH,Southern Utah,59.4,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Southern Utah,big-sky,7,False,False,False,Away,False,6,10,47,27,49,4,21,50,0,1,45,179,452,0.5453539823008849,287,498,0.5763052208835341,37,110,416,0.3978365384615384,0.5714285714285714
8,2019-12-07-16-southern-utah,38.5,10,15.2,7,93.6,61.5,24,0.545,55,0.473,26,0.309,17,0.706,12,7,200,92.3,12.9,4,28,72,,10.3,8,0.364,20,0.4,8,40.0,28,0.5710000000000001,20.4,16,35,0.514,18,0.364,4,"December 7, 2019",28.6,6,8.6,3,92.3,87.1,27,0.379,62,0.33899999999999997,21,0.516,32,0.813,26,4,200,93.6,38.5,15,20,73,,10.3,8,0.258,16,0.313,5,60.0,42,0.473,19.1,18,46,0.348,16,0.556,5,"Centrum, Cedar City, Utah",UTAH-VALLEY,Utah Valley,77.6,Home,SOUTHERN-UTAH,Southern Utah,Southern Utah,big-sky,8,True,False,True,Home,True,5,16,62,42,70,8,18,55,1,0,51,189,499,0.5320641282565131,314,547,0.5740402193784278,41,131,466,0.4130901287553648,0.5
9,2019-12-14-16-southern-utah,45.0,9,8.6,3,96.9,92.3,24,0.42200000000000004,51,0.392,20,0.51,26,0.6920000000000001,18,4,201,95.3,29.4,10,19,61,,4.7,3,0.294,15,0.2,3,56.7,34,0.48100000000000004,13.8,10,36,0.47200000000000003,17,0.6,6,"December 14, 2019",31.8,7,8.3,3,95.3,70.6,24,0.49,48,0.45799999999999996,22,0.43799999999999994,21,0.7140000000000001,15,4,201,96.9,7.7,2,22,62,,9.4,6,0.271,13,0.231,3,43.3,26,0.535,12.3,8,35,0.5429999999999999,19,0.6,6,"Centrum, Cedar City, Utah",CALIFORNIA-SANTA-BARBARA,UCSB,63.3,Home,SOUTHERN-UTAH,Southern Utah,Southern Utah,big-sky,9,True,False,True,Home,True,3,19,48,26,60,3,17,51,1,0,56,205,561,0.5151515151515151,356,617,0.5769854132901134,49,149,521,0.427063339731286,0.5555555555555556
10,2019-12-19-22-long-beach-state,61.3,19,11.1,4,85.1,78.6,22,0.5920000000000001,65,0.47700000000000004,31,0.2,13,0.5379999999999999,7,4,200,113.5,36.4,12,16,84,,13.5,10,0.462,30,0.5,15,55.7,34,0.59,18.5,16,35,0.457,16,0.636,7,"December 19, 2019",52.2,12,8.6,3,113.5,63.6,21,0.48200000000000004,56,0.41100000000000003,23,0.196,11,0.818,9,9,200,85.1,21.4,6,14,63,,8.1,6,0.35700000000000004,20,0.4,8,44.3,27,0.514,22.8,18,36,0.41700000000000004,15,0.25,3,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,74.2,Away,SOUTHERN-UTAH,Southern Utah,Southern Utah,big-sky,10,False,False,False,Away,True,15,16,65,34,61,8,15,56,1,0,59,224,609,0.513136288998358,382,677,0.5642540620384048,52,166,572,0.42657342657342656,0.6
11,2019-12-30-22-portland-state,48.4,15,10.9,5,111.0,73.8,31,0.596,57,0.544,31,0.368,21,0.7140000000000001,15,4,200,113.7,35.7,10,15,83,,4.1,3,0.281,16,0.375,6,58.6,41,0.62,18.5,15,41,0.61,25,0.667,8,"December 30, 2019",40.6,13,14.6,6,113.7,64.3,18,0.507,73,0.43799999999999994,32,0.16399999999999998,12,0.583,7,7,200,111.0,26.2,11,17,81,,11.0,8,0.37,27,0.37,10,41.4,29,0.515,8.2,7,46,0.478,22,0.5,7,"Peter W. Stott Center, Portland, Oregon",PORTLAND-STATE,Portland State,73.3,Away,SOUTHERN-UTAH,Southern Utah,Southern Utah,big-sky,11,False,False,False,Away,True,6,25,57,41,70,10,22,73,1,0,74,240,674,0.5207715133531158,416,738,0.5636856368563685,60,181,628,0.4315286624203822,0.6363636363636364
12,2020-01-02-21-southern-utah,54.2,13,15.8,6,86.6,71.9,23,0.466,58,0.414,24,0.138,8,0.75,6,7,200,89.6,13.8,4,18,60,,7.5,5,0.22399999999999998,13,0.462,6,44.3,27,0.485,12.8,9,45,0.4,18,0.5,7,"January 2, 2020",20.0,4,17.8,8,89.6,86.2,25,0.42200000000000004,51,0.392,20,0.41200000000000003,21,0.7140000000000001,15,5,200,86.6,28.1,9,14,58,,4.5,3,0.255,13,0.231,3,55.7,34,0.47600000000000003,19.9,15,38,0.447,17,0.615,8,"Centrum, Cedar City, Utah",SOUTHERN-UTAH,Southern Utah,66.9,Away,MONTANA,Montana,Southern Utah,big-sky,12,False,True,True,Home,False,3,17,51,34,61,6,18,58,0,1,80,265,731,0.5266757865937073,457,808,0.5655940594059405,70,203,701,0.43937232524964337,0.6666666666666666
13,2020-01-04-16-southern-utah,56.3,9,18.2,6,85.5,82.9,29,0.305,59,0.271,16,0.40700000000000003,24,0.708,17,7,200,76.8,23.1,9,25,53,,4.3,3,0.33899999999999997,20,0.2,4,51.4,38,0.376,11.5,9,39,0.308,12,0.5329999999999999,8,"January 4, 2020",44.4,8,20.5,8,76.8,76.9,30,0.355,55,0.327,18,0.455,25,0.8,20,5,200,85.5,17.1,6,22,59,,7.2,5,0.4,22,0.136,3,48.6,36,0.441,9.6,7,33,0.455,15,0.643,9,"Centrum, Cedar City, Utah",MONTANA-STATE,Montana State,69.1,Home,SOUTHERN-UTAH,Southern Utah,Southern Utah,big-sky,13,True,False,True,Home,True,3,15,55,36,74,4,12,59,1,0,83,282,782,0.5198209718670077,491,869,0.5650172612197929,76,221,759,0.4413702239789196,0.6153846153846154
