,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTHERN-KENTUCKY_homegame,NORTHERN-KENTUCKY_homegame2,NORTHERN-KENTUCKY_home,NORTHERN-KENTUCKY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-15-14-northern-kentucky,42.9,12,3.6,1,116.2,77.8,21,0.535,57,0.491,28,0.12300000000000001,7,0.429,3,6,200,94.1,27.6,8,13,64,,1.5,1,0.24600000000000002,14,0.35700000000000004,5,51.8,29,0.53,21.0,16,43,0.535,23,0.4,4,"December 15, 2019",67.9,19,0.0,0,94.1,72.4,21,0.632,53,0.528,28,0.34,18,0.667,12,3,200,116.2,22.2,6,12,79,,10.3,7,0.47200000000000003,25,0.44,11,48.2,27,0.642,16.5,12,28,0.607,17,0.727,8,"Bank of Kentucky Center, Highland Heights, Kentucky",ILLINOIS-STATE,Illinois State,67.9,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,10,True,False,True,Home,True,11,17,53,27,56,5,23,57,1,0,92,183,594,0.5404040404040404,359,681,0.5271659324522759,53,186,589,0.4507640067911714,0.7
11,2019-12-21-19-north-carolina-greensboro,71.4,10,0.0,0,106.3,60.5,23,0.38,46,0.304,14,0.37,17,0.882,15,4,200,79.4,25.0,8,11,50,,6.3,4,0.457,21,0.33299999999999996,7,44.3,31,0.462,20.7,14,25,0.28,7,0.667,8,"December 21, 2019",59.3,16,16.0,4,79.4,75.0,24,0.478,67,0.40299999999999997,27,0.075,5,0.6,3,3,200,106.3,39.5,15,18,67,,4.8,3,0.478,32,0.313,10,55.7,39,0.483,13.7,11,35,0.486,17,0.769,10,"Fleming Gymnasium, Greensboro, North Carolina",NORTHERN-KENTUCKY,Northern Kentucky,62.7,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Northern Kentucky,horizon,11,False,False,False,Away,False,7,7,46,31,70,10,17,67,0,1,103,200,647,0.5479134466769706,386,737,0.5237449118046132,58,209,646,0.4582043343653251,0.7272727272727273
12,2019-12-28-13-northern-kentucky,34.6,9,9.7,3,108.8,61.8,21,0.45799999999999996,59,0.441,26,0.254,15,0.667,10,8,200,94.1,30.3,10,26,64,,4.4,3,0.28800000000000003,17,0.11800000000000001,2,46.3,31,0.484,15.5,12,42,0.5710000000000001,24,0.385,5,"December 28, 2019",50.0,11,2.4,1,94.1,69.7,23,0.473,56,0.39299999999999996,22,0.48200000000000004,27,0.778,21,4,200,108.8,38.2,13,18,74,,5.9,4,0.446,25,0.36,9,53.7,36,0.5379999999999999,15.0,12,31,0.419,13,0.6920000000000001,9,"Bank of Kentucky Center, Highland Heights, Kentucky",MILWAUKEE,Milwaukee,68.0,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,12,True,False,True,Home,True,9,13,56,36,67,2,24,59,1,0,110,207,693,0.5367965367965368,417,807,0.516728624535316,68,226,713,0.4600280504908836,0.6666666666666666
13,2019-12-30-19-northern-kentucky,63.0,17,5.7,2,89.4,71.8,28,0.535,57,0.474,27,0.281,16,0.75,12,9,200,110.6,28.6,8,17,73,,9.1,6,0.298,17,0.41200000000000003,7,53.7,36,0.565,11.1,8,40,0.5,20,0.4,6,"December 30, 2019",39.1,9,5.0,2,110.6,71.4,20,0.418,61,0.377,23,0.213,13,0.615,8,5,200,89.4,28.2,11,21,59,,9.1,6,0.426,26,0.192,5,46.3,31,0.439,14.2,11,35,0.514,18,0.643,9,"Bank of Kentucky Center, Highland Heights, Kentucky",NORTHERN-KENTUCKY,Northern Kentucky,65.9,Away,GREEN-BAY,Green Bay,Northern Kentucky,horizon,13,False,True,True,Home,False,5,18,61,31,67,7,20,57,0,1,119,220,749,0.5320427236315087,453,874,0.5183066361556065,70,250,772,0.4598445595854922,0.6923076923076923
14,2020-01-03-19-detroit-mercy,73.7,14,2.8,1,91.7,69.0,20,0.395,57,0.33299999999999996,19,0.298,17,0.765,13,6,200,80.6,12.1,4,20,58,,16.7,12,0.456,26,0.26899999999999996,7,38.7,24,0.446,17.8,14,31,0.387,12,0.6,9,"January 3, 2020",64.0,16,12.9,4,80.6,87.9,29,0.529,51,0.49,25,0.392,20,0.6,12,12,200,91.7,31.0,9,17,66,,8.3,6,0.294,15,0.267,4,61.3,38,0.545,22.1,17,36,0.583,21,0.2,3,"Calihan Hall, Detroit, Michigan",NORTHERN-KENTUCKY,Northern Kentucky,71.8,Home,DETROIT-MERCY,Detroit,Northern Kentucky,horizon,14,False,False,False,Away,False,7,12,57,24,62,4,21,51,0,1,124,238,810,0.5234567901234568,484,941,0.5143464399574921,77,270,829,0.4650180940892642,0.6428571428571429
15,2020-01-05-15-oakland,73.1,19,2.6,1,100.0,65.7,23,0.5770000000000001,52,0.5,26,0.423,22,0.682,15,6,200,117.2,32.1,9,15,75,,7.8,5,0.40399999999999997,21,0.381,8,50.8,32,0.6,14.0,10,31,0.581,18,0.625,10,"January 5, 2020",61.5,16,9.7,3,117.2,67.9,19,0.484,61,0.426,26,0.16399999999999998,10,0.5,5,10,200,100.0,34.3,12,18,64,,12.5,8,0.377,23,0.304,7,49.2,31,0.48700000000000004,14.4,11,38,0.5,19,0.375,6,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,64.1,Away,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,15,False,False,False,Away,True,8,18,52,32,63,7,19,61,1,0,131,250,867,0.5149942329873126,508,1003,0.5064805583250249,81,291,880,0.46875,0.6
16,2020-01-10-19-illinois-chicago,53.8,14,13.8,4,80.0,70.6,24,0.556,54,0.48100000000000004,26,0.33299999999999996,18,0.444,8,6,200,104.6,31.3,10,15,68,,12.3,8,0.519,28,0.28600000000000003,8,51.5,34,0.544,17.4,13,26,0.6920000000000001,18,0.647,11,"January 10, 2020",84.2,16,19.2,5,104.6,68.8,22,0.4270000000000001,55,0.345,19,0.127,7,0.7140000000000001,5,12,200,80.0,29.4,10,19,52,,3.1,2,0.473,26,0.34600000000000003,9,48.5,32,0.446,21.6,16,29,0.345,10,0.33299999999999996,6,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,64.9,Away,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,16,False,False,False,Away,True,8,18,54,34,66,9,10,55,1,0,139,268,919,0.5184983677910773,540,1066,0.5065666041275797,88,310,941,0.4697130712008502,0.625
17,2020-01-12-14-iupui,59.5,22,2.4,1,98.6,64.1,25,0.659,66,0.561,37,0.19699999999999998,13,0.6920000000000001,9,6,200,133.3,30.0,9,21,96,,11.1,8,0.53,35,0.371,13,49.3,34,0.665,12.2,10,31,0.774,24,0.667,12,"January 12, 2020",58.3,14,0.0,0,133.3,70.0,21,0.413,63,0.381,24,0.413,26,0.731,19,14,200,98.6,35.9,14,16,71,,6.9,5,0.33299999999999996,21,0.19,4,50.7,35,0.47100000000000003,11.8,10,42,0.47600000000000003,20,0.263,5,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,72.3,Away,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,17,False,False,False,Away,True,13,24,66,34,69,4,20,63,1,0,147,286,973,0.5205549845837616,574,1132,0.5070671378091873,97,320,996,0.4673694779116466,0.6470588235294118
18,2020-01-16-19-northern-kentucky,55.0,11,12.5,4,127.5,72.0,18,0.375,60,0.33299999999999996,20,0.483,29,0.621,18,8,200,91.3,35.7,15,18,63,,7.2,5,0.3,18,0.278,5,49.3,33,0.4270000000000001,11.0,9,42,0.35700000000000004,15,0.579,11,"January 16, 2020",50.0,15,7.1,3,91.3,64.3,27,0.602,59,0.508,30,0.322,19,0.895,17,6,200,127.5,28.0,7,22,88,,5.8,4,0.45799999999999996,27,0.40700000000000003,11,50.7,34,0.647,11.8,9,32,0.594,19,0.684,13,"Bank of Kentucky Center, Highland Heights, Kentucky",YOUNGSTOWN-STATE,Youngstown State,68.9,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,18,True,False,True,Home,True,11,19,59,34,67,5,15,60,1,0,160,310,1039,0.5293551491819056,608,1201,0.5062447960033306,101,340,1059,0.4641170915958451,0.6666666666666666
19,2020-01-18-19-northern-kentucky,56.3,9,6.1,2,115.4,62.1,18,0.314,51,0.314,16,0.51,26,0.654,17,13,200,75.4,37.1,13,20,49,,7.7,5,0.098,5,0.0,0,48.4,31,0.387,17.2,13,46,0.348,16,0.35,7,"January 18, 2020",56.5,13,6.5,3,75.4,62.9,22,0.465,57,0.40399999999999997,23,0.439,25,0.88,22,6,200,115.4,37.9,11,19,75,,12.3,8,0.42100000000000004,24,0.292,7,51.6,33,0.544,11.7,9,33,0.485,16,0.7,14,"Bank of Kentucky Center, Highland Heights, Kentucky",CLEVELAND-STATE,Cleveland State,65.1,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,19,True,False,True,Home,True,7,16,57,33,64,0,16,51,1,0,171,329,1098,0.5332422586520947,642,1268,0.5063091482649842,106,355,1119,0.4593386952636282,0.6842105263157895
20,2020-01-24-21-wright-state,30.8,8,5.4,2,133.8,60.9,14,0.424,66,0.39399999999999996,26,0.182,12,0.583,7,7,200,88.7,25.0,10,18,63,,11.3,8,0.33299999999999996,22,0.182,4,38.1,24,0.439,11.2,9,44,0.5,22,0.667,14,"January 24, 2020",55.6,20,6.8,3,88.7,75.0,30,0.7120000000000001,59,0.61,36,0.28800000000000003,17,0.647,11,4,200,133.8,39.1,9,15,95,,5.6,4,0.373,22,0.545,12,61.9,39,0.708,17.4,14,37,0.649,24,0.818,18,"Ervin J. Nutter Center, Dayton, Ohio",NORTHERN-KENTUCKY,Northern Kentucky,71.4,Home,WRIGHT-STATE,Wright State,Northern Kentucky,horizon,20,False,False,False,Away,False,4,22,66,24,63,12,24,59,0,1,178,345,1155,0.5298701298701298,675,1332,0.5067567567567568,106,371,1170,0.45299145299145294,0.7
21,2020-01-31-21-green-bay,40.9,9,4.1,2,82.7,78.0,32,0.418,61,0.361,22,0.44299999999999995,27,0.741,20,7,200,94.7,27.5,11,16,71,,6.7,5,0.44299999999999995,27,0.259,7,53.1,43,0.48100000000000004,12.1,10,34,0.441,15,0.682,15,"January 31, 2020",41.7,10,8.8,3,94.7,72.5,29,0.373,71,0.33799999999999997,24,0.16899999999999998,12,0.75,9,13,200,82.7,22.0,9,23,62,,5.3,4,0.31,22,0.22699999999999998,5,46.9,38,0.40399999999999997,11.6,10,49,0.38799999999999996,19,0.435,10,"Kress Events Center, Green Bay, Wisconsin",GREEN-BAY,Green Bay,75.3,Away,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,21,False,False,False,Away,True,7,15,61,43,81,5,19,71,1,0,182,367,1221,0.5241605241605242,699,1395,0.5010752688172043,118,395,1229,0.4654190398698129,0.6666666666666666
22,2020-02-02-14-milwaukee,57.1,12,6.7,2,82.4,88.2,30,0.455,55,0.382,21,0.327,18,0.833,15,7,200,95.6,25.0,8,15,65,,13.2,9,0.509,28,0.28600000000000003,8,57.6,38,0.511,17.1,13,27,0.48100000000000004,13,0.696,16,"February 2, 2020",68.4,13,3.7,1,95.6,75.0,24,0.425,53,0.358,19,0.226,12,0.917,11,13,200,82.4,11.8,4,17,56,,8.8,6,0.434,23,0.304,7,42.4,28,0.47700000000000004,18.2,13,30,0.4,12,0.435,10,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,68.1,Away,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,22,False,False,False,Away,True,8,13,55,38,66,7,12,53,1,0,189,382,1282,0.5191107644305772,742,1476,0.502710027100271,123,414,1300,0.4603846153846154,0.6818181818181818
23,2020-02-06-19-northern-kentucky,40.0,10,8.1,3,117.7,48.7,19,0.5579999999999999,52,0.48100000000000004,25,0.26899999999999996,14,0.857,12,16,200,112.9,42.3,11,12,70,,1.6,1,0.385,20,0.4,8,46.2,30,0.597,18.3,13,32,0.531,17,0.33299999999999996,8,"February 6, 2020",64.3,18,9.4,3,112.9,57.7,15,0.451,72,0.389,28,0.19399999999999998,14,0.5710000000000001,8,7,200,117.7,51.3,20,16,73,,11.3,7,0.486,35,0.257,9,53.8,35,0.46399999999999997,4.9,4,37,0.514,19,0.708,17,"Bank of Kentucky Center, Highland Heights, Kentucky",OAKLAND,Oakland,61.7,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,23,True,False,True,Home,True,9,19,72,35,65,8,17,52,1,0,197,395,1337,0.5164547494390427,780,1542,0.5058365758754864,130,426,1353,0.45898004434589795,0.6956521739130435
24,2020-02-08-19-northern-kentucky,42.9,9,12.5,5,118.3,61.8,21,0.511,47,0.447,21,0.532,25,0.68,17,19,200,91.5,25.0,7,17,65,,8.5,6,0.426,20,0.3,6,45.2,28,0.552,22.7,17,27,0.556,15,0.24,6,"February 8, 2020",53.6,15,3.7,1,91.5,75.0,21,0.516,62,0.452,28,0.46799999999999997,29,0.69,20,7,200,118.3,38.2,13,19,84,,14.1,10,0.355,22,0.364,8,54.8,34,0.5539999999999999,12.8,11,40,0.5,20,0.72,18,"Bank of Kentucky Center, Highland Heights, Kentucky",DETROIT-MERCY,Detroit,71.3,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,24,True,False,True,Home,True,8,20,62,34,62,6,15,47,1,0,206,414,1409,0.5131298793470547,815,1607,0.5071561916614811,138,443,1405,0.4626334519572954,0.7083333333333334
25,2020-02-14-19-northern-kentucky,52.0,13,3.1,1,116.7,71.4,20,0.475,59,0.424,25,0.305,18,0.778,14,21,200,97.2,25.8,8,23,70,,9.7,7,0.322,19,0.316,6,47.5,28,0.518,17.3,14,40,0.475,19,0.222,6,"February 14, 2020",55.6,15,5.0,2,97.2,74.2,23,0.618,51,0.529,27,0.627,32,0.6559999999999999,21,7,200,116.7,28.6,8,17,84,,13.9,10,0.373,19,0.474,9,52.5,31,0.634,15.6,12,32,0.563,18,0.731,19,"Bank of Kentucky Center, Highland Heights, Kentucky",IUPUI,IUPUI,71.9,Home,NORTHERN-KENTUCKY,Northern Kentucky,Northern Kentucky,horizon,25,True,False,True,Home,True,9,18,51,31,59,6,19,59,1,0,214,434,1471,0.5132562882392929,849,1669,0.5086878370281606,144,458,1452,0.4641873278236915,0.72
