,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHEASTERN-LOUISIANA_homegame,SOUTHEASTERN-LOUISIANA_homegame2,SOUTHEASTERN-LOUISIANA_home,SOUTHEASTERN-LOUISIANA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-tulane,54.2,13,5.7,2,100.0,74.4,29,0.434,61,0.39299999999999996,24,0.18,11,0.182,2,1,200,72.4,24.4,10,24,55,,3.9,3,0.45899999999999996,28,0.179,5,48.8,39,0.415,22.4,19,33,0.5760000000000001,19,0.0,0,"November 6, 2019",57.7,15,6.1,2,72.4,75.6,31,0.47600000000000003,63,0.413,26,0.381,24,0.667,16,0,200,100.0,25.6,10,15,76,,13.2,10,0.444,28,0.28600000000000003,8,51.3,41,0.511,14.0,12,35,0.514,18,1.0,1,"Devlin Fieldhouse, New Orleans, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,75.8,Home,TULANE,Tulane,Southeastern Louisiana,southland,0,False,False,False,Away,False,5,19,61,39,80,8,18,63,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-11-20-southeastern-louisiana,18.5,5,12.5,4,100.0,73.3,22,0.608,51,0.529,27,0.255,13,0.615,8,0,200,90.9,20.8,5,20,70,,10.4,8,0.392,20,0.4,8,50.0,27,0.612,30.6,25,31,0.613,19,0.0,0,"November 11, 2019",48.1,13,0.0,0,90.9,79.2,19,0.516,62,0.435,27,0.29,18,0.722,13,1,200,100.0,26.7,8,15,77,,13.0,10,0.484,30,0.33299999999999996,10,50.0,27,0.546,17.7,15,32,0.531,17,0.5,1,"University Center, Hammond, Louisiana","Xavier (LA)
			","Xavier (LA)
			",77.4,Home,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Southeastern Louisiana,southland,1,True,False,True,Home,True,10,17,62,27,54,8,19,51,1,0,5,19,61,0.4344262295081967,39,80,0.4875,8,18,63,0.4761904761904762,0.0
2,2019-11-13-20-southeastern-louisiana,53.8,14,5.4,2,90.9,73.5,25,0.5,55,0.473,26,0.655,36,0.722,26,0,200,105.2,30.3,10,23,81,,10.4,8,0.182,10,0.3,3,52.2,35,0.562,17.5,15,45,0.511,23,1.0,3,"November 13, 2019",46.2,12,8.9,4,105.2,69.7,23,0.4920000000000001,59,0.441,26,0.33899999999999997,20,0.6,12,2,200,90.9,26.5,9,26,70,,6.5,5,0.373,22,0.273,6,47.8,32,0.511,20.0,17,37,0.541,20,0.33299999999999996,1,"University Center, Hammond, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,76.8,Away,GRAMBLING,Grambling,Southeastern Louisiana,southland,2,False,True,True,Home,False,6,20,59,32,67,3,23,55,0,1,15,36,123,0.475609756097561,66,134,0.4925373134328358,16,37,114,0.5350877192982456,0.5
3,2019-11-17-14-southeastern-louisiana,33.3,8,0.0,0,86.7,60.0,24,0.431,58,0.414,24,0.207,12,0.667,8,0,200,77.3,44.8,13,18,58,,5.3,4,0.259,15,0.133,2,53.6,37,0.455,29.9,27,43,0.512,22,0.0,0,"November 17, 2019",47.8,11,16.3,7,77.3,55.2,16,0.405,63,0.365,23,0.397,25,0.56,14,2,200,86.7,40.0,16,15,65,,22.7,17,0.349,22,0.22699999999999998,5,46.4,32,0.434,14.9,13,41,0.439,18,0.5,2,"University Center, Hammond, Louisiana","Mobile
			","Mobile
			",74.8,Home,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Southeastern Louisiana,southland,3,True,False,True,Home,True,5,18,63,32,69,2,22,58,1,0,21,56,182,0.4807692307692308,98,201,0.4875621890547264,19,60,169,0.5236686390532544,0.3333333333333333
4,2019-11-20-20-tulsa,40.7,11,5.6,2,98.6,71.0,22,0.44799999999999995,67,0.40299999999999997,27,0.179,12,0.5,6,3,200,89.2,31.0,13,24,66,,12.2,9,0.313,21,0.28600000000000003,6,47.9,35,0.45399999999999996,15.2,13,46,0.457,21,0.4,2,"November 20, 2019",64.0,16,10.9,5,89.2,69.0,29,0.48200000000000004,55,0.455,25,0.509,28,0.7140000000000001,20,1,200,98.6,29.0,9,15,73,,10.8,8,0.345,19,0.158,3,52.1,38,0.534,19.2,16,36,0.611,22,0.8,4,"Donald W. Reynolds Center, Tulsa, Oklahoma",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,74.0,Home,TULSA,Tulsa,Southeastern Louisiana,southland,4,False,False,False,Away,False,6,21,67,35,73,3,22,55,0,1,26,74,245,0.4612244897959184,130,270,0.4814814814814815,21,82,227,0.5,0.5
5,2019-11-23-20-austin-peay,54.2,13,8.6,3,105.2,62.1,18,0.396,72,0.33299999999999996,24,0.083,6,0.5,3,4,200,77.9,26.7,12,21,60,,10.4,8,0.33299999999999996,24,0.375,9,40.5,30,0.401,17.7,16,48,0.313,15,0.33299999999999996,2,"November 23, 2019",62.1,18,6.3,3,77.9,73.3,33,0.568,59,0.4920000000000001,29,0.35600000000000004,21,0.667,14,3,200,105.2,37.9,11,16,81,,11.7,9,0.40700000000000003,24,0.375,9,59.5,44,0.5870000000000001,19.9,17,35,0.5710000000000001,20,0.4,2,"Winfield Dunn Center, Clarksville, Tennessee",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,76.9,Home,AUSTIN-PEAY,Austin Peay,Southeastern Louisiana,southland,5,False,False,False,Away,False,9,15,72,30,74,9,20,59,0,1,32,95,312,0.4583333333333333,165,343,0.4810495626822158,24,104,282,0.4964539007092199,0.4
6,2019-11-25-20-vanderbilt,28.6,8,0.0,0,102.6,69.4,25,0.40700000000000003,70,0.4,28,0.243,17,0.765,13,5,200,92.1,32.5,13,19,70,,7.9,6,0.22899999999999998,16,0.063,1,50.0,38,0.44799999999999995,13.4,12,54,0.5,27,0.28600000000000003,2,"November 25, 2019",66.7,16,5.6,3,92.1,67.5,27,0.509,58,0.414,24,0.483,28,0.679,19,1,200,102.6,30.6,11,16,78,,5.3,4,0.517,30,0.3670000000000001,11,50.0,38,0.547,16.6,14,28,0.46399999999999997,13,0.833,5,"Memorial Gymnasium, Nashville, Tennessee",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,75.7,Home,VANDERBILT,Vanderbilt,Southeastern Louisiana,southland,6,False,False,False,Away,False,1,27,70,38,76,11,13,58,0,1,41,110,384,0.4466145833333333,195,417,0.4676258992805755,33,124,341,0.5087976539589443,0.3333333333333333
7,2019-12-03-20-louisiana-lafayette,30.0,9,0.0,0,119.5,52.0,13,0.5,68,0.441,30,0.294,20,0.65,13,6,200,98.8,22.2,8,25,81,,8.5,7,0.441,30,0.267,8,34.4,21,0.523,17.2,16,38,0.579,22,0.25,2,"December 3, 2019",62.5,20,10.5,4,98.8,77.8,28,0.652,56,0.5710000000000001,32,0.589,33,0.758,25,3,200,119.5,48.0,12,17,98,,8.5,7,0.39299999999999996,22,0.409,9,65.6,40,0.684,21.2,19,34,0.6759999999999999,23,0.625,5,"Cajundome, Lafayette, Louisiana",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,82.1,Home,LOUISIANA-LAFAYETTE,Louisiana,Southeastern Louisiana,southland,7,False,False,False,Away,False,8,22,68,21,61,9,23,56,0,1,42,137,454,0.4405286343612335,233,493,0.4726166328600406,44,137,399,0.5087719298245614,0.2857142857142857
8,2019-12-06-20-southeastern-louisiana,60.0,18,6.1,3,96.3,71.4,20,0.54,63,0.47600000000000003,30,0.111,7,0.857,6,0,200,90.2,24.2,8,19,74,,12.2,10,0.33299999999999996,21,0.381,8,45.9,28,0.5579999999999999,25.0,22,42,0.524,22,0.0,0,"December 6, 2019",50.0,15,4.8,2,90.2,75.8,25,0.508,61,0.4920000000000001,30,0.344,21,0.81,17,6,200,96.3,28.6,8,12,79,,14.6,12,0.19699999999999998,12,0.16699999999999998,2,54.1,33,0.557,22.2,20,49,0.5710000000000001,28,0.33299999999999996,3,"University Center, Hammond, Louisiana","Southern-New Orleans
			","Southern-New Orleans
			",81.7,Home,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Southeastern Louisiana,southland,8,True,False,True,Home,True,2,28,61,33,61,8,22,63,1,0,50,159,522,0.4482758620689655,254,554,0.4584837545126354,53,160,455,0.5263736263736264,0.25
9,2019-12-18-20-lamar,50.0,14,3.8,2,108.2,53.1,26,0.516,63,0.444,28,0.222,14,0.5710000000000001,8,7,225,100.0,29.7,11,18,73,,6.8,5,0.413,26,0.34600000000000003,9,43.0,37,0.524,17.8,15,37,0.514,19,0.3,3,"December 18, 2019",66.7,20,5.4,2,100.0,70.3,26,0.441,76,0.395,30,0.263,20,0.6,12,5,225,108.2,46.9,23,12,79,,12.3,9,0.303,23,0.304,7,57.0,49,0.462,9.6,9,53,0.434,23,0.583,7,"Montagne Center, Beaumont, Texas",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,64.5,Home,LAMAR,Lamar,Southeastern Louisiana,southland,9,False,False,False,Away,False,9,19,63,37,86,7,23,76,0,1,52,187,583,0.4545454545454545,287,615,0.4666666666666667,61,182,518,0.527992277992278,0.3333333333333333
