,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HARVARD_homegame,HARVARD_homegame2,HARVARD_home,HARVARD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-harvard,54.5,6,12.5,5,116.7,55.6,15,0.256,45,0.244,11,0.267,12,0.33299999999999996,4,0,200,37.5,22.2,8,16,27,,16.7,12,0.311,14,0.071,1,36.5,23,0.266,34.9,27,31,0.32299999999999995,10,0.0,0,"November 5, 2019",38.2,13,25.8,8,37.5,77.8,28,0.625,60,0.5670000000000001,34,0.217,13,0.6920000000000001,9,0,200,116.7,44.4,12,19,84,,18.1,13,0.33299999999999996,20,0.35,7,63.5,40,0.635,23.3,20,40,0.675,27,1.0,1,"Lavietes Pavilion, Boston, Massachusetts","MIT
			","MIT
			",71.9,Home,HARVARD,Harvard,Harvard,ivy,0,True,False,True,Home,True,7,27,60,40,63,1,10,45,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-20-northeastern,48.3,14,6.3,2,125.4,79.2,19,0.541,61,0.475,29,0.27899999999999997,17,0.765,13,1,200,117.9,33.3,11,18,79,,7.5,5,0.41,25,0.32,8,52.6,30,0.5720000000000001,12.7,10,36,0.583,21,0.5,1,"November 8, 2019",35.7,10,8.3,3,117.9,66.7,22,0.657,51,0.5489999999999999,28,0.431,22,0.773,17,0,200,125.4,20.8,5,19,84,,7.5,5,0.373,19,0.579,11,47.4,27,0.6829999999999999,14.1,10,32,0.531,17,1.0,2,"Matthews Arena, Boston, Massachusetts",HARVARD,Harvard,67.3,Home,NORTHEASTERN,Northeastern,Harvard,ivy,1,False,False,False,Away,False,8,21,61,30,57,11,17,51,0,1,7,27,60,0.625,40,63,0.6349206349206349,1,10,45,0.25555555555555554,1.0
2,2019-11-10-14-harvard,52.9,9,2.6,1,108.1,74.1,20,0.38,50,0.34,17,0.26,13,0.615,8,1,200,74.2,25.0,8,17,46,,12.9,8,0.3,15,0.267,4,47.5,28,0.409,21.2,15,35,0.371,13,0.5,1,"November 10, 2019",42.3,11,14.3,5,74.2,75.0,24,0.5710000000000001,49,0.531,26,0.38799999999999996,19,0.579,11,1,200,108.1,25.9,7,11,67,,19.4,12,0.204,10,0.4,4,52.5,31,0.5770000000000001,14.8,10,39,0.564,22,0.667,2,"Lavietes Pavilion, Boston, Massachusetts",MAINE,Maine,62.1,Home,HARVARD,Harvard,Harvard,ivy,2,True,False,True,Home,True,4,22,49,31,59,4,13,50,1,0,15,48,121,0.5826446280991735,70,120,0.5833333333333334,12,27,96,0.46875,0.5
3,2019-11-14-19-harvard,41.7,10,6.5,2,85.5,75.0,24,0.441,59,0.40700000000000003,24,0.136,8,0.5,4,2,200,81.2,31.4,11,13,56,,10.1,7,0.373,22,0.182,4,52.2,35,0.446,20.4,16,37,0.541,20,0.5,2,"November 14, 2019",34.8,8,27.0,10,81.2,68.6,24,0.48200000000000004,57,0.40399999999999997,23,0.08800000000000001,5,0.8,4,1,200,85.5,25.0,8,12,59,,11.6,8,0.456,26,0.34600000000000003,9,47.8,32,0.4970000000000001,23.3,18,31,0.452,14,0.75,3,"Lavietes Pavilion, Boston, Massachusetts",SIENA,Siena,68.6,Home,HARVARD,Harvard,Harvard,ivy,3,True,False,True,Home,True,9,14,57,32,67,4,20,59,1,0,19,70,170,0.5794117647058824,101,179,0.5642458100558659,16,40,146,0.4383561643835616,0.6666666666666666
4,2019-11-16-14-buffalo,54.2,13,20.9,9,112.8,66.7,22,0.415,65,0.369,24,0.446,29,0.759,22,2,200,97.4,41.5,17,17,76,,7.7,6,0.354,23,0.261,6,52.7,39,0.48200000000000004,17.9,17,42,0.429,18,0.6,3,"November 16, 2019",64.5,20,14.3,6,97.4,58.5,24,0.5429999999999999,69,0.449,31,0.217,15,0.867,13,1,200,112.8,33.3,11,27,88,,7.7,6,0.377,26,0.5,13,47.3,35,0.578,14.7,13,43,0.419,18,0.667,2,"Scotiabank Arena, Toronto",HARVARD,Harvard,78.5,Home,BUFFALO,Buffalo,Harvard,ivy,4,False,False,False,Away,False,6,18,65,39,74,13,18,69,0,1,28,84,227,0.5550660792951542,133,246,0.540650406504065,20,60,205,0.4390243902439024,0.75
5,2019-11-22-19-holy-cross,57.1,16,13.2,5,107.2,77.4,24,0.5489999999999999,61,0.45899999999999996,28,0.344,21,0.7140000000000001,15,2,200,118.8,31.3,10,12,82,,10.1,7,0.377,23,0.478,11,54.0,34,0.578,10.2,8,38,0.447,17,0.667,4,"November 22, 2019",56.7,17,10.5,4,118.8,68.8,22,0.573,62,0.484,30,0.09699999999999999,6,0.5,3,5,200,107.2,22.6,7,20,74,,1.4,1,0.387,24,0.45799999999999996,11,46.0,29,0.5710000000000001,14.5,11,38,0.5,19,0.0,0,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,68.9,Away,HARVARD,Harvard,Harvard,ivy,5,False,False,False,Away,True,11,17,61,34,63,11,19,62,1,0,34,102,292,0.523972602739726,172,320,0.5375,33,78,274,0.4653284671532847,0.6
6,2019-11-28-13-harvard,43.8,7,12.5,3,87.3,72.7,24,0.363,51,0.314,16,0.451,23,0.609,14,2,200,71.8,16.2,6,19,51,,15.5,11,0.392,20,0.25,5,42.9,30,0.41200000000000003,20.7,16,31,0.355,11,0.6,3,"November 28, 2019",64.7,11,6.5,2,71.8,83.8,31,0.377,53,0.321,17,0.415,22,1.0,22,2,200,87.3,27.3,9,17,62,,14.1,10,0.547,29,0.207,6,57.1,40,0.489,20.3,16,24,0.45799999999999996,11,0.7140000000000001,5,"HP Field House, Orlando, Florida",TEXAS-AM,Texas A&M,71.2,Home,HARVARD,Harvard,Harvard,ivy,6,True,False,True,Home,True,6,11,53,40,70,5,11,51,1,0,45,119,353,0.5283286118980169,206,383,0.5378590078328982,44,97,336,0.4851190476190476,0.6666666666666666
7,2019-11-29-11-harvard,37.5,9,8.6,3,92.4,87.9,29,0.45799999999999996,60,0.4,24,0.667,40,0.625,25,0,200,101.3,37.5,15,15,80,5.0,7.6,6,0.33299999999999996,20,0.35,7,60.3,44,0.506,16.2,15,40,0.425,17,1.0,7,"November 29, 2019",25.9,7,7.5,3,101.3,62.5,25,0.508,61,0.44299999999999995,27,0.27899999999999997,17,0.647,11,3,200,92.4,12.1,4,24,73,,6.3,5,0.426,26,0.308,8,39.7,29,0.528,16.0,13,35,0.5429999999999999,19,0.625,5,"HP Field House, Orlando, Florida",HARVARD,Harvard,78.5,Away,MARYLAND,Maryland,Harvard,ivy,7,False,True,True,Home,False,8,19,61,29,73,7,17,60,0,1,51,130,406,0.5086206896551724,246,453,0.543046357615894,49,108,387,0.4689922480620155,0.7142857142857143
8,2019-12-01-18-southern-california,42.9,9,10.6,5,111.6,59.4,19,0.456,57,0.368,21,0.316,18,0.556,10,4,200,89.9,23.7,9,14,62,,11.6,8,0.474,27,0.37,10,40.0,28,0.473,16.7,13,30,0.3670000000000001,11,0.556,5,"December 1, 2019",50.0,15,13.3,4,89.9,76.3,29,0.5489999999999999,61,0.4920000000000001,30,0.27899999999999997,17,0.588,10,2,200,111.6,40.6,13,19,77,,11.6,8,0.23,14,0.5,7,60.0,42,0.557,16.0,13,47,0.489,23,0.778,7,"HP Field House, Orlando, Florida",HARVARD,Harvard,69.3,Home,SOUTHERN-CALIFORNIA,USC,Harvard,ivy,8,False,False,False,Away,False,10,11,57,28,70,7,23,61,0,1,59,149,467,0.5085653104925053,275,526,0.5228136882129277,56,125,447,0.4675615212527964,0.625
9,2019-12-07-13-harvard,26.3,5,5.6,2,130.9,45.5,10,0.353,58,0.32799999999999996,19,0.32799999999999996,19,0.737,14,5,200,80.9,35.7,15,16,55,,7.4,5,0.32799999999999996,19,0.158,3,39.1,25,0.41,17.4,14,39,0.41,16,0.5,5,"December 7, 2019",46.9,15,10.3,4,80.9,64.3,27,0.655,55,0.5820000000000001,32,0.364,20,0.85,17,4,200,130.9,54.5,12,19,89,,10.3,7,0.345,19,0.42100000000000004,8,60.9,39,0.69,22.0,18,36,0.667,24,0.6,6,"Lavietes Pavilion, Boston, Massachusetts",MASSACHUSETTS,UMass,68.3,Home,HARVARD,Harvard,Harvard,ivy,9,True,False,True,Home,True,8,24,55,39,64,3,16,58,1,0,69,160,524,0.5028625954198473,303,596,0.5083892617449665,63,148,508,0.4773622047244094,0.5555555555555556
10,2019-12-21-12-george-washington,31.4,11,11.8,4,107.1,79.4,27,0.5710000000000001,63,0.556,35,0.28600000000000003,18,0.889,16,4,200,125.7,30.8,8,16,88,,7.1,5,0.19,12,0.16699999999999998,2,58.3,35,0.615,7.8,6,51,0.647,33,0.636,7,"December 21, 2019",51.9,14,5.9,3,125.7,69.2,18,0.551,59,0.45799999999999996,27,0.305,18,0.556,10,6,200,107.1,20.6,7,17,75,,5.7,4,0.424,25,0.44,11,41.7,25,0.555,11.9,9,34,0.47100000000000003,16,0.455,5,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,69.6,Away,HARVARD,Harvard,Harvard,ivy,10,False,False,False,Away,True,2,33,63,35,60,11,16,59,1,0,77,184,579,0.5172711571675302,342,660,0.5181818181818182,66,164,566,0.4646643109540636,0.6
