,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HOUSTON-BAPTIST_homegame,HOUSTON-BAPTIST_homegame2,HOUSTON-BAPTIST_home,HOUSTON-BAPTIST_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-13-tulsa,37.5,9,4.2,2,105.3,72.7,24,0.425,67,0.358,24,0.26899999999999996,18,0.833,15,1,200,94.7,37.2,16,20,72,,9.2,7,0.433,29,0.31,9,52.6,40,0.47700000000000004,17.6,16,38,0.395,15,0.0,0,"November 5, 2019",42.9,12,5.3,2,94.7,62.8,27,0.47600000000000003,62,0.452,28,0.435,27,0.778,21,0,200,105.3,27.3,9,16,80,,15.8,12,0.226,14,0.214,3,47.4,36,0.535,13.0,11,48,0.521,25,1.0,1,"Donald W. Reynolds Center, Tulsa, Oklahoma",HOUSTON-BAPTIST,Houston Baptist,76.2,Home,TULSA,Tulsa,Houston Baptist,southland,0,False,False,False,Away,False,9,15,67,40,76,3,25,62,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-20-oral-roberts,46.4,13,8.2,4,103.3,65.8,25,0.45799999999999996,71,0.39399999999999996,28,0.324,23,0.696,16,2,200,88.0,19.0,8,16,81,,6.5,6,0.366,26,0.34600000000000003,9,41.3,33,0.494,16.5,16,45,0.42200000000000004,19,0.0,0,"November 8, 2019",50.0,17,8.9,4,88.0,81.0,34,0.494,78,0.436,34,0.33299999999999996,26,0.6920000000000001,18,1,200,103.3,34.2,13,21,95,,10.9,10,0.3720000000000001,29,0.31,9,58.8,47,0.526,15.2,16,49,0.51,25,0.5,1,"Mabee Center, Tulsa, Oklahoma",HOUSTON-BAPTIST,Houston Baptist,91.6,Home,ORAL-ROBERTS,Oral Roberts,Houston Baptist,southland,1,False,False,False,Away,False,9,19,71,33,80,9,25,78,0,1,9,15,67,0.4253731343283582,40,76,0.5263157894736842,3,25,62,0.4758064516129033,0.0
2,2019-11-13-20-houston-baptist,77.5,31,12.5,5,88.1,73.8,31,0.649,67,0.597,40,0.358,24,0.667,16,0,200,122.6,44.8,13,20,103,11.0,14.3,12,0.239,16,0.43799999999999994,7,62.0,44,0.657,22.1,22,51,0.647,33,1.0,3,"November 13, 2019",46.2,12,3.9,2,122.6,55.2,16,0.47,66,0.39399999999999996,26,0.273,18,0.667,12,3,200,88.1,26.2,11,20,74,,10.7,9,0.39399999999999996,26,0.385,10,38.0,27,0.496,19.6,18,40,0.4,16,0.0,0,"Chaparral Center, Midland, Texas",HOUSTON-BAPTIST,Houston Baptist,84.5,Away,TEXAS-TECH,Texas Tech,Houston Baptist,southland,2,False,True,True,Home,False,10,16,66,27,71,7,33,67,0,1,18,34,138,0.4420289855072464,73,156,0.467948717948718,12,50,140,0.4857142857142857,0.0
3,2019-11-22-19-michigan,23.1,6,0.0,0,127.6,69.4,25,0.423,71,0.366,26,0.183,13,0.615,8,4,200,78.2,18.4,7,17,68,,5.7,5,0.324,23,0.348,8,43.2,32,0.441,19.8,19,48,0.375,18,0.0,0,"November 22, 2019",67.4,29,8.3,4,78.2,81.6,31,0.649,77,0.5579999999999999,43,0.20800000000000002,16,0.688,11,0,200,127.6,30.6,11,12,111,,10.3,9,0.377,29,0.483,14,56.8,42,0.6559999999999999,12.5,12,48,0.604,29,1.0,4,"Crisler Arena, Ann Arbor, Michigan",HOUSTON-BAPTIST,Houston Baptist,87.4,Home,MICHIGAN,Michigan,Houston Baptist,southland,3,False,False,False,Away,False,8,18,71,32,74,14,29,77,0,1,28,50,204,0.4509803921568628,100,227,0.4405286343612335,19,83,207,0.538647342995169,0.0
4,2019-11-26-20-houston,47.8,11,0.0,0,141.8,50.0,17,0.415,65,0.354,23,0.4,26,0.731,19,5,200,92.4,26.8,11,30,73,,6.3,5,0.354,23,0.348,8,37.3,28,0.47200000000000003,16.4,15,42,0.35700000000000004,15,0.0,0,"November 26, 2019",58.3,21,26.2,11,92.4,73.2,30,0.601,69,0.522,36,0.536,37,0.784,29,2,200,141.8,50.0,17,22,112,,8.9,7,0.304,21,0.524,11,62.7,47,0.647,8.6,8,48,0.521,25,0.6,3,"Hofheinz Pavilion, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,79.5,Home,HOUSTON,Houston,Houston Baptist,southland,4,False,False,False,Away,False,8,15,65,28,75,11,25,69,0,1,36,68,275,0.4436363636363637,132,301,0.4385382059800664,33,112,284,0.5686619718309859,0.0
5,2019-12-03-19-dayton,59.1,13,4.5,2,126.9,67.9,19,0.456,57,0.386,22,0.456,26,0.615,16,6,200,87.2,25.0,9,14,68,,3.8,3,0.368,21,0.381,8,43.8,28,0.49,19.9,17,36,0.389,14,0.0,0,"December 3, 2019",73.2,30,11.1,4,87.2,75.0,27,0.659,69,0.594,41,0.203,14,0.5710000000000001,8,1,200,126.9,32.1,9,18,99,19.0,12.8,10,0.36200000000000004,25,0.36,9,56.3,36,0.654,12.8,11,44,0.727,32,0.857,6,"University of Dayton Arena, Dayton, Ohio",HOUSTON-BAPTIST,Houston Baptist,77.5,Home,DAYTON,Dayton,Houston Baptist,southland,5,False,False,False,Away,False,8,14,57,28,64,9,32,69,0,1,44,83,340,0.4382352941176471,160,376,0.425531914893617,44,137,353,0.5750708215297451,0.0
6,2019-12-07-20-houston-baptist,62.2,23,4.9,2,113.9,71.1,27,0.763,57,0.649,37,0.561,32,0.813,26,5,200,143.0,25.0,6,20,113,,8.9,7,0.368,21,0.619,13,53.2,33,0.7829999999999999,16.5,14,36,0.667,24,0.545,6,"December 7, 2019",65.7,23,11.1,4,143.0,75.0,18,0.604,67,0.522,35,0.26899999999999996,18,0.5,9,7,200,113.9,28.9,11,20,90,,7.6,6,0.38799999999999996,26,0.423,11,46.8,29,0.596,14.8,13,41,0.585,24,0.0,0,"Frank and Lucille Sharp Gymnasium, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,78.9,Away,SAMFORD,Samford,Houston Baptist,southland,6,False,True,True,Home,False,11,24,67,29,62,13,24,57,0,1,52,97,397,0.4408060453400504,188,440,0.4272727272727273,53,169,422,0.5888625592417062,0.0
7,2019-12-14-20-rice,41.2,14,0.0,0,123.1,74.3,26,0.591,66,0.515,34,0.16699999999999998,11,0.545,6,8,199,107.7,36.7,11,22,84,,6.4,5,0.39399999999999996,26,0.385,10,56.9,37,0.59,19.4,17,40,0.6,24,0.0,0,"December 14, 2019",57.1,20,5.0,2,107.7,63.3,19,0.614,66,0.53,35,0.33299999999999996,22,0.682,15,4,199,123.1,25.7,9,15,96,,11.5,9,0.455,30,0.3670000000000001,11,43.1,28,0.628,12.7,11,36,0.667,24,0.636,7,"Tudor Fieldhouse, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,78.2,Home,RICE,Rice,Houston Baptist,southland,7,False,False,False,Away,False,10,24,66,37,65,11,24,66,0,1,63,121,464,0.4644396551724138,217,502,0.43227091633466136,66,193,479,0.6096033402922756,0.0
8,2019-12-18-19-stephen-f-austin,61.9,13,6.1,3,114.3,58.8,20,0.405,63,0.33299999999999996,21,0.317,20,0.85,17,9,200,81.0,20.0,8,28,68,,8.3,7,0.317,20,0.45,9,37.8,28,0.469,22.6,21,43,0.27899999999999997,12,0.0,0,"December 18, 2019",62.5,20,20.9,9,81.0,80.0,32,0.531,65,0.4920000000000001,32,0.5379999999999999,35,0.7709999999999999,27,2,200,114.3,41.2,14,20,96,,10.7,9,0.24600000000000002,16,0.313,5,62.2,46,0.588,14.8,14,49,0.551,27,0.818,9,"William Johnson Coliseum, Nacogdoches, Texas",HOUSTON-BAPTIST,Houston Baptist,83.6,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Houston Baptist,southland,8,False,False,False,Away,False,9,12,63,28,74,5,27,65,0,1,73,145,530,0.4801886792452829,254,567,0.4479717813051146,77,217,545,0.6100917431192661,0.0
9,2019-12-22-14-new-mexico,52.9,18,2.2,1,133.8,65.4,17,0.583,66,0.515,34,0.258,17,0.647,11,10,200,110.0,25.8,8,23,88,,8.8,7,0.364,24,0.375,9,43.9,25,0.594,16.0,14,42,0.595,25,0.0,0,"December 22, 2019",41.5,17,9.5,4,110.0,74.2,23,0.688,64,0.6409999999999999,41,0.469,30,0.633,19,2,200,133.8,34.6,9,14,107,,12.5,10,0.297,19,0.316,6,56.1,32,0.684,11.5,10,45,0.778,35,0.857,12,"The Pit, Albuquerque, New Mexico",HOUSTON-BAPTIST,Houston Baptist,79.7,Home,NEW-MEXICO,New Mexico,Houston Baptist,southland,9,False,False,False,Away,False,9,25,66,25,57,6,35,64,0,1,82,157,593,0.4721753794266442,282,641,0.43993759750390016,82,244,610,0.601639344262295,0.0
