,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MASSACHUSETTS_homegame,MASSACHUSETTS_homegame2,MASSACHUSETTS_home,MASSACHUSETTS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-massachusetts,43.5,10,0.0,0,106.8,71.4,25,0.425,60,0.38299999999999995,23,0.33299999999999996,20,0.65,13,1,200,86.5,35.5,11,20,64,,9.5,7,0.3,18,0.278,5,54.5,36,0.46,20.7,18,42,0.429,18,0.0,0,"November 5, 2019",58.1,18,16.7,7,86.5,64.5,20,0.555,64,0.484,31,0.266,17,0.47100000000000003,8,0,200,106.8,28.6,10,19,79,,14.9,11,0.42200000000000004,27,0.33299999999999996,9,45.5,30,0.5479999999999999,11.2,9,37,0.595,22,1.0,1,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,73.8,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,0,True,False,True,Home,True,9,22,64,30,66,5,18,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-13-fairfield,43.5,10,3.0,1,96.8,80.6,25,0.542,48,0.479,23,0.354,17,0.588,10,0,200,100.0,13.3,4,16,62,,9.7,6,0.33299999999999996,16,0.375,6,47.5,29,0.5529999999999999,15.3,10,32,0.531,17,1.0,2,"November 9, 2019",61.9,13,3.1,1,100.0,86.7,26,0.48,50,0.42,21,0.32,16,0.75,12,2,200,96.8,19.4,6,17,60,,12.9,8,0.34,17,0.353,6,52.5,32,0.521,14.9,10,33,0.455,15,0.0,0,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,61.8,Away,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,1,False,False,False,Away,True,6,17,48,29,61,6,15,50,1,0,9,22,64,0.5546875,30,66,0.4545454545454545,5,18,60,0.425,1.0
2,2019-11-12-19-massachusetts,64.3,18,0.0,0,119.4,80.0,24,0.552,58,0.483,28,0.138,8,0.875,7,1,200,106.0,24.0,6,17,71,,9.0,6,0.431,25,0.32,8,54.5,30,0.574,17.4,13,33,0.606,20,0.667,2,"November 12, 2019",59.3,16,9.1,3,106.0,76.0,19,0.588,57,0.474,27,0.298,17,0.765,13,0,200,119.4,20.0,6,13,80,,14.9,10,0.474,27,0.48100000000000004,13,45.5,25,0.615,9.8,7,30,0.467,14,1.0,3,"Mullins Center, Amherst, Massachusetts",NORTHEASTERN,Northeastern,67.4,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,2,True,False,True,Home,True,13,14,57,25,55,8,20,58,1,0,15,39,112,0.5491071428571429,59,127,0.4645669291338583,11,33,110,0.45,1.0
3,2019-11-16-13-massachusetts,62.5,10,10.3,4,125.4,62.1,18,0.375,48,0.33299999999999996,16,0.25,12,0.583,7,4,200,60.6,18.8,6,20,43,,9.9,7,0.292,14,0.28600000000000003,4,39.3,24,0.4,30.2,23,34,0.353,12,0.0,0,"November 16, 2019",46.9,15,17.6,6,60.6,81.3,26,0.607,61,0.525,32,0.344,21,0.7140000000000001,15,0,200,125.4,37.9,11,16,89,,18.3,13,0.361,22,0.455,10,60.7,37,0.627,13.5,11,39,0.564,22,1.0,4,"Mullins Center, Amherst, Massachusetts",CENTRAL-CONNECTICUT-STATE,Central Connecticut,70.8,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,3,True,False,True,Home,True,10,22,61,37,61,4,12,48,1,0,28,53,169,0.5621301775147929,84,182,0.4615384615384616,19,53,168,0.4851190476190476,1.0
4,2019-11-20-19-massachusetts,72.0,18,9.4,3,115.5,78.6,22,0.42200000000000004,64,0.391,25,0.469,30,0.6,18,2,200,101.4,42.5,17,22,72,,1.4,1,0.266,17,0.235,4,57.4,39,0.46,13.5,12,47,0.447,21,0.5,2,"November 20, 2019",69.0,20,6.4,3,101.4,57.5,23,0.639,54,0.537,29,0.444,24,0.542,13,0,200,115.5,21.4,6,19,82,,5.6,4,0.40700000000000003,22,0.5,11,42.6,29,0.627,12.2,9,32,0.563,18,1.0,5,"Mullins Center, Amherst, Massachusetts",RIDER,Rider,70.8,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,4,True,False,True,Home,True,11,18,54,29,68,4,21,64,1,0,38,75,230,0.5739130434782609,121,243,0.4979423868312757,23,65,216,0.4606481481481482,1.0
5,2019-11-23-12-massachusetts,40.9,9,4.2,1,75.4,88.2,30,0.442,52,0.423,22,0.26899999999999996,14,0.857,12,0,200,95.1,30.0,9,14,58,7.0,11.5,7,0.26899999999999996,14,0.14300000000000002,2,60.9,39,0.494,14.7,10,38,0.526,20,1.0,5,"November 23, 2019",26.7,4,0.0,0,95.1,70.0,21,0.35,50,0.3,15,0.26,13,0.846,11,1,200,75.4,11.8,4,14,46,,8.2,5,0.52,26,0.192,5,39.1,25,0.409,16.5,11,24,0.41700000000000004,10,0.833,5,"Mohegan Sun Arena, Uncasville, Connecticut",MASSACHUSETTS,UMass,61.4,Away,VIRGINIA,Virginia,Massachusetts,atlantic-10,5,False,True,True,Home,False,5,10,50,25,64,2,20,52,0,1,49,93,284,0.5862676056338029,150,311,0.482315112540193,27,86,280,0.4517857142857143,1.0
6,2019-11-24-15-st-johns-ny,52.6,10,4.5,2,105.4,68.4,26,0.405,58,0.32799999999999996,19,0.397,23,0.696,16,2,200,85.1,32.5,13,25,63,,8.1,6,0.534,31,0.29,9,50.0,39,0.457,20.0,17,27,0.37,10,0.7140000000000001,5,"November 24, 2019",46.4,13,11.1,3,85.1,67.5,27,0.4920000000000001,63,0.444,28,0.429,27,0.593,16,2,200,105.4,31.6,12,22,78,,17.6,13,0.302,19,0.316,6,50.0,39,0.514,13.8,12,44,0.5,22,0.7140000000000001,5,"Mohegan Sun Arena, Uncasville, Connecticut",MASSACHUSETTS,UMass,74.4,Home,ST-JOHNS-NY,St. John's (NY),Massachusetts,atlantic-10,6,False,False,False,Away,False,9,10,58,39,78,6,22,63,0,1,54,103,334,0.5508982035928144,175,375,0.4666666666666667,29,106,332,0.4503012048192771,0.8333333333333334
7,2019-11-29-14-rutgers,36.4,8,4.4,2,107.9,70.0,21,0.418,61,0.361,22,0.19699999999999998,12,0.5,6,3,200,75.0,22.2,8,20,57,,6.6,5,0.377,23,0.304,7,43.9,29,0.4270000000000001,22.3,19,38,0.395,15,0.625,5,"November 29, 2019",38.7,12,13.2,5,75.0,77.8,28,0.56,58,0.534,31,0.414,24,0.708,17,1,200,107.9,30.0,9,18,82,,14.5,11,0.22399999999999998,13,0.231,3,56.1,37,0.591,17.0,14,45,0.622,28,0.857,6,"Rutgers Athletic Center, New Brunswick, New Jersey",MASSACHUSETTS,UMass,76.1,Home,RUTGERS,Rutgers,Massachusetts,atlantic-10,7,False,False,False,Away,False,7,15,61,29,66,3,28,58,0,1,63,113,392,0.5293367346938775,214,453,0.4724061810154526,35,128,395,0.4569620253164557,0.7142857142857143
8,2019-12-04-19-massachusetts,66.7,22,7.7,2,102.6,73.1,19,0.5670000000000001,60,0.55,33,0.433,26,0.615,16,3,200,107.7,30.0,9,26,84,,11.5,9,0.16699999999999998,10,0.2,2,50.0,28,0.581,17.4,15,50,0.62,31,0.667,6,"December 4, 2019",69.6,16,8.0,4,107.7,70.0,21,0.5710000000000001,49,0.469,23,0.6940000000000001,34,0.706,24,4,200,102.6,26.9,7,24,80,,9.0,7,0.469,23,0.435,10,50.0,28,0.614,22.9,19,26,0.5,13,0.556,5,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,77.8,Away,SOUTH-CAROLINA,South Carolina,Massachusetts,atlantic-10,8,False,True,True,Home,False,10,13,49,28,56,2,31,60,0,1,70,128,453,0.5143487858719646,243,519,0.4682080924855491,38,156,453,0.4701986754966888,0.625
9,2019-12-07-13-harvard,26.3,5,5.6,2,130.9,45.5,10,0.353,58,0.32799999999999996,19,0.32799999999999996,19,0.737,14,5,200,80.9,35.7,15,16,55,,7.4,5,0.32799999999999996,19,0.158,3,39.1,25,0.41,17.4,14,39,0.41,16,0.5,5,"December 7, 2019",46.9,15,10.3,4,80.9,64.3,27,0.655,55,0.5820000000000001,32,0.364,20,0.85,17,4,200,130.9,54.5,12,19,89,,10.3,7,0.345,19,0.42100000000000004,8,60.9,39,0.69,22.0,18,36,0.667,24,0.6,6,"Lavietes Pavilion, Boston, Massachusetts",MASSACHUSETTS,UMass,68.3,Home,HARVARD,Harvard,Massachusetts,atlantic-10,9,False,False,False,Away,False,3,16,58,25,64,8,24,55,0,1,80,141,502,0.5199203187250996,271,575,0.4713043478260869,40,187,513,0.4814814814814815,0.5555555555555556
10,2019-12-11-19-massachusetts,76.5,26,7.7,3,103.9,83.3,25,0.617,64,0.531,34,0.094,6,0.667,4,3,225,107.8,21.4,6,11,83,,7.8,6,0.42200000000000004,27,0.40700000000000003,11,53.4,31,0.621,18.4,15,37,0.622,23,0.75,9,"December 11, 2019",62.5,20,16.2,6,107.8,78.6,22,0.5760000000000001,66,0.485,32,0.061,4,1.0,4,6,225,103.9,16.7,5,12,80,,13.0,10,0.409,27,0.444,12,46.6,27,0.589,18.1,15,39,0.513,20,0.455,5,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,68.3,Away,YALE,Yale,Massachusetts,atlantic-10,10,False,True,True,Home,False,12,20,66,27,58,11,23,64,0,1,83,157,560,0.5026785714285714,296,639,0.4632237871674492,48,211,568,0.4982394366197183,0.5
11,2019-12-20-19-massachusetts,63.2,12,11.1,4,102.8,78.1,25,0.43799999999999994,48,0.396,19,0.375,18,0.611,11,9,200,73.6,24.1,7,11,53,,15.3,11,0.33299999999999996,16,0.25,4,52.5,32,0.469,27.3,21,32,0.469,15,0.25,3,"December 20, 2019",65.5,19,6.3,2,73.6,75.9,22,0.531,65,0.446,29,0.10800000000000001,7,0.7140000000000001,5,6,200,102.8,21.9,7,17,74,,18.1,13,0.446,29,0.379,11,47.5,29,0.542,16.0,13,36,0.5,18,0.5,6,"Mullins Center, Amherst, Massachusetts",MAINE,Maine,72.4,Home,MASSACHUSETTS,UMass,Massachusetts,atlantic-10,11,True,False,True,Home,True,11,18,65,29,61,4,15,48,1,0,95,177,626,0.5103833865814696,323,697,0.4634146341463415,59,234,632,0.5102848101265823,0.4545454545454545
