,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WAGNER_homegame,WAGNER_homegame2,WAGNER_home,WAGNER_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-18-seton-hall,48.0,12,0.0,0,131.3,79.3,23,0.451,61,0.41,25,0.426,26,0.615,16,1,200,88.8,28.6,12,26,71,,5.0,4,0.377,23,0.217,5,49.3,35,0.484,20.8,19,38,0.526,20,0.0,0,"November 5, 2019",54.1,20,13.2,5,88.8,71.4,30,0.6920000000000001,60,0.617,37,0.5329999999999999,32,0.688,22,0,200,131.3,20.7,6,25,105,12.0,17.5,14,0.4,24,0.375,9,50.7,36,0.698,11.9,10,36,0.778,28,1.0,1,"Walsh Gymnasium, South Orange, New Jersey",WAGNER,Wagner,79.8,Home,SETON-HALL,Seton Hall,Wagner,northeast,0,False,False,False,Away,False,5,20,61,35,71,9,28,60,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-penn-state,41.7,10,2.9,1,111.0,72.2,26,0.449,59,0.40700000000000003,24,0.33899999999999997,20,0.55,11,2,200,78.0,17.6,6,28,64,,4.9,4,0.305,18,0.278,5,45.7,32,0.467,21.0,18,41,0.46299999999999997,19,0.0,0,"November 9, 2019",53.3,16,4.9,2,78.0,82.4,28,0.546,65,0.462,30,0.508,33,0.606,20,0,200,111.0,27.8,10,19,91,,11.0,9,0.462,30,0.3670000000000001,11,54.3,38,0.564,13.1,12,35,0.5429999999999999,19,1.0,2,"Bryce Jordan Center, University Park, Pennsylvania",WAGNER,Wagner,81.6,Home,PENN-STATE,Penn State,Wagner,northeast,1,False,False,False,Away,False,5,19,59,32,70,11,19,65,0,1,5,20,61,0.4508196721311475,35,71,0.4929577464788733,9,28,60,0.6916666666666667,0.0
2,2019-11-12-19-wagner,48.0,12,3.4,1,131.1,56.3,18,0.509,54,0.46299999999999997,25,0.315,17,0.706,12,0,200,90.5,31.0,9,18,67,,13.5,10,0.37,20,0.25,5,44.3,27,0.54,25.5,21,34,0.588,20,0.0,0,"November 12, 2019",64.7,22,14.7,5,90.5,69.0,20,0.672,64,0.531,34,0.25,16,0.688,11,2,200,131.1,43.8,14,20,97,,14.9,11,0.547,35,0.514,18,55.7,34,0.677,19.3,17,29,0.552,16,0.33299999999999996,1,"Spiro Sports Center, Staten Island, New York","Wesley
			","Wesley
			",74.3,Home,WAGNER,Wagner,Wagner,northeast,2,True,False,True,Home,True,18,16,64,34,61,5,20,54,1,0,10,39,120,0.45,67,141,0.475177304964539,20,47,125,0.616,0.0
3,2019-11-16-14-njit,65.2,15,3.1,1,129.4,74.2,23,0.433,60,0.38299999999999995,23,0.35,21,0.81,17,3,200,101.5,23.5,8,24,69,,2.9,2,0.35,21,0.28600000000000003,6,47.7,31,0.493,9.2,7,39,0.436,17,0.25,1,"November 16, 2019",60.7,17,7.7,3,101.5,76.5,26,0.6,55,0.509,28,0.5820000000000001,32,0.688,22,2,200,129.4,25.8,8,15,88,,5.9,4,0.418,23,0.435,10,52.3,34,0.627,5.5,4,32,0.563,18,0.5,2,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",WAGNER,Wagner,67.6,Home,NJIT,NJIT,Wagner,northeast,3,False,False,False,Away,False,6,17,60,31,65,10,18,55,0,1,28,55,184,0.5271739130434783,101,202,0.5,25,67,179,0.5837988826815642,0.3333333333333333
4,2019-11-20-19-saint-peters,55.6,10,5.6,2,91.7,74.4,29,0.389,54,0.33299999999999996,18,0.889,48,0.813,39,3,225,96.4,30.3,10,24,81,,9.5,8,0.315,17,0.353,6,54.2,39,0.527,17.6,16,37,0.324,12,0.4,2,"November 20, 2019",58.3,14,16.2,6,96.4,69.7,23,0.4920000000000001,61,0.39299999999999996,24,0.426,26,0.654,17,3,225,91.7,25.6,10,34,77,,6.0,5,0.41,25,0.48,12,45.8,33,0.525,22.5,21,36,0.33299999999999996,12,0.0,0,"Yanitelli Center, Jersey City, New Jersey",SAINT-PETERS,St. Peter's,74.3,Away,WAGNER,Wagner,Wagner,northeast,4,False,False,False,Away,True,6,12,54,39,72,12,12,61,1,0,34,72,244,0.5040983606557377,132,267,0.4943820224719101,35,85,234,0.5876068376068376,0.25
5,2019-11-23-15-wagner,51.6,16,24.2,8,113.5,80.0,24,0.605,62,0.5,31,0.306,19,0.632,12,2,225,117.6,31.4,11,19,87,,6.8,5,0.387,24,0.542,13,53.8,35,0.612,14.6,12,38,0.474,18,0.7140000000000001,5,"November 23, 2019",61.5,16,7.9,3,117.6,68.6,24,0.5489999999999999,61,0.426,26,0.377,23,0.7390000000000001,17,4,225,113.5,20.0,6,18,84,,8.1,6,0.45899999999999996,28,0.536,15,46.2,30,0.584,13.4,11,33,0.33299999999999996,11,0.33299999999999996,2,"Spiro Sports Center, Staten Island, New York",WAGNER,Wagner,66.2,Away,STONY-BROOK,Stony Brook,Wagner,northeast,5,False,True,True,Home,False,15,11,61,30,65,13,18,62,0,1,40,84,298,0.4832214765100672,171,339,0.5044247787610621,47,97,295,0.5677966101694916,0.4
6,2019-11-30-12-st-johns-ny,78.9,15,7.3,3,108.9,72.2,26,0.39299999999999996,56,0.33899999999999997,19,0.46399999999999997,26,0.731,19,5,200,79.7,31.4,11,19,63,,6.3,5,0.446,25,0.24,6,52.1,37,0.461,23.7,21,31,0.419,13,0.28600000000000003,2,"November 30, 2019",69.7,23,9.7,3,79.7,68.6,24,0.56,67,0.493,33,0.284,19,0.579,11,2,200,108.9,27.8,10,20,86,,12.7,10,0.38799999999999996,26,0.34600000000000003,9,47.9,34,0.5660000000000001,14.7,13,41,0.585,24,0.75,6,"Carnesecca Arena, Jamaica, New York",WAGNER,Wagner,78.7,Home,ST-JOHNS-NY,St. John's (NY),Wagner,northeast,6,False,False,False,Away,False,6,13,56,37,71,9,24,67,0,1,55,95,359,0.4944289693593314,201,404,0.4975247524752475,60,115,357,0.5742296918767507,0.3333333333333333
7,2019-12-14-14-hartford,43.5,10,3.3,1,89.9,86.2,25,0.4,65,0.354,23,0.24600000000000002,16,0.688,11,6,200,79.7,27.5,11,30,63,,13.9,11,0.354,23,0.261,6,52.2,36,0.434,18.2,16,42,0.405,17,0.25,2,"December 14, 2019",52.9,9,9.5,4,79.7,72.5,29,0.42200000000000004,45,0.37799999999999995,17,0.8440000000000001,38,0.868,33,7,200,89.9,13.8,4,15,71,,10.1,8,0.33299999999999996,15,0.267,4,47.8,33,0.563,25.4,21,30,0.433,13,0.41700000000000004,5,"Chase Family Arena, Hartford, Connecticut",WAGNER,Wagner,78.8,Home,HARTFORD,Hartford,Wagner,northeast,7,False,False,False,Away,False,6,17,65,36,69,4,13,45,0,1,61,108,415,0.4807228915662651,238,475,0.5010526315789474,69,139,424,0.5719339622641509,0.2857142857142857
8,2019-12-18-19-la-salle,52.6,10,12.5,3,102.8,74.3,26,0.38799999999999996,58,0.32799999999999996,19,0.379,22,0.682,15,7,200,83.3,20.5,8,26,60,,8.3,6,0.397,23,0.304,7,45.9,34,0.43799999999999994,14.0,11,35,0.34299999999999997,12,0.222,2,"December 18, 2019",65.0,13,8.6,3,83.3,79.5,31,0.462,53,0.377,20,0.679,36,0.6940000000000001,25,3,200,102.8,25.7,9,17,74,,8.3,6,0.547,29,0.31,9,54.1,40,0.528,13.8,11,24,0.45799999999999996,11,0.7,7,"Tom Gola Arena, Philadelphia, Pennsylvania",WAGNER,Wagner,71.8,Home,LA-SALLE,La Salle,Wagner,northeast,8,False,False,False,Away,False,7,12,58,34,74,9,11,53,0,1,67,125,480,0.4697916666666666,274,544,0.5036764705882353,73,152,469,0.5575692963752665,0.25
9,2019-12-21-14-wagner,68.2,15,2.8,1,118.8,68.4,26,0.544,45,0.489,22,0.578,26,0.5,13,6,200,89.9,31.0,9,17,62,,4.3,3,0.444,20,0.25,5,52.2,35,0.541,25.2,19,25,0.68,17,0.455,5,"December 21, 2019",62.1,18,16.0,4,89.9,69.0,20,0.507,68,0.426,29,0.221,15,0.867,13,7,200,118.8,31.6,12,22,82,,10.1,7,0.47100000000000003,32,0.344,11,47.8,32,0.546,9.7,8,36,0.5,18,0.3,3,"Spiro Sports Center, Staten Island, New York",ARMY,Army,69.2,Home,WAGNER,Wagner,Wagner,northeast,9,True,False,True,Home,True,11,18,68,32,67,5,17,45,1,0,74,137,538,0.4609665427509294,308,618,0.4983818770226538,82,163,522,0.5478927203065134,0.2222222222222222
