,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,EASTERN-MICHIGAN_homegame,EASTERN-MICHIGAN_homegame2,EASTERN-MICHIGAN_home,EASTERN-MICHIGAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-08-09-eastern-michigan,47.4,9,7.9,3,140.9,57.7,15,0.42,56,0.33899999999999997,19,0.268,15,0.267,4,0,200,77.3,40.5,15,19,51,,1.5,1,0.5,28,0.321,9,47.6,30,0.40399999999999997,22.3,18,28,0.35700000000000004,10,0.0,0,"November 8, 2019",62.5,20,21.4,6,77.3,59.5,22,0.652,56,0.5710000000000001,32,0.429,24,0.833,20,0,200,140.9,42.3,11,19,93,,16.7,11,0.321,18,0.5,9,52.4,33,0.69,11.9,9,38,0.605,23,1.0,1,"Convocation Center, Ypsilanti, Michigan","Siena Heights
			","Siena Heights
			",65.8,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,0,True,False,True,Home,True,9,23,56,33,63,9,10,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-12-19-eastern-michigan,63.2,12,2.2,1,142.3,33.3,11,0.49,48,0.396,19,0.10400000000000001,5,0.4,2,0,200,69.0,27.6,8,26,49,,7.0,5,0.521,25,0.36,9,30.6,19,0.486,36.6,29,23,0.435,10,0.0,0,"November 12, 2019",55.6,20,21.7,5,69.0,72.4,21,0.615,65,0.5539999999999999,36,0.6,39,0.5379999999999999,21,0,200,142.3,66.7,22,12,101,,31.0,22,0.308,20,0.4,8,69.4,43,0.605,10.9,10,45,0.622,28,1.0,2,"Convocation Center, Ypsilanti, Michigan","Goshen
			","Goshen
			",71.5,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,1,True,False,True,Home,True,8,28,65,43,62,9,10,48,1,0,9,23,56,0.6517857142857143,33,63,0.5238095238095238,9,10,56,0.4196428571428572,1.0
2,2019-11-14-19-eastern-michigan,57.1,12,7.0,3,98.6,48.7,19,0.52,50,0.42,21,0.22,11,0.636,7,0,200,80.8,14.8,4,19,59,,11.0,8,0.56,28,0.35700000000000004,10,34.8,23,0.534,28.6,22,22,0.5,11,0.0,0,"November 14, 2019",38.5,10,4.5,1,80.8,85.2,23,0.43799999999999994,65,0.4,26,0.354,23,0.652,15,0,200,98.6,51.3,20,15,72,,19.2,14,0.33799999999999997,22,0.22699999999999998,5,65.2,43,0.474,17.6,16,43,0.488,21,1.0,3,"Convocation Center, Ypsilanti, Michigan","Michigan-Dearborn
			","Michigan-Dearborn
			",72.6,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,2,True,False,True,Home,True,5,21,65,43,66,10,11,50,1,0,17,51,121,0.6322314049586777,76,125,0.608,18,20,104,0.4519230769230769,1.0
3,2019-11-16-16-north-texas,50.0,10,14.3,4,79.7,71.4,20,0.45899999999999996,49,0.408,20,0.327,16,0.688,11,0,200,87.5,20.0,6,15,56,,20.3,13,0.408,20,0.25,5,44.8,26,0.495,20.0,14,29,0.517,15,1.0,4,"November 16, 2019",50.0,9,13.8,4,87.5,80.0,24,0.45799999999999996,48,0.375,18,0.188,9,0.778,7,3,200,79.7,28.6,8,19,51,,9.4,6,0.41700000000000004,20,0.4,8,55.2,32,0.488,26.8,19,28,0.35700000000000004,10,0.25,1,"UNT Coliseum, Denton, Texas",NORTH-TEXAS,North Texas,63.9,Away,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,3,False,False,False,Away,True,5,15,49,26,58,8,10,48,1,0,22,72,186,0.5645161290322581,119,191,0.6230366492146597,28,31,154,0.47402597402597396,1.0
4,2019-11-22-14-maryland-baltimore-county,45.0,9,4.0,1,70.3,82.6,19,0.5329999999999999,46,0.435,20,0.37,17,0.765,13,0,200,96.9,32.1,9,17,62,,23.4,15,0.5429999999999999,25,0.36,9,54.9,28,0.573,24.1,17,21,0.524,11,1.0,5,"November 22, 2019",41.2,7,0.0,0,96.9,67.9,19,0.46399999999999997,42,0.405,17,0.23800000000000002,10,0.6,6,2,200,70.3,17.4,4,17,45,,14.1,9,0.405,17,0.294,5,45.1,23,0.48100000000000004,34.1,24,25,0.48,12,0.667,4,"Montego Bay Convention Centre, Montego Bay",MARYLAND-BALTIMORE-COUNTY,UMBC,64.4,Away,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,4,False,False,False,Away,True,9,11,46,28,51,5,12,42,1,0,27,87,235,0.5425531914893617,145,249,0.5823293172690763,36,41,202,0.4702970297029703,1.0
5,2019-11-24-12-eastern-michigan,57.1,12,11.1,3,86.6,84.6,22,0.479,48,0.43799999999999994,21,0.43799999999999994,21,0.381,8,5,200,80.6,28.6,8,25,54,,13.4,9,0.396,19,0.21100000000000002,4,55.6,30,0.466,21.8,16,29,0.586,17,0.28600000000000003,2,"November 24, 2019",37.5,6,3.4,1,80.6,71.4,20,0.462,39,0.41,16,0.795,31,0.71,22,0,200,86.6,15.4,4,19,58,,14.9,10,0.308,12,0.33299999999999996,4,44.4,24,0.54,26.5,19,27,0.444,12,1.0,6,"Montego Bay Convention Centre, Montego Bay",NORTH-CAROLINA-AT,North Carolina A&T,67.4,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,5,True,False,True,Home,True,4,12,39,24,54,4,17,48,1,0,36,98,281,0.5409252669039146,173,300,0.5766666666666667,41,53,244,0.4692622950819672,1.0
6,2019-11-30-22-california-irvine,27.8,5,8.0,2,100.0,80.6,25,0.331,59,0.305,18,0.508,30,0.5670000000000001,17,1,200,72.7,14.3,6,15,56,,5.2,4,0.322,19,0.158,3,42.5,31,0.382,15.3,13,40,0.375,15,0.857,6,"November 30, 2019",71.4,20,15.0,6,72.7,85.7,36,0.614,57,0.491,28,0.24600000000000002,14,0.5,7,4,200,100.0,19.4,6,21,77,,13.0,10,0.561,32,0.43799999999999994,14,57.5,42,0.605,21.2,17,25,0.56,14,0.556,5,"Bren Events Center, Irvine, California",EASTERN-MICHIGAN,Eastern Michigan,77.5,Home,CALIFORNIA-IRVINE,UC-Irvine,Eastern Michigan,mac,6,False,False,False,Away,False,3,15,59,31,73,14,14,57,0,1,40,110,320,0.53125,197,354,0.5564971751412429,45,70,292,0.4708904109589041,1.0
7,2019-12-03-19-eastern-michigan,46.7,14,3.6,1,118.1,80.0,16,0.556,62,0.484,30,0.258,16,0.625,10,4,200,109.7,27.3,9,22,79,,13.9,10,0.355,22,0.409,9,47.2,25,0.568,13.7,11,40,0.525,21,0.556,5,"December 3, 2019",44.4,12,7.5,3,109.7,72.7,24,0.716,44,0.614,27,0.682,30,0.733,22,1,200,118.1,20.0,4,15,85,,9.7,7,0.364,16,0.563,9,52.8,28,0.73,23.9,18,28,0.643,18,0.875,7,"Convocation Center, Ypsilanti, Michigan",VALPARAISO,Valparaiso,71.9,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,7,True,False,True,Home,True,9,18,44,28,53,9,21,62,1,0,43,125,379,0.5,228,427,0.5339578454332553,59,84,349,0.4942693409742121,0.8571428571428571
8,2019-12-07-13-detroit-mercy,63.2,12,21.7,5,76.1,72.5,29,0.537,41,0.46299999999999997,19,0.46299999999999997,19,0.579,11,1,200,82.1,11.5,3,20,55,,14.9,10,0.488,20,0.3,6,48.5,32,0.55,26.7,18,21,0.619,13,0.889,8,"December 7, 2019",69.2,9,9.5,2,82.1,88.5,23,0.321,56,0.23199999999999998,13,0.28600000000000003,16,0.938,15,7,200,76.1,27.5,11,19,51,,16.4,11,0.589,33,0.303,10,51.5,34,0.401,21.2,17,23,0.13,3,0.125,1,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,67.3,Away,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,8,False,False,False,Away,True,6,13,41,32,66,10,3,56,1,0,52,143,423,0.5224586288416075,256,480,0.5333333333333333,68,105,411,0.5036496350364964,0.875
9,2019-12-17-19-eastern-michigan,55.6,10,11.8,4,98.4,70.4,19,0.4270000000000001,55,0.327,18,0.2,11,0.727,8,6,200,90.2,42.9,15,18,55,,9.8,6,0.564,31,0.355,11,54.8,34,0.457,17.8,13,24,0.292,7,0.455,5,"December 17, 2019",23.8,5,16.7,4,90.2,57.1,20,0.49,48,0.43799999999999994,21,0.41700000000000004,20,0.65,13,1,200,98.4,29.6,8,15,60,,11.5,7,0.292,14,0.35700000000000004,5,45.2,28,0.522,19.8,14,34,0.47100000000000003,16,0.9,9,"Convocation Center, Ypsilanti, Michigan",NORTHEASTERN,Northeastern,60.9,Home,EASTERN-MICHIGAN,Eastern Michigan,Eastern Michigan,mac,9,True,False,True,Home,True,5,16,48,28,62,11,7,55,1,0,58,156,464,0.5237068965517241,288,546,0.5274725274725275,78,108,467,0.4817987152034261,0.8888888888888888
