,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,KENT-STATE_homegame,KENT-STATE_homegame2,KENT-STATE_home,KENT-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-kent-state,57.1,12,6.3,3,118.3,59.1,26,0.405,63,0.33299999999999996,21,0.19,12,0.583,7,0,200,70.7,16.2,6,17,58,,6.1,5,0.429,27,0.33299999999999996,9,39.5,32,0.42200000000000004,22.7,20,36,0.33299999999999996,12,0.0,0,"November 6, 2019",52.8,19,13.9,5,70.7,83.8,31,0.512,83,0.434,36,0.217,18,0.667,12,0,200,118.3,40.9,18,13,97,,15.9,13,0.42200000000000004,35,0.371,13,60.5,49,0.53,8.1,8,48,0.479,23,1.0,1,"Memorial Athletic & Convocation Center, Kent, Ohio","Hiram
			","Hiram
			",82.1,Home,KENT-STATE,Kent State,Kent State,mac,0,True,False,True,Home,True,13,23,83,49,81,9,12,63,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-11-19-towson,39.3,11,18.6,8,102.6,74.4,29,0.4920000000000001,66,0.424,28,0.364,24,0.792,19,0,225,107.7,28.1,9,24,84,,9.0,7,0.409,27,0.33299999999999996,9,53.5,38,0.5429999999999999,8.4,7,39,0.48700000000000004,19,1.0,2,"November 11, 2019",32.0,8,7.7,3,107.7,71.9,23,0.41200000000000003,68,0.368,25,0.441,30,0.8,24,1,225,102.6,25.6,10,22,80,,5.1,4,0.368,25,0.24,6,46.5,33,0.486,9.0,8,43,0.442,19,0.667,2,"SECU Arena, Towson, Maryland",TOWSON,Towson,69.2,Away,KENT-STATE,Kent State,Kent State,mac,1,False,False,False,Away,True,9,19,66,38,71,6,19,68,1,0,13,23,83,0.5120481927710844,49,81,0.6049382716049383,9,12,63,0.4047619047619048,1.0
2,2019-11-16-19-wright-state,48.0,12,7.7,3,95.9,75.0,27,0.527,55,0.455,25,0.364,20,0.7,14,0,200,97.3,27.6,8,19,72,,9.5,7,0.4,22,0.364,8,53.8,35,0.5579999999999999,21.0,17,33,0.515,17,1.0,3,"November 16, 2019",42.3,11,6.1,2,97.3,72.4,21,0.484,62,0.419,26,0.27399999999999997,17,0.647,11,1,200,95.9,25.0,9,18,71,,6.8,5,0.371,23,0.348,8,46.2,30,0.507,15.8,13,39,0.462,18,0.75,3,"Ervin J. Nutter Center, Dayton, Ohio",WRIGHT-STATE,Wright State,73.8,Away,KENT-STATE,Kent State,Kent State,mac,2,False,False,False,Away,True,8,17,55,35,65,8,18,62,1,0,22,42,149,0.5033557046979866,87,152,0.5723684210526315,15,31,131,0.4083969465648855,1.0
3,2019-11-19-19-kent-state,57.7,15,11.4,4,101.4,75.7,28,0.508,60,0.433,26,0.15,9,0.778,7,4,200,91.9,16.1,5,19,68,,5.4,4,0.33299999999999996,20,0.45,9,48.5,33,0.529,19.0,15,40,0.425,17,0.33299999999999996,2,"November 19, 2019",63.0,17,17.5,7,91.9,83.9,26,0.5,64,0.42200000000000004,27,0.25,16,0.688,11,0,200,101.4,24.3,9,11,75,,12.2,9,0.45299999999999996,29,0.345,10,51.5,35,0.524,13.4,11,35,0.486,17,1.0,4,"Memorial Athletic & Convocation Center, Kent, Ohio",IPFW,Purdue-Fort Wayne,73.9,Home,KENT-STATE,Kent State,Kent State,mac,3,True,False,True,Home,True,10,17,64,35,68,9,17,60,1,0,30,59,204,0.5098039215686274,122,217,0.5622119815668203,23,49,193,0.4326424870466321,1.0
4,2019-11-21-17-kent-state,69.6,16,2.5,1,120.3,52.8,19,0.467,60,0.38299999999999995,23,0.1,6,0.5,3,0,200,79.7,29.4,10,16,59,,9.5,7,0.5,30,0.33299999999999996,10,41.4,29,0.469,24.2,20,30,0.433,13,0.0,0,"November 21, 2019",57.6,19,16.7,5,79.7,70.6,24,0.527,73,0.452,33,0.21899999999999997,16,0.75,12,0,200,120.3,47.2,17,13,89,,14.9,11,0.452,33,0.33299999999999996,11,58.6,41,0.552,12.1,11,40,0.55,22,1.0,5,"Memorial Athletic & Convocation Center, Kent, Ohio","Concord
			","Concord
			",73.7,Home,KENT-STATE,Kent State,Kent State,mac,4,True,False,True,Home,True,11,22,73,41,70,10,13,60,1,0,40,76,268,0.5074626865671642,157,285,0.5508771929824562,32,66,253,0.4505928853754941,1.0
5,2019-11-25-18-ohio-state,38.1,8,6.9,2,106.0,67.9,19,0.42100000000000004,57,0.368,21,0.12300000000000001,7,0.5710000000000001,4,1,200,77.6,18.2,6,24,52,,7.5,5,0.439,25,0.24,6,41.0,25,0.431,17.8,13,32,0.469,15,0.833,5,"November 25, 2019",52.4,11,3.1,1,77.6,81.8,27,0.51,48,0.43799999999999994,21,0.625,30,0.733,22,0,200,106.0,32.1,9,18,71,10.0,6.0,4,0.396,19,0.368,7,59.0,36,0.57,18.6,14,29,0.483,14,1.0,6,"St. John Arena, Columbus, Ohio",KENT-STATE,Kent State,67.3,Home,OHIO-STATE,Ohio State,Kent State,mac,5,False,False,False,Away,False,6,15,57,25,61,7,14,48,0,1,51,98,341,0.5117302052785924,198,355,0.5577464788732395,42,79,313,0.4536741214057508,1.0
6,2019-11-30-16-kent-state,40.0,8,5.3,2,113.2,56.7,17,0.361,61,0.32799999999999996,20,0.16399999999999998,10,0.9,9,5,200,77.9,32.4,11,11,53,,5.9,4,0.295,18,0.222,4,43.8,28,0.40299999999999997,19.7,16,43,0.3720000000000001,16,0.444,4,"November 30, 2019",56.7,17,14.0,6,77.9,67.6,23,0.532,63,0.47600000000000003,30,0.20600000000000002,13,0.769,10,1,200,113.2,43.3,13,12,77,,8.8,6,0.397,25,0.28,7,56.3,36,0.557,12.7,10,38,0.605,23,0.857,6,"Memorial Athletic & Convocation Center, Kent, Ohio",STETSON,Stetson,68.5,Home,KENT-STATE,Kent State,Kent State,mac,6,True,False,True,Home,True,7,23,63,36,64,4,16,61,1,0,57,113,398,0.4987437185929649,223,416,0.5360576923076923,49,93,361,0.4612188365650969,0.8333333333333334
7,2019-12-03-19-kent-state,44.4,8,9.5,4,121.1,59.4,19,0.33899999999999997,62,0.29,18,0.29,18,0.833,15,6,200,75.0,24.3,9,15,57,,11.8,9,0.355,22,0.273,6,40.6,28,0.40399999999999997,18.6,16,40,0.3,12,0.14300000000000002,1,"December 3, 2019",60.0,21,25.0,10,75.0,75.7,28,0.574,68,0.515,35,0.235,16,0.875,14,1,200,121.1,40.6,13,17,92,,11.8,9,0.382,26,0.308,8,59.4,41,0.608,13.8,12,42,0.643,27,0.875,7,"Memorial Athletic & Convocation Center, Kent, Ohio",DETROIT-MERCY,Detroit,76.1,Home,KENT-STATE,Kent State,Kent State,mac,7,True,False,True,Home,True,8,27,68,41,69,6,12,62,1,0,64,136,461,0.5032537960954447,259,480,0.5395833333333333,53,109,422,0.4466824644549763,0.8571428571428571
8,2019-12-07-19-kent-state,50.0,11,2.3,1,115.7,78.6,22,0.47200000000000003,53,0.415,22,0.28300000000000003,15,0.6,9,6,200,84.3,25.8,8,15,59,,7.1,5,0.434,23,0.261,6,50.8,30,0.491,23.2,18,30,0.5329999999999999,16,0.4,4,"December 7, 2019",42.4,14,20.0,6,84.3,74.2,23,0.5710000000000001,63,0.524,33,0.19,12,0.75,9,1,200,115.7,21.4,6,18,81,,15.7,11,0.302,19,0.316,6,49.2,29,0.59,10.5,8,44,0.614,27,0.889,8,"Memorial Athletic & Convocation Center, Kent, Ohio",CLEVELAND-STATE,Cleveland State,70.4,Home,KENT-STATE,Kent State,Kent State,mac,8,True,False,True,Home,True,6,27,63,29,59,6,16,53,1,0,72,163,529,0.5122873345935728,300,549,0.5464480874316939,59,121,484,0.4328512396694215,0.875
9,2019-12-16-19-california-irvine,59.1,13,12.8,6,100.0,75.8,25,0.529,52,0.423,22,0.28800000000000003,15,0.867,13,2,200,91.9,17.2,5,19,68,,8.1,6,0.519,27,0.40700000000000003,11,48.4,30,0.575,24.5,19,25,0.44,11,0.8,8,"December 16, 2019",53.6,15,8.0,2,91.9,82.8,24,0.4920000000000001,61,0.45899999999999996,28,0.295,18,0.778,14,5,200,100.0,24.2,8,15,74,,8.1,6,0.23,14,0.28600000000000003,4,51.6,32,0.532,15.9,13,47,0.511,24,0.583,7,"Don Haskins Center, El Paso, Texas",KENT-STATE,Kent State,73.8,Home,CALIFORNIA-IRVINE,UC-Irvine,Kent State,mac,9,False,False,False,Away,False,11,11,52,30,62,4,24,61,0,1,78,190,592,0.5185810810810809,329,608,0.5411184210526315,65,137,537,0.4366852886405959,0.8888888888888888
