,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,STONY-BROOK_homegame,STONY-BROOK_homegame2,STONY-BROOK_home,STONY-BROOK_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-stony-brook,59.3,16,15.6,7,84.1,71.1,32,0.45,70,0.386,27,0.271,19,0.579,11,0,225,90.2,25.0,11,18,74,,9.8,8,0.371,26,0.34600000000000003,9,48.3,43,0.46799999999999997,13.3,12,44,0.409,18,1.0,1,"November 5, 2019",47.6,10,20.5,9,90.2,75.0,33,0.353,68,0.309,21,0.382,26,0.8079999999999999,21,1,225,84.1,28.9,13,16,69,,7.3,6,0.33799999999999997,23,0.261,6,51.7,46,0.429,16.8,16,45,0.33299999999999996,15,0.0,0,"Island Federal Credit Union, Stony Brook, New York",STONY-BROOK,Stony Brook,72.6,Away,YALE,Yale,Stony Brook,america-east,0,False,True,True,Home,False,6,15,68,46,89,9,18,70,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-14-seton-hall,44.4,8,19.6,9,108.8,70.6,24,0.41200000000000003,51,0.353,18,0.392,20,0.75,15,2,200,83.8,27.3,9,16,57,,8.8,6,0.49,25,0.24,6,49.3,33,0.47100000000000003,17.9,13,26,0.462,12,0.0,0,"November 9, 2019",53.6,15,11.5,3,83.8,72.7,24,0.4920000000000001,64,0.43799999999999994,28,0.25,16,0.688,11,0,200,108.8,29.4,10,16,74,12.0,7.4,5,0.281,18,0.389,7,50.7,34,0.517,11.2,9,46,0.457,21,1.0,2,"Walsh Gymnasium, South Orange, New Jersey",STONY-BROOK,Stony Brook,67.6,Home,SETON-HALL,Seton Hall,Stony Brook,america-east,1,False,False,False,Away,False,6,12,51,33,67,7,21,64,0,1,6,15,68,0.35294117647058826,46,89,0.5168539325842697,9,18,70,0.45,0.0
2,2019-11-11-19-stony-brook,33.3,5,7.7,3,123.0,44.7,17,0.363,51,0.294,15,0.275,14,0.5,7,0,200,59.5,20.0,7,18,44,,5.4,4,0.49,25,0.28,7,32.9,24,0.382,27.8,22,26,0.308,8,0.0,0,"November 11, 2019",60.6,20,19.2,5,59.5,80.0,28,0.513,75,0.44,33,0.22699999999999998,17,0.8240000000000001,14,2,200,123.0,55.3,21,14,91,,12.2,9,0.48,36,0.306,11,67.1,49,0.5479999999999999,13.6,13,39,0.564,22,0.33299999999999996,1,"Island Federal Credit Union, Stony Brook, New York","Farmingdale State
			","Farmingdale State
			",73.9,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,2,True,False,True,Home,True,11,22,75,49,73,7,8,51,1,0,12,27,119,0.3781512605042017,79,156,0.5064102564102564,16,39,134,0.4701492537313433,0.0
3,2019-11-15-20-texas-am-corpus-christi,40.0,10,11.1,3,96.9,70.4,19,0.44,67,0.373,25,0.254,17,0.529,9,2,200,104.6,31.8,14,12,68,,4.6,3,0.46299999999999997,31,0.29,9,46.5,33,0.45299999999999996,6.3,5,36,0.444,16,0.5,2,"November 15, 2019",54.2,13,5.6,2,104.6,68.2,30,0.547,53,0.45299999999999996,24,0.132,7,0.7140000000000001,5,3,200,96.9,29.6,8,18,63,,3.1,2,0.491,26,0.385,10,53.5,38,0.5589999999999999,21.1,15,27,0.519,14,0.0,0,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,64.7,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,3,False,False,False,Away,True,9,16,67,33,71,10,14,53,1,0,23,49,194,0.43041237113402064,128,229,0.5589519650655022,23,47,185,0.4405405405405405,0.3333333333333333
4,2019-11-16-17-texas-pan-american,52.4,11,6.4,3,82.9,75.8,25,0.605,43,0.488,21,0.581,25,0.68,17,2,200,98.6,13.6,3,12,69,,11.4,8,0.488,21,0.47600000000000003,10,50.9,28,0.629,27.0,20,22,0.5,11,0.6,3,"November 16, 2019",38.1,8,4.5,1,98.6,86.4,19,0.397,58,0.36200000000000004,21,0.24100000000000002,14,0.857,12,3,200,82.9,24.2,8,21,58,,8.6,6,0.19,11,0.364,4,49.1,27,0.449,15.8,12,47,0.36200000000000004,17,0.25,1,"American Bank Center, Corpus Christi, Texas",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,70.3,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,4,False,False,False,Away,True,10,11,43,28,55,4,17,58,1,0,32,65,261,0.4329501915708812,161,300,0.5366666666666666,33,61,238,0.4642857142857143,0.5
5,2019-11-17-14-north-dakota-state,40.9,9,11.8,4,83.8,78.9,30,0.491,54,0.40700000000000003,22,0.204,11,1.0,11,2,200,94.1,13.8,4,14,64,,1.5,1,0.389,21,0.429,9,50.7,34,0.54,16.9,12,33,0.39399999999999996,13,0.667,4,"November 17, 2019",45.5,10,12.1,4,94.1,86.2,25,0.406,64,0.344,22,0.141,9,0.556,5,2,200,83.8,21.1,8,16,57,,8.8,6,0.469,30,0.267,8,49.3,33,0.41700000000000004,11.7,9,34,0.41200000000000003,14,0.667,4,"American Bank Center, Corpus Christi, Texas",NORTH-DAKOTA-STATE,North Dakota State,68.3,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,5,False,False,False,Away,True,9,13,54,34,67,8,14,64,1,0,42,76,304,0.4572368421052632,189,355,0.5323943661971829,37,78,296,0.4510135135135135,0.6
6,2019-11-23-15-wagner,51.6,16,24.2,8,113.5,80.0,24,0.605,62,0.5,31,0.306,19,0.632,12,2,225,117.6,31.4,11,19,87,,6.8,5,0.387,24,0.542,13,53.8,35,0.612,14.6,12,38,0.474,18,0.7140000000000001,5,"November 23, 2019",61.5,16,7.9,3,117.6,68.6,24,0.5489999999999999,61,0.426,26,0.377,23,0.7390000000000001,17,4,225,113.5,20.0,6,18,84,,8.1,6,0.45899999999999996,28,0.536,15,46.2,30,0.584,13.4,11,33,0.33299999999999996,11,0.33299999999999996,2,"Spiro Sports Center, Staten Island, New York",WAGNER,Wagner,66.2,Away,STONY-BROOK,Stony Brook,Stony Brook,america-east,6,False,False,False,Away,True,13,18,62,35,65,15,11,61,1,0,51,89,358,0.4622905027932961,223,422,0.5284360189573459,45,92,360,0.4430555555555555,0.6666666666666666
7,2019-11-27-19-delaware,36.8,7,10.8,4,104.2,81.1,30,0.348,66,0.28800000000000003,19,0.28800000000000003,19,0.789,15,3,200,84.7,34.0,16,15,61,,2.8,2,0.5,33,0.242,8,54.8,46,0.40700000000000003,16.8,15,33,0.33299999999999996,11,0.625,5,"November 27, 2019",56.7,17,9.1,3,84.7,66.0,31,0.522,67,0.44799999999999995,30,0.10400000000000001,7,0.7140000000000001,5,0,200,104.2,18.9,7,15,75,,9.7,7,0.44799999999999995,30,0.33299999999999996,10,45.2,38,0.5329999999999999,9.1,7,37,0.541,20,1.0,7,"Bob Carpenter Center, Newark, Delaware",STONY-BROOK,Stony Brook,72.2,Home,DELAWARE,Delaware,Stony Brook,america-east,7,False,False,False,Away,False,8,11,66,46,84,10,20,67,0,1,64,107,420,0.4833333333333333,258,487,0.5297741273100616,60,103,421,0.4584323040380047,0.7142857142857143
8,2019-12-02-19-stony-brook,64.7,11,9.7,3,100.0,69.0,20,0.34700000000000003,59,0.28800000000000003,17,0.16899999999999998,10,0.6,6,3,200,72.3,23.8,10,17,47,,10.8,7,0.33899999999999997,20,0.35,7,42.3,30,0.369,15.9,12,39,0.256,10,0.5,3,"December 2, 2019",45.5,10,10.3,4,72.3,76.2,32,0.5,51,0.431,22,0.41200000000000003,21,0.667,14,3,200,100.0,31.0,9,16,65,,9.2,6,0.392,20,0.35,7,57.7,41,0.5329999999999999,17.7,13,31,0.484,15,0.667,6,"Island Federal Credit Union, Stony Brook, New York",MANHATTAN,Manhattan,65.4,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,8,True,False,True,Home,True,7,15,51,41,71,7,10,59,1,0,72,118,486,0.4650205761316872,304,571,0.532399299474606,70,123,488,0.4672131147540984,0.625
9,2019-12-07-19-stony-brook,52.2,12,3.6,1,108.2,81.5,22,0.42100000000000004,63,0.365,23,0.19,12,0.833,10,4,200,86.3,22.9,8,15,63,,13.7,10,0.413,26,0.26899999999999996,7,48.4,30,0.45899999999999996,17.0,14,37,0.4320000000000001,16,0.556,5,"December 7, 2019",78.6,22,10.8,4,86.3,77.1,27,0.66,53,0.528,28,0.302,16,0.563,9,3,200,108.2,18.5,5,16,79,,11.0,8,0.47200000000000003,25,0.56,14,51.6,32,0.652,21.0,16,28,0.5,14,0.7,7,"Island Federal Credit Union, Stony Brook, New York",BROWN,Brown,73.2,Home,STONY-BROOK,Stony Brook,Stony Brook,america-east,9,True,False,True,Home,True,14,14,53,32,62,7,16,63,1,0,79,133,537,0.4683426443202979,345,642,0.5373831775700935,77,133,547,0.4542961608775137,0.6666666666666666
