,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COPPIN-STATE_homegame,COPPIN-STATE_homegame2,COPPIN-STATE_home,COPPIN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-coppin-state,56.7,17,0.0,0,92.3,78.3,36,0.54,62,0.484,30,0.565,35,0.6859999999999999,24,0,200,100.0,27.8,10,19,91,,7.7,7,0.306,19,0.368,7,56.1,46,0.579,23.7,24,43,0.535,23,1.0,1,"November 5, 2019",53.6,15,7.0,3,100.0,72.2,26,0.446,74,0.37799999999999995,28,0.324,24,0.75,18,1,200,92.3,21.7,10,28,84,,12.1,11,0.527,39,0.256,10,43.9,36,0.4920000000000001,14.2,14,35,0.514,18,0.0,0,"Physical Education Complex, Baltimore, Maryland",COPPIN-STATE,Coppin State,91.0,Away,RIDER,Rider,Coppin State,meac,0,False,True,True,Home,False,10,18,74,36,82,7,23,62,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-virginia-tech,42.9,6,3.6,1,93.7,85.3,29,0.239,71,0.19699999999999998,14,0.155,11,0.727,8,2,200,53.2,20.0,11,14,42,,10.1,8,0.5489999999999999,39,0.154,6,44.9,40,0.276,17.4,16,32,0.25,8,0.0,0,"November 8, 2019",63.0,17,15.6,5,53.2,80.0,44,0.5329999999999999,61,0.44299999999999995,27,0.19699999999999998,12,0.75,9,0,200,93.7,14.7,5,13,74,,8.9,7,0.541,33,0.33299999999999996,11,55.1,49,0.555,18.5,15,28,0.5710000000000001,16,1.0,2,"Cassell Coliseum, Blacksburg, Virginia",COPPIN-STATE,Coppin State,79.0,Home,VIRGINIA-TECH,Virginia Tech,Coppin State,meac,1,False,False,False,Away,False,6,8,71,40,89,11,16,61,0,1,10,18,74,0.4459459459459459,36,82,0.4390243902439024,7,23,62,0.5403225806451613,0.0
2,2019-11-12-20-loyola-il,30.4,7,12.1,4,94.7,80.0,28,0.466,58,0.397,23,0.483,28,0.7859999999999999,22,2,200,100.0,25.0,9,26,76,,7.9,6,0.31,18,0.444,8,52.1,37,0.5329999999999999,15.6,13,40,0.375,15,0.33299999999999996,1,"November 12, 2019",73.9,17,10.0,4,100.0,75.0,27,0.46299999999999997,54,0.426,23,0.63,34,0.647,22,2,200,94.7,20.0,7,19,72,,11.8,9,0.389,21,0.19,4,47.9,34,0.513,16.9,14,33,0.5760000000000001,19,0.33299999999999996,1,"Joseph J. Gentile Center, Chicago, Illinois",LOYOLA-IL,Loyola (IL),76.2,Away,COPPIN-STATE,Coppin State,Coppin State,meac,2,False,False,False,Away,True,8,15,58,37,71,4,19,54,1,0,16,26,145,0.3448275862068966,76,171,0.4444444444444444,18,39,123,0.5365853658536586,0.0
3,2019-11-15-19-northern-illinois,39.1,9,7.9,3,98.8,61.5,24,0.452,62,0.371,23,0.32299999999999995,20,0.65,13,3,200,84.1,17.9,7,28,69,,8.5,7,0.597,37,0.27,10,39.7,31,0.483,19.4,17,25,0.52,13,0.25,1,"November 15, 2019",41.7,10,12.0,3,84.1,82.1,32,0.451,61,0.39299999999999996,24,0.557,34,0.765,26,2,200,98.8,38.5,15,16,81,,6.1,5,0.377,23,0.304,7,60.3,47,0.525,20.8,20,38,0.447,17,0.33299999999999996,1,"Convocation Center, DeKalb, Illinois",COPPIN-STATE,Coppin State,81.8,Home,NORTHERN-ILLINOIS,Northern Illinois,Coppin State,meac,3,False,False,False,Away,False,10,13,62,31,78,7,17,61,0,1,24,41,203,0.3793103448275862,113,242,0.4669421487603306,22,58,177,0.5141242937853108,0.3333333333333333
4,2019-11-17-14-northern-kentucky,30.8,8,7.1,2,106.5,64.7,22,0.4320000000000001,66,0.39399999999999996,26,0.303,20,0.65,13,4,200,90.9,23.1,9,18,70,,7.8,6,0.39399999999999996,26,0.192,5,42.5,31,0.46399999999999997,15.8,14,40,0.525,21,0.2,1,"November 17, 2019",70.0,21,10.0,4,90.9,76.9,30,0.5870000000000001,63,0.47600000000000003,30,0.254,16,0.5,8,1,200,106.5,35.3,12,16,82,,10.4,8,0.556,35,0.4,14,57.5,42,0.581,17.6,15,28,0.5710000000000001,16,0.75,3,"Bank of Kentucky Center, Highland Heights, Kentucky",COPPIN-STATE,Coppin State,77.1,Home,NORTHERN-KENTUCKY,Northern Kentucky,Coppin State,meac,4,False,False,False,Away,False,5,21,66,31,73,14,16,63,0,1,34,54,265,0.3962264150943397,144,320,0.45,29,75,238,0.4978991596638656,0.25
5,2019-11-19-22-pacific,40.0,8,0.0,0,86.5,63.2,24,0.42,56,0.35700000000000004,20,0.41100000000000003,23,0.565,13,5,200,81.1,18.9,7,23,60,,9.5,7,0.46399999999999997,26,0.26899999999999996,7,41.3,31,0.44799999999999995,16.4,13,30,0.433,13,0.16699999999999998,1,"November 19, 2019",50.0,11,10.0,3,81.1,81.1,30,0.405,58,0.379,22,0.414,24,0.708,17,2,200,86.5,36.8,14,19,64,,2.7,2,0.397,23,0.13,3,58.7,44,0.461,21.7,19,35,0.5429999999999999,19,0.7140000000000001,5,"A.G. Spanos Center, Stockton, California",COPPIN-STATE,Coppin State,73.7,Home,PACIFIC,Pacific,Coppin State,meac,5,False,False,False,Away,False,7,13,56,31,75,3,19,58,0,1,39,75,331,0.4033232628398791,175,393,0.4452926208651399,43,91,301,0.5166112956810631,0.2
6,2019-11-23-19-coppin-state,69.6,16,2.8,1,85.0,73.0,27,0.335,79,0.29100000000000004,23,0.24100000000000002,19,0.684,13,5,225,82.5,42.0,21,14,66,,17.5,14,0.43,34,0.20600000000000002,7,55.2,48,0.375,14.7,15,45,0.35600000000000004,16,0.16699999999999998,1,"November 23, 2019",46.2,12,17.8,8,82.5,58.0,29,0.4920000000000001,62,0.419,26,0.226,14,0.5,7,5,225,85.0,27.0,10,15,68,,13.8,11,0.419,26,0.34600000000000003,9,44.8,39,0.495,22.7,20,36,0.47200000000000003,17,0.28600000000000003,2,"Physical Education Complex, Baltimore, Maryland",CORNELL,Cornell,71.4,Home,COPPIN-STATE,Coppin State,Coppin State,meac,6,True,False,True,Home,True,9,17,62,39,87,7,16,79,1,0,46,88,387,0.40568475452196384,206,468,0.44017094017094016,46,110,359,0.4986072423398329,0.16666666666666666
7,2019-11-26-19-james-madison,43.2,16,6.9,2,91.8,78.3,36,0.537,81,0.457,37,0.21,17,0.41200000000000003,7,5,200,110.6,27.7,13,22,94,,12.9,11,0.42,34,0.382,13,52.7,49,0.528,8.3,8,47,0.511,24,0.375,3,"November 26, 2019",66.7,16,10.6,5,110.6,72.3,34,0.439,66,0.364,24,0.409,27,0.741,20,3,200,91.8,21.7,10,16,78,,3.5,3,0.561,37,0.27,10,47.3,44,0.495,17.9,17,29,0.483,14,0.5710000000000001,4,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,85.0,Away,COPPIN-STATE,Coppin State,Coppin State,meac,7,False,False,False,Away,True,13,24,81,49,93,10,14,66,1,0,55,105,449,0.4175946547884187,245,555,0.44144144144144143,53,126,438,0.4691780821917808,0.2857142857142857
8,2019-11-29-21-montana,39.1,9,0.0,0,94.5,77.8,28,0.449,59,0.39,23,0.18600000000000005,11,0.818,9,6,200,84.9,11.8,4,12,62,,6.8,5,0.508,30,0.233,7,45.7,32,0.483,16.9,13,29,0.552,16,0.33299999999999996,3,"November 29, 2019",62.1,18,17.2,5,84.9,88.2,30,0.508,65,0.446,29,0.10800000000000001,7,0.429,3,4,200,94.5,22.2,8,14,69,,8.2,6,0.385,25,0.32,8,54.3,38,0.505,16.0,13,40,0.525,21,0.429,3,"Adams Center/Dahlberg Arena, Missoula, Montana",COPPIN-STATE,Coppin State,73.3,Home,MONTANA,Montana,Coppin State,meac,8,False,False,False,Away,False,7,16,59,32,70,8,21,65,0,1,68,129,530,0.4358490566037736,294,648,0.4537037037037037,63,140,504,0.4652777777777778,0.375
9,2019-12-03-19-east-carolina,48.4,15,9.5,4,96.2,67.4,29,0.59,61,0.508,31,0.262,16,0.813,13,6,200,109.0,8.0,2,17,85,,7.7,6,0.475,29,0.345,10,45.6,31,0.62,13.9,11,32,0.6559999999999999,21,0.4,4,"December 3, 2019",66.7,18,9.4,3,109.0,92.0,23,0.424,72,0.375,27,0.319,23,0.609,14,7,200,96.2,32.6,14,18,75,,6.4,5,0.41700000000000004,30,0.233,7,54.4,37,0.452,10.9,10,42,0.47600000000000003,20,0.222,2,"Williams Arena at Minges Coliseum, Greenville, North Carolina",EAST-CAROLINA,East Carolina,78.3,Away,COPPIN-STATE,Coppin State,Coppin State,meac,9,False,False,False,Away,True,10,21,61,31,68,7,20,72,1,0,75,145,589,0.4371816638370119,326,718,0.4540389972144847,71,161,569,0.4701230228471002,0.3333333333333333
