,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,KENNESAW-STATE_homegame,KENNESAW-STATE_homegame2,KENNESAW-STATE_home,KENNESAW-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-18-19-belmont,35.0,7,2.5,1,113.7,88.9,24,0.33899999999999997,62,0.32299999999999995,20,0.065,4,0.5,2,10,200,60.3,26.8,11,12,44,,6.8,5,0.27399999999999997,17,0.11800000000000001,2,51.5,35,0.344,23.0,19,45,0.4,18,0.091,1,"December 18, 2019",44.1,15,4.4,2,60.3,73.2,30,0.611,63,0.54,34,0.111,7,0.857,6,3,200,113.7,11.1,3,15,83,,11.0,8,0.365,23,0.391,9,48.5,33,0.626,14.3,11,40,0.625,25,0.727,8,"Curb Event Center, Nashville, Tennessee",KENNESAW-STATE,Kennesaw State,73.1,Home,BELMONT,Belmont,Kennesaw State,atlantic-sun,10,False,False,False,Away,False,2,18,62,35,68,9,25,63,0,1,40,152,547,0.3875685557586837,346,683,0.5065885797950219,94,171,584,0.5342465753424658,0.1
11,2019-12-22-14-kennesaw-state,48.3,14,7.4,2,102.9,88.9,24,0.531,64,0.45299999999999996,29,0.297,19,0.789,15,5,200,122.1,38.9,14,22,83,,7.4,5,0.406,26,0.385,10,60.3,38,0.568,13.2,11,38,0.5,19,0.615,8,"December 22, 2019",45.5,10,7.9,3,122.1,61.1,22,0.5529999999999999,47,0.46799999999999997,22,0.489,23,0.7829999999999999,18,11,200,102.9,11.1,3,18,70,,5.9,4,0.426,20,0.4,8,39.7,25,0.604,16.1,11,27,0.519,14,0.083,1,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,68.0,Away,WOFFORD,Wofford,Kennesaw State,atlantic-sun,11,False,True,True,Home,False,8,14,47,25,63,10,19,64,0,1,42,170,609,0.3825944170771757,381,751,0.507323568575233,103,196,647,0.5417310664605873,0.09090909090909093
12,2019-12-29-16-iowa,36.8,7,2.0,1,129.2,71.4,20,0.39799999999999996,54,0.35200000000000004,19,0.185,10,0.8,8,12,200,70.8,30.3,10,15,51,,2.8,2,0.33299999999999996,18,0.278,5,49.2,30,0.434,29.1,24,36,0.389,14,0.077,1,"December 29, 2019",69.2,27,22.2,8,70.8,69.7,23,0.6459999999999999,65,0.6,39,0.27699999999999997,18,0.5,9,3,200,129.2,28.6,8,14,93,25.0,19.4,14,0.24600000000000002,16,0.375,6,50.8,31,0.632,7.6,6,49,0.6729999999999999,33,0.769,10,"Carver-Hawkeye Arena, Iowa City, Iowa",KENNESAW-STATE,Kennesaw State,72.2,Home,IOWA,Iowa,Kennesaw State,atlantic-sun,12,False,False,False,Away,False,5,14,54,30,61,6,33,65,0,1,50,184,656,0.3948170731707317,406,814,0.4987714987714988,113,215,711,0.5407876230661041,0.08333333333333333
13,2020-01-02-19-kennesaw-state,38.7,12,7.1,3,85.1,68.8,22,0.523,66,0.47,31,0.16699999999999998,11,0.636,7,8,200,113.4,29.4,10,16,76,,9.0,6,0.39399999999999996,26,0.26899999999999996,7,48.5,32,0.534,7.8,6,40,0.6,24,0.5,8,"January 2, 2020",57.1,12,2.5,1,113.4,70.6,24,0.426,54,0.389,21,0.278,15,0.733,11,13,200,85.1,31.3,10,13,57,,1.5,1,0.222,12,0.33299999999999996,4,51.5,34,0.466,20.9,16,42,0.405,17,0.071,1,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,67.2,Away,NORTH-FLORIDA,North Florida,Kennesaw State,atlantic-sun,13,False,True,True,Home,False,4,17,54,34,66,7,24,66,0,1,55,198,710,0.3950704225352112,436,875,0.4982857142857143,119,248,776,0.5496134020618557,0.07692307692307693
14,2020-01-04-16-kennesaw-state,33.3,7,11.4,4,81.8,76.7,23,0.536,42,0.5,21,0.5,21,0.5710000000000001,12,10,200,86.4,30.0,6,17,57,,6.1,4,0.31,13,0.231,3,58.0,29,0.5479999999999999,28.1,20,29,0.621,18,0.41200000000000003,7,"January 4, 2020",40.0,8,10.3,3,86.4,70.0,14,0.429,56,0.35700000000000004,20,0.25,14,0.429,6,14,200,81.8,23.3,7,18,54,,7.6,5,0.375,21,0.381,8,42.0,21,0.431,13.9,10,35,0.34299999999999997,12,0.067,1,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,65.8,Away,STETSON,Stetson,Kennesaw State,atlantic-sun,14,False,True,True,Home,False,8,12,56,21,50,3,18,42,0,1,59,215,764,0.3972513089005236,470,941,0.4994686503719448,126,272,842,0.5475059382422803,0.07142857142857142
15,2020-01-09-19-lipscomb,33.3,9,12.8,5,118.1,64.7,22,0.555,55,0.491,27,0.29100000000000004,16,0.75,12,15,200,101.4,7.4,2,13,73,,8.3,6,0.345,19,0.368,7,39.3,24,0.583,15.1,11,36,0.556,20,0.062,1,"January 9, 2020",62.5,20,5.6,2,101.4,92.6,25,0.5920000000000001,65,0.4920000000000001,32,0.215,14,0.5710000000000001,8,9,200,118.1,35.3,12,13,85,,5.6,4,0.4,26,0.5,13,60.7,37,0.593,15.4,13,39,0.48700000000000004,19,0.43799999999999994,7,"Allen Arena, Nashville, Tennessee",KENNESAW-STATE,Kennesaw State,72.1,Home,LIPSCOMB,Lipscomb,Kennesaw State,atlantic-sun,15,False,False,False,Away,False,7,20,55,24,61,13,19,65,0,1,67,227,820,0.3993902439024391,491,991,0.4954591321897074,129,290,884,0.5469457013574661,0.06666666666666668
16,2020-01-16-19-florida-gulf-coast,35.7,5,4.5,2,94.8,56.8,21,0.239,67,0.209,14,0.32799999999999996,22,0.8640000000000001,19,16,200,66.2,26.5,13,19,51,,16.9,13,0.313,21,0.19,4,39.5,34,0.32899999999999996,14.5,13,46,0.217,10,0.059000000000000004,1,"January 16, 2020",51.7,15,21.7,10,66.2,73.5,36,0.4920000000000001,64,0.45299999999999996,29,0.297,19,0.526,10,14,200,94.8,43.2,16,17,73,,6.5,5,0.313,20,0.25,5,60.5,52,0.5,20.8,19,44,0.545,24,0.3,6,"Alico Arena, Fort Myers, Florida",KENNESAW-STATE,Kennesaw State,76.7,Home,FLORIDA-GULF-COAST,Florida Gulf Coast,Kennesaw State,atlantic-sun,16,False,False,False,Away,False,4,10,67,34,86,5,24,64,0,1,74,247,875,0.4091428571428571,515,1052,0.4895437262357414,142,309,949,0.5500526870389885,0.0625
17,2020-01-18-16-njit,35.3,6,2.7,1,101.5,70.6,24,0.336,55,0.309,17,0.23600000000000002,13,0.846,11,17,200,73.8,25.0,8,16,48,,10.8,7,0.327,18,0.16699999999999998,3,48.5,32,0.392,16.5,12,37,0.37799999999999995,14,0.055999999999999994,1,"January 18, 2020",61.5,16,0.0,0,73.8,75.0,24,0.5,58,0.44799999999999995,26,0.259,15,0.5329999999999999,8,12,200,101.5,29.4,10,17,66,,10.8,7,0.36200000000000004,21,0.28600000000000003,6,51.5,34,0.507,12.2,9,37,0.541,20,0.33299999999999996,6,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",KENNESAW-STATE,Kennesaw State,64.7,Home,NJIT,NJIT,Kennesaw State,atlantic-sun,17,False,False,False,Away,False,3,14,55,32,66,6,20,58,0,1,78,257,942,0.3970276008492569,549,1138,0.4824253075571178,147,333,1013,0.5463968410661402,0.05882352941176471
18,2020-01-23-19-kennesaw-state,52.0,13,4.7,2,71.6,86.5,32,0.5670000000000001,52,0.48100000000000004,25,0.48100000000000004,25,0.76,19,11,200,96.3,30.0,6,23,78,,14.8,12,0.442,23,0.391,9,66.7,38,0.611,25.9,22,29,0.552,16,0.45,9,"January 23, 2020",31.6,6,6.9,2,96.3,70.0,14,0.35100000000000003,57,0.33299999999999996,19,0.491,28,0.643,18,18,200,71.6,13.5,5,20,58,,11.1,9,0.24600000000000002,14,0.14300000000000002,2,33.3,19,0.413,18.8,16,43,0.395,17,0.053,1,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,80.6,Away,NORTH-ALABAMA,North Alabama,Kennesaw State,atlantic-sun,18,False,True,True,Home,False,2,17,57,19,57,9,16,52,0,1,81,271,997,0.3936810431293882,581,1204,0.4825581395348838,153,353,1071,0.5438842203548085,0.05555555555555555
19,2020-01-25-16-kennesaw-state,51.6,16,6.8,3,91.4,80.0,24,0.634,56,0.5539999999999999,31,0.321,18,0.667,12,12,200,118.6,30.8,8,18,83,,8.6,6,0.35700000000000004,20,0.45,9,57.1,32,0.643,15.8,12,36,0.611,22,0.455,10,"January 25, 2020",33.3,7,5.6,2,118.6,69.2,18,0.39299999999999996,56,0.375,21,0.429,24,0.833,20,19,200,91.4,20.0,6,19,64,,10.0,7,0.214,12,0.16699999999999998,2,42.9,24,0.475,13.1,10,44,0.4320000000000001,19,0.05,1,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,70.0,Away,JACKSONVILLE,Jacksonville,Kennesaw State,atlantic-sun,19,False,True,True,Home,False,2,19,56,24,56,9,22,56,0,1,83,288,1054,0.3913662239089184,600,1261,0.4758128469468675,162,369,1123,0.5449688334817453,0.05263157894736842
20,2020-01-30-19-liberty,50.0,8,0.0,0,140.7,47.6,10,0.419,43,0.3720000000000001,16,0.302,13,0.6920000000000001,9,20,200,76.3,14.8,4,17,45,,5.1,3,0.302,13,0.308,4,29.2,14,0.45799999999999996,21.1,13,30,0.4,12,0.048,1,"January 30, 2020",43.8,14,6.7,2,76.3,85.2,23,0.614,57,0.561,32,0.316,18,0.722,13,3,200,140.7,52.4,11,15,83,,8.5,5,0.35100000000000003,20,0.3,6,70.8,34,0.633,8.5,6,37,0.703,26,0.87,20,"Vines Center, Lynchburg, Virginia",KENNESAW-STATE,Kennesaw State,59.4,Home,LIBERTY,Liberty,Kennesaw State,atlantic-sun,20,False,False,False,Away,False,4,12,43,14,48,6,26,57,0,1,85,307,1110,0.39144144144144144,624,1317,0.4738041002277905,171,391,1179,0.5491942324003393,0.05
21,2020-02-01-17-north-florida,33.3,6,0.0,0,130.3,67.9,19,0.28600000000000003,63,0.28600000000000003,18,0.222,14,0.643,9,21,200,68.2,28.6,12,23,45,,4.5,3,0.111,7,0.0,0,44.3,31,0.32299999999999995,11.5,9,56,0.321,18,0.045,1,"February 1, 2020",64.3,18,10.7,6,68.2,71.4,30,0.627,55,0.509,28,0.418,23,0.7390000000000001,17,10,200,130.3,32.1,9,16,86,,6.1,4,0.618,34,0.382,13,55.7,39,0.652,10.9,8,21,0.7140000000000001,15,0.583,14,"UNF Arena , Jacksonville, Florida",KENNESAW-STATE,Kennesaw State,65.8,Home,NORTH-FLORIDA,North Florida,Kennesaw State,atlantic-sun,21,False,False,False,Away,False,0,18,63,31,70,13,15,55,0,1,89,319,1153,0.3924544666088465,638,1365,0.4673992673992674,177,417,1236,0.5521844660194175,0.047619047619047616
22,2020-02-08-16-kennesaw-state,29.6,8,6.7,3,95.7,74.3,26,0.519,54,0.5,27,0.40700000000000003,22,0.727,16,14,200,104.3,23.3,7,15,72,,4.3,3,0.278,15,0.133,2,50.8,33,0.5589999999999999,15.9,12,39,0.6409999999999999,25,0.41700000000000004,10,"February 8, 2020",33.3,8,0.0,0,104.3,76.7,23,0.418,61,0.39299999999999996,24,0.32799999999999996,20,0.75,15,22,200,95.7,25.7,9,20,66,,7.2,5,0.262,16,0.188,3,49.2,32,0.46799999999999997,10.3,8,45,0.467,21,0.043,1,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,69.5,Away,LIPSCOMB,Lipscomb,Kennesaw State,atlantic-sun,22,False,True,True,Home,False,3,21,61,32,65,2,25,54,0,1,89,337,1216,0.3869243421052632,669,1435,0.4662020905923345,190,432,1291,0.5553834237025561,0.045454545454545456
23,2020-02-13-19-kennesaw-state,46.4,13,14.7,5,93.5,90.6,29,0.58,56,0.5,28,0.161,9,0.556,5,19,200,112.9,42.9,12,15,70,,8.1,5,0.33899999999999997,19,0.474,9,68.3,41,0.581,16.7,12,37,0.514,19,0.29600000000000004,8,"February 13, 2020",59.1,13,8.1,3,112.9,57.1,16,0.49,50,0.44,22,0.3,15,0.6,9,23,200,93.5,9.4,3,12,58,,9.7,6,0.32,16,0.313,5,31.7,19,0.508,15.0,10,34,0.5,17,0.042,1,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,62.2,Away,FLORIDA-GULF-COAST,Florida Gulf Coast,Kennesaw State,atlantic-sun,23,False,True,True,Home,False,5,17,50,19,60,9,19,56,0,1,92,358,1277,0.3884103367267032,701,1500,0.4673333333333333,192,457,1345,0.5539033457249071,0.043478260869565216
24,2020-02-15-16-stetson,50.0,8,6.1,2,92.2,78.6,22,0.385,48,0.33299999999999996,16,0.22899999999999998,11,0.455,5,24,200,65.6,12.9,4,19,42,,9.4,6,0.43799999999999994,21,0.23800000000000002,5,44.1,26,0.395,23.2,16,27,0.40700000000000003,11,0.04,1,"February 15, 2020",30.4,7,0.0,0,65.6,87.1,27,0.5579999999999999,43,0.535,23,0.535,23,0.478,11,12,200,92.2,21.4,6,13,59,,10.9,7,0.233,10,0.2,2,55.9,33,0.547,22.0,15,33,0.636,21,0.556,15,"Edmunds Center, DeLand, Florida",KENNESAW-STATE,Kennesaw State,64.1,Home,STETSON,Stetson,Kennesaw State,atlantic-sun,24,False,False,False,Away,False,5,11,48,26,59,2,21,43,0,1,97,375,1327,0.3922381311228335,720,1560,0.4615384615384616,201,476,1401,0.5549607423269094,0.04166666666666666
25,2020-02-20-19-north-alabama,31.3,5,8.6,3,101.6,61.3,19,0.38,46,0.348,16,0.37,17,0.647,11,25,200,71.9,3.3,1,22,46,,6.3,4,0.326,15,0.2,3,32.8,20,0.425,18.3,12,31,0.419,13,0.038,1,"February 20, 2020",43.5,10,6.5,2,71.9,96.7,29,0.531,49,0.469,23,0.551,27,0.48100000000000004,13,16,200,101.6,38.7,12,19,65,,9.4,6,0.28600000000000003,14,0.429,6,67.2,41,0.526,18.7,14,35,0.486,17,0.40700000000000003,11,"Flowers Hall, Florence, Alabama",KENNESAW-STATE,Kennesaw State,64.5,Home,NORTH-ALABAMA,North Alabama,Kennesaw State,atlantic-sun,25,False,False,False,Away,False,3,13,46,20,61,6,17,49,0,1,102,386,1375,0.392,746,1619,0.4607782581840642,203,497,1444,0.5550554016620498,0.04
