,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HARTFORD_homegame,HARTFORD_homegame2,HARTFORD_home,HARTFORD_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-08-14-hartford,65.4,17,10.4,5,82.7,74.4,32,0.546,54,0.48100000000000004,26,0.444,24,0.833,20,4,200,105.3,36.0,9,14,79,,6.7,5,0.37,20,0.35,7,60.3,41,0.604,21.8,18,34,0.5589999999999999,19,0.6,6,"December 8, 2019",52.0,13,2.9,1,105.3,64.0,16,0.39899999999999997,69,0.36200000000000004,25,0.174,12,0.583,7,7,200,82.7,25.6,11,23,62,,13.3,10,0.304,21,0.23800000000000002,5,39.7,27,0.415,12.9,11,48,0.41700000000000004,20,0.364,4,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,74.6,Away,SACRED-HEART,Sacred Heart,Hartford,america-east,10,False,True,True,Home,False,5,20,69,27,68,7,19,54,0,1,85,142,547,0.4926873857404022,299,666,0.4489489489489489,56,196,583,0.4802744425385935,0.4
11,2019-12-14-14-hartford,43.5,10,3.3,1,89.9,86.2,25,0.4,65,0.354,23,0.24600000000000002,16,0.688,11,6,200,79.7,27.5,11,30,63,,13.9,11,0.354,23,0.261,6,52.2,36,0.434,18.2,16,42,0.405,17,0.25,2,"December 14, 2019",52.9,9,9.5,4,79.7,72.5,29,0.42200000000000004,45,0.37799999999999995,17,0.8440000000000001,38,0.868,33,7,200,89.9,13.8,4,15,71,,10.1,8,0.33299999999999996,15,0.267,4,47.8,33,0.563,25.4,21,30,0.433,13,0.41700000000000004,5,"Chase Family Arena, Hartford, Connecticut",WAGNER,Wagner,78.8,Home,HARTFORD,Hartford,Hartford,america-east,11,True,False,True,Home,True,4,13,45,33,69,6,17,65,1,0,90,162,616,0.4821428571428572,326,734,0.4441416893732971,63,215,637,0.4858712715855573,0.3636363636363637
12,2019-12-22-14-hartford,60.0,18,2.8,1,114.3,68.8,22,0.557,61,0.4920000000000001,30,0.18,11,0.727,8,9,200,108.6,38.5,10,16,76,,8.6,6,0.41,25,0.32,8,55.2,32,0.574,19.6,16,36,0.611,22,0.1,1,"December 22, 2019",42.9,12,16.7,6,108.6,61.5,16,0.575,60,0.467,28,0.267,16,0.688,11,7,200,114.3,31.3,10,13,80,,12.9,9,0.4,24,0.542,13,44.8,26,0.5920000000000001,14.1,11,36,0.41700000000000004,15,0.462,6,"Chase Family Arena, Hartford, Connecticut",CORNELL,Cornell,70.4,Home,HARTFORD,Hartford,Hartford,america-east,12,True,False,True,Home,True,13,15,60,26,58,8,22,61,1,0,94,175,661,0.4780635400907716,359,803,0.4470734744707348,69,232,702,0.4779202279202279,0.4166666666666667
13,2019-12-29-16-northwestern,63.0,17,7.5,3,95.7,81.1,30,0.635,48,0.563,27,0.292,14,0.429,6,7,200,97.1,4.2,1,18,67,,5.8,4,0.41700000000000004,20,0.35,7,50.8,31,0.613,21.7,15,28,0.7140000000000001,20,0.5,7,"December 29, 2019",73.9,17,3.6,1,97.1,95.8,23,0.419,62,0.371,23,0.29,18,0.778,14,7,200,95.7,18.9,7,15,66,,10.1,7,0.355,22,0.273,6,49.2,30,0.46799999999999997,6.7,5,40,0.425,17,0.41700000000000004,5,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,68.6,Away,HARTFORD,Hartford,Hartford,america-east,13,False,False,False,Away,True,7,20,48,31,61,6,17,62,1,0,107,190,721,0.486130374479889,385,861,0.4471544715447153,77,254,763,0.4842726081258191,0.4615384615384616
14,2019-12-31-12-bowling-green-state,56.0,14,4.8,2,115.7,66.7,22,0.434,68,0.368,25,0.221,15,0.6,9,8,200,97.1,39.5,17,17,68,,7.1,5,0.456,31,0.29,9,51.3,39,0.45299999999999996,14.8,13,37,0.4320000000000001,16,0.467,7,"December 31, 2019",48.1,13,8.1,3,97.1,60.5,26,0.516,61,0.44299999999999995,27,0.344,21,0.857,18,4,200,115.7,33.3,11,16,81,,10.0,7,0.311,19,0.474,9,48.7,37,0.5710000000000001,11.4,9,42,0.429,18,0.6920000000000001,9,"Stroh Center, Bowling Green, Ohio",HARTFORD,Hartford,70.1,Home,BOWLING-GREEN-STATE,Bowling Green State,Hartford,america-east,14,False,False,False,Away,False,9,16,68,39,76,9,18,61,0,1,114,210,769,0.4954486345903771,416,922,0.4511930585683297,83,271,825,0.4793939393939394,0.5
15,2020-01-04-14-hartford,60.0,12,5.9,2,91.0,78.1,25,0.33299999999999996,69,0.29,20,0.13,9,0.667,6,7,200,77.6,35.6,16,20,52,,6.0,4,0.565,39,0.154,6,53.2,41,0.355,13.1,11,30,0.467,14,0.5,7,"January 4, 2020",47.6,10,10.0,3,77.6,64.4,29,0.461,51,0.41200000000000003,21,0.451,23,0.609,14,8,200,91.0,21.9,7,11,61,,13.4,9,0.33299999999999996,17,0.294,5,46.8,36,0.493,15.3,11,34,0.47100000000000003,16,0.5,8,"Chase Family Arena, Hartford, Connecticut",NEW-HAMPSHIRE,New Hampshire,67.1,Home,HARTFORD,Hartford,Hartford,america-east,15,True,False,True,Home,True,5,16,51,36,77,6,14,69,1,0,123,226,837,0.490442054958184,455,998,0.4559118236472946,92,289,886,0.48194130925507894,0.4666666666666667
16,2020-01-08-19-massachusetts-lowell,43.3,13,15.6,5,95.8,75.0,24,0.5670000000000001,60,0.5,30,0.25,15,0.8,12,8,200,112.7,40.7,11,14,80,,15.5,11,0.317,19,0.42100000000000004,8,59.3,35,0.596,19.4,16,41,0.537,22,0.529,9,"January 8, 2020",57.7,15,7.3,3,112.7,59.3,16,0.517,58,0.44799999999999995,26,0.155,9,0.889,8,10,200,95.8,25.0,8,14,68,,14.1,10,0.44799999999999995,26,0.308,8,40.7,24,0.546,20.5,16,32,0.563,18,0.41200000000000003,7,"Tsongas Center, Lowell, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,71.2,Away,HARTFORD,Hartford,Hartford,america-east,16,False,False,False,Away,True,8,22,60,35,59,8,18,58,1,0,128,242,888,0.4887387387387387,491,1075,0.4567441860465116,98,303,955,0.4712041884816754,0.5
17,2020-01-15-19-hartford,66.7,14,17.9,7,91.9,87.9,29,0.42200000000000004,58,0.36200000000000004,21,0.44799999999999995,26,0.615,16,7,200,87.8,26.3,10,21,65,,6.8,5,0.517,30,0.233,7,54.9,39,0.462,15.8,13,28,0.5,14,0.632,12,"January 15, 2020",65.2,15,7.1,2,87.8,73.7,28,0.465,57,0.40399999999999997,23,0.368,21,0.7140000000000001,15,8,200,91.9,12.1,4,21,68,,8.1,6,0.316,18,0.389,7,45.1,32,0.508,14.2,11,39,0.41,16,0.556,10,"Chase Family Arena, Hartford, Connecticut",STONY-BROOK,Stony Brook,73.7,Home,HARTFORD,Hartford,Hartford,america-east,17,True,False,True,Home,True,7,16,57,32,71,7,14,58,1,0,136,264,948,0.4936708860759494,526,1134,0.4638447971781305,106,321,1013,0.4738400789733465,0.5294117647058824
18,2020-01-18-14-vermont,27.3,6,6.1,2,113.8,69.2,18,0.444,54,0.40700000000000003,22,0.16699999999999998,9,1.0,9,9,200,87.7,13.3,4,13,57,,10.8,7,0.37,20,0.2,4,39.3,22,0.489,16.0,11,34,0.529,18,0.526,10,"January 18, 2020",60.0,18,8.8,3,87.7,86.7,26,0.5760000000000001,59,0.508,30,0.11900000000000001,7,0.857,6,6,200,113.8,30.8,8,12,74,,6.2,4,0.441,26,0.308,8,60.7,34,0.594,15.1,11,33,0.667,22,0.684,13,"Roy L. Patrick Gymnasium, Burlington, Vermont",HARTFORD,Hartford,65.3,Home,VERMONT,Vermont,Hartford,america-east,18,False,False,False,Away,False,4,18,54,22,56,8,22,59,0,1,143,280,1005,0.4920398009950249,558,1205,0.4630705394190872,113,335,1071,0.4710550887021475,0.5555555555555556
19,2020-01-22-19-hartford,40.0,10,7.1,2,88.2,78.8,26,0.483,58,0.431,25,0.32799999999999996,19,0.684,13,12,200,101.5,24.2,8,15,69,,4.4,3,0.345,20,0.3,6,51.5,34,0.515,13.1,10,38,0.5,19,0.4,8,"January 22, 2020",65.0,13,7.9,3,101.5,75.8,25,0.455,55,0.364,20,0.255,14,0.7140000000000001,10,10,200,88.2,21.2,7,21,60,,7.4,5,0.491,27,0.37,10,48.5,32,0.48700000000000004,17.5,13,28,0.35700000000000004,10,0.5,10,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,68.3,Away,MARYLAND-BALTIMORE-COUNTY,UMBC,Hartford,america-east,19,False,True,True,Home,False,10,10,55,32,66,6,19,58,0,1,147,298,1059,0.4896128423040605,580,1261,0.4599524187153053,121,357,1130,0.4765486725663717,0.5263157894736842
20,2020-01-25-15-albany-ny,72.0,18,19.4,6,66.7,74.4,29,0.5,57,0.439,25,0.158,9,0.556,5,10,200,86.1,9.4,3,16,62,,18.1,13,0.368,21,0.33299999999999996,7,45.1,32,0.506,16.4,12,36,0.5,18,0.524,11,"January 25, 2020",64.3,9,5.6,2,86.1,90.6,29,0.28600000000000003,56,0.25,14,0.304,17,0.941,16,10,200,66.7,25.6,10,17,48,,5.6,4,0.446,25,0.16,4,54.9,39,0.375,23.0,19,31,0.32299999999999995,10,0.524,11,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),71.7,Away,HARTFORD,Hartford,Hartford,america-east,20,False,False,False,Away,True,7,18,57,32,71,4,10,56,1,0,157,308,1114,0.4878815080789946,612,1327,0.4611906556141673,127,376,1188,0.4768518518518519,0.5
21,2020-01-29-19-hartford,70.0,14,15.8,6,107.4,68.8,22,0.49,49,0.408,20,0.265,13,0.6920000000000001,9,13,200,83.8,23.1,6,21,57,,8.8,6,0.531,26,0.308,8,48.3,28,0.517,24.8,18,23,0.522,12,0.381,8,"January 29, 2020",40.0,10,4.3,1,83.8,76.9,20,0.466,59,0.424,25,0.40700000000000003,24,0.75,18,10,200,107.4,31.3,10,11,73,,14.7,10,0.35600000000000004,21,0.23800000000000002,5,51.7,30,0.518,11.5,9,38,0.526,20,0.545,12,"Chase Family Arena, Hartford, Connecticut",BINGHAMTON,Binghamton,68.3,Home,HARTFORD,Hartford,Hartford,america-east,21,True,False,True,Home,True,5,20,59,30,58,8,12,49,1,0,164,326,1171,0.4884713919726729,644,1398,0.4606580829756796,131,386,1244,0.4682475884244373,0.5238095238095238
22,2020-02-01-12-maine,20.0,4,0.0,0,73.1,64.9,24,0.377,57,0.35100000000000003,20,0.263,15,0.8,12,10,200,82.1,16.1,5,14,55,,7.5,5,0.33299999999999996,19,0.158,3,42.6,29,0.429,12.4,9,38,0.447,17,0.565,13,"February 1, 2020",38.9,7,15.8,6,82.1,83.9,26,0.345,58,0.31,18,0.24100000000000002,14,0.643,9,16,200,73.1,35.1,13,16,49,,10.4,7,0.414,24,0.16699999999999998,4,57.4,39,0.379,17.9,14,34,0.41200000000000003,14,0.273,6,"Cross Insurance Center, Bangor, Maine",MAINE,Maine,66.9,Away,HARTFORD,Hartford,Hartford,america-east,22,False,False,False,Away,True,3,17,57,29,68,4,14,58,1,0,169,346,1230,0.4873983739837399,674,1456,0.4629120879120879,139,398,1293,0.4690641918020108,0.5454545454545454
23,2020-02-05-19-maryland-baltimore-county,54.5,12,5.1,2,101.4,81.6,31,0.405,58,0.379,22,0.32799999999999996,19,0.632,12,11,200,85.5,15.8,6,18,59,,5.8,4,0.31,18,0.16699999999999998,3,48.7,37,0.44,10.8,8,40,0.475,19,0.542,13,"February 5, 2020",51.9,14,5.0,2,85.5,84.2,32,0.4920000000000001,61,0.44299999999999995,27,0.27899999999999997,17,0.588,10,14,200,101.4,18.4,7,14,70,,7.2,5,0.361,22,0.273,6,51.3,39,0.507,9.3,7,39,0.5379999999999999,21,0.41700000000000004,10,"UMBC Event Center, Baltimore, Maryland",HARTFORD,Hartford,69.1,Home,MARYLAND-BALTIMORE-COUNTY,UMBC,Hartford,america-east,23,False,False,False,Away,False,3,19,58,37,76,6,21,61,0,1,172,363,1287,0.4825174825174825,703,1524,0.4612860892388451,143,412,1351,0.4637305699481865,0.5652173913043478
24,2020-02-08-19-hartford,62.5,15,2.8,1,106.3,78.1,25,0.5589999999999999,51,0.47100000000000003,24,0.353,18,0.667,12,6,200,107.8,28.6,8,16,69,,3.1,2,0.47100000000000003,24,0.375,9,55.0,33,0.579,15.7,11,27,0.556,15,0.76,19,"February 8, 2020",62.5,15,11.1,3,107.8,71.4,20,0.519,53,0.45299999999999996,24,0.396,21,0.619,13,12,200,106.3,21.9,7,17,68,,14.1,9,0.321,17,0.41200000000000003,7,45.0,27,0.54,13.8,10,36,0.47200000000000003,17,0.52,13,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,64.3,Away,VERMONT,Vermont,Hartford,america-east,24,False,True,True,Home,False,7,17,53,27,60,9,15,51,0,1,175,382,1345,0.479182156133829,740,1600,0.4625,149,433,1412,0.464943342776204,0.5416666666666666
25,2020-02-12-19-hartford,52.2,12,13.9,5,91.7,88.2,30,0.402,66,0.348,23,0.242,16,0.43799999999999994,7,12,200,83.3,29.8,14,17,60,,8.3,6,0.379,25,0.28,7,54.3,44,0.408,13.1,11,41,0.39,16,0.52,13,"February 12, 2020",71.4,15,4.9,2,83.3,70.2,33,0.44799999999999995,58,0.36200000000000004,21,0.276,16,0.875,14,12,200,91.7,11.8,4,16,66,,12.5,9,0.379,22,0.455,10,45.7,37,0.503,14.5,11,36,0.306,11,0.5379999999999999,14,"Chase Family Arena, Hartford, Connecticut",ALBANY-NY,Albany (NY),71.6,Home,HARTFORD,Hartford,Hartford,america-east,25,True,False,True,Home,True,10,11,58,37,81,7,16,66,1,0,182,399,1398,0.48068669527897,767,1660,0.4620481927710843,158,448,1463,0.468215994531784,0.52
26,2020-02-15-14-hartford,57.1,16,8.8,3,101.5,76.2,16,0.545,56,0.5,28,0.28600000000000003,16,0.813,13,16,200,112.1,42.9,12,13,74,,13.6,9,0.28600000000000003,16,0.313,5,57.1,28,0.5820000000000001,18.2,14,40,0.575,23,0.40700000000000003,11,"February 15, 2020",63.0,17,7.5,3,112.1,57.1,16,0.6,50,0.54,27,0.3,15,0.467,7,13,200,101.5,23.8,5,18,67,,9.1,6,0.32,16,0.375,6,42.9,21,0.586,19.8,14,34,0.618,21,0.519,14,"Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,65.9,Away,MASSACHUSETTS-LOWELL,UMass-Lowell,Hartford,america-east,26,False,True,True,Home,False,6,21,50,21,49,5,23,56,0,1,192,410,1456,0.4793956043956044,804,1741,0.4618035611717404,165,464,1529,0.4653368214519293,0.5384615384615384
