,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COLORADO-STATE_homegame,COLORADO-STATE_homegame2,COLORADO-STATE_home,COLORADO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-21-colorado-state,60.0,12,0.0,0,149.3,53.3,16,0.466,58,0.345,20,0.259,15,0.8,12,0,200,98.5,15.4,6,14,66,,4.5,3,0.483,28,0.5,14,31.9,22,0.507,11.0,8,30,0.2,6,0.0,0,"November 7, 2018",61.8,21,6.7,2,98.5,84.6,33,0.6459999999999999,65,0.523,34,0.308,20,0.8,16,0,200,149.3,46.7,14,10,100,,7.5,5,0.47700000000000004,31,0.516,16,68.1,47,0.6709999999999999,8.7,7,34,0.529,18,1.0,1,"Moby Arena, Fort Collins, Colorado","Colorado Christian
			","Colorado Christian
			",67.3,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,0,True,False,True,Home,True,16,18,65,47,69,14,6,58,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-16-colorado-state,40.9,9,0.0,0,137.3,72.7,16,0.42200000000000004,58,0.379,22,0.466,27,0.667,18,2,200,100.0,30.6,11,26,67,,4.5,3,0.32799999999999996,19,0.263,5,46.6,27,0.473,9.1,7,39,0.436,17,0.0,0,"November 10, 2018",77.8,21,2.6,1,100.0,69.4,25,0.66,50,0.54,27,0.6,30,0.867,26,0,200,137.3,27.3,6,18,92,,4.5,3,0.46,23,0.522,12,53.4,31,0.716,11.2,8,27,0.556,15,1.0,2,"Moby Arena, Fort Collins, Colorado",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,66.5,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,1,True,False,True,Home,True,12,15,50,31,58,5,17,58,1,0,16,18,65,0.6461538461538462,47,69,0.6811594202898551,14,6,58,0.46551724137931033,1.0
2,2018-11-14-21-colorado-state,51.9,14,3.1,1,114.1,70.3,26,0.586,58,0.466,27,0.22399999999999998,13,0.6920000000000001,9,3,200,108.5,30.0,9,26,77,,4.2,3,0.603,35,0.4,14,52.2,35,0.6,19.1,15,23,0.565,13,0.25,1,"November 14, 2018",33.3,9,4.3,1,108.5,70.0,21,0.484,62,0.435,27,0.452,28,0.75,21,0,200,114.1,29.7,11,16,81,,11.3,8,0.484,30,0.2,6,47.8,32,0.5379999999999999,8.6,7,32,0.6559999999999999,21,1.0,3,"Moby Arena, Fort Collins, Colorado",MONTANA-STATE,Montana State,70.7,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,2,True,False,True,Home,True,6,21,62,32,67,14,13,58,1,0,28,33,115,0.6521739130434783,78,127,0.6141732283464567,19,23,116,0.44396551724137934,1.0
3,2018-11-19-17-louisiana-lafayette,48.3,14,7.4,2,113.8,80.0,24,0.508,65,0.446,29,0.16899999999999998,11,0.636,7,1,200,91.3,33.3,11,18,73,,11.3,9,0.369,24,0.33299999999999996,8,55.6,35,0.52,22.3,20,41,0.512,21,0.75,3,"November 19, 2018",63.0,17,14.6,6,91.3,66.7,22,0.598,56,0.48200000000000004,27,0.536,30,0.8,24,2,200,113.8,20.0,6,17,91,,15.0,12,0.518,29,0.44799999999999995,13,44.4,28,0.648,18.8,16,27,0.519,14,0.5,2,"Germain Arena, Estero, Florida",COLORADO-STATE,Colorado State,79.7,Home,LOUISIANA-LAFAYETTE,Louisiana,Colorado State,mwc,3,False,False,False,Away,False,8,21,65,35,63,13,14,56,0,1,34,54,177,0.5932203389830508,110,194,0.5670103092783505,33,36,174,0.49137931034482757,1.0
4,2018-11-20-13-florida-gulf-coast,48.4,15,6.5,2,101.4,74.3,26,0.6629999999999999,52,0.596,31,0.40399999999999997,21,0.619,13,1,200,112.3,17.4,4,20,82,,12.3,9,0.327,17,0.41200000000000003,7,51.7,30,0.662,19.7,15,35,0.6859999999999999,24,0.8,4,"November 20, 2018",37.0,10,5.7,2,112.3,82.6,19,0.517,59,0.45799999999999996,27,0.33899999999999997,20,0.65,13,4,200,101.4,25.7,9,18,74,,9.6,7,0.475,28,0.25,7,48.3,28,0.54,17.1,14,31,0.645,20,0.33299999999999996,2,"Germain Arena, Estero, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,73.2,Away,COLORADO-STATE,Colorado State,Colorado State,mwc,4,False,False,False,Away,True,7,24,52,30,58,7,20,59,1,0,42,75,242,0.5702479338842975,145,257,0.5642023346303502,46,50,230,0.5173913043478261,0.75
5,2018-11-21-13-colorado-state,34.5,10,0.0,0,92.9,74.4,29,0.556,62,0.46799999999999997,29,0.161,10,0.9,9,2,200,111.4,12.5,4,16,78,,2.9,2,0.355,22,0.5,11,46.5,33,0.584,8.3,6,40,0.45,18,0.7140000000000001,5,"November 21, 2018",25.0,6,10.0,4,111.4,87.5,28,0.424,66,0.364,24,0.242,16,0.563,9,2,200,92.9,25.6,10,16,65,,1.4,1,0.545,36,0.222,8,53.5,38,0.442,9.9,8,30,0.5329999999999999,16,0.667,4,"Germain Arena, Estero, Florida",COLORADO-STATE,Colorado State,70.2,Away,SOUTH-DAKOTA-STATE,South Dakota State,Colorado State,mwc,5,False,True,True,Home,False,8,16,66,38,71,11,18,62,0,1,49,99,294,0.5867346938775511,175,315,0.5555555555555556,53,70,289,0.5173010380622838,0.8
6,2018-11-27-21-colorado-state,67.6,23,0.0,0,106.3,95.2,20,0.653,59,0.5760000000000001,34,0.102,6,0.833,5,3,200,130.2,40.9,9,16,82,,7.9,5,0.40700000000000003,24,0.375,9,67.4,29,0.6629999999999999,11.5,8,35,0.7140000000000001,25,0.5710000000000001,4,"November 27, 2018",60.0,15,2.9,1,130.2,59.1,13,0.612,49,0.51,25,0.265,13,0.5379999999999999,7,3,200,106.3,4.8,1,9,67,,4.8,3,0.469,23,0.435,10,32.6,14,0.607,15.5,10,26,0.5770000000000001,15,0.5710000000000001,4,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,62.5,Away,SOUTHERN-ILLINOIS,Southern Illinois,Colorado State,mwc,6,False,True,True,Home,False,10,15,49,14,43,9,25,59,0,1,57,115,360,0.5569444444444445,213,386,0.5518134715025906,64,88,351,0.5242165242165242,0.6666666666666666
7,2018-12-01-15-colorado,36.7,11,2.0,1,113.2,73.5,25,0.603,58,0.517,30,0.276,16,0.625,10,4,200,105.3,10.0,3,21,80,,7.9,6,0.397,23,0.435,10,43.8,28,0.61,15.6,12,35,0.5710000000000001,20,0.5,4,"December 1, 2018",51.5,17,5.7,2,105.3,90.0,27,0.514,70,0.47100000000000003,33,0.257,18,0.778,14,1,200,113.2,26.5,9,15,86,,2.6,2,0.3,21,0.28600000000000003,6,56.3,36,0.547,9.3,8,49,0.551,27,0.833,5,"Coors Events/Conference Center, Boulder, Colorado",COLORADO-STATE,Colorado State,76.1,Home,COLORADO,Colorado,Colorado State,mwc,7,False,False,False,Away,False,10,20,58,28,64,6,27,70,0,1,67,130,409,0.5635696821515892,227,429,0.5291375291375291,73,113,410,0.5426829268292683,0.5714285714285714
8,2018-12-05-22-colorado-state,73.7,28,29.0,9,102.8,86.1,31,0.616,73,0.521,38,0.192,14,0.5710000000000001,8,1,200,136.1,36.8,14,22,98,,11.1,8,0.384,28,0.5,14,60.8,45,0.615,8.1,7,45,0.5329999999999999,24,0.857,6,"December 5, 2018",76.2,16,2.2,1,136.1,63.2,24,0.491,54,0.389,21,0.556,30,0.7,21,5,200,102.8,13.9,5,15,74,,5.6,4,0.426,23,0.478,11,39.2,29,0.542,11.8,9,31,0.32299999999999995,10,0.444,4,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,72.5,Away,ARKANSAS,Arkansas,Colorado State,mwc,8,False,True,True,Home,False,11,10,54,29,74,14,24,73,0,1,77,150,467,0.5685224839400428,255,493,0.5172413793103449,79,140,480,0.5385416666666667,0.5
9,2018-12-08-16-colorado-state,45.8,11,6.5,2,100.0,62.5,20,0.439,66,0.364,24,0.152,10,0.7,7,7,200,91.5,27.5,11,25,65,,14.1,10,0.409,27,0.37,10,43.1,31,0.45899999999999996,15.6,13,39,0.359,14,0.3,3,"December 8, 2018",40.9,9,5.1,2,91.5,72.5,29,0.47100000000000003,52,0.423,22,0.5379999999999999,28,0.7859999999999999,22,5,200,100.0,37.5,12,12,71,,9.9,7,0.40399999999999997,21,0.23800000000000002,5,56.9,41,0.544,19.9,16,31,0.5479999999999999,17,0.5,5,"Moby Arena, Fort Collins, Colorado",SAM-HOUSTON-STATE,Sam Houston State,71.0,Home,COLORADO-STATE,Colorado State,Colorado State,mwc,9,True,False,True,Home,True,5,17,52,41,72,10,14,66,1,0,88,160,521,0.5604606525911708,284,567,0.5008818342151675,93,164,553,0.5488245931283906,0.4444444444444444
