,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-DAKOTA-STATE_homegame,NORTH-DAKOTA-STATE_homegame2,NORTH-DAKOTA-STATE_home,NORTH-DAKOTA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-21-new-mexico-state,40.0,8,7.5,3,110.6,61.5,24,0.446,56,0.35700000000000004,20,0.161,9,0.667,6,1,195,84.8,13.9,5,14,56,,4.5,3,0.48200000000000004,27,0.37,10,38.7,29,0.465,15.5,11,29,0.345,10,0.0,0,"November 6, 2018",27.6,8,10.3,3,84.8,86.1,31,0.47700000000000004,66,0.439,29,0.242,16,0.625,10,0,195,110.6,38.5,15,14,73,,7.6,5,0.39399999999999996,26,0.192,5,61.3,46,0.496,9.9,8,40,0.6,24,1.0,1,"Pan American Center, Las Cruces, New Mexico",NORTH-DAKOTA-STATE,North Dakota State,68.1,Home,NEW-MEXICO-STATE,New Mexico State,North Dakota State,summit,0,False,False,False,Away,False,10,10,56,29,75,5,24,66,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-14-north-dakota-state,30.0,6,11.5,3,115.5,83.3,20,0.39799999999999996,54,0.37,20,0.5,27,0.741,20,1,200,88.7,25.0,8,22,63,,4.2,3,0.222,12,0.25,3,50.0,28,0.47100000000000003,15.4,12,42,0.405,17,0.5,1,"November 11, 2018",44.4,12,7.1,3,88.7,75.0,24,0.5820000000000001,55,0.491,27,0.4,22,0.818,18,1,200,115.5,16.7,4,23,82,,5.6,4,0.527,29,0.345,10,50.0,28,0.626,12.2,9,26,0.654,17,0.5,1,"Scheels Center, Fargo, North Dakota",CALIFORNIA-SANTA-BARBARA,UCSB,70.6,Home,NORTH-DAKOTA-STATE,North Dakota State,North Dakota State,summit,1,True,False,True,Home,True,10,17,55,28,56,3,17,54,1,0,10,10,56,0.44642857142857145,29,75,0.38666666666666666,5,24,66,0.4772727272727273,0.0
2,2018-11-16-14-miami-oh,47.6,10,3.6,1,139.1,56.5,13,0.539,51,0.41200000000000003,21,0.608,31,0.742,23,2,200,121.9,33.3,11,20,78,,7.8,5,0.667,34,0.382,13,42.9,24,0.593,11.0,8,17,0.47100000000000003,8,0.33299999999999996,1,"November 16, 2018",53.1,17,5.9,1,121.9,66.7,22,0.691,55,0.5820000000000001,32,0.273,15,0.867,13,1,200,139.1,43.5,10,24,89,,4.7,3,0.491,27,0.444,12,57.1,32,0.716,17.4,13,28,0.7140000000000001,20,0.667,2,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",NORTH-DAKOTA-STATE,North Dakota State,63.9,Home,MIAMI-OH,Miami (OH),North Dakota State,summit,2,False,False,False,Away,False,13,8,51,24,56,12,20,55,0,1,20,27,111,0.5135135135135135,57,131,0.4351145038167939,8,41,120,0.44166666666666665,0.5
3,2018-11-17-11-north-dakota-state,39.3,11,7.4,2,106.8,82.6,19,0.5870000000000001,52,0.5379999999999999,28,0.442,23,0.826,19,2,225,109.6,22.7,5,19,80,,11.0,8,0.231,12,0.41700000000000004,5,53.3,24,0.636,19.5,15,40,0.575,23,0.667,4,"November 17, 2018",55.6,15,17.5,7,109.6,77.3,17,0.64,50,0.54,27,0.38,19,0.737,14,3,225,106.8,17.4,4,22,78,,4.1,3,0.46,23,0.435,10,46.7,21,0.6609999999999999,24.6,19,27,0.63,17,0.25,1,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",NORTH-DAKOTA-STATE,North Dakota State,65.3,Away,INCARNATE-WORD,Incarnate Word,North Dakota State,summit,3,False,True,True,Home,False,10,17,50,21,45,5,23,52,0,1,33,35,162,0.5216049382716049,81,187,0.43315508021390375,20,61,175,0.52,0.3333333333333333
4,2018-11-18-11-towson,69.0,20,5.4,2,76.1,76.7,23,0.5479999999999999,63,0.46,29,0.127,8,0.875,7,3,200,113.4,19.4,6,10,76,,9.0,6,0.47600000000000003,30,0.36700000000000005,11,47.5,29,0.569,9.5,7,33,0.545,18,0.4,2,"November 18, 2018",30.0,6,3.0,1,113.4,80.6,25,0.425,53,0.377,20,0.132,7,0.857,6,4,200,76.1,23.3,7,17,51,,7.5,5,0.302,16,0.313,5,52.5,32,0.45299999999999996,23.3,17,37,0.405,15,0.2,1,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",TOWSON,Towson,67.1,Away,NORTH-DAKOTA-STATE,North Dakota State,North Dakota State,summit,4,False,False,False,Away,True,11,18,63,29,61,5,15,53,1,0,43,52,212,0.5495283018867925,102,232,0.4396551724137931,25,84,227,0.5352422907488987,0.25
5,2018-11-24-16-east-tennessee-state,56.5,13,5.9,2,121.5,65.4,17,0.474,58,0.397,23,0.172,10,0.6,6,4,200,93.8,18.9,7,15,61,,10.8,7,0.569,33,0.273,9,38.1,24,0.486,15.0,11,25,0.56,14,0.33299999999999996,2,"November 24, 2018",50.0,16,8.0,2,93.8,81.1,30,0.6759999999999999,54,0.593,32,0.222,12,0.5,6,2,200,121.5,34.6,9,13,79,,6.2,4,0.37,20,0.45,9,61.9,39,0.662,18.0,13,34,0.6759999999999999,23,0.7140000000000001,5,"Freedom Hall Civic Center, Johnson City, Tennessee",NORTH-DAKOTA-STATE,North Dakota State,65.2,Home,EAST-TENNESSEE-STATE,ETSU,North Dakota State,summit,5,False,False,False,Away,False,9,14,58,24,63,9,23,54,0,1,54,70,275,0.5490909090909091,131,293,0.447098976109215,30,99,280,0.5142857142857142,0.4
6,2018-11-26-21-gonzaga,8.7,2,6.7,2,137.8,78.9,15,0.385,65,0.354,23,0.262,17,0.588,10,5,200,81.1,18.9,7,14,60,,6.8,5,0.415,27,0.14800000000000002,4,39.3,22,0.41100000000000003,13.2,11,38,0.5,19,0.28600000000000003,2,"November 26, 2018",67.6,25,13.2,5,81.1,81.1,30,0.767,58,0.638,37,0.32799999999999996,19,0.684,13,0,200,137.8,21.1,4,13,102,1.0,10.8,8,0.483,28,0.536,15,60.7,34,0.7609999999999999,10.8,8,30,0.733,22,1.0,7,"McCarthey Athletic Center, Spokane, Washington",NORTH-DAKOTA-STATE,North Dakota State,74.1,Home,GONZAGA,Gonzaga,North Dakota State,summit,6,False,False,False,Away,False,4,19,65,22,56,15,22,58,0,1,63,84,333,0.536036036036036,155,356,0.4353932584269663,39,122,334,0.5404191616766467,0.3333333333333333
7,2018-12-01-18-north-dakota-state,87.5,28,14.7,5,122.2,75.0,24,0.667,57,0.561,32,0.40399999999999997,23,0.826,19,1,200,131.9,25.9,7,14,95,,6.9,5,0.40399999999999997,23,0.522,12,52.5,31,0.6990000000000001,11.8,9,34,0.588,20,0.833,5,"December 1, 2018",50.0,16,2.9,1,131.9,74.1,20,0.551,68,0.47100000000000003,32,0.221,15,0.867,13,6,200,122.2,25.0,8,18,88,,9.7,7,0.5,34,0.324,11,47.5,28,0.586,8.6,7,34,0.618,21,0.25,2,"U.S. Bank Stadium, Minneapolis, Minnesota",NORTH-DAKOTA-STATE,North Dakota State,72.0,Away,DRAKE,Drake,North Dakota State,summit,7,False,True,True,Home,False,11,21,68,28,59,12,20,57,0,1,67,103,398,0.5113065326633166,177,412,0.42961165048543687,54,144,392,0.5739795918367347,0.2857142857142857
8,2018-12-03-20-iowa-state,47.8,11,4.3,2,109.5,78.1,25,0.42100000000000004,63,0.365,23,0.127,8,0.75,6,7,200,79.7,21.6,8,15,59,,4.1,3,0.444,28,0.25,7,47.8,33,0.442,18.4,15,35,0.457,16,0.222,2,"December 3, 2018",48.5,16,28.6,10,79.7,78.4,29,0.545,66,0.5,33,0.212,14,0.643,9,1,200,109.5,21.9,7,10,81,,10.8,8,0.28800000000000003,19,0.316,6,52.2,36,0.557,11.1,9,47,0.574,27,0.875,7,"James H. Hilton Coliseum , Ames, Iowa",NORTH-DAKOTA-STATE,North Dakota State,74.2,Home,IOWA-STATE,Iowa State,North Dakota State,summit,8,False,False,False,Away,False,7,16,63,33,69,6,27,66,0,1,78,124,466,0.5171673819742489,205,471,0.43524416135881105,66,164,449,0.5857461024498887,0.25
9,2018-12-08-20-north-dakota-state,59.3,16,4.8,1,110.4,79.3,23,0.484,64,0.42200000000000004,27,0.125,8,0.625,5,6,200,100.0,20.6,7,22,67,,9.0,6,0.469,30,0.267,8,47.6,30,0.494,10.6,8,34,0.5589999999999999,19,0.14300000000000002,1,"December 8, 2018",55.0,11,5.9,2,100.0,79.4,27,0.521,48,0.41700000000000004,20,0.563,27,0.889,24,7,200,110.4,20.7,6,10,74,,6.0,4,0.563,27,0.37,10,52.4,33,0.608,14.3,10,21,0.47600000000000003,10,0.3,3,"Scheels Center, Fargo, North Dakota",EASTERN-WASHINGTON,Eastern Washington,66.8,Home,NORTH-DAKOTA-STATE,North Dakota State,North Dakota State,summit,9,True,False,True,Home,True,10,10,48,33,63,8,19,64,1,0,85,140,529,0.505671077504726,238,540,0.44074074074074077,72,191,515,0.5805825242718446,0.2222222222222222
