,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTHERN-COLORADO_homegame,NORTHERN-COLORADO_homegame2,NORTHERN-COLORADO_home,NORTHERN-COLORADO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-21-northern-colorado,43.5,10,0.0,0,168.0,64.3,18,0.41700000000000004,60,0.38299999999999995,23,0.15,9,0.667,6,0,196,74.7,6.1,2,21,56,,4.0,3,0.25,15,0.267,4,32.8,20,0.436,12.3,9,45,0.42200000000000004,19,0.0,0,"November 9, 2018",70.0,28,4.4,2,74.7,93.9,31,0.757,68,0.588,40,0.382,26,0.885,23,0,196,168.0,35.7,10,15,126,,8.0,6,0.691,47,0.489,23,67.2,41,0.784,10.2,9,21,0.81,17,1.0,1,"Bank of Colorado Arena, Greeley, Colorado","Colorado College
			","Colorado College
			",76.8,Home,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,0,True,False,True,Home,True,23,17,68,41,61,4,19,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-21-northern-colorado,25.0,7,17.2,5,111.4,72.4,21,0.508,63,0.444,28,0.365,23,0.696,16,1,200,101.3,25.6,10,27,80,,10.1,8,0.28600000000000003,18,0.444,8,45.6,31,0.541,13.1,11,45,0.444,20,0.5,1,"November 13, 2018",36.0,9,13.3,6,101.3,74.4,29,0.534,59,0.424,25,0.542,32,0.7809999999999999,25,0,200,111.4,27.6,8,21,88,,2.5,2,0.508,30,0.433,13,54.4,37,0.593,18.9,17,29,0.414,12,1.0,2,"Bank of Colorado Arena, Greeley, Colorado",PEPPERDINE,Pepperdine,79.1,Home,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,1,True,False,True,Home,True,13,12,59,37,68,8,20,63,1,0,23,17,68,0.7573529411764706,41,61,0.6721311475409836,4,19,60,0.4166666666666667,1.0
2,2018-11-21-20-incarnate-word,53.3,16,5.3,2,87.7,87.5,28,0.667,54,0.556,30,0.37,20,0.9,18,0,200,123.3,35.0,7,17,90,,6.8,5,0.40700000000000003,22,0.545,12,67.3,35,0.7090000000000001,19.3,15,32,0.563,18,1.0,3,"November 21, 2018",37.5,9,3.1,1,123.3,65.0,13,0.447,57,0.42100000000000004,24,0.281,16,0.813,13,4,200,87.7,12.5,4,22,64,,6.8,5,0.33299999999999996,19,0.158,3,32.7,17,0.495,16.9,13,38,0.5529999999999999,21,0.5,4,"McDermott Center, San Antonio, Texas",INCARNATE-WORD,Incarnate Word,72.6,Away,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,2,False,False,False,Away,True,12,18,54,35,52,3,21,57,1,0,36,29,127,0.6535433070866141,78,129,0.6046511627906976,12,39,123,0.4634146341463415,1.0
3,2018-11-24-17-texas-tech,36.8,7,2.2,1,132.9,77.3,17,0.382,55,0.345,19,0.527,29,0.69,20,1,200,88.6,34.3,12,16,62,,1.4,1,0.436,24,0.16699999999999998,4,50.9,29,0.451,18.1,15,31,0.484,15,0.75,3,"November 24, 2018",56.8,21,19.4,6,88.6,65.7,23,0.6890000000000001,61,0.607,37,0.19699999999999998,12,0.75,9,0,200,132.9,22.7,5,22,93,,14.3,10,0.262,16,0.625,10,49.1,28,0.6970000000000001,8.3,6,45,0.6,27,1.0,6,"United Supermarkets Arena, Lubbock, Texas",NORTHERN-COLORADO,Northern Colorado,69.7,Home,TEXAS-TECH,Texas Tech,Northern Colorado,big-sky,3,False,False,False,Away,False,4,15,55,29,57,10,27,61,0,1,48,47,181,0.6574585635359116,113,181,0.6243093922651933,15,60,180,0.4583333333333333,1.0
4,2018-11-28-21-denver,45.5,15,5.8,3,97.3,71.9,23,0.617,64,0.516,33,0.203,13,0.6920000000000001,9,1,200,118.9,33.3,9,12,88,,4.1,3,0.42200000000000004,27,0.48100000000000004,13,54.2,32,0.627,14.7,12,37,0.541,20,0.8,4,"November 28, 2018",45.2,14,13.5,5,118.9,66.7,18,0.515,66,0.47,31,0.076,5,0.8,4,5,200,97.3,28.1,9,18,72,,12.2,9,0.212,14,0.429,6,45.8,27,0.527,18.0,15,52,0.48100000000000004,25,0.28600000000000003,2,"Magness Arena, Denver, Colorado",DENVER,Denver,73.8,Away,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,4,False,False,False,Away,True,13,20,64,32,59,6,25,66,1,0,52,62,236,0.5932203389830508,142,238,0.5966386554621849,25,87,241,0.516597510373444,0.75
5,2018-12-01-18-wyoming,55.6,15,14.3,6,102.6,91.4,32,0.544,57,0.474,27,0.474,27,0.852,23,1,200,109.0,18.2,6,20,85,,7.7,6,0.40399999999999997,23,0.348,8,55.9,38,0.609,15.9,13,34,0.5589999999999999,19,0.833,5,"December 1, 2018",42.9,12,14.7,5,109.0,81.8,27,0.516,64,0.43799999999999994,28,0.25,16,0.875,14,6,200,102.6,8.6,3,20,80,,7.7,6,0.344,22,0.455,10,44.1,30,0.5589999999999999,13.4,11,42,0.429,18,0.25,2,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,78.2,Away,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,5,False,False,False,Away,True,8,19,57,38,68,10,18,64,1,0,65,82,300,0.5983333333333334,174,297,0.5858585858585859,31,112,307,0.5162866449511401,0.8
6,2018-12-11-21-northern-colorado,20.0,4,4.8,2,163.9,40.7,11,0.40700000000000003,59,0.33899999999999997,20,0.136,8,0.5,4,0,200,72.2,10.3,4,15,52,,4.2,3,0.322,19,0.42100000000000004,8,22.7,15,0.414,17.2,13,40,0.3,12,0.0,0,"December 11, 2018",26.1,12,10.0,4,72.2,89.7,35,0.73,74,0.622,46,0.23,17,0.588,10,1,200,163.9,59.3,16,13,118,,11.1,8,0.43200000000000005,32,0.5,16,77.3,51,0.7190000000000001,6.9,6,42,0.7140000000000001,30,0.857,6,"Bank of Colorado Arena, Greeley, Colorado","Johnson &amp; Wales
			","Johnson &amp; Wales
			",71.9,Home,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,6,True,False,True,Home,True,16,30,74,51,66,8,12,59,1,0,73,101,357,0.5896358543417367,212,365,0.5808219178082191,41,130,371,0.5161725067385444,0.8333333333333334
7,2018-12-15-22-san-diego,36.0,9,6.8,3,116.4,84.0,21,0.48200000000000004,57,0.439,25,0.281,16,0.625,10,2,200,89.0,13.9,5,16,65,,8.2,6,0.281,16,0.313,5,42.6,26,0.503,16.9,13,41,0.488,20,0.75,6,"December 15, 2018",54.5,18,0.0,0,89.0,86.1,31,0.638,58,0.569,33,0.22399999999999998,13,0.846,11,3,200,116.4,16.0,4,20,85,,11.0,8,0.24100000000000002,14,0.5710000000000001,8,57.4,35,0.662,18.0,14,44,0.568,25,0.75,9,"Jenny Craig Pavillion, San Diego, California",NORTHERN-COLORADO,Northern Colorado,73.4,Home,SAN-DIEGO,San Diego,Northern Colorado,big-sky,7,False,False,False,Away,False,5,20,57,26,61,8,25,58,0,1,89,131,431,0.6136890951276102,263,431,0.6102088167053364,49,142,430,0.5011627906976744,0.8571428571428571
8,2018-12-17-21-new-mexico-state,28.6,6,8.1,3,105.7,56.7,17,0.41200000000000003,57,0.368,21,0.35100000000000003,20,0.75,15,3,200,88.6,32.4,11,19,62,,5.7,4,0.386,22,0.22699999999999998,5,43.8,28,0.466,16.5,13,35,0.457,16,0.667,6,"December 17, 2018",41.4,12,5.7,2,88.6,67.6,23,0.5529999999999999,57,0.509,29,0.298,17,0.647,11,2,200,105.7,43.3,13,19,74,,7.1,5,0.35100000000000003,20,0.25,5,56.3,36,0.569,22.8,19,37,0.649,24,0.8,8,"Pan American Center, Las Cruces, New Mexico",NORTHERN-COLORADO,Northern Colorado,69.8,Home,NEW-MEXICO-STATE,New Mexico State,Northern Colorado,big-sky,8,False,False,False,Away,False,5,16,57,28,64,5,24,57,0,1,94,151,488,0.5983606557377049,289,492,0.5873983739837398,57,167,488,0.5174180327868853,0.75
9,2018-12-22-16-rider,57.7,15,2.9,1,101.4,76.5,26,0.525,59,0.441,26,0.11900000000000001,7,0.7140000000000001,5,4,200,91.8,34.4,11,17,67,,6.8,5,0.475,28,0.35700000000000004,10,56.1,37,0.5379999999999999,26.2,22,31,0.516,16,0.6,6,"December 22, 2018",38.5,10,19.4,6,91.8,65.6,21,0.545,55,0.473,26,0.436,24,0.583,14,5,200,101.4,23.5,8,13,74,,21.9,16,0.382,21,0.381,8,43.9,29,0.557,17.6,14,34,0.529,18,0.5,5,"Orleans Arena, Paradise, Nevada",NORTHERN-COLORADO,Northern Colorado,72.9,Home,RIDER,Rider,Northern Colorado,big-sky,9,False,False,False,Away,False,10,16,59,37,66,8,18,55,0,1,99,167,545,0.5788990825688073,317,556,0.5701438848920863,62,191,545,0.5211009174311927,0.6666666666666666
