,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGE-MASON_homegame,GEORGE-MASON_homegame2,GEORGE-MASON_home,GEORGE-MASON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-07-19-george-mason,50.0,9,9.1,4,93.0,75.7,28,0.39299999999999996,56,0.321,18,0.321,18,0.5,9,5,200,74.6,25.6,10,20,53,,8.5,6,0.375,21,0.381,8,50.0,38,0.41100000000000003,20.0,16,35,0.28600000000000003,10,0.583,7,"December 7, 2018",34.8,8,11.4,4,74.6,74.4,29,0.408,60,0.38299999999999995,23,0.4,24,0.708,17,6,200,93.0,24.3,9,18,66,,15.5,11,0.267,16,0.188,3,50.0,38,0.462,12.4,10,44,0.455,20,0.455,5,"EagleBank Arena, Fairfax, Virginia",JAMES-MADISON,James Madison,71.5,Home,GEORGE-MASON,George Mason,George Mason,atlantic-10,10,True,False,True,Home,True,3,20,60,38,76,8,10,56,1,0,62,201,556,0.5287769784172662,280,573,0.4886561954624782,56,213,564,0.526595744680851,0.4
11,2018-12-21-19-george-mason,50.0,10,0.0,0,118.3,80.8,21,0.408,60,0.33299999999999996,20,0.317,19,0.737,14,7,200,88.7,17.1,7,14,63,,9.9,7,0.41700000000000004,25,0.36,9,41.8,28,0.456,12.8,10,35,0.314,11,0.3,3,"December 21, 2018",62.1,18,11.4,4,88.7,82.9,34,0.616,56,0.518,29,0.35700000000000004,20,0.75,15,6,200,118.3,19.2,5,15,84,,11.3,8,0.446,25,0.44,11,58.2,39,0.6409999999999999,13.4,10,31,0.581,18,0.5,6,"EagleBank Arena, Fairfax, Virginia",NAVY,Navy,71.3,Home,GEORGE-MASON,George Mason,George Mason,atlantic-10,11,True,False,True,Home,True,11,18,56,39,67,9,11,60,1,0,65,221,616,0.5170454545454546,318,649,0.4899845916795069,64,223,620,0.5145161290322581,0.45454545454545453
12,2018-12-29-20-kansas-state,39.1,9,10.0,3,96.7,78.8,26,0.46399999999999997,56,0.41100000000000003,23,0.196,11,0.545,6,7,200,95.1,14.3,5,14,58,,9.8,6,0.33899999999999997,19,0.316,6,45.6,31,0.474,7.6,5,37,0.45899999999999996,17,0.462,6,"December 29, 2018",68.2,15,5.4,2,95.1,85.7,30,0.51,52,0.423,22,0.25,13,0.462,6,2,200,96.7,21.2,7,11,59,,4.9,3,0.423,22,0.409,9,54.4,37,0.507,14.8,10,30,0.433,13,0.833,10,"Bramlage Coliseum, Manhattan, Kansas",GEORGE-MASON,George Mason,61.2,Home,KANSAS-STATE,Kansas State,George Mason,atlantic-10,12,False,False,False,Away,False,6,17,56,31,68,9,13,52,0,1,76,239,672,0.5252976190476191,357,716,0.49860335195530725,73,234,680,0.5051470588235294,0.5
13,2019-01-03-19-saint-josephs,59.4,19,18.2,4,84.5,80.6,25,0.534,74,0.43200000000000005,32,0.10800000000000001,8,0.75,6,7,200,119.7,34.2,13,15,85,,9.9,7,0.37799999999999995,28,0.536,15,55.1,38,0.546,8.3,7,46,0.37,17,0.5,7,"January 3, 2019",50.0,9,19.6,9,119.7,65.8,25,0.413,52,0.34600000000000003,18,0.423,22,0.773,17,6,200,84.5,19.4,6,12,60,,2.8,2,0.5770000000000001,30,0.233,7,44.9,31,0.48,17.4,13,22,0.5,11,0.5379999999999999,7,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,70.6,Away,GEORGE-MASON,George Mason,George Mason,atlantic-10,13,False,False,False,Away,True,15,17,74,38,69,7,11,52,1,0,82,256,728,0.5206043956043956,388,784,0.49489795918367346,82,247,732,0.505464480874317,0.46153846153846156
14,2019-01-06-16-george-mason,52.2,12,6.5,2,107.9,56.0,14,0.43200000000000005,59,0.39,23,0.051,3,0.667,2,10,200,84.1,19.4,7,17,53,,11.1,7,0.33899999999999997,20,0.25,5,34.4,21,0.439,14.2,10,39,0.462,18,0.28600000000000003,4,"January 6, 2019",43.5,10,2.6,1,84.1,80.6,29,0.51,52,0.442,23,0.385,20,0.75,15,7,200,107.9,44.0,11,10,68,,9.5,6,0.40399999999999997,21,0.33299999999999996,7,65.6,40,0.5529999999999999,17.6,13,31,0.516,16,0.5329999999999999,8,"EagleBank Arena, Fairfax, Virginia",ST-BONAVENTURE,St. Bonaventure,63.5,Home,GEORGE-MASON,George Mason,George Mason,atlantic-10,14,True,False,True,Home,True,7,16,52,40,61,5,18,59,1,0,97,273,802,0.5218204488778054,426,853,0.49941383352872215,89,258,784,0.49936224489795916,0.5
15,2019-01-09-19-george-mason,50.0,11,3.3,1,81.2,75.0,27,0.4,60,0.36700000000000005,22,0.3,18,0.722,13,4,200,88.4,20.0,8,20,61,,14.5,10,0.483,29,0.138,4,46.1,35,0.445,11.7,9,31,0.581,18,0.733,11,"January 9, 2019",56.3,9,12.9,4,88.4,80.0,32,0.34,50,0.32,16,0.54,27,0.815,22,8,200,81.2,25.0,9,19,56,,7.2,5,0.4,20,0.1,2,53.9,41,0.446,19.5,15,30,0.467,14,0.5,8,"EagleBank Arena, Fairfax, Virginia",GEORGE-MASON,George Mason,69.2,Away,DAVIDSON,Davidson,George Mason,atlantic-10,15,False,True,True,Home,False,2,14,50,41,76,4,18,60,0,1,104,289,854,0.5210772833723654,466,914,0.5098468271334792,94,276,843,0.49466192170818507,0.5333333333333333
16,2019-01-13-17-rhode-island,40.0,12,5.0,2,94.4,61.5,24,0.578,58,0.517,30,0.31,18,0.9440000000000001,17,8,200,118.3,30.4,7,16,84,,5.6,4,0.293,17,0.41200000000000003,7,50.0,31,0.631,17.5,14,41,0.561,23,0.529,9,"January 13, 2019",48.1,13,14.6,6,118.3,69.6,16,0.43799999999999994,65,0.415,27,0.262,17,0.588,10,7,200,94.4,38.5,15,17,67,,9.9,7,0.385,25,0.12,3,50.0,31,0.45799999999999996,13.2,11,40,0.6,24,0.5329999999999999,8,"Ryan Center, Kingston, Rhode Island",RHODE-ISLAND,Rhode Island,71.3,Away,GEORGE-MASON,George Mason,George Mason,atlantic-10,16,False,False,False,Away,True,7,23,58,31,62,3,24,65,1,0,106,303,904,0.5110619469026548,507,990,0.5121212121212121,98,294,903,0.4883720930232558,0.5
17,2019-01-16-19-massachusetts,59.1,13,2.9,1,92.6,63.4,26,0.47100000000000003,51,0.431,22,0.431,22,0.909,20,8,200,100.0,17.2,5,16,68,,8.8,6,0.353,18,0.222,4,44.3,31,0.5529999999999999,14.1,10,33,0.545,18,0.556,10,"January 16, 2019",66.7,16,15.2,5,100.0,82.8,24,0.43200000000000005,66,0.364,24,0.212,14,0.429,6,10,200,92.6,36.6,15,19,63,,5.9,4,0.485,32,0.281,9,55.7,39,0.434,14.3,12,34,0.441,15,0.41200000000000003,7,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS,UMass,68.1,Away,GEORGE-MASON,George Mason,George Mason,atlantic-10,17,False,False,False,Away,True,4,18,51,31,70,9,15,66,1,0,113,326,962,0.5150727650727651,538,1052,0.5114068441064639,101,318,968,0.4850206611570248,0.5294117647058824
18,2019-01-19-19-george-mason,20.8,5,8.3,2,100.0,92.9,26,0.527,55,0.436,24,0.273,15,0.667,10,9,200,95.8,9.4,3,15,68,,8.5,6,0.473,26,0.385,10,48.3,29,0.547,17.4,13,29,0.483,14,0.5,9,"January 19, 2019",66.7,16,6.9,2,95.8,90.6,29,0.5589999999999999,51,0.47100000000000003,24,0.353,18,0.778,14,8,200,100.0,7.1,2,12,71,,11.3,8,0.529,27,0.33299999999999996,9,51.7,31,0.596,16.9,12,24,0.625,15,0.579,11,"EagleBank Arena, Fairfax, Virginia",FORDHAM,Fordham,70.8,Home,GEORGE-MASON,George Mason,George Mason,atlantic-10,18,True,False,True,Home,True,9,15,51,31,60,10,14,55,1,0,117,344,1013,0.5128331688055281,569,1122,0.5071301247771836,110,333,1034,0.4816247582205029,0.5555555555555556
19,2019-01-23-19-dayton,45.8,11,0.0,0,98.4,72.4,21,0.509,53,0.45299999999999996,24,0.302,16,0.813,13,8,200,104.7,20.0,6,12,67,,10.9,7,0.377,20,0.3,6,45.8,27,0.5529999999999999,11.8,8,33,0.545,18,0.6,12,"January 23, 2019",76.0,19,12.1,4,104.7,80.0,24,0.537,54,0.46299999999999997,25,0.16699999999999998,9,0.556,5,7,200,98.4,27.6,8,11,63,,4.7,3,0.5,27,0.29600000000000004,8,54.2,32,0.541,20.6,15,27,0.63,17,0.632,12,"University of Dayton Arena, Dayton, Ohio",DAYTON,Dayton,63.9,Away,GEORGE-MASON,George Mason,George Mason,atlantic-10,19,False,False,False,Away,True,6,18,53,27,59,8,17,54,1,0,126,359,1064,0.5150375939849624,600,1182,0.5076142131979695,120,347,1089,0.4839302112029385,0.5789473684210527
20,2019-01-26-19-george-mason,42.9,9,13.2,5,87.3,83.8,31,0.42100000000000004,57,0.368,21,0.193,11,0.636,7,14,200,77.5,21.2,7,19,55,,5.6,4,0.491,28,0.214,6,54.3,38,0.442,22.5,18,29,0.517,15,0.3,6,"January 26, 2019",56.5,13,10.3,3,77.5,78.8,26,0.46399999999999997,55,0.418,23,0.473,26,0.423,11,8,200,87.3,16.2,6,13,62,,8.5,6,0.309,17,0.294,5,45.7,32,0.46,9.5,7,38,0.474,18,0.619,13,"EagleBank Arena, Fairfax, Virginia",GEORGE-WASHINGTON,George Washington,70.8,Home,GEORGE-MASON,George Mason,George Mason,atlantic-10,20,True,False,True,Home,True,5,18,55,32,70,6,15,57,1,0,132,377,1117,0.5147717099373321,627,1241,0.5052377115229654,128,364,1143,0.4864391951006124,0.6
21,2019-02-02-18-virginia-commonwealth,40.0,10,0.0,0,106.8,90.6,29,0.44799999999999995,58,0.431,25,0.32799999999999996,19,0.579,11,9,200,85.1,17.6,6,23,63,,10.8,8,0.32799999999999996,19,0.105,2,53.0,35,0.47,17.4,14,39,0.59,23,0.591,13,"February 2, 2019",80.8,21,15.4,6,85.1,82.4,28,0.573,55,0.473,26,0.418,23,0.696,16,6,200,106.8,9.4,3,18,79,,9.5,7,0.5820000000000001,32,0.344,11,47.0,31,0.599,14.5,11,23,0.652,15,0.7140000000000001,15,"Stuart Siegel Center, Richmond, Virginia",GEORGE-MASON,George Mason,74.5,Home,VIRGINIA-COMMONWEALTH,VCU,George Mason,atlantic-10,21,False,False,False,Away,False,2,23,58,35,66,11,15,55,0,1,137,395,1172,0.5123720136518771,659,1311,0.5026697177726926,134,379,1200,0.48333333333333334,0.6190476190476191
22,2019-02-06-19-richmond,39.3,11,12.5,4,117.4,81.5,22,0.536,56,0.5,28,0.179,10,0.7,7,10,200,97.1,29.6,8,17,67,,7.2,5,0.268,15,0.267,4,55.6,30,0.551,23.9,19,41,0.585,24,0.565,13,"February 6, 2019",60.0,18,4.9,2,97.1,70.4,19,0.66,53,0.5660000000000001,30,0.321,17,0.647,11,14,200,117.4,18.5,5,12,81,,20.3,14,0.396,21,0.47600000000000003,10,44.4,24,0.6629999999999999,15.4,11,32,0.625,20,0.391,9,"Robins Center, Richmond, Virginia",GEORGE-MASON,George Mason,69.4,Home,RICHMOND,Richmond,George Mason,atlantic-10,22,False,False,False,Away,False,4,24,56,30,54,10,20,53,0,1,139,418,1230,0.509349593495935,694,1377,0.5039941902687001,145,394,1255,0.48725099601593624,0.5909090909090909
23,2019-02-10-14-george-mason,46.4,13,4.3,2,118.3,69.0,20,0.588,57,0.491,28,0.193,11,0.818,9,15,200,107.0,10.3,3,20,76,,11.3,8,0.474,27,0.40700000000000003,11,39.7,23,0.611,15.1,11,30,0.5670000000000001,17,0.318,7,"February 10, 2019",34.5,10,6.7,2,107.0,89.7,26,0.5529999999999999,57,0.509,29,0.42100000000000004,24,0.875,21,10,200,118.3,31.0,9,10,84,,9.9,7,0.175,10,0.5,5,60.3,35,0.614,16.1,13,47,0.511,24,0.583,14,"EagleBank Arena, Fairfax, Virginia",LA-SALLE,La Salle,71.3,Home,GEORGE-MASON,George Mason,George Mason,atlantic-10,23,True,False,True,Home,True,5,24,57,35,58,11,17,57,1,0,143,442,1286,0.51049766718507,724,1431,0.5059399021663172,155,414,1308,0.49426605504587157,0.5652173913043478
24,2019-02-13-19-george-mason,64.3,18,4.3,2,111.1,70.6,24,0.569,58,0.483,28,0.276,16,0.563,9,16,225,104.2,38.7,12,27,75,,12.5,9,0.379,22,0.455,10,55.4,36,0.5720000000000001,20.7,17,36,0.5,18,0.36,9,"February 13, 2019",40.0,10,13.9,5,104.2,61.3,19,0.48200000000000004,55,0.455,25,0.655,36,0.75,27,10,225,111.1,29.4,10,14,80,,8.3,6,0.145,8,0.375,3,44.6,29,0.555,13.4,11,47,0.46799999999999997,22,0.6,15,"EagleBank Arena, Fairfax, Virginia",MASSACHUSETTS,UMass,63.9,Home,GEORGE-MASON,George Mason,George Mason,atlantic-10,24,True,False,True,Home,True,3,22,55,29,65,10,18,58,1,0,148,466,1343,0.5122859270290394,759,1489,0.5097380792478173,166,431,1365,0.4981684981684982,0.5833333333333334
25,2019-02-17-14-st-bonaventure,40.0,8,2.8,1,121.5,83.3,20,0.462,52,0.385,20,0.26899999999999996,14,0.5710000000000001,8,11,200,86.2,16.1,5,15,56,,4.6,3,0.48100000000000004,25,0.32,8,45.5,25,0.47700000000000004,18.3,13,27,0.444,12,0.5770000000000001,15,"February 17, 2019",58.1,18,25.9,7,86.2,83.9,26,0.664,55,0.564,31,0.182,10,0.6,6,14,200,121.5,16.7,4,13,79,,10.8,7,0.345,19,0.579,11,54.5,30,0.6609999999999999,11.9,8,36,0.556,20,0.44,11,"Reilly Center, St. Bonaventure, New York",GEORGE-MASON,George Mason,65.2,Home,ST-BONAVENTURE,St. Bonaventure,George Mason,atlantic-10,25,False,False,False,Away,False,8,12,52,25,55,11,20,55,0,1,151,488,1398,0.5110872675250357,788,1554,0.5070785070785071,176,449,1423,0.5010541110330288,0.6
26,2019-02-23-16-george-mason,33.3,9,6.8,3,118.2,47.1,16,0.5329999999999999,60,0.45,27,0.28300000000000003,17,0.882,15,9,200,119.7,51.5,17,16,79,,15.2,10,0.517,31,0.32299999999999995,10,49.3,33,0.58,17.2,14,29,0.586,17,0.667,18,"February 23, 2019",50.0,16,3.4,1,119.7,48.5,16,0.546,65,0.49200000000000005,32,0.2,13,0.5379999999999999,7,12,200,118.2,52.9,18,16,78,,15.2,10,0.32299999999999995,21,0.33299999999999996,7,50.7,34,0.5479999999999999,15.5,13,44,0.568,25,0.556,15,"EagleBank Arena, Fairfax, Virginia",GEORGE-MASON,George Mason,65.6,Away,DUQUESNE,Duquesne,George Mason,atlantic-10,26,False,True,True,Home,False,7,25,65,34,67,10,17,60,0,1,159,500,1450,0.5093103448275862,813,1609,0.5052827843380981,187,469,1478,0.5071041948579161,0.5769230769230769
