,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,RICHMOND_homegame,RICHMOND_homegame2,RICHMOND_home,RICHMOND_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-richmond,41.7,10,11.8,4,77.3,85.0,34,0.529,52,0.462,24,0.25,13,0.615,8,0,201,84.0,15.4,4,18,63,,9.3,7,0.48100000000000004,25,0.28,7,57.6,38,0.541,25.7,20,27,0.63,17,1.0,2,"November 9, 2018",39.1,9,11.1,3,84.0,84.6,22,0.433,60,0.38299999999999995,23,0.267,16,0.375,6,1,201,77.3,15.0,6,13,58,,13.3,10,0.433,26,0.231,6,42.4,28,0.429,17.3,14,34,0.5,17,0.0,0,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,74.5,Away,LONGWOOD,Longwood,Richmond,atlantic-10,0,False,True,True,Home,False,6,17,60,28,66,7,17,52,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-14-11-richmond,32.0,8,2.5,1,133.3,80.0,20,0.461,64,0.391,25,0.125,8,0.875,7,2,200,100.0,31.6,12,13,66,,6.1,4,0.45299999999999996,29,0.31,9,50.8,32,0.48700000000000004,12.9,10,35,0.457,16,0.33299999999999996,1,"November 14, 2018",47.2,17,2.9,1,100.0,68.4,26,0.6809999999999999,58,0.621,36,0.22399999999999998,13,0.6920000000000001,9,1,200,133.3,20.0,5,11,88,,13.6,9,0.31,18,0.389,7,49.2,31,0.6859999999999999,11.2,8,40,0.725,29,0.5,1,"Robins Center, Richmond, Virginia",ST-FRANCIS-NY,St. Francis (NY),66.5,Home,RICHMOND,Richmond,Richmond,atlantic-10,1,True,False,True,Home,True,7,29,58,31,63,9,16,64,1,0,6,17,60,0.43333333333333335,28,66,0.42424242424242425,7,17,52,0.5288461538461539,0.0
2,2018-11-16-19-richmond,46.4,13,12.1,4,109.9,92.0,23,0.583,54,0.519,28,0.259,14,0.5,7,2,200,98.6,25.0,7,19,70,,11.3,8,0.37,20,0.35,7,56.6,30,0.5770000000000001,18.9,14,34,0.618,21,0.5,2,"November 16, 2018",46.2,12,14.7,5,98.6,75.0,21,0.58,50,0.52,26,0.58,29,0.69,20,1,200,109.9,8.0,2,13,78,,15.5,11,0.34,17,0.353,6,43.4,23,0.612,16.1,12,33,0.606,20,0.667,2,"Robins Center, Richmond, Virginia",IUPUI,IUPUI,70.7,Home,RICHMOND,Richmond,Richmond,atlantic-10,2,True,False,True,Home,True,6,20,50,23,53,7,21,54,1,0,13,46,118,0.5550847457627118,59,129,0.4573643410852713,16,33,116,0.49137931034482757,0.5
3,2018-11-19-18-richmond,32.3,10,0.0,0,95.7,95.8,23,0.7,50,0.62,31,0.5,25,0.48,12,1,200,118.8,36.0,9,18,82,,10.1,7,0.38,19,0.42100000000000004,8,65.3,32,0.6629999999999999,21.8,17,31,0.742,23,0.8,4,"November 19, 2018",44.0,11,3.2,1,118.8,64.0,16,0.604,48,0.521,25,0.25,12,0.667,8,2,200,95.7,4.2,1,19,66,,11.6,8,0.45799999999999996,22,0.364,8,34.7,17,0.615,22.0,15,26,0.654,17,0.5,2,"Suncoast Credit Union Arena, Fort Myers, Florida",RICHMOND,Richmond,68.8,Away,LOYOLA-IL,Loyola (IL),Richmond,atlantic-10,3,False,True,True,Home,False,8,17,48,17,49,8,23,50,0,1,19,66,168,0.5625,82,182,0.45054945054945056,23,54,170,0.5205882352941177,0.6666666666666666
4,2018-11-21-17-wyoming,77.8,21,10.8,4,103.0,90.3,28,0.534,58,0.466,27,0.086,5,0.8,4,3,200,100.0,7.4,2,14,66,,4.5,3,0.379,22,0.364,8,51.7,30,0.547,10.4,7,36,0.528,19,0.4,2,"November 21, 2018",36.0,9,8.3,3,100.0,92.6,25,0.518,55,0.455,25,0.309,17,0.647,11,4,200,103.0,9.7,3,8,68,,6.1,4,0.327,18,0.389,7,48.3,28,0.539,8.8,6,37,0.486,18,0.33299999999999996,2,"Suncoast Credit Union Arena, Fort Myers, Florida",RICHMOND,Richmond,65.7,Home,WYOMING,Wyoming,Richmond,atlantic-10,4,False,False,False,Away,False,8,19,58,30,58,7,18,55,0,1,27,83,216,0.5717592592592593,99,231,0.42857142857142855,31,77,220,0.5613636363636364,0.5
5,2018-11-25-18-richmond,27.6,8,0.0,0,101.5,64.7,22,0.607,56,0.518,29,0.35700000000000004,20,0.9,18,4,200,132.3,37.5,9,18,86,,12.3,8,0.41100000000000003,23,0.435,10,53.4,31,0.6559999999999999,13.4,10,33,0.5760000000000001,19,0.33299999999999996,2,"November 25, 2018",50.0,12,3.0,1,132.3,62.5,15,0.48100000000000004,53,0.45299999999999996,24,0.491,26,0.5770000000000001,15,4,200,101.5,35.3,12,14,66,,13.8,9,0.396,21,0.14300000000000002,3,46.6,27,0.505,13.4,10,32,0.6559999999999999,21,0.33299999999999996,2,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,64.9,Away,HAMPTON,Hampton,Richmond,atlantic-10,5,False,True,True,Home,False,3,21,53,27,58,10,19,56,0,1,35,102,274,0.5638686131386861,129,289,0.4463667820069204,38,95,275,0.5527272727272727,0.4
6,2018-11-28-19-georgetown,65.6,21,13.0,6,121.6,75.8,25,0.633,60,0.5329999999999999,32,0.15,9,0.667,6,5,200,110.8,11.5,3,17,82,,5.4,4,0.433,26,0.462,12,47.5,28,0.638,13.5,10,34,0.588,20,0.28600000000000003,2,"November 28, 2018",75.0,24,5.9,2,110.8,88.5,23,0.563,64,0.5,32,0.391,25,0.72,18,1,200,121.6,24.2,8,14,90,,6.8,5,0.281,18,0.444,8,52.5,31,0.593,9.6,8,46,0.522,24,0.857,6,"Capital One Arena, Washington, District of Columbia",RICHMOND,Richmond,73.6,Home,GEORGETOWN,Georgetown,Richmond,atlantic-10,6,False,False,False,Away,False,12,20,60,28,59,8,24,64,0,1,38,123,327,0.5504587155963303,156,347,0.4495677233429395,48,114,331,0.5619335347432024,0.3333333333333333
7,2018-12-01-19-richmond,42.3,11,5.9,2,123.5,95.8,23,0.545,55,0.473,26,0.345,19,0.737,14,3,200,108.8,38.5,10,20,74,,1.5,1,0.4,22,0.364,8,66.0,33,0.578,18.1,14,33,0.545,18,0.5710000000000001,4,"December 1, 2018",70.0,21,3.0,1,108.8,61.5,16,0.589,56,0.536,30,0.375,21,0.857,18,5,200,123.5,4.2,1,17,84,,13.2,9,0.39299999999999996,22,0.273,6,34.0,17,0.637,3.0,2,34,0.706,24,0.375,3,"Robins Center, Richmond, Virginia",WAKE-FOREST,Wake Forest,67.5,Home,RICHMOND,Richmond,Richmond,atlantic-10,7,True,False,True,Home,True,6,24,56,17,50,8,18,55,1,0,50,143,387,0.5633074935400517,184,406,0.45320197044334976,56,138,395,0.5620253164556962,0.2857142857142857
8,2018-12-05-19-richmond,44.4,8,9.4,3,120.6,75.0,24,0.358,53,0.34,18,0.28300000000000003,15,0.6,9,10,200,69.1,23.7,9,15,47,,11.8,8,0.302,16,0.125,2,47.1,33,0.391,20.1,15,37,0.43200000000000005,16,0.0,0,"December 5, 2018",63.3,19,8.1,3,69.1,76.3,29,0.608,60,0.5,30,0.233,14,0.643,9,5,200,120.6,25.0,8,16,82,,14.7,10,0.467,28,0.46399999999999997,13,52.9,37,0.615,14.3,11,32,0.531,17,0.444,4,"Robins Center, Richmond, Virginia",COPPIN-STATE,Coppin State,67.9,Home,RICHMOND,Richmond,Richmond,atlantic-10,8,True,False,True,Home,True,13,17,60,37,70,2,16,53,1,0,56,167,443,0.5665914221218962,201,456,0.4407894736842105,64,156,450,0.56,0.375
9,2018-12-15-16-richmond,44.0,11,8.1,3,77.6,70.2,33,0.583,48,0.521,25,0.16699999999999998,8,0.375,3,9,200,88.1,20.8,5,18,59,,7.5,5,0.396,19,0.316,6,53.5,38,0.569,26.9,19,29,0.655,19,0.308,4,"December 15, 2018",55.0,11,3.4,1,88.1,79.2,19,0.32799999999999996,67,0.299,20,0.209,14,0.5710000000000001,8,6,200,77.6,29.8,14,10,52,,20.9,14,0.44799999999999995,30,0.133,4,46.5,33,0.353,11.0,9,37,0.43200000000000005,16,0.4,4,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,67.2,Away,ORAL-ROBERTS,Oral Roberts,Richmond,atlantic-10,9,False,True,True,Home,False,4,16,67,33,71,6,19,48,0,1,69,184,503,0.5715705765407555,238,526,0.4524714828897338,66,172,503,0.5387673956262425,0.4444444444444444
10,2018-12-19-19-richmond,47.8,11,21.9,7,88.5,76.5,26,0.48200000000000004,56,0.41100000000000003,23,0.23199999999999998,13,0.6920000000000001,9,3,200,103.3,27.6,8,8,63,,8.2,5,0.375,21,0.381,8,54.0,34,0.507,10.2,7,35,0.429,15,0.75,9,"December 19, 2018",65.0,13,5.7,2,103.3,72.4,21,0.435,54,0.37,20,0.16699999999999998,9,0.778,7,7,200,88.5,23.5,8,14,54,,6.6,4,0.40700000000000003,22,0.318,7,46.0,29,0.46299999999999997,16.0,11,32,0.406,13,0.364,4,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,61.2,Away,OLD-DOMINION,Old Dominion,Richmond,atlantic-10,10,False,True,True,Home,False,7,13,54,29,63,8,15,56,0,1,73,200,570,0.5429824561403509,271,597,0.4539363484087102,72,191,551,0.542649727767695,0.4
11,2018-12-22-14-richmond,54.5,12,4.8,1,112.1,90.9,20,0.47,50,0.44,22,0.46,23,0.522,12,6,200,89.4,25.0,8,20,59,,10.6,7,0.32,16,0.188,3,51.9,28,0.484,18.9,14,34,0.5589999999999999,19,0.5,6,"December 22, 2018",76.2,16,17.6,6,89.4,75.0,24,0.595,42,0.5,21,0.667,28,0.857,24,7,200,112.1,9.1,2,21,74,,12.1,8,0.5,21,0.381,8,48.1,26,0.669,18.1,12,21,0.619,13,0.41700000000000004,5,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",HIGH-POINT,High Point,66.1,Home,RICHMOND,Richmond,Richmond,atlantic-10,11,True,False,True,Home,True,8,13,42,26,54,3,19,50,1,0,80,213,624,0.5336538461538461,300,660,0.45454545454545453,80,206,607,0.5370675453047776,0.36363636363636365
12,2018-12-29-16-south-alabama,66.7,20,10.3,4,118.8,72.4,21,0.623,57,0.526,30,0.40399999999999997,23,0.87,20,7,200,131.9,38.5,10,17,91,,7.2,5,0.439,25,0.44,11,56.4,31,0.67,13.0,10,32,0.594,19,0.462,6,"December 29, 2018",45.5,15,6.3,2,131.9,61.5,16,0.625,60,0.55,33,0.233,14,0.5,7,6,200,118.8,27.6,8,18,82,,5.8,4,0.35,21,0.429,9,43.6,24,0.615,14.3,11,39,0.615,24,0.5379999999999999,7,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,68.8,Away,RICHMOND,Richmond,Richmond,atlantic-10,12,False,False,False,Away,True,11,19,57,31,55,9,24,60,1,0,88,226,666,0.5375375375375375,326,714,0.4565826330532213,83,225,657,0.5319634703196348,0.4166666666666667
13,2019-01-06-12-dayton,88.9,16,2.6,1,110.8,66.7,18,0.385,61,0.295,18,0.115,7,0.14300000000000002,1,8,200,73.8,22.7,10,17,48,,7.7,5,0.623,38,0.289,11,39.4,28,0.373,14.7,11,23,0.304,7,0.429,6,"January 6, 2019",51.6,16,13.0,3,73.8,77.3,34,0.56,58,0.534,31,0.19,11,0.636,7,5,200,110.8,33.3,9,8,72,,9.2,6,0.345,20,0.15,3,60.6,43,0.569,13.7,10,38,0.737,28,0.643,9,"University of Dayton Arena, Dayton, Ohio",RICHMOND,Richmond,64.8,Home,DAYTON,Dayton,Richmond,atlantic-10,13,False,False,False,Away,False,11,7,61,28,71,3,28,58,0,1,99,245,723,0.5442600276625172,357,769,0.46423927178153446,92,249,717,0.5397489539748954,0.46153846153846156
14,2019-01-09-19-richmond,53.8,14,3.0,1,98.5,86.1,31,0.667,45,0.578,26,0.622,28,0.643,18,6,200,114.7,15.0,3,17,78,,10.3,7,0.4,18,0.444,8,60.7,34,0.669,18.5,13,27,0.667,18,0.5710000000000001,8,"January 9, 2019",53.8,14,0.0,0,114.7,85.0,17,0.544,57,0.456,26,0.193,11,0.455,5,9,200,98.5,13.9,5,21,67,,11.8,8,0.42100000000000004,24,0.41700000000000004,10,39.3,22,0.5379999999999999,13.9,10,33,0.485,16,0.4,6,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,67.8,Away,RHODE-ISLAND,Rhode Island,Richmond,atlantic-10,14,False,True,True,Home,False,10,16,57,22,56,8,18,45,0,1,110,252,784,0.5318877551020408,385,840,0.4583333333333333,95,277,775,0.5412903225806451,0.42857142857142855
15,2019-01-12-16-george-washington,73.9,17,25.7,9,94.9,69.2,27,0.64,43,0.535,23,0.628,27,0.778,21,9,200,128.8,35.0,7,17,76,,10.2,6,0.512,22,0.409,9,57.6,34,0.6809999999999999,12.7,8,21,0.667,14,0.43799999999999994,7,"January 12, 2019",47.4,9,9.5,2,128.8,65.0,13,0.373,59,0.322,19,0.254,15,0.8,12,11,200,94.9,30.8,12,18,56,,10.2,6,0.40700000000000003,24,0.25,6,42.4,25,0.423,9.6,7,35,0.371,13,0.312,5,"Charles E. Smith Center, Washington, District of Columbia",GEORGE-WASHINGTON,George Washington,59.0,Away,RICHMOND,Richmond,Richmond,atlantic-10,15,False,False,False,Away,True,9,14,43,34,59,6,13,59,1,0,120,268,841,0.5326991676575505,407,896,0.45424107142857145,103,295,820,0.5481707317073171,0.4
16,2019-01-16-19-richmond,57.7,15,11.9,5,100.0,91.7,22,0.5539999999999999,56,0.46399999999999997,26,0.25,14,0.857,12,5,200,108.8,25.8,8,16,74,,8.8,6,0.518,29,0.345,10,54.5,30,0.591,17.3,13,27,0.593,16,0.706,12,"January 16, 2019",46.4,13,0.0,0,108.8,74.2,23,0.547,53,0.528,28,0.34,18,0.556,10,10,200,100.0,8.3,2,15,68,,13.2,9,0.20800000000000002,11,0.182,2,45.5,25,0.552,12.9,9,42,0.619,26,0.41200000000000003,7,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,68.1,Away,DUQUESNE,Duquesne,Richmond,atlantic-10,16,False,True,True,Home,False,2,26,53,25,55,10,16,56,0,1,129,282,884,0.5378959276018099,441,955,0.4617801047120419,109,308,879,0.5364050056882821,0.4375
17,2019-01-19-12-davidson,58.3,14,3.3,1,117.2,70.6,24,0.491,55,0.436,24,0.23600000000000002,13,0.615,8,11,200,96.9,6.1,2,11,62,,7.8,5,0.382,21,0.28600000000000003,6,38.8,26,0.507,9.0,6,34,0.529,18,0.389,7,"January 19, 2019",71.4,20,8.8,3,96.9,93.9,31,0.583,60,0.467,28,0.15,9,0.556,5,5,200,117.2,29.4,10,14,75,,3.1,2,0.5,30,0.467,14,61.2,41,0.583,12.3,9,30,0.467,14,0.722,13,"Belk Arena, Davidson, North Carolina",RICHMOND,Richmond,64.2,Home,DAVIDSON,Davidson,Richmond,atlantic-10,17,False,False,False,Away,False,6,18,55,26,67,14,14,60,0,1,131,308,937,0.5384204909284952,466,1010,0.4613861386138614,119,324,935,0.5374331550802139,0.4117647058823529
