,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OHIO-STATE_homegame,OHIO-STATE_homegame2,OHIO-STATE_home,OHIO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-18-19-ohio-state,40.0,8,2.7,1,111.9,73.3,22,0.436,55,0.364,20,0.2,11,0.727,8,9,200,83.6,12.9,4,24,56,,7.5,5,0.364,20,0.4,8,42.6,26,0.465,14.3,10,35,0.34299999999999997,12,0.308,4,"December 18, 2018",65.4,17,8.6,3,83.6,87.1,27,0.509,56,0.46399999999999997,26,0.41100000000000003,23,0.7829999999999999,18,1,200,111.9,26.7,8,13,75,15.0,7.5,5,0.33899999999999997,19,0.263,5,57.4,35,0.56,10.8,8,37,0.568,21,0.909,10,"Value City Arena, Columbus, Ohio",YOUNGSTOWN-STATE,Youngstown State,66.6,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,10,True,False,True,Home,True,5,21,56,35,61,8,12,55,1,0,75,184,538,0.5511152416356877,342,633,0.5402843601895735,63,148,567,0.427689594356261,0.9
11,2018-12-22-15-ohio-state,56.0,14,13.6,6,109.6,63.4,26,0.474,57,0.439,25,0.298,17,0.706,12,5,200,90.4,25.0,8,20,66,,11.0,8,0.316,18,0.222,4,46.6,34,0.507,18.9,15,39,0.5379999999999999,21,0.583,7,"December 22, 2018",92.9,26,17.9,7,90.4,75.0,24,0.478,67,0.418,28,0.34299999999999997,23,0.696,16,1,200,109.6,36.6,15,18,80,15.0,6.8,5,0.34299999999999997,23,0.348,8,53.4,39,0.513,11.5,10,44,0.455,20,0.917,11,"United Center, Chicago, Illinois",UCLA,UCLA,72.5,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,11,True,False,True,Home,True,8,20,67,39,73,4,21,57,1,0,80,205,594,0.5471380471380471,377,694,0.5432276657060519,71,160,622,0.4284565916398714,0.9090909090909091
12,2018-12-29-12-ohio-state,45.8,11,0.0,0,117.1,83.3,25,0.48100000000000004,54,0.444,24,0.29600000000000004,16,0.75,12,7,200,91.4,30.0,9,24,64,,10.0,7,0.24100000000000002,13,0.308,4,56.7,34,0.519,20.8,16,41,0.488,20,0.462,6,"December 29, 2018",63.3,19,7.3,3,91.4,70.0,21,0.657,54,0.556,30,0.40700000000000003,22,0.5,11,1,200,117.1,16.7,5,14,82,13.0,7.1,5,0.46299999999999997,25,0.44,11,43.3,26,0.636,14.7,11,29,0.655,19,0.9229999999999999,12,"Value City Arena, Columbus, Ohio",HIGH-POINT,High Point,69.5,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,12,True,False,True,Home,True,11,19,54,26,60,4,20,54,1,0,88,225,661,0.540090771558245,416,767,0.5423728813559322,75,181,679,0.4322533136966127,0.9166666666666666
13,2019-01-05-12-ohio-state,56.0,14,10.5,4,111.6,78.9,30,0.609,46,0.5429999999999999,25,0.804,37,0.8109999999999999,30,2,200,124.6,25.0,6,20,86,8.0,5.8,4,0.391,18,0.33299999999999996,6,58.1,36,0.6759999999999999,16.2,12,28,0.679,19,0.867,13,"January 5, 2019",55.6,15,0.0,0,124.6,75.0,18,0.49200000000000005,62,0.435,27,0.33899999999999997,21,0.762,16,2,200,111.6,21.1,8,26,77,14.0,10.1,7,0.387,24,0.292,7,41.9,26,0.535,6.6,5,38,0.526,20,0.857,12,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,69.3,Away,MICHIGAN-STATE,Michigan State,Ohio State,big-ten,13,False,True,True,Home,False,7,20,62,26,62,6,19,46,0,1,99,244,715,0.548951048951049,442,827,0.5344619105199516,79,201,733,0.4358799454297408,0.9230769230769231
14,2019-01-09-19-rutgers,52.2,12,0.0,0,100.0,67.9,19,0.466,58,0.397,23,0.19,11,0.636,7,3,200,95.3,31.3,10,18,61,16.0,10.9,7,0.44799999999999995,26,0.308,8,48.3,29,0.48200000000000004,16.0,12,32,0.469,15,0.8,12,"January 9, 2019",45.5,10,18.8,6,95.3,68.8,22,0.462,53,0.415,22,0.377,20,0.75,15,6,200,100.0,32.1,9,16,64,,10.9,7,0.302,16,0.313,5,51.7,31,0.512,12.7,9,37,0.45899999999999996,17,0.5710000000000001,8,"Louis Brown Athletic Center, New Brunswick, New Jersey",OHIO-STATE,Ohio State,63.9,Home,RUTGERS,Rutgers,Ohio State,big-ten,14,False,False,False,Away,False,8,15,58,29,60,5,17,53,0,1,106,264,777,0.5444015444015444,468,889,0.5264341957255343,85,220,779,0.44608472400513477,0.8571428571428571
15,2019-01-12-14-iowa,63.6,14,2.6,1,98.6,73.5,25,0.45799999999999996,59,0.373,22,0.18600000000000003,11,0.727,8,4,200,84.9,30.6,11,23,62,16.0,12.3,9,0.424,25,0.4,10,51.4,36,0.483,23.9,20,34,0.353,12,0.75,12,"January 12, 2019",60.0,15,17.6,6,84.9,69.4,25,0.491,55,0.455,25,0.455,25,0.72,18,3,200,98.6,26.5,9,15,72,,15.1,11,0.29100000000000004,16,0.25,4,48.6,34,0.5379999999999999,17.5,14,39,0.5379999999999999,21,0.8240000000000001,14,"Carver-Hawkeye Arena, Iowa City, Iowa",OHIO-STATE,Ohio State,72.6,Home,IOWA,Iowa,Ohio State,big-ten,15,False,False,False,Away,False,10,12,59,36,70,4,21,55,0,1,114,279,835,0.5389221556886228,497,949,0.523709167544784,90,237,832,0.44711538461538464,0.8
16,2019-01-18-18-ohio-state,56.0,14,6.1,2,93.8,73.7,28,0.7090000000000001,43,0.581,25,0.37200000000000005,16,0.875,14,3,200,115.4,20.0,4,15,75,19.0,12.3,8,0.395,17,0.647,11,55.2,32,0.741,26.5,18,26,0.5379999999999999,14,0.8420000000000001,16,"January 18, 2019",34.8,8,0.0,0,115.4,80.0,16,0.441,59,0.39,23,0.203,12,0.75,9,5,200,93.8,26.3,10,15,61,,9.2,6,0.441,26,0.231,6,44.8,26,0.47100000000000003,13.5,10,33,0.515,17,0.706,12,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,64.7,Away,MARYLAND,Maryland,Ohio State,big-ten,16,False,True,True,Home,False,6,17,59,26,58,11,14,43,0,1,124,291,894,0.5335570469798657,533,1019,0.5230618253189402,94,258,887,0.44983089064261556,0.75
17,2019-01-23-19-ohio-state,56.5,13,13.6,3,98.5,83.3,20,0.604,48,0.479,23,0.521,25,0.84,21,6,200,116.2,29.6,8,17,79,,11.8,8,0.5,24,0.5,12,54.9,28,0.66,23.4,18,24,0.45799999999999996,11,0.684,13,"January 23, 2019",47.8,11,4.2,1,116.2,70.4,19,0.636,44,0.523,23,0.364,16,0.688,11,6,200,98.5,16.7,4,19,67,,13.2,9,0.5,22,0.455,10,45.1,23,0.649,26.1,18,22,0.591,13,0.667,12,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,67.7,Away,PURDUE,Purdue,Ohio State,big-ten,17,False,True,True,Home,False,10,13,44,23,51,12,11,48,0,1,130,308,953,0.527806925498426,559,1077,0.5190343546889508,105,272,930,0.46182795698924733,0.7058823529411765
18,2019-01-26-12-nebraska,33.3,8,2.8,1,89.6,81.1,30,0.491,58,0.414,24,0.31,18,0.722,13,6,200,104.5,35.3,12,14,70,,11.9,8,0.466,27,0.33299999999999996,9,59.2,42,0.526,15.4,12,31,0.484,15,0.684,13,"January 26, 2019",47.6,10,3.2,1,104.5,64.7,22,0.431,58,0.36200000000000004,21,0.207,12,0.833,10,7,200,89.6,18.9,7,16,60,,7.5,5,0.379,22,0.364,8,40.8,29,0.47100000000000003,14.8,11,36,0.361,13,0.65,13,"Pinnacle Bank Arena, Lincoln, Nebraska",NEBRASKA,Nebraska,67.1,Away,OHIO-STATE,Ohio State,Ohio State,big-ten,18,False,False,False,Away,True,9,15,58,42,71,8,13,58,1,0,140,321,997,0.5325977933801405,582,1128,0.5159574468085106,117,283,978,0.46881390593047034,0.6666666666666666
19,2019-01-29-21-michigan,52.6,10,14.8,4,104.8,80.0,24,0.413,52,0.365,19,0.115,6,1.0,6,7,200,79.0,32.3,10,17,49,,6.5,4,0.40399999999999997,21,0.23800000000000002,5,55.7,34,0.447,24.8,18,31,0.452,14,0.65,13,"January 29, 2019",68.2,15,9.7,3,79.0,67.7,21,0.5,54,0.40700000000000003,22,0.222,12,0.917,11,1,200,104.8,20.0,6,14,65,5.0,17.7,11,0.5,27,0.37,10,44.3,27,0.544,11.9,8,27,0.444,12,0.9520000000000001,20,"Crisler Arena, Ann Arbor, Michigan",OHIO-STATE,Ohio State,62.3,Home,MICHIGAN,Michigan,Ohio State,big-ten,19,False,False,False,Away,False,5,14,52,34,61,10,12,54,0,1,149,336,1055,0.5303317535545023,624,1199,0.5204336947456214,125,296,1036,0.4666988416988417,0.6842105263157895
20,2019-02-02-12-ohio-state,58.3,14,8.7,2,126.7,81.0,17,0.491,55,0.436,24,0.309,17,0.47100000000000003,8,10,200,103.3,40.0,14,14,62,,6.7,4,0.345,19,0.316,6,55.4,31,0.491,16.1,12,36,0.5,18,0.524,11,"February 2, 2019",59.3,16,5.6,2,103.3,60.0,21,0.657,51,0.529,27,0.255,13,0.6920000000000001,9,7,200,126.7,19.0,4,16,76,,8.3,5,0.5489999999999999,28,0.46399999999999997,13,44.6,25,0.665,9.6,6,23,0.609,14,0.667,14,"Value City Arena, Columbus, Ohio",RUTGERS,Rutgers,60.1,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,20,True,False,True,Home,True,13,14,51,25,56,6,18,55,1,0,154,350,1107,0.5248419150858176,658,1260,0.5222222222222223,135,308,1090,0.468348623853211,0.65
21,2019-02-07-19-ohio-state,30.8,8,3.3,1,101.4,86.4,19,0.467,60,0.433,26,0.3,18,0.778,14,15,200,95.9,18.2,6,23,70,,16.4,12,0.233,14,0.28600000000000003,4,45.5,25,0.511,12.8,10,46,0.478,22,0.348,8,"February 7, 2019",50.0,11,8.7,4,95.9,81.8,27,0.58,44,0.5,22,0.659,29,0.7929999999999999,23,7,200,101.4,13.6,3,21,74,,6.8,5,0.318,14,0.5,7,54.5,30,0.64,24.1,18,30,0.5,15,0.682,15,"Value City Arena, Columbus, Ohio",PENN-STATE,Penn State,72.7,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,21,True,False,True,Home,True,7,15,44,30,55,4,22,60,1,0,167,364,1158,0.5306563039723662,683,1316,0.5189969604863222,141,326,1145,0.46943231441048033,0.6666666666666666
22,2019-02-10-13-indiana,56.5,13,12.1,4,85.2,78.6,22,0.51,52,0.442,23,0.115,6,0.33299999999999996,2,7,200,90.2,25.9,7,15,55,,8.2,5,0.308,16,0.43799999999999994,7,52.7,29,0.501,21.5,15,36,0.444,16,0.696,16,"February 10, 2019",52.4,11,2.8,1,90.2,74.1,20,0.45299999999999996,53,0.396,21,0.132,7,0.5710000000000001,4,11,200,85.2,21.4,6,12,52,,13.1,8,0.377,20,0.3,6,47.3,26,0.462,13.8,9,33,0.455,15,0.542,13,"Assembly Hall, Bloomington, Indiana",INDIANA,Indiana,61.1,Away,OHIO-STATE,Ohio State,Ohio State,big-ten,22,False,False,False,Away,True,7,16,52,29,55,6,15,53,1,0,174,379,1202,0.5324459234608985,713,1371,0.5200583515681984,145,348,1205,0.46929460580912863,0.6818181818181818
23,2019-02-14-19-ohio-state,41.7,10,17.6,6,82.4,74.2,23,0.5,54,0.444,24,0.315,17,0.529,9,15,200,92.6,24.2,8,23,63,,11.8,8,0.389,21,0.28600000000000003,6,48.4,31,0.507,17.5,13,33,0.545,18,0.4,10,"February 14, 2019",47.1,8,3.0,1,92.6,75.8,25,0.38299999999999995,47,0.36200000000000004,17,0.532,25,0.8,20,8,200,82.4,25.8,8,22,56,,11.8,8,0.27699999999999997,13,0.154,2,51.6,33,0.47600000000000003,23.7,18,34,0.441,15,0.667,16,"Value City Arena, Columbus, Ohio",OHIO-STATE,Ohio State,68.0,Away,ILLINOIS,Illinois,Ohio State,big-ten,23,False,True,True,Home,False,2,15,47,33,64,6,18,54,0,1,181,395,1254,0.5314992025518341,742,1426,0.520336605890603,151,363,1258,0.46860095389507156,0.6956521739130435
24,2019-02-17-13-michigan-state,50.0,9,6.9,2,93.9,79.4,27,0.35700000000000004,56,0.321,18,0.161,9,0.444,4,9,200,66.7,18.9,7,18,44,,10.6,7,0.268,15,0.267,4,47.9,34,0.365,20.0,15,41,0.341,14,0.64,16,"February 17, 2019",81.0,17,19.5,8,66.7,81.1,30,0.473,55,0.382,21,0.218,12,0.833,10,5,200,93.9,20.6,7,15,62,11.0,10.6,7,0.473,26,0.385,10,52.1,37,0.511,14.2,10,29,0.379,11,0.8079999999999999,21,"Breslin Events Center, East Lansing, Michigan",OHIO-STATE,Ohio State,66.0,Home,MICHIGAN-STATE,Michigan State,Ohio State,big-ten,24,False,False,False,Away,False,4,14,56,34,71,10,11,55,0,1,183,410,1301,0.5261337432744043,775,1490,0.5201342281879194,157,381,1312,0.46989329268292684,0.6666666666666666
25,2019-02-20-20-ohio-state,44.4,8,0.0,0,101.6,83.3,25,0.36,57,0.316,18,0.21100000000000002,12,0.667,8,14,200,79.0,21.6,8,15,49,,6.5,4,0.509,29,0.172,5,49.3,33,0.391,10.1,7,28,0.46399999999999997,13,0.462,12,"February 20, 2019",72.0,18,14.3,4,79.0,78.4,29,0.5,54,0.46299999999999997,25,0.185,10,0.9,9,9,200,101.6,16.7,5,12,63,,4.8,3,0.37,20,0.2,4,50.7,34,0.536,12.0,8,34,0.618,21,0.654,17,"Value City Arena, Columbus, Ohio",NORTHWESTERN,Northwestern,61.7,Home,OHIO-STATE,Ohio State,Ohio State,big-ten,25,True,False,True,Home,True,4,21,54,34,67,5,13,57,1,0,187,424,1357,0.5191599115696389,809,1561,0.518257527226137,167,392,1367,0.4700073152889539,0.64
26,2019-02-23-14-maryland,60.9,14,10.0,3,110.8,66.7,18,0.452,63,0.365,23,0.111,7,0.7140000000000001,5,10,200,95.4,25.0,9,18,62,,13.8,9,0.524,33,0.33299999999999996,11,42.9,27,0.467,9.6,7,30,0.4,12,0.63,17,"February 23, 2019",52.2,12,16.7,5,95.4,75.0,27,0.5529999999999999,47,0.489,23,0.532,25,0.8,20,7,200,110.8,33.3,9,11,72,24.0,4.6,3,0.36200000000000004,17,0.353,6,57.1,36,0.611,20.5,15,30,0.5670000000000001,17,0.75,21,"Xfinity Center, College Park, Maryland",OHIO-STATE,Ohio State,64.6,Home,MARYLAND,Maryland,Ohio State,big-ten,26,False,False,False,Away,False,11,12,63,27,63,6,17,47,0,1,191,445,1411,0.5184266477675408,843,1628,0.5178132678132679,172,405,1424,0.46558988764044945,0.6538461538461539
