,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DAYTON_homegame,DAYTON_homegame2,DAYTON_home,DAYTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-dayton,40.0,10,10.4,5,113.0,76.3,29,0.509,57,0.439,25,0.24600000000000002,14,0.857,12,1,200,101.4,10.3,3,18,70,,1.4,1,0.368,21,0.381,8,47.8,32,0.55,12.5,9,36,0.47200000000000003,17,0.0,0,"November 7, 2018",69.2,18,2.8,1,101.4,89.7,26,0.475,60,0.433,26,0.45,27,0.778,21,0,200,113.0,23.7,9,10,78,,5.8,4,0.2,12,0.41700000000000004,5,52.2,35,0.536,6.5,5,48,0.43799999999999994,21,1.0,1,"University of Dayton Arena, Dayton, Ohio",NORTH-FLORIDA,North Florida,69.2,Home,DAYTON,Dayton,Dayton,atlantic-10,0,True,False,True,Home,True,5,21,60,35,67,8,17,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-19-dayton,25.0,4,2.6,1,101.3,80.0,24,0.324,54,0.29600000000000004,16,0.278,15,0.733,11,2,200,61.3,18.4,7,16,46,,2.7,2,0.444,24,0.125,3,45.6,31,0.376,25.7,21,30,0.433,13,0.0,0,"November 10, 2018",46.7,14,10.0,3,61.3,81.6,31,0.525,61,0.49200000000000005,30,0.295,18,0.667,12,0,200,101.3,20.0,6,16,76,,8.0,6,0.361,22,0.182,4,54.4,37,0.546,13.8,11,39,0.667,26,1.0,2,"University of Dayton Arena, Dayton, Ohio",COPPIN-STATE,Coppin State,74.8,Home,DAYTON,Dayton,Dayton,atlantic-10,1,True,False,True,Home,True,4,26,61,37,68,3,13,54,1,0,5,21,60,0.475,35,67,0.5223880597014925,8,17,57,0.5087719298245614,1.0
2,2018-11-16-19-dayton,64.5,20,2.8,1,123.0,76.0,19,0.615,61,0.508,31,0.213,13,0.385,5,3,200,108.1,6.5,2,18,80,,9.5,7,0.475,29,0.44799999999999995,13,37.5,21,0.595,11.9,9,32,0.563,18,0.4,2,"November 16, 2018",58.8,20,6.3,2,108.1,93.5,29,0.67,56,0.607,34,0.446,25,0.64,16,0,200,123.0,24.0,6,12,91,,4.1,3,0.35700000000000004,20,0.35,7,62.5,35,0.67,15.2,12,36,0.75,27,1.0,3,"University of Dayton Arena, Dayton, Ohio",IPFW,Purdue-Fort Wayne,74.0,Home,DAYTON,Dayton,Dayton,atlantic-10,2,True,False,True,Home,True,7,27,56,35,56,13,18,61,1,0,9,47,121,0.5,72,135,0.5333333333333333,11,30,111,0.4189189189189189,1.0
3,2018-11-21-19-butler,40.0,10,8.1,3,94.1,70.0,28,0.598,46,0.5429999999999999,25,0.5,23,0.609,14,0,200,101.5,12.0,3,19,69,,4.4,3,0.304,14,0.35700000000000004,5,47.7,31,0.606,21.1,15,32,0.625,20,1.0,4,"November 21, 2018",41.7,10,6.3,2,101.5,88.0,22,0.45799999999999996,60,0.4,24,0.28300000000000003,17,0.529,9,1,200,94.1,30.0,12,18,64,,7.4,5,0.38299999999999995,23,0.304,7,52.3,34,0.47,12.9,10,37,0.45899999999999996,17,0.75,3,"Imperial Arena at Atlantis Resort, Paradise Island",BUTLER,Butler,67.5,Away,DAYTON,Dayton,Dayton,atlantic-10,3,False,False,False,Away,True,5,20,46,31,65,7,17,60,1,0,16,74,177,0.5536723163841808,107,191,0.5602094240837696,24,48,172,0.4883720930232558,1.0
4,2018-11-22-15-dayton,38.1,8,0.0,0,107.3,62.5,15,0.5,49,0.429,21,0.449,22,0.773,17,0,200,120.0,40.0,12,14,66,4.0,10.9,6,0.408,20,0.35,7,50.0,27,0.555,13.3,9,29,0.483,14,1.0,5,"November 22, 2018",48.0,12,6.9,2,120.0,60.0,18,0.598,46,0.5429999999999999,25,0.174,8,0.5,4,1,200,107.3,37.5,9,21,59,,10.9,6,0.304,14,0.35700000000000004,5,50.0,27,0.5920000000000001,19.5,12,32,0.625,20,0.8,4,"Imperial Arena at Atlantis Resort, Paradise Island",DAYTON,Dayton,54.6,Away,VIRGINIA,Virginia,Dayton,atlantic-10,4,False,True,True,Home,False,5,20,46,27,54,7,14,49,0,1,21,94,223,0.5627802690582959,138,256,0.5390625,31,65,232,0.48060344827586204,1.0
5,2018-11-23-11-oklahoma,63.2,12,6.3,2,100.0,81.5,22,0.36700000000000005,60,0.317,19,0.25,15,0.667,10,2,200,83.1,22.9,8,17,54,,9.2,6,0.4,24,0.25,6,48.4,30,0.402,10.7,8,36,0.361,13,0.667,4,"November 23, 2018",71.4,15,11.1,4,83.1,77.1,27,0.48,50,0.42,21,0.42,21,0.81,17,1,200,100.0,18.5,5,18,65,,6.2,4,0.36,18,0.33299999999999996,6,51.6,32,0.542,11.9,8,32,0.469,15,0.833,5,"Imperial Arena at Atlantis Resort, Paradise Island",DAYTON,Dayton,65.1,Home,OKLAHOMA,Oklahoma,Dayton,atlantic-10,5,False,False,False,Away,False,6,13,60,30,62,6,15,50,0,1,26,114,269,0.5687732342007435,165,310,0.532258064516129,38,79,281,0.48398576512455516,0.8
6,2018-11-30-19-dayton,72.0,18,0.0,0,84.1,80.0,28,0.467,61,0.41,25,0.16399999999999998,10,0.8,8,1,200,94.2,37.1,13,10,65,25.0,8.7,6,0.361,22,0.318,7,58.6,41,0.494,19.7,16,39,0.462,18,0.857,6,"November 30, 2018",58.3,14,10.3,4,94.2,62.9,22,0.474,58,0.414,24,0.138,8,0.375,3,3,200,84.1,20.0,7,12,58,,10.1,7,0.397,23,0.304,7,41.4,29,0.469,18.5,14,35,0.486,17,0.5710000000000001,4,"University of Dayton Arena, Dayton, Ohio",DAYTON,Dayton,68.8,Away,MISSISSIPPI-STATE,Mississippi State,Dayton,atlantic-10,6,False,True,True,Home,False,7,17,58,29,70,7,18,61,0,1,32,127,329,0.5319148936170213,195,372,0.5241935483870968,44,94,331,0.48338368580060426,0.6666666666666666
7,2018-12-04-19-dayton,56.5,13,2.8,1,134.2,72.2,13,0.415,65,0.354,23,0.138,9,0.556,5,6,200,80.8,20.0,8,20,59,,12.3,9,0.49200000000000005,32,0.25,8,36.2,21,0.426,13.8,11,33,0.455,15,0.33299999999999996,3,"December 4, 2018",81.1,30,6.1,2,80.8,80.0,32,0.769,54,0.685,37,0.40700000000000003,22,0.682,15,3,200,134.2,27.8,5,9,98,,8.2,6,0.33299999999999996,18,0.5,9,63.8,37,0.76,19.1,15,36,0.778,28,0.625,5,"University of Dayton Arena, Dayton, Ohio",DETROIT-MERCY,Detroit,73.4,Home,DAYTON,Dayton,Dayton,atlantic-10,7,True,False,True,Home,True,9,28,54,37,58,8,15,65,1,0,39,144,387,0.5232558139534884,224,442,0.5067873303167421,51,112,392,0.48086734693877553,0.5714285714285714
8,2018-12-08-20-auburn,59.3,16,7.1,2,117.1,68.8,22,0.58,56,0.48200000000000004,27,0.179,10,0.7,7,4,200,102.9,44.8,13,14,72,,4.3,3,0.41100000000000003,23,0.478,11,57.4,35,0.593,27.6,23,33,0.485,16,0.556,5,"December 8, 2018",60.7,17,27.3,9,102.9,55.2,16,0.557,61,0.45899999999999996,28,0.27899999999999997,17,0.8240000000000001,14,1,200,117.1,31.3,10,10,82,8.0,14.3,10,0.541,33,0.364,12,42.6,26,0.594,12.7,10,28,0.5710000000000001,16,0.889,8,"Auburn Arena, Auburn, Alabama",DAYTON,Dayton,69.9,Home,AUBURN,Auburn,Dayton,atlantic-10,8,False,False,False,Away,False,11,16,56,35,61,12,16,61,0,1,48,172,441,0.5532879818594104,261,500,0.522,59,127,457,0.47155361050328226,0.625
9,2018-12-16-15-tulsa,50.0,12,6.1,2,110.8,94.7,18,0.449,59,0.40700000000000003,24,0.28800000000000003,17,0.8240000000000001,14,5,200,103.1,21.9,7,14,67,,10.8,7,0.39,23,0.217,5,49.0,25,0.499,5.7,4,36,0.528,19,0.5,5,"December 16, 2018",60.0,15,2.8,1,103.1,78.1,25,0.62,46,0.5429999999999999,25,0.37,17,0.882,15,3,200,110.8,5.3,1,15,72,,4.6,3,0.28300000000000003,13,0.5379999999999999,7,51.0,26,0.6659999999999999,18.3,12,33,0.545,18,0.75,9,"Mohegan Sun Arena, Uncasville, Connecticut",DAYTON,Dayton,64.6,Home,TULSA,Tulsa,Dayton,atlantic-10,9,False,False,False,Away,False,5,19,59,25,51,7,18,46,0,1,59,188,497,0.5563380281690141,296,561,0.5276292335115864,71,143,518,0.48166023166023164,0.5555555555555556
