,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MEMPHIS_homegame,MEMPHIS_homegame2,MEMPHIS_home,MEMPHIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-memphis,52.6,10,12.0,6,93.8,70.7,29,0.40399999999999997,52,0.365,19,0.5579999999999999,29,0.655,19,1,141,75.3,35.3,12,18,61,,6.2,5,0.26899999999999996,14,0.28600000000000003,4,54.7,41,0.46399999999999997,28.6,26,38,0.395,15,0.0,0,"November 6, 2018",41.9,13,13.2,5,75.3,64.7,22,0.45899999999999996,74,0.419,31,0.149,11,0.727,8,0,141,93.8,29.3,12,25,76,,17.3,14,0.324,24,0.25,6,45.3,34,0.48,15.1,14,50,0.5,25,1.0,1,"FedExForum, Memphis, Tennessee",TENNESSEE-TECH,Tennessee Tech,114.2,Home,MEMPHIS,Memphis,Memphis,aac,0,True,False,True,Home,True,6,25,74,34,75,4,15,52,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-19-louisiana-state,46.2,12,6.7,3,113.3,56.7,17,0.484,64,0.406,26,0.313,20,0.7,14,1,200,101.3,31.3,10,17,76,,6.7,5,0.469,30,0.33299999999999996,10,43.5,27,0.517,16.1,14,34,0.47100000000000003,16,0.5,1,"November 13, 2018",44.1,15,17.6,6,101.3,68.8,22,0.579,63,0.54,34,0.254,16,0.75,12,0,200,113.3,43.3,13,19,85,22.0,13.3,10,0.28600000000000003,18,0.278,5,56.5,35,0.602,16.7,14,45,0.644,29,1.0,3,"Maravich Assembly Center, Baton Rouge, Louisiana",MEMPHIS,Memphis,74.6,Home,LOUISIANA-STATE,LSU,Memphis,aac,1,False,False,False,Away,False,10,16,64,27,62,5,29,63,0,1,6,25,74,0.4594594594594595,34,75,0.4533333333333333,4,15,52,0.40384615384615385,1.0
2,2018-11-17-20-memphis,41.2,14,6.1,3,109.0,65.1,28,0.5710000000000001,70,0.486,34,0.414,29,0.759,22,1,250,102.0,20.6,7,40,102,,8.0,8,0.414,29,0.414,12,45.5,35,0.609,22.5,24,41,0.537,22,0.5,1,"November 17, 2018",45.5,15,9.8,4,102.0,79.4,27,0.5,72,0.45799999999999996,33,0.778,56,0.6609999999999999,37,1,250,109.0,34.9,15,22,109,,12.0,12,0.319,23,0.261,6,54.5,42,0.5529999999999999,14.2,16,49,0.551,27,0.667,2,"FedExForum, Memphis, Tennessee",YALE,Yale,80.2,Home,MEMPHIS,Memphis,Memphis,aac,2,True,False,True,Home,True,6,27,72,42,77,12,22,70,1,0,16,41,138,0.47101449275362317,61,137,0.44525547445255476,9,44,115,0.5,0.5
3,2018-11-22-15-memphis,50.0,14,20.4,10,81.0,82.5,33,0.653,49,0.5710000000000001,28,0.531,26,0.769,20,1,200,106.3,27.3,6,16,84,,11.4,9,0.429,21,0.381,8,62.9,39,0.685,24.9,20,28,0.7140000000000001,20,0.75,3,"November 22, 2018",54.2,13,0.0,0,106.3,72.7,16,0.402,66,0.364,24,0.28800000000000003,19,0.579,11,2,200,81.0,17.5,7,20,64,,15.2,12,0.258,17,0.294,5,37.1,23,0.42700000000000005,16.8,15,49,0.38799999999999996,19,0.5,2,"HP Field House, Orlando, Florida",MEMPHIS,Memphis,79.2,Away,OKLAHOMA-STATE,Oklahoma State,Memphis,aac,3,False,True,True,Home,False,5,19,66,23,62,8,20,49,0,1,22,68,210,0.48095238095238096,103,214,0.48130841121495327,21,66,185,0.527027027027027,0.6666666666666666
4,2018-11-23-13-memphis,45.8,11,4.1,2,98.6,48.6,18,0.442,60,0.4,24,0.3,18,0.556,10,4,200,87.5,19.4,7,20,63,,12.5,9,0.35,21,0.23800000000000002,5,34.2,25,0.46,12.8,10,39,0.48700000000000004,19,0.2,1,"November 23, 2018",46.7,14,17.9,7,87.5,80.6,29,0.484,63,0.47600000000000003,30,0.254,16,0.625,10,2,200,98.6,51.4,19,20,71,,2.8,2,0.222,14,0.071,1,65.8,48,0.503,22.2,20,49,0.5920000000000001,29,0.6,3,"HP Field House, Orlando, Florida",CANISIUS,Canisius,71.6,Home,MEMPHIS,Memphis,Memphis,aac,4,True,False,True,Home,True,1,29,63,48,73,5,19,60,1,0,27,87,276,0.46195652173913043,126,276,0.45652173913043476,29,86,234,0.5534188034188035,0.5
5,2018-11-25-18-college-of-charleston,53.6,15,3.0,1,105.4,82.9,29,0.588,57,0.491,28,0.24600000000000002,14,0.5710000000000001,8,3,200,101.4,27.6,8,23,75,,6.8,5,0.42100000000000004,24,0.45799999999999996,11,57.8,37,0.589,22.2,18,33,0.515,17,0.5,3,"November 25, 2018",48.0,12,6.1,2,101.4,72.4,21,0.508,60,0.41700000000000004,25,0.35,21,0.81,17,2,200,105.4,17.1,6,17,78,,10.8,8,0.45,27,0.40700000000000003,11,42.2,27,0.557,13.7,11,33,0.424,14,0.7140000000000001,5,"HP Field House, Orlando, Florida",MEMPHIS,Memphis,74.3,Home,COLLEGE-OF-CHARLESTON,College of Charleston,Memphis,aac,5,False,False,False,Away,False,11,17,57,37,64,11,14,60,0,1,28,116,339,0.46607669616519176,174,349,0.498567335243553,34,105,294,0.5306122448979592,0.6
6,2018-12-01-14-memphis,69.2,18,21.6,11,87.0,59.0,23,0.528,53,0.491,26,0.5660000000000001,30,0.733,22,0,200,101.3,40.0,10,22,78,20.0,10.4,8,0.245,13,0.308,4,51.6,33,0.58,20.4,17,40,0.55,22,1.0,7,"December 1, 2018",56.5,13,5.0,2,101.3,60.0,15,0.371,66,0.348,23,0.424,28,0.643,18,4,200,87.0,41.0,16,26,67,,13.0,10,0.22699999999999998,15,0.2,3,48.4,31,0.42200000000000004,17.8,17,51,0.392,20,0.429,3,"American Airlines Arena, Miami, Florida",MEMPHIS,Memphis,77.3,Away,TEXAS-TECH,Texas Tech,Memphis,aac,6,False,True,True,Home,False,3,20,66,31,64,4,22,53,0,1,39,133,396,0.48358585858585856,211,413,0.5108958837772397,45,119,354,0.5268361581920904,0.5
7,2018-12-04-21-memphis,51.9,14,5.0,2,108.6,64.5,20,0.575,60,0.45,27,0.267,16,0.688,11,3,200,98.8,29.4,10,21,80,,11.1,9,0.55,33,0.455,15,46.2,30,0.5920000000000001,25.5,23,27,0.444,12,0.7,7,"December 4, 2018",51.5,17,22.2,6,98.8,70.6,24,0.569,65,0.508,33,0.308,20,0.7,14,4,200,108.6,35.5,11,19,88,,11.1,9,0.385,25,0.32,8,53.8,35,0.591,18.7,17,40,0.625,25,0.5,4,"FedExForum, Memphis, Tennessee",SOUTH-DAKOTA-STATE,South Dakota State,80.6,Home,MEMPHIS,Memphis,Memphis,aac,7,True,False,True,Home,True,8,25,65,35,65,15,12,60,1,0,42,153,462,0.4675324675324675,242,477,0.5073375262054507,49,141,407,0.527027027027027,0.42857142857142855
8,2018-12-08-13-memphis,50.0,13,3.1,1,122.1,79.3,23,0.49200000000000005,62,0.419,26,0.419,26,0.5770000000000001,15,3,200,98.7,38.2,13,25,76,,6.5,5,0.355,22,0.409,9,57.1,36,0.511,18.8,17,40,0.425,17,0.667,6,"December 8, 2018",60.0,18,17.5,7,98.7,61.8,21,0.634,56,0.536,30,0.536,30,0.767,23,4,200,122.1,20.7,6,18,94,,9.1,7,0.429,24,0.45799999999999996,11,42.9,27,0.669,13.7,11,32,0.594,19,0.556,5,"FedExForum, Memphis, Tennessee",ALABAMA-BIRMINGHAM,Alabama-Birmingham,76.8,Home,MEMPHIS,Memphis,Memphis,aac,8,True,False,True,Home,True,11,19,56,27,63,9,17,62,1,0,50,178,527,0.48007590132827327,277,542,0.511070110701107,64,153,467,0.5331905781584583,0.5
9,2018-12-15-12-memphis,77.8,21,18.8,9,115.0,60.0,27,0.606,52,0.519,27,0.885,46,0.848,39,1,200,127.5,38.5,10,22,102,3.0,5.0,4,0.462,24,0.375,9,52.1,37,0.691,19.0,17,28,0.643,18,0.889,8,"December 15, 2018",63.6,21,7.1,2,127.5,61.5,16,0.494,77,0.429,33,0.28600000000000003,22,0.727,16,5,200,115.0,40.0,18,35,92,,12.5,10,0.377,29,0.345,10,47.9,34,0.526,9.4,9,48,0.479,23,0.5,5,"FedExForum, Memphis, Tennessee",MEMPHIS,Memphis,79.7,Away,TENNESSEE,Tennessee,Memphis,aac,9,False,True,True,Home,False,10,23,77,34,71,9,18,52,0,1,61,197,583,0.49485420240137223,304,605,0.5024793388429752,73,170,529,0.5283553875236295,0.5555555555555556
