,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NICHOLLS-STATE_homegame,NICHOLLS-STATE_homegame2,NICHOLLS-STATE_home,NICHOLLS-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-nicholls-state,57.9,11,0.0,0,110.3,83.9,26,0.405,58,0.32799999999999996,19,0.259,15,0.733,11,0,200,74.4,27.0,10,14,58,,5.1,4,0.293,17,0.529,9,52.9,36,0.445,27.1,24,41,0.244,10,0.0,0,"November 6, 2018",42.4,14,17.1,7,74.4,73.0,27,0.602,64,0.516,33,0.188,12,0.75,9,0,200,110.3,16.1,5,19,86,,19.2,15,0.43799999999999994,28,0.39299999999999996,11,47.1,32,0.617,14.8,12,36,0.611,22,1.0,1,"David Stopher Gymnasium, Thibodaux, Louisiana","Mississippi College
			","Mississippi College
			",77.9,Home,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,0,True,False,True,Home,True,11,22,64,32,68,9,10,58,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-08-19-louisville,54.2,13,12.0,3,113.3,81.5,22,0.47600000000000003,63,0.381,24,0.254,16,0.75,12,1,200,96.0,17.9,7,38,72,,6.7,5,0.49200000000000005,31,0.387,12,43.9,29,0.51,14.6,12,32,0.375,12,0.5,1,"November 8, 2018",42.1,8,9.4,3,96.0,82.1,32,0.5379999999999999,40,0.475,19,1.375,55,0.764,42,0,200,113.3,18.5,5,12,85,,9.3,7,0.375,15,0.33299999999999996,5,56.1,37,0.643,16.8,13,25,0.56,14,1.0,1,"KFC Yum! Center, Louisville, Kentucky",NICHOLLS-STATE,Nicholls State,74.9,Home,LOUISVILLE,Louisville,Nicholls State,southland,1,False,False,False,Away,False,12,12,63,29,66,5,14,40,0,1,11,22,64,0.6015625,32,68,0.47058823529411764,9,10,58,0.4051724137931034,1.0
2,2018-11-11-19-washington-state,70.8,17,9.3,4,115.6,70.3,26,0.485,66,0.364,24,0.152,10,0.8,8,2,200,93.5,31.4,11,19,72,,1.3,1,0.682,45,0.35600000000000004,16,51.4,37,0.509,20.4,18,21,0.381,8,0.33299999999999996,1,"November 11, 2018",74.3,26,14.3,3,93.5,68.6,24,0.557,70,0.5,35,0.271,19,0.579,11,0,200,115.6,29.7,11,13,89,,11.7,9,0.386,27,0.29600000000000004,8,48.6,35,0.563,9.3,8,43,0.628,27,1.0,1,"Beasley Coliseum, Pullman, Washington",NICHOLLS-STATE,Nicholls State,76.9,Home,WASHINGTON-STATE,Washington State,Nicholls State,southland,2,False,False,False,Away,False,16,8,66,37,72,8,27,70,0,1,23,34,127,0.5393700787401575,61,134,0.4552238805970149,14,24,98,0.45918367346938777,0.5
3,2018-11-13-22-idaho,44.4,12,12.5,5,106.7,63.0,17,0.534,59,0.45799999999999996,27,0.40700000000000003,24,0.833,20,2,200,110.7,18.2,6,17,83,,12.0,9,0.35600000000000004,21,0.429,9,38.3,23,0.589,11.5,9,38,0.474,18,0.5,2,"November 13, 2018",53.1,17,10.5,4,110.7,81.8,27,0.5710000000000001,63,0.508,32,0.20600000000000002,13,0.615,8,2,200,106.7,37.0,10,18,80,,2.7,2,0.365,23,0.348,8,61.7,37,0.578,20.8,18,40,0.6,24,0.0,0,"Memorial Gym, Moscow, Idaho",IDAHO,Idaho,75.3,Away,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,3,False,False,False,Away,True,9,18,59,23,60,8,24,63,1,0,39,42,193,0.5207253886010362,98,206,0.47572815533980584,22,51,168,0.5,0.3333333333333333
4,2018-11-16-12-baylor,38.9,7,11.8,4,117.4,63.6,21,0.364,55,0.327,18,0.327,18,0.778,14,3,200,78.3,25.8,8,20,54,,5.8,4,0.473,26,0.154,4,45.3,29,0.425,17.1,13,29,0.483,14,0.4,2,"November 16, 2018",58.6,17,20.7,6,78.3,74.2,23,0.54,63,0.46,29,0.349,22,0.591,13,1,200,117.4,36.4,12,17,81,,7.2,5,0.46,29,0.345,10,54.7,35,0.551,9.9,8,34,0.5589999999999999,19,0.75,3,"Ferrell Center, Waco, Texas",NICHOLLS-STATE,Nicholls State,69.0,Home,BAYLOR,Baylor,Nicholls State,southland,4,False,False,False,Away,False,4,14,55,29,64,10,19,63,0,1,48,60,252,0.5238095238095238,121,266,0.4548872180451128,30,75,231,0.5194805194805194,0.5
5,2018-11-20-19-mississippi,50.0,11,8.1,3,100.0,70.8,17,0.392,65,0.33799999999999997,22,0.092,6,0.667,4,4,200,73.3,13.2,5,20,55,,12.0,9,0.369,24,0.292,7,35.5,22,0.405,17.1,14,41,0.366,15,0.33299999999999996,2,"November 20, 2018",80.8,21,14.6,6,73.3,86.8,33,0.537,54,0.48100000000000004,26,0.426,23,0.7390000000000001,17,1,200,100.0,29.2,7,8,75,,5.3,4,0.315,17,0.353,6,64.5,40,0.578,19.0,15,37,0.541,20,0.667,2,"The Pavilion at Ole Miss, Oxford, Mississippi",NICHOLLS-STATE,Nicholls State,74.9,Home,MISSISSIPPI,Ole Miss,Nicholls State,southland,5,False,False,False,Away,False,7,15,65,22,62,6,20,54,0,1,52,74,307,0.495114006514658,150,330,0.45454545454545453,40,94,294,0.5238095238095238,0.4
6,2018-11-23-14-north-carolina-central,48.4,15,9.3,4,92.6,55.3,21,0.59,61,0.508,31,0.131,8,0.625,5,4,200,113.2,20.0,6,15,77,,10.3,7,0.41,25,0.4,10,39.7,27,0.594,12.2,9,36,0.583,21,0.429,3,"November 23, 2018",33.3,8,8.3,3,113.2,80.0,24,0.41700000000000004,60,0.4,24,0.38299999999999995,23,0.565,13,5,200,92.6,44.7,17,12,63,,2.9,2,0.28300000000000003,17,0.11800000000000001,2,60.3,41,0.444,17.6,15,43,0.512,22,0.16699999999999998,1,"The Arena, Niceville, Florida",NORTH-CAROLINA-CENTRAL,North Carolina Central,68.4,Away,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,6,False,False,False,Away,True,10,21,61,27,68,2,22,60,1,0,59,89,372,0.4771505376344086,172,392,0.4387755102040816,46,114,348,0.5258620689655172,0.3333333333333333
7,2018-11-24-13-western-michigan,43.5,10,14.3,5,83.6,72.7,24,0.41700000000000004,66,0.348,23,0.136,9,0.778,7,4,225,84.9,17.9,7,15,62,,6.8,5,0.439,29,0.31,9,43.1,31,0.441,12.5,10,37,0.37799999999999995,14,0.5,4,"November 24, 2018",41.7,10,8.1,3,84.9,82.1,32,0.45799999999999996,59,0.40700000000000003,24,0.18600000000000003,11,0.636,7,3,225,83.6,27.3,9,15,61,,4.1,3,0.40700000000000003,24,0.25,6,56.9,41,0.475,22.0,18,35,0.514,18,0.5710000000000001,4,"The Arena, Niceville, Florida",WESTERN-MICHIGAN,Western Michigan,65.1,Away,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,7,False,False,False,Away,True,9,14,66,31,72,6,18,59,1,0,69,110,433,0.4930715935334873,199,460,0.4326086956521739,48,136,408,0.5098039215686274,0.42857142857142855
8,2018-11-28-20-nicholls-state,39.1,9,4.1,2,106.3,61.7,29,0.41200000000000003,68,0.33799999999999997,23,0.191,13,0.6920000000000001,9,0,200,81.3,26.1,12,11,65,,5.0,4,0.441,30,0.33299999999999996,10,44.1,41,0.43799999999999994,18.7,17,38,0.342,13,0.0,0,"November 28, 2018",44.1,15,15.8,6,81.3,73.9,34,0.44799999999999995,86,0.395,34,0.128,11,0.727,8,4,200,106.3,38.3,18,12,85,,10.0,8,0.43,37,0.243,9,55.9,52,0.466,7.2,7,49,0.51,25,0.556,5,"David Stopher Gymnasium, Thibodaux, Louisiana","Spring Hill
			","Spring Hill
			",79.7,Home,NICHOLLS-STATE,Nicholls State,Nicholls State,southland,8,True,False,True,Home,True,9,25,86,52,93,10,13,68,1,0,78,124,499,0.48296593186372744,230,532,0.4323308270676692,54,154,467,0.5032119914346895,0.5
9,2018-12-15-13-boston-university,54.2,13,11.1,5,104.2,69.0,20,0.491,57,0.42100000000000004,24,0.12300000000000001,7,1.0,7,5,200,87.5,9.7,3,19,63,,8.3,6,0.42100000000000004,24,0.33299999999999996,8,38.3,23,0.522,20.0,15,33,0.485,16,0.5,5,"December 15, 2018",66.7,20,6.1,2,87.5,90.3,28,0.524,62,0.484,30,0.21,13,0.769,10,5,200,104.2,31.0,9,8,75,,6.9,5,0.27399999999999997,17,0.294,5,61.7,37,0.55,16.1,13,45,0.556,25,0.583,7,"Case Gym, Boston, Massachusetts",NICHOLLS-STATE,Nicholls State,72.3,Home,BOSTON-UNIVERSITY,Boston University,Nicholls State,southland,9,False,False,False,Away,False,8,16,57,23,60,5,25,62,0,1,87,149,585,0.4777777777777778,282,625,0.4512,64,167,535,0.491588785046729,0.5555555555555556
