,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-FLORIDA_homegame,NORTH-FLORIDA_homegame2,NORTH-FLORIDA_home,NORTH-FLORIDA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-13-19-florida-international,55.9,19,16.0,8,117.2,61.8,21,0.507,73,0.466,34,0.27399999999999997,20,0.75,15,7,200,102.3,41.0,16,23,89,,10.3,9,0.452,33,0.182,6,50.7,37,0.539,18.0,18,40,0.7,28,0.364,4,"December 13, 2018",55.6,20,15.0,6,102.3,59.0,23,0.555,73,0.493,36,0.384,28,0.75,21,2,200,117.2,38.2,13,19,102,,16.1,14,0.315,23,0.391,9,49.3,36,0.591,15.8,16,50,0.54,27,0.8,8,"FIU Arena, Miami, Florida",NORTH-FLORIDA,North Florida,86.9,Home,FLORIDA-INTERNATIONAL,Florida International,North Florida,atlantic-sun,10,False,False,False,Away,False,6,28,73,37,73,9,27,73,0,1,83,183,598,0.5142140468227425,350,691,0.5065123010130246,68,214,641,0.49297971918876754,0.4
11,2018-12-15-17-north-florida,36.4,8,4.0,1,81.9,76.7,23,0.32,75,0.293,22,0.22699999999999998,17,0.765,13,6,200,73.5,27.5,14,22,61,,21.7,18,0.307,23,0.174,4,45.7,37,0.36700000000000005,16.2,16,52,0.34600000000000003,18,0.4,4,"December 15, 2018",90.9,20,9.6,5,73.5,72.5,37,0.51,50,0.44,22,0.5,25,0.68,17,7,200,81.9,23.3,7,15,68,,7.2,6,0.5,25,0.28,7,54.3,44,0.5489999999999999,29.9,26,25,0.6,15,0.41700000000000004,5,"UNF Arena , Jacksonville, Florida",CHARLESTON-SOUTHERN,Charleston Southern,83.0,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,11,True,False,True,Home,True,7,15,50,44,81,4,18,75,1,0,89,211,671,0.5134128166915052,387,764,0.506544502617801,77,241,714,0.4992997198879552,0.36363636363636365
12,2018-12-19-19-florida-state,44.4,12,1.8,1,123.4,56.3,18,0.593,54,0.5,27,0.48100000000000004,26,0.654,17,8,200,105.2,31.0,9,15,81,,2.6,2,0.46299999999999997,25,0.4,10,44.3,27,0.61,22.5,19,29,0.586,17,0.385,5,"December 19, 2018",42.5,17,10.3,3,105.2,69.0,20,0.525,79,0.506,40,0.165,13,0.9229999999999999,12,1,200,123.4,43.8,14,20,95,11.0,14.3,11,0.29100000000000004,23,0.13,3,55.7,34,0.5579999999999999,6.6,6,56,0.6609999999999999,37,0.909,10,"Donald L. Tucker Center, Tallahassee, Florida",NORTH-FLORIDA,North Florida,76.8,Home,FLORIDA-STATE,Florida State,North Florida,atlantic-sun,12,False,False,False,Away,False,10,17,54,27,61,3,37,79,0,1,96,226,721,0.5131761442441054,431,845,0.5100591715976331,81,259,789,0.48225602027883396,0.4166666666666667
13,2018-12-29-17-auburn,55.6,10,10.9,5,117.3,52.8,19,0.42,50,0.36,18,0.18,9,0.778,7,9,200,60.5,28.0,7,20,49,,3.7,3,0.52,26,0.231,6,42.6,26,0.451,37.9,33,24,0.5,12,0.35700000000000004,5,"December 29, 2018",67.6,23,29.2,7,60.5,72.0,18,0.535,72,0.47200000000000003,34,0.375,27,0.667,18,2,200,117.3,47.2,17,16,95,12.0,24.7,20,0.361,26,0.34600000000000003,9,57.4,35,0.56,13.4,13,46,0.5429999999999999,25,0.846,11,"Auburn Arena, Auburn, Alabama",NORTH-FLORIDA,North Florida,80.6,Home,AUBURN,Auburn,North Florida,atlantic-sun,13,False,False,False,Away,False,6,12,50,26,61,9,25,72,0,1,106,243,775,0.5187096774193548,458,906,0.5055187637969095,84,296,868,0.4861751152073733,0.38461538461538464
14,2019-01-02-19-north-florida,58.8,20,8.2,4,116.9,55.9,19,0.514,72,0.47200000000000003,34,0.055999999999999994,4,0.5,2,0,200,85.4,26.3,10,20,76,,11.2,10,0.292,21,0.28600000000000003,6,40.3,29,0.514,24.5,24,51,0.5489999999999999,28,0.0,0,"January 2, 2019",47.4,18,13.7,7,85.4,73.7,28,0.5710000000000001,77,0.494,38,0.28600000000000003,22,0.727,16,9,200,116.9,44.1,15,12,104,,18.0,16,0.364,28,0.429,12,59.7,43,0.595,17.2,18,49,0.531,26,0.4,6,"UNF Arena , Jacksonville, Florida","Florida National University
			","Florida National University
			",89.2,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,14,True,False,True,Home,True,12,26,77,43,72,6,28,72,1,0,112,255,825,0.5127272727272727,484,967,0.500517063081696,93,321,940,0.4898936170212766,0.35714285714285715
15,2019-01-05-17-north-florida,50.0,13,8.6,3,128.0,82.6,19,0.445,64,0.406,26,0.23399999999999999,15,0.667,10,13,200,89.3,36.4,12,17,67,,13.3,10,0.25,16,0.313,5,55.4,31,0.47100000000000003,16.5,14,48,0.43799999999999994,21,0.188,3,"January 5, 2019",56.8,21,18.8,9,89.3,63.6,21,0.725,60,0.617,37,0.2,12,0.75,9,9,200,128.0,17.4,4,16,96,,10.7,8,0.41700000000000004,25,0.52,13,44.6,25,0.731,18.7,15,35,0.6859999999999999,24,0.43799999999999994,7,"UNF Arena , Jacksonville, Florida",NORTH-ALABAMA,North Alabama,74.9,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,15,True,False,True,Home,True,13,24,60,25,56,5,21,64,1,0,124,281,902,0.5177383592017738,527,1039,0.507218479307026,99,349,1012,0.491600790513834,0.4
16,2019-01-09-19-lipscomb,65.4,17,9.1,3,111.0,69.0,20,0.47,66,0.39399999999999996,26,0.076,5,0.8,4,10,200,90.4,30.8,12,19,66,,13.7,10,0.53,35,0.28600000000000003,10,47.1,32,0.483,20.9,18,31,0.516,16,0.41200000000000003,7,"January 9, 2019",50.0,14,3.2,1,90.4,69.2,27,0.618,55,0.509,28,0.327,18,0.722,13,4,200,111.0,31.0,9,14,81,,11.0,8,0.4,22,0.545,12,52.9,36,0.637,22.2,18,33,0.485,16,0.733,11,"Allen Arena, Nashville, Tennessee",NORTH-FLORIDA,North Florida,73.5,Home,LIPSCOMB,Lipscomb,North Florida,atlantic-sun,16,False,False,False,Away,False,10,16,66,32,68,12,16,55,0,1,137,305,962,0.5306652806652806,552,1095,0.5041095890410959,104,370,1076,0.4888475836431227,0.4375
17,2019-01-12-17-north-florida,54.5,12,23.5,8,108.8,63.9,23,0.425,60,0.36700000000000005,22,0.4,24,0.625,15,13,200,82.5,20.0,8,17,66,,17.5,14,0.28300000000000003,17,0.41200000000000003,7,40.8,31,0.462,18.5,16,43,0.349,15,0.278,5,"January 12, 2019",74.2,23,20.9,9,82.5,80.0,32,0.5920000000000001,65,0.47700000000000004,31,0.24600000000000002,16,0.625,10,10,200,108.8,36.1,13,19,87,,8.8,7,0.47700000000000004,31,0.484,15,59.2,45,0.599,21.7,20,34,0.47100000000000003,16,0.444,8,"UNF Arena , Jacksonville, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,79.5,Home,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,17,True,False,True,Home,True,15,16,65,45,76,7,15,60,1,0,147,321,1028,0.5267509727626459,584,1163,0.5021496130696474,116,386,1131,0.4951370468611848,0.4117647058823529
18,2019-01-16-19-stetson,63.3,19,6.0,3,113.2,67.4,29,0.608,60,0.5,30,0.36700000000000005,22,0.636,14,10,200,127.9,40.0,12,13,87,,4.4,3,0.5,30,0.433,13,56.2,41,0.617,12.6,10,30,0.5670000000000001,17,0.474,9,"January 16, 2019",62.1,18,13.3,4,127.9,60.0,18,0.47100000000000003,68,0.426,29,0.294,20,0.65,13,14,200,113.2,32.6,14,17,77,,8.8,6,0.265,18,0.33299999999999996,6,43.8,32,0.49700000000000005,6.1,5,50,0.46,23,0.222,4,"Edmunds Center, DeLand, Florida",STETSON,Stetson,68.5,Away,NORTH-FLORIDA,North Florida,North Florida,atlantic-sun,18,False,False,False,Away,True,13,17,60,41,73,6,23,68,1,0,162,337,1093,0.5306495882891126,629,1239,0.5076674737691687,123,401,1191,0.4916036943744752,0.4444444444444444
19,2019-01-19-19-liberty,43.5,10,11.9,5,100.0,71.9,23,0.48200000000000004,56,0.41100000000000003,23,0.268,15,0.667,10,11,200,91.4,28.1,9,21,64,,1.4,1,0.446,25,0.32,8,50.0,32,0.507,21.4,17,31,0.484,15,0.45,9,"January 19, 2019",56.0,14,9.7,3,91.4,71.9,23,0.473,56,0.446,25,0.446,25,0.68,17,4,200,100.0,28.1,9,12,70,,12.9,9,0.25,14,0.214,3,50.0,32,0.516,11.8,9,42,0.524,22,0.8,16,"Vines Center, Lynchburg, Virginia",NORTH-FLORIDA,North Florida,69.5,Home,LIBERTY,Liberty,North Florida,atlantic-sun,19,False,False,False,Away,False,8,15,56,32,64,3,22,56,0,1,175,354,1153,0.5346921075455334,670,1312,0.510670731707317,129,424,1259,0.4904686258935663,0.47368421052631576
20,2019-01-21-19-north-florida,60.0,15,0.0,0,98.6,74.4,29,0.483,60,0.41700000000000004,25,0.4,24,0.75,18,5,200,104.1,34.3,12,14,76,,9.6,7,0.35,21,0.381,8,55.4,41,0.532,13.5,11,39,0.436,17,0.75,15,"January 21, 2019",40.7,11,7.7,3,104.1,65.7,23,0.47700000000000004,66,0.409,27,0.22699999999999998,15,0.6,9,12,200,98.6,25.6,10,23,72,,8.2,6,0.409,27,0.33299999999999996,9,44.6,33,0.49200000000000005,14.2,12,39,0.462,18,0.429,9,"UNF Arena , Jacksonville, Florida",NORTH-FLORIDA,North Florida,72.8,Away,NJIT,NJIT,North Florida,atlantic-sun,20,False,True,True,Home,False,9,18,66,33,74,8,17,60,0,1,183,369,1209,0.532258064516129,702,1376,0.5101744186046512,132,446,1315,0.4897338403041825,0.45
