,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,JAMES-MADISON_homegame,JAMES-MADISON_homegame2,JAMES-MADISON_home,JAMES-MADISON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-04-19-james-madison,53.8,14,9.7,3,110.6,68.0,17,0.527,55,0.473,26,0.2,11,0.727,8,2,200,100.0,15.4,4,20,66,,15.2,10,0.309,17,0.353,6,41.2,21,0.5479999999999999,14.3,10,38,0.526,20,0.75,6,"December 4, 2018",44.0,11,5.3,2,100.0,84.6,22,0.596,52,0.48100000000000004,25,0.34600000000000003,18,0.611,11,4,200,110.6,32.0,8,15,73,,7.6,5,0.40399999999999997,21,0.5710000000000001,12,58.8,30,0.603,18.9,14,31,0.419,13,0.636,7,"JMU Convocation Center, Harrisonburg, Virginia",RADFORD,Radford,66.4,Home,JAMES-MADISON,James Madison,James Madison,colonial,10,True,False,True,Home,True,12,13,52,30,51,6,20,55,1,0,62,189,566,0.49823321554770317,350,656,0.5335365853658537,66,187,587,0.48722316865417375,0.6
11,2018-12-07-19-george-mason,50.0,9,9.1,4,93.0,75.7,28,0.39299999999999996,56,0.321,18,0.321,18,0.5,9,5,200,74.6,25.6,10,20,53,,8.5,6,0.375,21,0.381,8,50.0,38,0.41100000000000003,20.0,16,35,0.28600000000000003,10,0.583,7,"December 7, 2018",34.8,8,11.4,4,74.6,74.4,29,0.408,60,0.38299999999999995,23,0.4,24,0.708,17,6,200,93.0,24.3,9,18,66,,15.5,11,0.267,16,0.188,3,50.0,38,0.462,12.4,10,44,0.455,20,0.455,5,"EagleBank Arena, Fairfax, Virginia",JAMES-MADISON,James Madison,71.5,Home,GEORGE-MASON,George Mason,James Madison,colonial,11,False,False,False,Away,False,8,10,56,38,76,3,20,60,0,1,74,202,618,0.5064724919093851,380,707,0.5374823196605375,72,207,642,0.49065420560747663,0.6363636363636364
12,2018-12-20-19-fordham,31.3,5,16.1,5,121.0,50.0,13,0.34600000000000003,52,0.308,16,0.423,22,0.545,12,6,200,77.4,27.3,9,16,48,,4.8,3,0.327,17,0.235,4,37.3,22,0.384,15.1,11,35,0.34299999999999997,12,0.5379999999999999,7,"December 20, 2018",51.9,14,20.0,7,77.4,72.7,24,0.544,57,0.474,27,0.24600000000000002,14,0.929,13,3,200,121.0,50.0,13,18,75,,4.8,3,0.456,26,0.308,8,62.7,37,0.589,11.2,8,31,0.613,19,0.75,9,"Rose Hill Gym, Bronx, New York",JAMES-MADISON,James Madison,61.6,Home,FORDHAM,Fordham,James Madison,colonial,12,False,False,False,Away,False,4,12,52,22,59,8,19,57,0,1,82,212,674,0.4970326409495549,418,783,0.5338441890166028,75,227,702,0.48361823361823364,0.5833333333333334
13,2018-12-28-19-william-mary,64.0,16,13.9,5,111.3,82.4,28,0.527,55,0.455,25,0.345,19,0.8420000000000001,16,7,200,104.2,13.8,4,14,74,,7.0,5,0.345,19,0.42100000000000004,8,50.8,32,0.578,15.9,12,36,0.47200000000000003,17,0.5,7,"December 28, 2018",73.3,22,19.4,7,104.2,86.2,25,0.59,61,0.49200000000000005,30,0.24600000000000002,15,0.467,7,8,200,111.3,17.6,6,14,79,,7.0,5,0.41,25,0.48,12,49.2,31,0.58,10.6,8,36,0.5,18,0.385,5,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",JAMES-MADISON,James Madison,71.1,Home,WILLIAM-MARY,William & Mary,James Madison,colonial,13,False,False,False,Away,False,8,17,55,32,63,12,18,61,0,1,86,224,726,0.48622589531680444,440,842,0.5225653206650831,83,246,759,0.4881422924901186,0.5384615384615384
14,2018-12-30-16-elon,65.2,15,0.0,0,107.9,82.1,23,0.48200000000000004,56,0.41100000000000003,23,0.23199999999999998,13,0.846,11,8,200,103.2,40.0,12,24,65,,6.3,4,0.429,24,0.33299999999999996,8,60.3,35,0.523,17.4,13,32,0.469,15,0.467,7,"December 30, 2018",45.8,11,9.4,3,103.2,60.0,18,0.5710000000000001,49,0.49,24,0.327,16,0.75,12,10,200,107.9,17.9,5,16,68,,4.8,3,0.38799999999999996,19,0.42100000000000004,8,39.7,23,0.601,16.4,11,30,0.5329999999999999,16,0.33299999999999996,5,"Schar Center, Elon, North Carolina",JAMES-MADISON,James Madison,62.9,Home,ELON,Elon,James Madison,colonial,14,False,False,False,Away,False,8,15,56,35,58,8,16,49,0,1,94,241,781,0.48911651728553135,472,905,0.5215469613259669,95,264,820,0.49573170731707317,0.5
15,2019-01-03-19-james-madison,65.6,21,0.0,0,107.8,82.5,33,0.48,75,0.42700000000000005,32,0.253,19,0.737,14,10,250,111.7,37.5,15,18,86,,2.6,2,0.36,27,0.29600000000000004,8,60.0,48,0.512,11.7,11,48,0.5,24,0.33299999999999996,5,"January 3, 2019",61.5,16,0.0,0,111.7,62.5,25,0.541,61,0.426,26,0.426,26,0.654,17,9,250,107.8,17.5,7,20,83,,5.2,4,0.574,35,0.4,14,40.0,32,0.5660000000000001,8.8,7,26,0.462,12,0.43799999999999994,7,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,61.4,Away,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,James Madison,colonial,15,False,True,True,Home,False,14,12,61,32,80,8,24,75,0,1,102,256,837,0.4886499402628435,507,963,0.5264797507788161,103,280,869,0.5,0.4666666666666667
16,2019-01-05-16-james-madison,36.8,7,8.0,2,107.8,89.5,17,0.429,49,0.38799999999999996,19,0.38799999999999996,19,0.8420000000000001,16,3,200,90.6,21.9,7,15,58,,15.6,10,0.36700000000000005,18,0.222,4,47.1,24,0.5,18.5,13,31,0.484,15,0.812,13,"January 5, 2019",54.2,13,16.1,5,90.6,78.1,25,0.659,44,0.545,24,0.364,16,0.688,11,9,200,107.8,10.5,2,18,69,,9.4,6,0.43200000000000005,19,0.526,10,52.9,27,0.669,21.5,14,25,0.56,14,0.47100000000000003,8,"JMU Convocation Center, Harrisonburg, Virginia",COLLEGE-OF-CHARLESTON,College of Charleston,63.8,Home,JAMES-MADISON,James Madison,James Madison,colonial,16,True,False,True,Home,True,10,14,44,27,51,4,15,49,1,0,116,268,898,0.4922048997772829,539,1043,0.5167785234899329,111,304,944,0.4984110169491525,0.4375
17,2019-01-12-16-james-madison,29.6,8,10.0,2,121.3,69.6,16,0.46,63,0.429,27,0.20600000000000002,13,0.5379999999999999,7,13,200,106.6,39.4,13,20,65,,6.6,4,0.23800000000000002,15,0.267,4,51.8,29,0.47,8.0,6,48,0.479,23,0.278,5,"January 12, 2019",66.7,14,16.7,8,106.6,60.6,20,0.556,45,0.467,21,0.622,28,0.857,24,9,200,121.3,30.4,7,16,74,,4.9,3,0.556,25,0.32,8,48.2,27,0.635,12.2,8,20,0.65,13,0.5,9,"JMU Convocation Center, Harrisonburg, Virginia",TOWSON,Towson,60.7,Home,JAMES-MADISON,James Madison,James Madison,colonial,17,True,False,True,Home,True,8,13,45,27,56,4,23,63,1,0,126,282,942,0.5,566,1094,0.5173674588665448,115,319,993,0.4949647532729104,0.47058823529411764
18,2019-01-17-19-delaware,57.7,15,2.9,1,128.8,73.9,17,0.5,60,0.433,26,0.217,13,0.6920000000000001,9,10,200,116.9,30.6,11,17,69,,11.9,7,0.35,21,0.381,8,47.5,28,0.521,5.7,4,39,0.462,18,0.474,9,"January 17, 2019",53.6,15,2.6,1,116.9,69.4,25,0.64,50,0.56,28,0.28,14,0.857,12,7,200,128.8,26.1,6,13,76,,1.7,1,0.32,16,0.5,8,52.5,31,0.6709999999999999,13.8,9,34,0.588,20,0.65,13,"Bob Carpenter Center, Newark, Delaware",JAMES-MADISON,James Madison,59.4,Home,DELAWARE,Delaware,James Madison,colonial,18,False,False,False,Away,False,8,18,60,28,59,8,20,50,0,1,134,295,987,0.502532928064843,593,1150,0.5156521739130435,119,342,1056,0.4928977272727273,0.5
19,2019-01-19-14-drexel,46.4,13,9.3,4,97.3,77.1,27,0.478,68,0.41200000000000003,28,0.17600000000000002,12,0.25,3,11,200,90.7,17.5,7,22,68,,10.7,8,0.33799999999999997,23,0.391,9,45.3,34,0.461,12.0,10,45,0.42200000000000004,19,0.45,9,"January 19, 2019",46.2,12,2.2,1,90.7,82.5,33,0.474,58,0.44799999999999995,26,0.466,27,0.667,18,11,200,97.3,22.9,8,13,73,,9.3,7,0.259,15,0.2,3,54.7,41,0.515,13.6,11,43,0.535,23,0.47600000000000003,10,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",JAMES-MADISON,James Madison,75.3,Home,DREXEL,Drexel,James Madison,colonial,19,False,False,False,Away,False,9,19,68,34,75,3,23,58,0,1,142,313,1047,0.5023877745940784,621,1209,0.5136476426799007,127,362,1106,0.4995479204339964,0.47368421052631576
20,2019-01-24-19-james-madison,60.7,17,10.5,4,98.6,65.6,21,0.602,54,0.519,28,0.537,29,0.69,20,3,200,123.2,19.2,5,17,85,,11.6,8,0.37,20,0.45,9,44.8,26,0.627,9.5,7,34,0.5589999999999999,19,0.857,18,"January 24, 2019",48.0,12,8.8,3,123.2,80.8,21,0.491,58,0.431,25,0.259,15,0.733,11,12,200,98.6,34.4,11,23,68,,1.4,1,0.345,20,0.35,7,55.2,32,0.522,18.8,15,38,0.474,18,0.429,9,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,69.5,Away,HOFSTRA,Hofstra,James Madison,colonial,20,False,True,True,Home,False,7,18,58,32,58,9,19,54,0,1,151,332,1115,0.5008968609865471,655,1284,0.5101246105919003,130,385,1164,0.49828178694158076,0.45
21,2019-01-26-16-james-madison,58.3,14,10.3,4,101.5,78.4,29,0.509,58,0.414,24,0.379,22,0.8640000000000001,19,9,200,116.4,34.4,11,14,78,,6.0,4,0.517,30,0.36700000000000005,11,58.0,40,0.57,10.6,8,28,0.46399999999999997,13,0.5710000000000001,12,"January 26, 2019",45.8,11,10.7,3,116.4,65.6,21,0.45799999999999996,60,0.4,24,0.25,15,0.867,13,13,200,101.5,21.6,8,19,68,,9.0,6,0.35,21,0.33299999999999996,7,42.0,29,0.507,11.9,9,39,0.436,17,0.409,9,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,66.8,Away,NORTHEASTERN,Northeastern,James Madison,colonial,21,False,True,True,Home,False,7,17,60,29,69,11,13,58,0,1,158,350,1173,0.5004262574595055,687,1342,0.5119225037257824,139,404,1218,0.5028735632183908,0.42857142857142855
22,2019-01-31-19-college-of-charleston,45.0,9,12.5,4,114.8,92.3,24,0.42100000000000004,57,0.35100000000000003,20,0.08800000000000001,5,1.0,5,14,200,86.9,35.3,12,11,53,,4.9,3,0.456,26,0.308,8,60.0,36,0.446,19.1,14,31,0.387,12,0.391,9,"January 31, 2019",56.0,14,9.7,3,86.9,64.7,22,0.5589999999999999,51,0.49,25,0.275,14,0.929,13,6,200,114.8,7.7,2,14,70,,11.5,7,0.373,19,0.368,7,40.0,24,0.607,8.0,5,32,0.563,18,0.7390000000000001,17,"TD Arena, Charleston, South Carolina",JAMES-MADISON,James Madison,61.0,Home,COLLEGE-OF-CHARLESTON,College of Charleston,James Madison,colonial,22,False,False,False,Away,False,8,12,57,36,60,7,18,51,0,1,165,367,1233,0.4983779399837794,716,1411,0.5074415308291992,150,417,1276,0.5031347962382445,0.4090909090909091
23,2019-02-02-19-north-carolina-wilmington,40.6,13,2.4,1,125.0,57.6,19,0.685,54,0.593,32,0.611,33,0.909,30,14,200,136.8,9.1,2,25,104,,9.2,7,0.35200000000000004,19,0.526,10,38.2,21,0.746,12.7,10,35,0.629,22,0.41700000000000004,10,"February 2, 2019",45.5,15,11.4,4,136.8,90.9,20,0.5870000000000001,63,0.524,33,0.444,28,0.75,21,16,200,125.0,42.4,14,24,95,,7.9,6,0.33299999999999996,21,0.381,8,61.8,34,0.623,14.7,13,42,0.595,25,0.33299999999999996,8,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,76.5,Away,JAMES-MADISON,James Madison,James Madison,colonial,23,False,False,False,Away,True,10,22,54,21,55,8,25,63,1,0,173,379,1290,0.49496124031007754,752,1471,0.5112168592794017,157,435,1327,0.5052750565184627,0.391304347826087
24,2019-02-09-16-towson,50.0,12,0.0,0,108.2,82.8,24,0.44299999999999995,61,0.39299999999999996,24,0.14800000000000002,9,0.556,5,15,200,96.7,29.4,10,21,59,,6.6,4,0.361,22,0.273,6,54.0,34,0.452,11.0,8,39,0.462,18,0.4,10,"February 9, 2019",45.8,11,12.8,5,96.7,70.6,24,0.585,47,0.511,24,0.40399999999999997,19,0.579,11,16,200,108.2,17.2,5,14,66,,3.3,2,0.36200000000000004,17,0.41200000000000003,7,46.0,29,0.589,11.2,7,30,0.5670000000000001,17,0.36,9,"SECU Arena, Towson, Maryland",JAMES-MADISON,James Madison,60.7,Home,TOWSON,Towson,James Madison,colonial,24,False,False,False,Away,False,6,18,61,34,63,7,17,47,0,1,183,401,1344,0.5026041666666666,773,1526,0.5065530799475754,165,460,1390,0.5089928057553957,0.4166666666666667
25,2019-02-14-19-james-madison,38.5,10,7.3,3,104.4,66.7,18,0.419,68,0.382,26,0.25,17,0.706,12,15,200,101.5,33.3,13,14,69,,11.8,8,0.294,20,0.25,5,47.0,31,0.45299999999999996,9.6,8,48,0.43799999999999994,21,0.444,12,"February 14, 2019",50.0,15,6.3,3,101.5,66.7,26,0.604,53,0.5660000000000001,30,0.245,13,0.5379999999999999,7,15,200,104.4,33.3,9,15,71,,10.3,7,0.226,12,0.33299999999999996,4,53.0,35,0.6,20.3,15,41,0.634,26,0.423,11,"JMU Convocation Center, Harrisonburg, Virginia",DREXEL,Drexel,68.1,Home,JAMES-MADISON,James Madison,James Madison,colonial,25,True,False,True,Home,True,4,26,53,35,66,5,21,68,1,0,189,419,1405,0.5,807,1589,0.5078665827564506,172,477,1437,0.511482254697286,0.4
26,2019-02-16-20-james-madison,45.0,9,9.7,3,107.9,77.3,17,0.479,47,0.426,20,0.511,24,0.667,16,12,200,96.8,26.7,8,17,61,,6.3,4,0.298,14,0.35700000000000004,5,48.1,25,0.522,19.6,14,33,0.455,15,0.5710000000000001,16,"February 16, 2019",20.0,5,9.1,3,96.8,73.3,22,0.5820000000000001,49,0.51,25,0.28600000000000003,14,0.7859999999999999,11,15,200,107.9,22.7,5,21,68,,6.3,4,0.36700000000000005,18,0.389,7,51.9,27,0.611,16.6,11,31,0.581,18,0.444,12,"JMU Convocation Center, Harrisonburg, Virginia",DELAWARE,Delaware,63.0,Home,JAMES-MADISON,James Madison,James Madison,colonial,26,True,False,True,Home,True,7,18,49,27,52,5,15,47,1,0,193,445,1458,0.5037722908093278,842,1655,0.508761329305136,177,498,1505,0.5073089700996678,0.4230769230769231
