,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SACRAMENTO-STATE_homegame,SACRAMENTO-STATE_homegame2,SACRAMENTO-STATE_home,SACRAMENTO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-22-sacramento-state,52.6,10,12.5,7,96.2,70.3,26,0.342,60,0.317,19,0.3,18,0.611,11,0,200,65.8,25.0,10,17,52,,5.1,4,0.35,21,0.14300000000000002,3,46.8,36,0.379,23.6,21,39,0.41,16,0.0,0,"November 9, 2018",66.7,22,20.5,8,65.8,75.0,30,0.486,71,0.465,33,0.19699999999999998,14,0.5,7,0,200,96.2,29.7,11,22,76,,12.7,10,0.21100000000000002,15,0.2,3,53.2,41,0.489,13.5,12,56,0.536,30,1.0,1,"The Nest, Sacramento, California","Simpson
			","Simpson
			",79.1,Home,SACRAMENTO-STATE,Sacramento State,Sacramento State,big-sky,0,True,False,True,Home,True,3,30,71,41,77,3,16,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-20-22-california-davis,50.0,11,14.0,6,74.3,75.8,25,0.42100000000000004,57,0.386,22,0.24600000000000002,14,0.7140000000000001,10,0,200,78.4,34.3,12,14,58,,20.3,15,0.263,15,0.267,4,54.4,37,0.456,25.0,21,42,0.429,18,1.0,2,"November 20, 2018",36.4,8,9.5,4,78.4,65.7,23,0.43200000000000005,59,0.373,22,0.16899999999999998,10,0.4,4,5,200,74.3,24.2,8,18,55,,14.9,11,0.271,16,0.43799999999999994,7,45.6,31,0.431,23.1,19,43,0.349,15,0.16699999999999998,1,"Golden 1 Center, Sacramento, California",CALIFORNIA-DAVIS,UC-Davis,73.7,Away,SACRAMENTO-STATE,Sacramento State,Sacramento State,big-sky,1,False,False,False,Away,True,4,18,57,37,68,7,15,59,1,0,3,30,71,0.4859154929577465,41,77,0.5324675324675324,3,16,60,0.3416666666666667,1.0
2,2018-11-24-22-sacramento-state,46.9,15,5.7,3,96.7,65.9,29,0.5,66,0.485,32,0.364,24,0.667,16,5,225,91.1,16.2,6,24,82,,14.4,13,0.28800000000000003,19,0.105,2,43.2,35,0.53,19.0,18,47,0.638,30,0.28600000000000003,2,"November 24, 2018",64.5,20,4.3,2,91.1,83.8,31,0.47200000000000003,72,0.431,31,0.40299999999999997,29,0.655,19,0,225,96.7,34.1,15,21,87,,10.0,9,0.264,19,0.316,6,56.8,46,0.507,19.1,20,53,0.47200000000000003,25,1.0,3,"The Nest, Sacramento, California",CAL-STATE-FULLERTON,Cal State Fullerton,80.1,Home,SACRAMENTO-STATE,Sacramento State,Sacramento State,big-sky,2,True,False,True,Home,True,6,25,72,46,81,2,30,66,1,0,7,48,128,0.45703125,78,145,0.5379310344827586,10,31,119,0.3865546218487395,1.0
3,2018-11-29-22-california-santa-barbara,45.0,9,0.0,0,115.4,55.2,16,0.449,49,0.408,20,0.49,24,0.583,14,1,200,89.2,20.6,7,21,58,,7.7,5,0.28600000000000003,14,0.28600000000000003,4,36.5,23,0.48,16.8,12,35,0.457,16,0.75,3,"November 29, 2018",58.3,14,11.4,4,89.2,79.4,27,0.539,51,0.47100000000000003,24,0.51,26,0.769,20,1,200,115.4,44.8,13,18,75,,6.2,4,0.353,18,0.389,7,63.5,40,0.5920000000000001,19.4,15,33,0.515,17,0.857,6,"The Thunderdome, Santa Barbara, California",SACRAMENTO-STATE,Sacramento State,65.4,Home,CALIFORNIA-SANTA-BARBARA,UCSB,Sacramento State,big-sky,3,False,False,False,Away,False,4,16,49,23,63,7,17,51,0,1,13,73,200,0.4625,124,226,0.5486725663716814,12,61,185,0.42702702702702705,1.0
4,2018-12-01-22-cal-state-northridge,33.3,11,2.1,1,90.7,68.3,28,0.583,60,0.55,33,0.35,21,0.857,18,1,200,117.3,40.7,11,21,88,,12.0,9,0.25,15,0.267,4,57.4,39,0.629,19.7,17,45,0.644,29,0.8,4,"December 1, 2018",45.8,11,6.7,3,117.3,59.3,16,0.419,62,0.387,24,0.371,23,0.696,16,5,200,90.7,31.7,13,18,68,,10.7,8,0.242,15,0.267,4,42.6,29,0.466,17.2,15,47,0.426,20,0.16699999999999998,1,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,75.5,Away,SACRAMENTO-STATE,Sacramento State,Sacramento State,big-sky,4,False,False,False,Away,True,4,29,60,39,68,4,20,62,1,0,17,89,249,0.4598393574297189,147,289,0.5086505190311419,19,78,236,0.451271186440678,0.75
5,2018-12-08-22-portland,54.2,13,5.9,2,100.0,83.3,20,0.382,68,0.353,24,0.397,27,0.556,15,2,200,88.2,29.8,14,20,67,,14.5,11,0.27899999999999997,19,0.21100000000000002,4,47.9,34,0.414,11.1,10,49,0.408,20,0.667,4,"December 8, 2018",69.2,18,18.4,9,88.2,70.2,33,0.652,46,0.565,26,0.5,23,0.696,16,5,200,100.0,16.7,4,22,76,,2.6,2,0.261,12,0.667,8,52.1,37,0.6679999999999999,29.1,23,34,0.529,18,0.545,6,"Chiles Center, Portland, Oregon",SACRAMENTO-STATE,Sacramento State,76.4,Home,PORTLAND,Portland,Sacramento State,big-sky,5,False,False,False,Away,False,4,20,68,34,71,8,18,46,0,1,21,118,309,0.48381877022653724,186,357,0.5210084033613446,23,98,298,0.4446308724832215,0.8
6,2018-12-11-22-sacramento-state,60.0,12,1.9,1,112.5,89.3,25,0.42100000000000004,57,0.35100000000000003,20,0.228,13,0.615,8,0,200,77.8,23.7,9,22,56,,8.3,6,0.35100000000000003,20,0.4,8,51.5,34,0.44299999999999995,22.3,18,37,0.324,12,0.0,0,"December 11, 2018",71.4,25,10.8,4,77.8,76.3,29,0.629,58,0.603,35,0.293,17,0.47100000000000003,8,2,200,112.5,10.7,3,12,81,,12.5,9,0.10300000000000001,6,0.5,3,48.5,32,0.613,10.9,8,52,0.615,32,0.7140000000000001,5,"The Nest, Sacramento, California","Holy Names
			","Holy Names
			",71.6,Home,SACRAMENTO-STATE,Sacramento State,Sacramento State,big-sky,6,True,False,True,Home,True,3,32,58,32,66,8,12,57,1,0,25,138,377,0.46551724137931033,220,428,0.514018691588785,31,116,344,0.47238372093023256,0.6666666666666666
7,2018-12-13-22-sacramento-state,41.2,7,12.9,4,130.9,56.7,17,0.35600000000000004,52,0.327,17,0.17300000000000001,9,0.33299999999999996,3,0,200,58.8,11.1,4,19,40,,5.9,4,0.308,16,0.188,3,31.8,21,0.355,22.2,16,36,0.389,14,0.0,0,"December 13, 2018",65.6,21,13.9,5,58.8,88.9,32,0.625,60,0.5329999999999999,32,0.36700000000000005,22,0.636,14,2,200,130.9,43.3,13,13,89,,5.9,4,0.483,29,0.379,11,68.2,45,0.632,12.6,10,31,0.677,21,0.75,6,"The Nest, Sacramento, California","Westcliff
			","Westcliff
			",67.9,Home,SACRAMENTO-STATE,Sacramento State,Sacramento State,big-sky,7,True,False,True,Home,True,11,21,60,45,66,3,14,52,1,0,28,170,435,0.48735632183908045,252,494,0.5101214574898786,39,128,401,0.46508728179551123,0.7142857142857143
8,2018-12-21-21-washington,66.7,8,10.3,3,86.4,75.0,21,0.293,46,0.261,12,0.413,19,0.737,14,3,200,62.1,26.7,8,19,41,,7.6,5,0.304,14,0.214,3,50.0,29,0.373,26.9,20,32,0.281,9,0.667,6,"December 21, 2018",38.1,8,31.3,10,62.1,73.3,22,0.469,48,0.43799999999999994,21,0.354,17,0.706,12,4,200,86.4,25.0,7,22,57,,16.7,11,0.396,19,0.158,3,50.0,29,0.508,21.3,15,29,0.621,18,0.667,8,"Alaska Airlines Arena, Seattle, Washington",SACRAMENTO-STATE,Sacramento State,65.6,Home,WASHINGTON,Washington,Sacramento State,big-sky,8,False,False,False,Away,False,3,9,46,29,58,3,18,48,0,1,39,191,495,0.5040404040404041,297,560,0.5303571428571429,42,142,453,0.45253863134657835,0.75
9,2018-12-29-22-sacramento-state,57.7,15,5.3,3,92.9,62.5,20,0.596,52,0.5,26,0.25,13,0.615,8,5,200,100.0,14.8,4,16,70,,5.7,4,0.5579999999999999,29,0.345,10,40.7,24,0.602,19.5,14,23,0.696,16,0.583,7,"December 29, 2018",48.3,14,21.7,5,100.0,85.2,23,0.45399999999999996,65,0.446,29,0.12300000000000001,8,0.75,6,4,200,92.9,37.5,12,17,65,,10.0,7,0.12300000000000001,8,0.125,1,59.3,35,0.47200000000000003,18.0,15,57,0.491,28,0.6,6,"The Nest, Sacramento, California",SACRAMENTO-STATE,Sacramento State,70.0,Away,NORTHERN-COLORADO,Northern Colorado,Sacramento State,big-sky,9,False,True,True,Home,False,1,28,65,35,59,10,16,52,0,1,42,200,541,0.48613678373382624,326,618,0.5275080906148867,45,160,501,0.4540918163672655,0.6666666666666666
