,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-DAKOTA-STATE_homegame,SOUTH-DAKOTA-STATE_homegame2,SOUTH-DAKOTA-STATE_home,SOUTH-DAKOTA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-south-dakota-state,33.3,8,9.8,4,108.2,64.7,22,0.40700000000000003,70,0.34299999999999997,24,0.28600000000000003,20,0.85,17,1,200,101.4,26.7,12,21,74,,12.3,9,0.486,34,0.265,9,43.0,34,0.465,7.1,6,36,0.41700000000000004,15,0.0,0,"November 6, 2018",28.6,8,11.1,4,101.4,73.3,33,0.5429999999999999,58,0.483,28,0.44799999999999995,26,0.615,16,0,200,108.2,35.3,12,19,79,,4.1,3,0.293,17,0.41200000000000003,7,57.0,45,0.561,17.8,15,41,0.512,21,1.0,1,"Frost Arena, Brookings, South Dakota",GRAND-CANYON,Grand Canyon,73.4,Home,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,0,True,False,True,Home,True,7,21,58,45,79,9,15,70,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-08-20-south-dakota-state,22.7,5,16.1,5,121.9,60.7,17,0.5,53,0.415,22,0.321,17,0.47100000000000003,8,2,200,95.3,18.2,6,22,61,,7.8,5,0.415,22,0.409,9,37.7,23,0.499,13.0,9,31,0.419,13,0.0,0,"November 8, 2018",62.5,15,6.5,2,95.3,81.8,27,0.519,53,0.45299999999999996,24,0.47200000000000003,25,0.92,23,0,200,121.9,39.3,11,20,78,,7.8,5,0.415,22,0.318,7,62.3,38,0.601,14.7,11,31,0.5479999999999999,17,1.0,2,"Frost Arena, Brookings, South Dakota",ALABAMA-STATE,Alabama State,64.5,Home,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,1,True,False,True,Home,True,7,17,53,38,61,9,13,53,1,0,7,21,58,0.5431034482758621,45,79,0.569620253164557,9,15,70,0.40714285714285714,1.0
2,2018-11-10-17-south-dakota-state,31.8,7,2.3,1,116.2,82.8,24,0.462,53,0.415,22,0.34,18,0.778,14,0,200,85.1,16.7,5,26,63,,10.8,8,0.321,17,0.294,5,49.2,29,0.512,21.8,17,36,0.47200000000000003,17,0.0,0,"November 10, 2018",33.3,10,2.8,1,85.1,83.3,25,0.544,57,0.526,30,0.474,27,0.889,24,0,200,116.2,17.2,5,21,86,,12.2,9,0.24600000000000002,14,0.14300000000000002,2,50.8,30,0.616,12.7,10,43,0.6509999999999999,28,1.0,3,"Frost Arena, Brookings, South Dakota","Bemidji State
			","Bemidji State
			",74.2,Home,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,2,True,False,True,Home,True,2,28,57,30,59,5,17,53,1,0,14,38,111,0.5315315315315315,83,140,0.5928571428571429,18,28,123,0.44715447154471544,1.0
3,2018-11-16-20-florida-gulf-coast,37.9,11,2.3,1,107.7,74.3,26,0.569,58,0.5,29,0.276,16,0.75,12,1,200,100.0,17.2,5,25,78,,7.7,6,0.31,18,0.444,8,48.4,31,0.595,19.7,16,40,0.525,21,0.75,3,"November 16, 2018",30.3,10,5.0,2,100.0,82.8,24,0.537,68,0.485,33,0.324,22,0.5,11,2,200,107.7,25.7,9,17,84,,11.5,9,0.368,25,0.28,7,51.6,33,0.535,10.4,9,43,0.605,26,0.5,2,"Alico Arena, Fort Myers, Florida",SOUTH-DAKOTA-STATE,South Dakota State,77.5,Home,FLORIDA-GULF-COAST,Florida Gulf Coast,South Dakota State,summit,3,False,False,False,Away,False,8,21,58,31,64,7,26,68,0,1,16,66,168,0.5357142857142857,113,199,0.5678391959798995,23,45,176,0.45170454545454547,1.0
4,2018-11-19-11-tulane,57.1,16,2.2,1,110.5,82.9,29,0.565,62,0.452,28,0.27399999999999997,17,0.588,10,2,200,105.3,20.6,7,19,80,,2.6,2,0.435,27,0.519,14,52.2,36,0.5710000000000001,11.5,9,35,0.4,14,0.6,3,"November 19, 2018",30.0,9,5.7,2,105.3,79.4,27,0.507,68,0.441,30,0.33799999999999997,23,0.652,15,1,200,110.5,17.1,6,17,84,,6.6,5,0.324,22,0.409,9,47.8,33,0.532,7.1,6,46,0.457,21,0.667,2,"Germain Arena, Estero, Florida",SOUTH-DAKOTA-STATE,South Dakota State,75.5,Home,TULANE,Tulane,South Dakota State,summit,4,False,False,False,Away,False,14,14,62,36,69,9,21,68,0,1,24,87,226,0.5442477876106194,144,263,0.5475285171102662,30,71,244,0.47540983606557374,0.75
5,2018-11-20-11-south-dakota-state,36.0,9,2.9,1,132.0,70.8,17,0.419,68,0.368,25,0.41200000000000003,28,0.7859999999999999,22,5,200,105.3,22.5,9,18,79,,12.0,9,0.441,30,0.233,7,40.6,26,0.486,7.0,6,38,0.474,18,0.0,0,"November 20, 2018",36.1,13,10.5,4,105.3,77.5,31,0.708,60,0.6,36,0.28300000000000003,17,0.8240000000000001,14,2,200,132.0,29.2,7,21,99,,2.7,2,0.41700000000000004,25,0.52,13,59.4,38,0.727,14.0,11,35,0.657,23,0.667,4,"Germain Arena, Estero, Florida",TEXAS-SAN-ANTONIO,UTSA,75.2,Home,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,5,True,False,True,Home,True,13,23,60,38,64,7,18,68,1,0,38,101,288,0.5486111111111112,180,332,0.5421686746987951,39,92,312,0.4823717948717949,0.6
6,2018-11-21-13-colorado-state,34.5,10,0.0,0,92.9,74.4,29,0.556,62,0.46799999999999997,29,0.161,10,0.9,9,2,200,111.4,12.5,4,16,78,,2.9,2,0.355,22,0.5,11,46.5,33,0.584,8.3,6,40,0.45,18,0.7140000000000001,5,"November 21, 2018",25.0,6,10.0,4,111.4,87.5,28,0.424,66,0.364,24,0.242,16,0.563,9,2,200,92.9,25.6,10,16,65,,1.4,1,0.545,36,0.222,8,53.5,38,0.442,9.9,8,30,0.5329999999999999,16,0.667,4,"Germain Arena, Estero, Florida",COLORADO-STATE,Colorado State,70.2,Away,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,6,False,False,False,Away,True,11,18,62,33,71,8,16,66,1,0,51,124,348,0.5761494252873564,218,396,0.5505050505050505,46,110,380,0.4710526315789474,0.6666666666666666
7,2018-11-28-20-south-dakota-state,55.6,10,10.0,4,108.7,69.0,20,0.371,58,0.31,18,0.138,8,0.5,4,7,200,68.1,14.6,6,23,47,,7.2,5,0.534,31,0.226,7,37.1,26,0.38,17.4,13,27,0.40700000000000003,11,0.125,1,"November 28, 2018",46.4,13,14.8,4,68.1,85.4,35,0.535,57,0.491,28,0.40399999999999997,23,0.609,14,2,200,108.7,31.0,9,13,75,,7.2,5,0.298,17,0.294,5,62.9,44,0.552,14.1,11,40,0.575,23,0.75,6,"Frost Arena, Brookings, South Dakota",MISSOURI-KANSAS-CITY,UMKC,69.4,Home,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,7,True,False,True,Home,True,5,23,57,44,70,7,11,58,1,0,62,142,410,0.573170731707317,251,467,0.5374732334047109,54,126,446,0.4641255605381166,0.7142857142857143
8,2018-12-01-21-south-dakota-state,72.2,13,13.3,4,117.1,91.7,22,0.379,58,0.31,18,0.121,7,0.857,6,5,200,71.4,17.9,7,21,50,,8.6,6,0.603,35,0.22899999999999998,8,46.0,29,0.408,19.7,15,23,0.435,10,0.375,3,"December 1, 2018",76.0,19,4.3,1,71.4,82.1,32,0.5710000000000001,49,0.51,25,0.633,31,0.8390000000000001,26,2,200,117.1,8.3,2,13,82,,12.9,9,0.38799999999999996,19,0.316,6,54.0,34,0.643,11.3,8,30,0.633,19,0.778,7,"U.S. Bank Stadium, Minneapolis, Minnesota",NORTHERN-IOWA,Northern Iowa,69.5,Home,SOUTH-DAKOTA-STATE,South Dakota State,South Dakota State,summit,8,True,False,True,Home,True,6,19,49,34,63,8,10,58,1,0,67,165,467,0.5685224839400428,295,537,0.5493482309124768,61,137,504,0.45337301587301587,0.75
9,2018-12-04-21-memphis,51.9,14,5.0,2,108.6,64.5,20,0.575,60,0.45,27,0.267,16,0.688,11,3,200,98.8,29.4,10,21,80,,11.1,9,0.55,33,0.455,15,46.2,30,0.5920000000000001,25.5,23,27,0.444,12,0.7,7,"December 4, 2018",51.5,17,22.2,6,98.8,70.6,24,0.569,65,0.508,33,0.308,20,0.7,14,4,200,108.6,35.5,11,19,88,,11.1,9,0.385,25,0.32,8,53.8,35,0.591,18.7,17,40,0.625,25,0.5,4,"FedExForum, Memphis, Tennessee",SOUTH-DAKOTA-STATE,South Dakota State,80.6,Home,MEMPHIS,Memphis,South Dakota State,summit,9,False,False,False,Away,False,15,12,60,30,65,8,25,65,0,1,73,184,516,0.5687984496124031,329,600,0.5483333333333333,69,147,562,0.445729537366548,0.7777777777777778
