,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CAL-STATE-NORTHRIDGE_homegame,CAL-STATE-NORTHRIDGE_homegame2,CAL-STATE-NORTHRIDGE_home,CAL-STATE-NORTHRIDGE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-22-cal-state-northridge,33.3,9,7.7,4,102.4,71.8,28,0.625,52,0.519,27,0.5579999999999999,29,0.759,22,0,200,106.1,21.4,6,21,87,,9.8,8,0.5,26,0.423,11,50.7,34,0.6609999999999999,23.6,20,26,0.615,16,1.0,1,"November 6, 2018",54.5,18,3.8,1,106.1,78.6,22,0.507,72,0.45799999999999996,33,0.292,21,0.524,11,1,200,102.4,28.2,11,27,84,,15.9,13,0.278,20,0.35,7,49.3,33,0.512,14.7,14,52,0.5,26,0.0,0,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,82.4,Away,NEW-MEXICO,New Mexico,Cal State Northridge,big-west,0,False,True,True,Home,False,7,26,72,33,67,11,16,52,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-21-loyola-marymount,77.3,17,10.8,4,105.3,56.5,13,0.445,55,0.4,22,0.509,28,0.536,15,2,200,85.3,25.0,9,22,64,,12.0,9,0.23600000000000002,13,0.385,5,37.3,22,0.469,18.2,15,42,0.405,17,0.0,0,"November 13, 2018",63.0,17,7.1,3,85.3,75.0,27,0.555,55,0.491,27,0.418,23,0.7829999999999999,18,0,200,105.3,43.5,10,25,79,,14.7,11,0.327,18,0.389,7,62.7,37,0.599,23.5,20,37,0.541,20,1.0,3,"Albert Gersten Pavilion, Los Angeles, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,75.1,Home,LOYOLA-MARYMOUNT,Loyola Marymount,Cal State Northridge,big-west,1,False,False,False,Away,False,5,17,55,22,59,7,20,55,0,1,7,26,72,0.5069444444444444,33,67,0.4925373134328358,11,16,52,0.625,0.0
2,2018-11-17-21-cal-state-northridge,35.5,11,8.9,4,106.9,67.6,25,0.5539999999999999,65,0.47700000000000004,31,0.16899999999999998,11,0.727,8,2,200,111.1,27.3,9,21,80,,9.7,7,0.27699999999999997,18,0.556,10,48.6,34,0.57,13.6,11,47,0.447,21,0.5,2,"November 17, 2018",62.1,18,8.5,4,111.1,72.7,24,0.524,63,0.46,29,0.28600000000000003,18,0.611,11,3,200,106.9,32.4,12,20,77,,4.2,3,0.28600000000000003,18,0.444,8,51.4,36,0.5379999999999999,15.5,13,45,0.467,21,0.0,0,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,72.4,Away,PORTLAND,Portland,Cal State Northridge,big-west,2,False,True,True,Home,False,8,21,63,36,70,10,21,65,0,1,12,43,127,0.48031496062992124,55,126,0.4365079365079365,18,36,107,0.5887850467289719,0.0
3,2018-11-20-22-cal-state-northridge,65.4,17,0.0,0,100.0,82.1,23,0.485,66,0.39399999999999996,26,0.28800000000000003,19,0.684,13,3,200,96.3,21.6,8,27,77,,12.5,10,0.5,33,0.364,12,47.7,31,0.513,16.8,15,33,0.424,14,0.4,2,"November 20, 2018",60.7,17,12.1,4,96.3,78.4,29,0.604,53,0.528,28,0.528,28,0.5710000000000001,16,3,200,100.0,17.9,5,20,80,,8.8,7,0.396,21,0.381,8,52.3,34,0.603,20.7,17,32,0.625,20,0.25,1,"The Matadome, Northridge, California",TENNESSEE-STATE,Tennessee State,80.2,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west,3,True,False,True,Home,True,8,20,53,34,65,12,14,66,1,0,20,64,190,0.49473684210526314,91,196,0.4642857142857143,28,57,172,0.5755813953488372,0.0
4,2018-11-27-23-washington-state,48.7,19,14.7,5,119.8,78.1,25,0.5379999999999999,79,0.494,39,0.165,13,0.6920000000000001,9,4,200,109.3,28.9,11,18,94,,8.1,7,0.316,25,0.28,7,51.4,36,0.552,13.3,13,54,0.593,32,0.2,1,"November 27, 2018",75.0,27,7.4,4,109.3,71.1,27,0.621,70,0.514,36,0.28600000000000003,20,0.8,16,1,200,119.8,21.9,7,15,103,,5.8,5,0.514,36,0.41700000000000004,15,48.6,34,0.648,14.2,13,34,0.618,21,0.8,4,"Beasley Coliseum, Pullman, Washington",CAL-STATE-NORTHRIDGE,Cal State Northridge,86.3,Home,WASHINGTON-STATE,Washington State,Cal State Northridge,big-west,4,False,False,False,Away,False,7,32,79,36,70,15,21,70,0,1,28,84,243,0.5185185185185185,125,261,0.4789272030651341,40,71,238,0.5504201680672269,0.25
5,2018-12-01-22-cal-state-northridge,33.3,11,2.1,1,90.7,68.3,28,0.583,60,0.55,33,0.35,21,0.857,18,1,200,117.3,40.7,11,21,88,,12.0,9,0.25,15,0.267,4,57.4,39,0.629,19.7,17,45,0.644,29,0.8,4,"December 1, 2018",45.8,11,6.7,3,117.3,59.3,16,0.419,62,0.387,24,0.371,23,0.696,16,5,200,90.7,31.7,13,18,68,,10.7,8,0.242,15,0.267,4,42.6,29,0.466,17.2,15,47,0.426,20,0.16699999999999998,1,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,75.5,Away,SACRAMENTO-STATE,Sacramento State,Cal State Northridge,big-west,5,False,True,True,Home,False,4,20,62,29,68,4,29,60,0,1,35,116,322,0.5232919254658385,161,331,0.486404833836858,55,92,308,0.5665584415584416,0.2
6,2018-12-03-22-pepperdine,69.4,25,15.0,6,102.5,73.2,30,0.5660000000000001,68,0.529,36,0.27899999999999997,19,0.684,13,5,200,111.1,36.7,11,21,90,,8.6,7,0.235,16,0.313,5,57.7,41,0.584,17.3,16,52,0.596,31,0.28600000000000003,2,"December 3, 2018",58.6,17,9.6,5,111.1,63.3,19,0.507,69,0.42,29,0.304,21,0.619,13,3,200,102.5,26.8,11,20,83,,12.3,10,0.42,29,0.414,12,42.3,30,0.525,13.3,12,40,0.425,17,0.625,5,"Firestone Fieldhouse, Malibu, California",PEPPERDINE,Pepperdine,81.0,Away,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west,6,False,False,False,Away,True,5,31,68,41,71,12,17,69,1,0,39,136,384,0.5065104166666666,190,399,0.47619047619047616,59,121,368,0.5692934782608695,0.16666666666666666
7,2018-12-05-22-cal-state-northridge,55.6,15,18.4,7,105.6,83.3,20,0.509,58,0.466,27,0.32799999999999996,19,0.684,13,0,200,100.0,34.5,10,21,72,,4.2,3,0.24100000000000002,14,0.35700000000000004,5,56.6,30,0.537,17.4,14,44,0.5,22,0.0,0,"December 5, 2018",70.4,19,9.1,4,100.0,65.5,19,0.556,54,0.5,27,0.444,24,0.667,16,5,200,105.6,16.7,4,19,76,,6.9,5,0.29600000000000004,16,0.375,6,43.4,23,0.581,14.6,11,38,0.5529999999999999,21,0.375,3,"The Matadome, Northridge, California","Cal State San Marcos
			","Cal State San Marcos
			",71.7,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west,7,True,False,True,Home,True,6,21,54,23,53,5,22,58,1,0,44,167,452,0.5154867256637168,231,470,0.49148936170212765,71,138,437,0.5594965675057209,0.2857142857142857
8,2018-12-09-16-san-diego,72.4,21,8.1,3,113.9,80.0,24,0.508,60,0.483,29,0.2,12,0.583,7,6,200,94.4,20.0,6,11,68,,13.9,10,0.233,14,0.214,3,50.0,30,0.518,17.7,14,46,0.565,26,0.33299999999999996,3,"December 9, 2018",78.1,25,8.7,4,94.4,80.0,24,0.615,61,0.525,32,0.115,7,1.0,7,2,200,113.9,20.0,6,14,82,,11.1,8,0.39299999999999996,24,0.45799999999999996,11,50.0,30,0.637,15.8,12,37,0.568,21,0.8,8,"Jenny Craig Pavillion, San Diego, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,72.0,Home,SAN-DIEGO,San Diego,Cal State Northridge,big-west,8,False,False,False,Away,False,3,26,60,30,60,11,21,61,0,1,50,188,506,0.5197628458498024,254,523,0.48565965583174,76,160,495,0.5535353535353535,0.375
9,2018-12-16-18-cal-state-northridge,40.0,10,0.0,0,105.5,74.2,23,0.466,58,0.431,25,0.483,28,0.893,25,4,200,108.2,33.3,9,23,79,,11.0,8,0.259,15,0.267,4,55.2,32,0.5539999999999999,15.6,13,43,0.488,21,0.6920000000000001,9,"December 16, 2018",56.0,14,18.6,8,108.2,66.7,18,0.58,50,0.5,25,0.56,28,0.679,19,7,200,105.5,25.8,8,22,77,,11.0,8,0.36,18,0.444,8,44.8,26,0.608,20.4,16,32,0.531,17,0.3,3,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,73.3,Away,PACIFIC,Pacific,Cal State Northridge,big-west,9,False,True,True,Home,False,8,17,50,26,58,4,21,58,0,1,53,214,566,0.5185512367491166,284,583,0.48713550600343053,87,181,556,0.560251798561151,0.3333333333333333
