,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BOSTON-COLLEGE_homegame,BOSTON-COLLEGE_homegame2,BOSTON-COLLEGE_home,BOSTON-COLLEGE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-boston-college,72.2,13,13.9,5,105.8,70.6,24,0.33799999999999997,65,0.27699999999999997,18,0.2,13,0.6920000000000001,9,1,195,76.8,22.7,10,25,53,,1.4,1,0.415,27,0.29600000000000004,8,43.6,34,0.37200000000000005,10.2,8,38,0.263,10,0.0,0,"November 6, 2018",40.9,9,13.2,5,76.8,77.3,34,0.43799999999999994,56,0.39299999999999996,22,0.5710000000000001,32,0.75,24,0,195,105.8,29.4,10,13,73,,2.9,2,0.35700000000000004,20,0.25,5,56.4,44,0.513,10.2,8,36,0.47200000000000003,17,1.0,1,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",MILWAUKEE,Milwaukee,71.0,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,0,True,False,True,Home,True,5,17,56,44,78,8,10,65,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-13-boston-college,54.5,12,10.0,3,108.8,71.9,23,0.5489999999999999,51,0.431,22,0.41200000000000003,21,0.619,13,1,200,101.5,20.6,7,24,69,,2.9,2,0.588,30,0.4,12,45.5,30,0.5660000000000001,15.4,11,21,0.47600000000000003,10,0.5,1,"November 11, 2018",40.9,9,9.5,2,101.5,79.4,27,0.49,50,0.44,22,0.74,37,0.6759999999999999,25,0,200,108.8,28.1,9,19,74,,5.9,4,0.4,20,0.25,5,54.5,36,0.5479999999999999,16.4,13,30,0.5670000000000001,17,1.0,2,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",ST-FRANCIS-NY,St. Francis (NY),68.3,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,1,True,False,True,Home,True,5,17,50,36,66,12,10,51,1,0,5,17,56,0.4375,44,78,0.5641025641025641,8,10,65,0.3384615384615385,1.0
2,2018-11-14-19-boston-college,45.8,11,8.0,2,100.0,82.1,23,0.467,60,0.4,24,0.41700000000000004,25,0.8,20,1,200,110.1,40.5,15,23,76,,10.1,7,0.41700000000000004,25,0.32,8,58.5,38,0.529,14.5,12,35,0.457,16,0.667,2,"November 14, 2018",52.4,11,5.7,2,110.1,59.5,22,0.5429999999999999,46,0.457,21,0.63,29,0.655,19,1,200,100.0,17.9,5,19,69,,5.8,4,0.457,21,0.381,8,41.5,27,0.5770000000000001,20.3,15,25,0.52,13,0.667,2,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,69.3,Away,IUPUI,IUPUI,Boston College,acc,2,False,True,True,Home,False,8,13,46,27,65,8,16,60,0,1,10,34,106,0.46226415094339623,80,144,0.5555555555555556,20,20,116,0.43103448275862066,1.0
3,2018-11-19-21-boston-college,55.6,10,9.8,4,120.5,65.7,23,0.511,44,0.409,18,0.932,41,0.7559999999999999,31,4,200,104.1,18.5,5,24,76,,1.4,1,0.47700000000000004,21,0.429,9,45.2,28,0.599,16.2,12,23,0.391,9,0.2,1,"November 19, 2018",59.4,19,4.3,1,104.1,81.5,22,0.552,67,0.478,32,0.373,25,0.56,14,1,200,120.5,34.3,12,28,88,,9.6,7,0.38799999999999996,26,0.385,10,54.8,34,0.5579999999999999,9.3,8,41,0.537,22,0.75,3,"Suncoast Credit Union Arena, Fort Myers, Florida",WYOMING,Wyoming,72.7,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,3,True,False,True,Home,True,10,22,67,34,62,9,9,44,1,0,18,47,152,0.4868421052631579,107,209,0.5119617224880383,28,36,176,0.4431818181818182,0.6666666666666666
4,2018-11-21-19-boston-college,60.9,14,0.0,0,104.0,89.3,25,0.48200000000000004,55,0.418,23,0.29100000000000004,16,0.813,13,2,200,88.0,9.4,3,19,66,,13.3,10,0.436,24,0.292,7,46.7,28,0.527,18.4,14,31,0.516,16,0.667,4,"November 21, 2018",46.7,14,12.9,4,88.0,90.6,29,0.578,58,0.517,30,0.293,17,0.647,11,1,200,104.0,10.7,3,15,78,,5.3,4,0.36200000000000004,21,0.33299999999999996,7,53.3,32,0.59,16.6,13,37,0.622,23,0.8,4,"Suncoast Credit Union Arena, Fort Myers, Florida",LOYOLA-IL,Loyola (IL),74.8,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,4,True,False,True,Home,True,7,23,58,32,60,7,16,55,1,0,28,69,219,0.5068493150684932,141,271,0.5202952029520295,37,45,220,0.45681818181818185,0.75
5,2018-11-26-21-boston-college,68.4,13,3.2,1,98.6,74.2,23,0.331,65,0.292,19,0.262,17,0.765,13,1,200,81.2,26.7,12,23,56,,5.8,4,0.462,30,0.16699999999999998,5,46.1,35,0.38299999999999995,11.0,9,35,0.4,14,0.833,5,"November 26, 2018",56.0,14,14.3,5,81.2,73.3,33,0.519,53,0.47200000000000003,25,0.45299999999999996,24,0.542,13,1,200,98.6,25.8,8,18,68,,7.2,5,0.415,22,0.22699999999999998,5,53.9,41,0.528,15.9,12,31,0.645,20,0.833,5,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",MINNESOTA,Minnesota,69.2,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,5,True,False,True,Home,True,5,20,53,41,76,5,14,65,1,0,35,92,277,0.5216606498194946,173,331,0.5226586102719033,44,61,275,0.4618181818181818,0.8
6,2018-11-29-19-boston-college,67.9,19,4.9,2,103.8,79.4,27,0.444,72,0.389,28,0.153,11,0.818,9,5,200,93.6,24.4,10,20,73,,1.3,1,0.33299999999999996,24,0.33299999999999996,8,49.3,37,0.473,15.4,14,48,0.41700000000000004,20,0.375,3,"November 29, 2018",60.7,17,12.5,6,93.6,75.6,31,0.49200000000000005,62,0.452,28,0.419,26,0.769,20,1,200,103.8,20.6,7,12,81,,12.8,10,0.33899999999999997,21,0.23800000000000002,5,50.7,38,0.545,9.8,8,41,0.561,23,0.857,6,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",SACRED-HEART,Sacred Heart,78.3,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,6,True,False,True,Home,True,5,23,62,38,75,8,20,72,1,0,40,112,330,0.5212121212121212,214,407,0.5257985257985258,49,75,340,0.43676470588235294,0.8333333333333334
7,2018-12-04-19-boston-college,61.8,21,7.9,3,111.8,66.7,18,0.542,71,0.479,34,0.479,34,0.6759999999999999,23,2,225,117.6,33.3,13,29,100,,5.9,5,0.29600000000000004,21,0.429,9,47.0,31,0.574,10.4,10,50,0.5,25,0.778,7,"December 4, 2018",61.5,16,6.0,3,117.6,66.7,26,0.509,58,0.44799999999999995,26,0.7759999999999999,45,0.8,36,2,225,111.8,33.3,9,27,95,,9.4,8,0.345,20,0.35,7,53.0,35,0.598,17.1,16,38,0.5,19,0.75,6,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",BOSTON-COLLEGE,Boston College,75.8,Away,PROVIDENCE,Providence,Boston College,acc,7,False,True,True,Home,False,7,19,58,35,66,9,25,71,0,1,45,135,392,0.5165816326530612,252,482,0.5228215767634855,57,95,412,0.4381067961165049,0.8571428571428571
8,2018-12-12-19-boston-college,75.0,21,6.1,2,122.4,57.6,19,0.485,68,0.41200000000000003,28,0.132,9,0.778,7,7,200,109.0,25.0,10,18,73,,10.4,7,0.47100000000000003,32,0.313,10,39.7,29,0.505,7.7,6,36,0.5,18,0.3,3,"December 12, 2018",41.4,12,5.6,2,109.0,75.0,30,0.579,57,0.509,29,0.456,26,0.615,16,2,200,122.4,42.4,14,11,82,,6.0,4,0.42100000000000004,24,0.33299999999999996,8,60.3,44,0.591,12.7,10,33,0.636,21,0.778,7,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",COLUMBIA,Columbia,66.8,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,8,True,False,True,Home,True,8,21,57,44,73,10,18,68,1,0,52,154,450,0.5155555555555555,287,548,0.5237226277372263,66,120,483,0.453416149068323,0.75
9,2018-12-16-13-boston-college,76.9,20,2.7,1,101.3,76.3,29,0.516,64,0.406,26,0.031,2,0.5,1,9,200,88.2,8.6,3,18,67,,3.9,3,0.625,40,0.35,14,43.8,32,0.516,18.8,15,24,0.5,12,0.182,2,"December 16, 2018",41.7,10,25.0,6,88.2,91.4,32,0.483,58,0.414,24,0.5,29,0.7240000000000001,21,2,200,101.3,23.7,9,8,77,,13.2,10,0.36200000000000004,21,0.381,8,56.2,41,0.536,15.5,13,37,0.43200000000000005,16,0.8,8,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",FAIRFIELD,Fairfield,76.4,Home,BOSTON-COLLEGE,Boston College,Boston College,acc,9,True,False,True,Home,True,8,16,58,41,73,14,12,64,1,0,60,175,507,0.5226824457593688,331,621,0.533011272141707,76,138,551,0.4573502722323049,0.7777777777777778
