,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHERN-METHODIST_homegame,SOUTHERN-METHODIST_homegame2,SOUTHERN-METHODIST_home,SOUTHERN-METHODIST_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-08-20-southern-methodist,66.7,12,10.3,3,101.5,56.4,22,0.457,46,0.391,18,0.522,24,0.667,16,1,200,85.3,24.1,7,20,58,,10.3,7,0.457,21,0.28600000000000003,6,42.6,29,0.505,23.1,17,25,0.48,12,0.5,1,"November 8, 2018",68.0,17,20.0,5,85.3,75.9,22,0.45399999999999996,65,0.385,25,0.24600000000000002,16,0.625,10,0,200,101.5,43.6,17,16,69,,14.7,10,0.5539999999999999,36,0.25,9,57.4,39,0.475,15.3,13,29,0.552,16,1.0,1,"Moody Coliseum, Dallas, Texas",NORTHWESTERN-STATE,Northwestern State,68.0,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,0,True,False,True,Home,True,9,16,65,39,68,6,12,46,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-15-southern-methodist,70.4,19,21.4,6,101.6,70.6,24,0.609,55,0.491,27,0.16399999999999998,9,0.778,7,0,200,117.5,25.9,7,12,74,,7.9,5,0.436,24,0.542,13,50.8,31,0.624,15.7,11,31,0.452,14,1.0,2,"November 11, 2018",65.2,15,12.9,4,117.5,74.1,20,0.5,58,0.397,23,0.155,9,0.667,6,1,200,101.6,29.4,10,13,64,,9.5,6,0.517,30,0.4,12,49.2,30,0.514,13.9,10,28,0.39299999999999996,11,0.5,1,"Moody Coliseum, Dallas, Texas",SOUTHERN-METHODIST,SMU,62.8,Away,SOUTHERN-MISSISSIPPI,Southern Miss,Southern Methodist,aac,1,False,True,True,Home,False,12,11,58,30,61,13,14,55,0,1,9,16,65,0.45384615384615384,39,68,0.5735294117647058,6,12,46,0.45652173913043476,1.0
2,2018-11-14-20-southern-methodist,57.1,12,4.4,2,132.4,53.3,16,0.539,51,0.41200000000000003,21,0.275,14,0.7140000000000001,10,3,200,87.8,16.1,5,19,65,,4.1,3,0.608,31,0.419,13,34.4,21,0.564,26.9,21,20,0.4,8,0.0,0,"November 14, 2018",40.5,15,35.0,7,87.8,83.9,26,0.636,66,0.561,37,0.348,23,0.609,14,1,200,132.4,46.7,14,17,98,,14.9,11,0.318,21,0.47600000000000003,10,65.6,40,0.637,13.6,12,45,0.6,27,0.667,2,"Moody Coliseum, Dallas, Texas",WESTERN-CAROLINA,Western Carolina,74.3,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,2,True,False,True,Home,True,10,27,66,40,61,13,8,51,1,0,21,27,123,0.47560975609756095,69,129,0.5348837209302325,19,26,101,0.5396039603960396,0.5
3,2018-11-17-19-southern-methodist,84.0,21,2.6,1,94.8,67.5,27,0.547,53,0.47200000000000003,25,0.509,27,0.778,21,1,200,102.6,17.9,5,19,79,,6.5,5,0.491,26,0.308,8,47.1,32,0.6,20.8,17,27,0.63,17,0.75,3,"November 17, 2018",50.0,13,7.4,2,102.6,82.1,23,0.484,63,0.413,26,0.317,20,0.6,12,2,200,94.8,32.5,13,22,73,,11.7,9,0.397,25,0.36,9,52.9,36,0.503,18.2,16,38,0.447,17,0.5,2,"Moody Coliseum, Dallas, Texas",SOUTHERN-METHODIST,SMU,76.7,Away,LIPSCOMB,Lipscomb,Southern Methodist,aac,3,False,True,True,Home,False,9,17,63,36,68,8,17,53,0,1,31,54,189,0.5317460317460317,109,190,0.5736842105263158,32,34,152,0.5394736842105263,0.6666666666666666
4,2018-11-20-18-southern-methodist,34.6,9,17.9,5,93.9,67.7,21,0.5589999999999999,51,0.51,26,0.51,26,0.6920000000000001,18,1,200,113.6,34.6,9,15,75,,7.6,5,0.353,18,0.278,5,52.6,30,0.5920000000000001,16.1,12,33,0.636,21,0.8,4,"November 20, 2018",31.6,6,3.0,1,113.6,65.4,17,0.433,52,0.365,19,0.423,22,0.773,17,3,200,93.9,32.3,10,23,62,,6.1,4,0.462,24,0.292,7,47.4,27,0.496,18.5,14,28,0.429,12,0.4,2,"Hard Rock Hotel Riviera Maya, Cancun",SOUTHERN-METHODIST,SMU,66.4,Away,BRADLEY,Bradley,Southern Methodist,aac,4,False,True,True,Home,False,7,12,52,27,57,5,21,51,0,1,40,71,252,0.5198412698412699,145,258,0.562015503875969,40,51,205,0.5414634146341464,0.5
5,2018-11-21-18-southern-methodist,72.4,21,3.0,1,122.2,68.2,15,0.621,58,0.5,29,0.138,8,0.5,4,3,200,120.6,30.8,8,8,76,,9.5,6,0.466,27,0.519,14,47.9,23,0.615,14.0,10,31,0.484,15,0.5,3,"November 21, 2018",30.0,9,12.9,4,120.6,69.2,18,0.648,54,0.556,30,0.14800000000000002,8,0.875,7,3,200,122.2,31.8,7,13,77,,9.5,6,0.389,21,0.47600000000000003,10,52.1,25,0.6659999999999999,17.3,12,33,0.606,20,0.5,3,"Hard Rock Hotel Riviera Maya, Cancun",WRIGHT-STATE,Wright State,63.3,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,5,True,False,True,Home,True,10,20,54,25,48,14,15,58,1,0,47,83,304,0.5049342105263158,172,315,0.546031746031746,45,72,256,0.544921875,0.4
6,2018-11-27-20-southern-methodist,70.0,14,8.1,3,111.3,74.1,20,0.462,52,0.385,20,0.385,20,0.85,17,4,200,91.5,25.9,7,15,65,,12.7,9,0.5,26,0.308,8,50.0,27,0.528,20.8,16,26,0.462,12,0.429,3,"November 27, 2018",74.2,23,11.5,3,91.5,74.1,20,0.603,58,0.534,31,0.276,16,0.563,9,3,200,111.3,25.9,7,15,79,,12.7,9,0.36200000000000004,21,0.381,8,50.0,27,0.602,16.7,13,37,0.622,23,0.5710000000000001,4,"Moody Coliseum, Dallas, Texas",LAMAR,Lamar,71.1,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,6,True,False,True,Home,True,8,23,58,27,54,8,12,52,1,0,57,103,358,0.526536312849162,197,363,0.5426997245179064,59,87,314,0.5589171974522293,0.5
7,2018-11-29-20-southern-methodist,65.2,15,7.9,3,142.2,50.0,14,0.51,49,0.469,23,0.245,12,0.75,9,4,200,92.2,22.2,6,14,59,,3.1,2,0.34700000000000003,17,0.235,4,36.4,20,0.539,21.7,15,32,0.594,19,0.33299999999999996,2,"November 29, 2018",68.6,24,9.4,3,92.2,77.8,21,0.604,67,0.522,35,0.16399999999999998,11,0.909,10,3,200,142.2,50.0,14,13,91,,15.6,10,0.433,29,0.379,11,63.6,35,0.63,7.7,6,38,0.632,24,0.625,5,"Moody Coliseum, Dallas, Texas",MCNEESE-STATE,McNeese State,64.0,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,7,True,False,True,Home,True,11,24,67,35,55,4,19,49,1,0,65,126,416,0.5372596153846154,224,417,0.5371702637889688,67,99,366,0.5450819672131147,0.5714285714285714
8,2018-12-02-15-southern-methodist,66.7,16,5.1,2,133.9,55.2,16,0.545,55,0.436,24,0.145,8,0.875,7,7,200,113.6,25.8,8,18,67,,6.8,4,0.455,25,0.48,12,40.0,24,0.57,14.6,10,30,0.4,12,0.3,3,"December 2, 2018",55.2,16,13.3,4,113.6,74.2,23,0.589,56,0.518,29,0.304,17,0.765,13,3,200,133.9,44.8,13,11,79,,8.5,5,0.304,17,0.47100000000000003,8,60.0,36,0.616,9.9,7,39,0.5379999999999999,21,0.667,6,"Moody Coliseum, Dallas, Texas",ORAL-ROBERTS,Oral Roberts,59.4,Home,SOUTHERN-METHODIST,SMU,Southern Methodist,aac,8,True,False,True,Home,True,8,21,56,36,60,12,12,55,1,0,76,150,483,0.546583850931677,259,472,0.548728813559322,71,118,415,0.5409638554216868,0.625
9,2018-12-05-22-southern-methodist,64.0,16,13.9,5,93.7,51.5,17,0.5,59,0.424,25,0.16899999999999998,10,0.8,8,1,200,106.3,35.5,11,17,67,,11.1,7,0.45799999999999996,27,0.33299999999999996,9,43.8,28,0.525,11.2,8,32,0.5,16,0.857,6,"December 5, 2018",54.5,12,6.3,2,106.3,64.5,20,0.39299999999999996,61,0.361,22,0.262,16,0.688,11,4,200,93.7,48.5,16,12,59,,7.9,5,0.41,25,0.16,4,56.3,36,0.43,16.0,13,36,0.5,18,0.6,6,"Moody Coliseum, Dallas, Texas",SOUTHERN-METHODIST,SMU,63.2,Away,TEXAS-CHRISTIAN,TCU,Southern Methodist,aac,9,False,True,True,Home,False,4,18,61,36,64,9,16,59,0,1,84,171,539,0.5510204081632653,295,532,0.5545112781954887,83,130,470,0.5414893617021277,0.6666666666666666
