,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BROWN_homegame,BROWN_homegame2,BROWN_home,BROWN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-09-19-long-island-university,63.0,17,24.3,9,98.8,73.8,31,0.5539999999999999,56,0.48200000000000004,27,0.5539999999999999,31,0.613,19,1,200,96.4,18.8,6,26,81,,8.3,7,0.321,18,0.444,8,50.0,37,0.573,17.7,15,38,0.5,19,0.0,0,"November 9, 2018",32.0,8,13.2,5,96.4,81.3,26,0.433,67,0.373,25,0.537,36,0.6940000000000001,25,0,200,98.8,26.2,11,28,83,,9.5,8,0.44799999999999995,30,0.267,8,50.0,37,0.493,15.3,15,37,0.45899999999999996,17,1.0,2,"Steinberg Wellness Center, Brooklyn, New York",BROWN,Brown,83.9,Home,LONG-ISLAND-UNIVERSITY,LIU,Brown,ivy,0,False,False,False,Away,False,8,19,56,37,74,8,17,67,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-14-njit,42.9,9,6.5,2,91.3,75.9,22,0.42,56,0.375,21,0.375,21,0.619,13,2,200,87.0,24.3,9,19,60,,11.6,8,0.41100000000000003,23,0.217,5,47.0,31,0.455,17.7,14,33,0.485,16,0.0,0,"November 11, 2018",24.0,6,3.0,1,87.0,75.7,28,0.55,50,0.5,25,0.32,16,0.5,8,0,200,91.3,24.1,7,19,63,,13.0,9,0.38,19,0.263,5,53.0,35,0.547,21.9,16,31,0.645,20,1.0,3,"NJIT Wellness and Events Center, Newark, New Jersey",BROWN,Brown,68.8,Home,NJIT,NJIT,Brown,ivy,1,False,False,False,Away,False,5,16,56,31,66,5,20,50,0,1,8,19,56,0.5535714285714286,37,74,0.5,8,17,67,0.43283582089552236,0.0
2,2018-11-16-19-brown,55.6,15,10.5,4,96.5,77.1,27,0.535,57,0.474,27,0.33299999999999996,19,0.684,13,3,200,87.1,19.4,6,28,74,,4.7,4,0.368,21,0.33299999999999996,7,50.0,33,0.56,26.0,23,36,0.556,20,0.25,1,"November 16, 2018",65.4,17,13.9,5,87.1,80.6,25,0.5,60,0.433,26,0.55,33,0.667,22,2,200,96.5,22.9,8,21,82,,11.8,10,0.36700000000000005,22,0.364,8,50.0,33,0.542,20.3,19,38,0.474,18,0.33299999999999996,1,"Pizzitola Sports Center, Providence, Rhode Island",MASSACHUSETTS-LOWELL,UMass-Lowell,84.9,Home,BROWN,Brown,Brown,ivy,2,True,False,True,Home,True,8,18,60,33,66,7,20,57,1,0,13,35,112,0.48660714285714285,68,140,0.4857142857142857,13,37,117,0.4829059829059829,0.0
3,2018-11-17-18-brown,37.9,11,10.0,3,113.9,65.6,21,0.469,65,0.446,29,0.354,23,0.696,16,2,200,106.9,41.2,14,22,77,,12.5,9,0.262,17,0.17600000000000002,3,53.0,35,0.507,12.8,11,48,0.542,26,0.5,2,"November 17, 2018",63.0,17,8.3,4,106.9,58.8,20,0.5529999999999999,57,0.474,27,0.544,31,0.613,19,2,200,113.9,34.4,11,14,82,,9.7,7,0.474,27,0.33299999999999996,9,47.0,31,0.5720000000000001,13.5,11,30,0.6,18,0.5,2,"Pizzitola Sports Center, Providence, Rhode Island",SACRED-HEART,Sacred Heart,72.3,Home,BROWN,Brown,Brown,ivy,3,True,False,True,Home,True,9,18,57,31,66,3,26,65,1,0,21,53,172,0.49127906976744184,101,206,0.49029126213592233,20,57,174,0.5,0.3333333333333333
4,2018-11-18-16-brown,61.5,16,0.0,0,111.7,63.3,19,0.418,73,0.35600000000000004,26,0.12300000000000001,9,0.556,5,4,200,85.7,22.2,10,28,66,,9.1,7,0.507,37,0.243,9,38.7,29,0.42700000000000005,12.5,11,36,0.47200000000000003,17,0.2,1,"November 18, 2018",59.3,16,16.7,6,85.7,77.8,35,0.583,54,0.5,27,0.593,32,0.7190000000000001,23,2,200,111.7,36.7,11,17,86,,10.4,8,0.40700000000000003,22,0.409,9,61.3,46,0.621,20.9,18,32,0.563,18,0.6,3,"Pizzitola Sports Center, Providence, Rhode Island",ARMY,Army,77.2,Home,BROWN,Brown,Brown,ivy,4,True,False,True,Home,True,9,18,54,46,75,9,17,73,1,0,30,71,229,0.5065502183406113,132,272,0.4852941176470588,23,83,239,0.4916317991631799,0.5
5,2018-11-21-15-brown,54.2,13,0.0,0,129.7,70.6,24,0.51,52,0.462,24,0.308,16,0.688,11,0,200,86.5,13.8,4,22,64,,5.4,4,0.28800000000000003,15,0.33299999999999996,5,44.4,28,0.537,24.3,19,37,0.514,19,0.0,0,"November 21, 2018",68.8,22,2.7,1,86.5,86.2,25,0.621,62,0.516,32,0.46799999999999997,29,0.655,19,2,200,129.7,29.4,10,18,96,,13.5,10,0.565,35,0.371,13,55.6,35,0.633,9.7,8,27,0.7040000000000001,19,0.667,4,"Pizzitola Sports Center, Providence, Rhode Island","Salve Regina
			","Salve Regina
			",74.2,Home,BROWN,Brown,Brown,ivy,5,True,False,True,Home,True,13,19,62,35,63,5,19,52,1,0,39,89,283,0.5212014134275619,178,347,0.5129682997118156,32,100,312,0.47435897435897434,0.6
6,2018-11-25-18-brown,23.8,5,16.7,6,112.0,71.4,20,0.326,72,0.292,21,0.23600000000000002,17,0.765,13,4,200,80.0,32.0,16,20,60,,14.7,11,0.33299999999999996,24,0.20800000000000002,5,46.2,36,0.375,11.2,10,48,0.33299999999999996,16,0.2,1,"November 25, 2018",48.4,15,20.8,10,80.0,68.0,34,0.616,56,0.5539999999999999,31,0.375,21,0.7140000000000001,15,2,200,112.0,28.6,8,15,84,,10.7,8,0.35700000000000004,20,0.35,7,53.8,42,0.637,20.7,17,36,0.667,24,0.7140000000000001,5,"Pizzitola Sports Center, Providence, Rhode Island",BRYANT,Bryant,74.5,Home,BROWN,Brown,Brown,ivy,6,True,False,True,Home,True,7,24,56,42,78,5,16,72,1,0,52,108,345,0.5391304347826087,213,410,0.5195121951219512,37,119,364,0.4793956043956044,0.6666666666666666
7,2018-11-28-19-rhode-island,64.7,11,6.3,3,95.9,55.6,25,0.342,57,0.298,17,0.316,18,0.667,12,3,200,68.9,27.5,11,19,51,,10.8,8,0.509,29,0.172,5,42.4,36,0.389,22.6,19,28,0.429,12,0.625,5,"November 28, 2018",42.3,11,17.9,5,68.9,72.5,29,0.387,71,0.366,26,0.31,22,0.727,16,2,200,95.9,44.4,20,15,71,,16.2,12,0.324,23,0.13,3,57.6,49,0.436,13.9,13,48,0.479,23,0.6,3,"Ryan Center, Kingston, Rhode Island",BROWN,Brown,74.0,Home,RHODE-ISLAND,Rhode Island,Brown,ivy,7,False,False,False,Away,False,5,12,57,36,85,3,23,71,0,1,59,132,401,0.5498753117206983,255,488,0.5225409836065574,42,135,436,0.4541284403669725,0.7142857142857143
8,2018-12-01-16-navy,74.1,20,13.3,4,70.4,71.8,28,0.5429999999999999,58,0.466,27,0.10300000000000001,6,0.667,4,3,200,94.4,19.2,5,22,67,,11.3,8,0.466,27,0.33299999999999996,9,50.8,33,0.551,21.9,17,31,0.581,18,0.667,6,"December 1, 2018",57.1,8,9.7,3,94.4,80.8,21,0.324,54,0.259,14,0.315,17,0.882,15,5,200,70.4,28.2,11,15,50,,11.3,8,0.444,24,0.292,7,49.2,32,0.40299999999999997,23.6,19,30,0.233,7,0.28600000000000003,2,"Alumni Hall, Annapolis, Maryland",NAVY,Navy,71.5,Away,BROWN,Brown,Brown,ivy,8,False,False,False,Away,True,9,18,58,33,65,7,7,54,1,0,64,144,458,0.5240174672489083,291,573,0.5078534031413613,45,158,507,0.4447731755424063,0.625
9,2018-12-05-19-butler,45.0,9,13.8,4,107.7,79.3,23,0.4,55,0.364,20,0.23600000000000002,13,0.846,11,4,200,84.6,23.3,7,14,55,,6.2,4,0.418,23,0.174,4,50.8,30,0.45,15.3,11,32,0.5,16,0.6,6,"December 5, 2018",54.2,13,6.3,2,84.6,76.7,23,0.509,56,0.429,24,0.304,17,0.765,13,2,200,107.7,20.7,6,15,70,,4.6,3,0.48200000000000004,27,0.33299999999999996,9,49.2,29,0.546,9.9,7,29,0.517,15,0.75,6,"Hinkle Fieldhouse, Indianapolis, Indiana",BROWN,Brown,65.1,Home,BUTLER,Butler,Brown,ivy,9,False,False,False,Away,False,4,16,55,30,59,9,15,56,0,1,73,162,516,0.5261627906976745,324,638,0.5078369905956113,52,165,561,0.43315508021390375,0.6666666666666666
