,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTH-CAROLINA-STATE_homegame,SOUTH-CAROLINA-STATE_homegame2,SOUTH-CAROLINA-STATE_home,SOUTH-CAROLINA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-south-carolina-state,44.4,8,7.1,3,139.4,41.7,10,0.466,44,0.409,18,0.409,18,0.556,10,0,200,71.8,25.0,8,25,51,,7.0,5,0.273,12,0.41700000000000004,5,32.1,18,0.485,31.6,24,32,0.406,13,0.0,0,"November 6, 2018",38.2,13,6.3,2,71.8,75.0,24,0.675,57,0.596,34,0.544,31,0.71,22,0,200,139.4,58.3,14,19,99,,15.5,11,0.263,15,0.6,9,67.9,38,0.69,17.5,15,42,0.595,25,1.0,1,"SHM Memorial Center, Orangeburg, South Carolina","Brevard
			","Brevard
			",70.6,Home,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,0,True,False,True,Home,True,9,25,57,38,56,5,13,44,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-16-tulsa,55.6,10,2.9,1,113.8,72.0,18,0.371,58,0.31,18,0.259,15,0.6,9,1,200,80.0,25.6,10,19,52,,12.3,8,0.397,23,0.304,7,43.8,28,0.39899999999999997,12.2,9,35,0.314,11,0.5,1,"November 10, 2018",73.1,19,5.7,2,80.0,74.4,29,0.6,50,0.52,26,0.38,19,0.737,14,0,200,113.8,28.0,7,20,74,,3.1,2,0.32,16,0.5,8,56.3,36,0.627,19.3,14,34,0.529,18,1.0,2,"Donald W. Reynolds Center, Tulsa, Oklahoma",SOUTH-CAROLINA-STATE,South Carolina State,65.1,Home,TULSA,Tulsa,South Carolina State,meac,1,False,False,False,Away,False,7,11,58,28,64,8,18,50,0,1,9,25,57,0.6754385964912281,38,56,0.6785714285714286,5,13,44,0.4659090909090909,1.0
2,2018-11-13-19-charleston-southern,51.7,15,2.6,1,117.1,77.1,27,0.545,55,0.527,29,0.273,15,0.8,12,2,200,94.7,19.2,5,26,72,,2.6,2,0.16399999999999998,9,0.222,2,52.5,32,0.579,24.5,20,46,0.5870000000000001,27,0.33299999999999996,1,"November 13, 2018",45.2,14,8.7,4,94.7,80.8,21,0.556,62,0.5,31,0.46799999999999997,29,0.69,20,1,200,117.1,22.9,8,21,89,,13.2,10,0.371,23,0.304,7,47.5,29,0.5870000000000001,9.7,8,39,0.615,24,0.667,2,"CSU Fieldhouse, Charleston, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,76.5,Home,CHARLESTON-SOUTHERN,Charleston Southern,South Carolina State,meac,2,False,False,False,Away,False,2,27,55,32,61,7,24,62,0,1,16,36,115,0.5217391304347826,66,120,0.55,13,31,94,0.5372340425531915,0.5
3,2018-11-16-19-cleveland-state,24.0,6,3.1,1,125.4,60.7,17,0.48200000000000004,56,0.446,25,0.39299999999999996,22,0.682,15,3,200,103.0,44.4,12,23,69,,6.0,4,0.268,15,0.267,4,52.7,29,0.519,15.4,12,41,0.512,21,0.25,1,"November 16, 2018",55.2,16,7.3,3,103.0,55.6,15,0.568,59,0.49200000000000005,29,0.424,25,0.68,17,2,200,125.4,39.3,11,20,84,,4.5,3,0.45799999999999996,27,0.33299999999999996,9,47.3,26,0.593,10.3,8,32,0.625,20,0.5,2,"Wolstein Center, Cleveland, Ohio",SOUTH-CAROLINA-STATE,South Carolina State,67.2,Home,CLEVELAND-STATE,Cleveland State,South Carolina State,meac,3,False,False,False,Away,False,4,21,56,29,55,9,20,59,0,1,18,63,170,0.5294117647058824,98,181,0.5414364640883977,20,55,156,0.5448717948717948,0.3333333333333333
4,2018-11-18-14-ohio-state,13.0,3,0.0,0,121.9,70.8,17,0.395,62,0.371,23,0.226,14,0.857,12,4,200,83.6,25.0,10,29,61,,5.5,4,0.306,19,0.158,3,42.2,27,0.444,15.0,12,43,0.465,20,0.2,1,"November 18, 2018",64.3,18,7.0,3,83.6,75.0,30,0.618,51,0.5489999999999999,28,0.6859999999999999,35,0.743,26,0,200,121.9,29.2,7,17,89,,5.5,4,0.373,19,0.368,7,57.8,37,0.6579999999999999,18.4,15,32,0.6559999999999999,21,1.0,4,"Value City Arena, Columbus, Ohio",SOUTH-CAROLINA-STATE,South Carolina State,73.1,Home,OHIO-STATE,Ohio State,South Carolina State,meac,4,False,False,False,Away,False,3,20,62,27,64,7,21,51,0,1,22,84,226,0.5176991150442478,127,236,0.538135593220339,29,75,215,0.5511627906976744,0.25
5,2018-11-20-19-ipfw,56.0,14,4.2,1,97.3,87.1,27,0.43,64,0.391,25,0.266,17,0.765,13,5,200,91.9,31.3,10,24,68,,6.8,5,0.203,13,0.385,5,58.7,37,0.47200000000000003,16.4,14,51,0.392,20,0.16699999999999998,1,"November 20, 2018",34.8,8,15.7,8,91.9,68.8,22,0.589,45,0.511,23,0.778,35,0.5429999999999999,19,3,200,97.3,12.9,4,16,72,,6.8,5,0.467,21,0.33299999999999996,7,41.3,26,0.584,18.8,14,24,0.667,16,0.5,3,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",SOUTH-CAROLINA-STATE,South Carolina State,73.9,Home,IPFW,Purdue-Fort Wayne,South Carolina State,meac,5,False,False,False,Away,False,5,20,64,37,63,7,16,45,0,1,25,104,288,0.4913194444444444,154,300,0.5133333333333333,36,96,266,0.5639097744360902,0.2
6,2018-11-25-19-samford,50.0,11,8.6,3,113.2,63.6,14,0.42100000000000004,57,0.386,22,0.316,18,0.667,12,6,200,88.2,40.0,14,19,60,,7.4,5,0.263,15,0.267,4,49.1,28,0.45799999999999996,20.8,17,42,0.429,18,0.14300000000000002,1,"November 25, 2018",50.0,14,2.4,1,88.2,60.0,21,0.615,52,0.5379999999999999,28,0.327,17,0.765,13,1,200,113.2,36.4,8,17,77,,13.2,9,0.327,17,0.47100000000000003,8,50.9,29,0.6409999999999999,20.1,15,35,0.5710000000000001,20,0.875,7,"Pete Hanna Center, Birmingham, Alabama",SOUTH-CAROLINA-STATE,South Carolina State,67.8,Home,SAMFORD,Samford,South Carolina State,meac,6,False,False,False,Away,False,4,18,57,28,57,8,20,52,0,1,30,124,352,0.48011363636363635,191,363,0.5261707988980716,43,112,311,0.567524115755627,0.16666666666666666
7,2018-11-28-19-college-of-charleston,34.6,9,0.0,0,120.3,88.0,22,0.5,55,0.473,26,0.382,21,0.7140000000000001,15,7,200,101.4,16.7,5,17,70,,7.2,5,0.218,12,0.25,3,49.1,27,0.539,11.1,8,43,0.535,23,0.125,1,"November 28, 2018",46.4,13,11.6,5,101.4,83.3,25,0.66,47,0.596,28,0.638,30,0.7,21,2,200,120.3,12.0,3,19,83,,7.2,5,0.36200000000000004,17,0.353,6,50.9,28,0.6779999999999999,15.4,11,30,0.733,22,0.75,6,"TD Arena, Charleston, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,68.6,Home,COLLEGE-OF-CHARLESTON,College of Charleston,South Carolina State,meac,7,False,False,False,Away,False,3,23,55,27,55,6,22,47,0,1,34,142,409,0.4718826405867971,219,420,0.5214285714285715,51,132,363,0.5743801652892562,0.14285714285714285
8,2018-12-01-18-jacksonville,37.5,9,10.7,3,93.4,75.0,24,0.447,57,0.42100000000000004,24,0.40399999999999997,23,0.7829999999999999,18,8,200,90.8,29.4,10,21,69,,13.2,10,0.158,9,0.33299999999999996,3,51.5,34,0.508,21.1,18,48,0.43799999999999994,21,0.111,1,"December 1, 2018",58.3,14,27.1,13,90.8,70.6,24,0.5,56,0.429,24,0.35700000000000004,20,0.75,15,5,200,93.4,25.0,8,24,71,,9.2,7,0.5,28,0.28600000000000003,8,48.5,32,0.542,21.7,18,28,0.5710000000000001,16,0.444,4,"Swisher Gymnasium, Jacksonville, Florida",SOUTH-CAROLINA-STATE,South Carolina State,75.7,Home,JACKSONVILLE,Jacksonville,South Carolina State,meac,8,False,False,False,Away,False,3,21,57,34,66,8,16,56,0,1,37,165,464,0.47521551724137934,246,475,0.5178947368421053,57,154,410,0.5841463414634146,0.125
9,2018-12-06-19-south-carolina-state,45.8,11,6.8,3,116.9,58.1,18,0.446,65,0.369,24,0.262,17,0.647,11,0,200,89.6,18.9,7,24,69,,2.6,2,0.5379999999999999,35,0.28600000000000003,10,36.8,25,0.47200000000000003,14.2,12,30,0.467,14,0.0,0,"December 6, 2018",48.3,14,16.7,5,89.6,81.1,30,0.534,59,0.49200000000000005,29,0.61,36,0.75,27,8,200,116.9,41.9,13,17,90,,9.1,7,0.254,15,0.33299999999999996,5,63.2,43,0.591,13.8,12,44,0.545,24,0.2,2,"SHM Memorial Center, Orangeburg, South Carolina","Voorhees
			","Voorhees
			",76.6,Home,SOUTH-CAROLINA-STATE,South Carolina State,South Carolina State,meac,9,True,False,True,Home,True,5,24,59,43,68,10,14,65,1,0,40,186,521,0.472168905950096,280,541,0.5175600739371534,65,170,466,0.5740343347639485,0.1111111111111111
