,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WICHITA-STATE_homegame,WICHITA-STATE_homegame2,WICHITA-STATE_home,WICHITA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-wichita-state,40.9,9,3.4,1,78.4,77.1,27,0.48,50,0.44,22,0.68,34,0.6759999999999999,23,0,199,95.9,37.0,10,25,71,,8.1,6,0.32,16,0.25,4,59.7,37,0.537,21.7,18,34,0.529,18,1.0,1,"November 6, 2018",60.0,12,14.7,5,95.9,63.0,17,0.435,54,0.37,20,0.48100000000000004,26,0.423,11,1,199,78.4,22.9,8,27,58,,10.8,8,0.46299999999999997,25,0.28,7,40.3,25,0.43700000000000006,18.6,15,29,0.44799999999999995,13,0.0,0,"Charles Koch Arena, Wichita, Kansas",WICHITA-STATE,Wichita State,74.1,Away,LOUISIANA-TECH,Louisiana Tech,Wichita State,aac,0,False,True,True,Home,False,7,13,54,25,62,4,18,50,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-18-providence,63.3,19,12.9,4,109.6,57.6,19,0.6,60,0.5,30,0.317,19,0.579,11,1,200,113.7,44.4,12,20,83,,11.0,8,0.36700000000000005,22,0.545,12,51.7,31,0.601,19.0,16,38,0.474,18,0.5,1,"November 9, 2018",67.9,19,13.2,5,113.7,55.6,15,0.5579999999999999,60,0.467,28,0.433,26,0.5,13,1,200,109.6,42.4,14,17,80,,11.0,8,0.483,29,0.379,11,48.3,29,0.5529999999999999,17.4,15,31,0.5479999999999999,17,0.5,1,"Alumni Hall, Annapolis, Maryland",PROVIDENCE,Providence,73.2,Away,WICHITA-STATE,Wichita State,Wichita State,aac,1,False,False,False,Away,True,12,18,60,31,60,11,17,60,1,0,7,13,54,0.4351851851851852,25,62,0.4032258064516129,4,18,50,0.48,0.0
2,2018-11-15-19-wichita-state,47.4,9,11.4,4,77.9,70.7,29,0.433,52,0.365,19,0.26899999999999996,14,0.857,12,0,200,83.8,9.4,3,12,57,,5.9,4,0.5,26,0.26899999999999996,7,43.8,32,0.486,15.9,11,26,0.462,12,1.0,3,"November 15, 2018",55.0,11,7.7,2,83.8,90.6,29,0.369,65,0.308,20,0.12300000000000001,8,0.625,5,2,200,77.9,29.3,12,19,53,,8.8,6,0.462,30,0.267,8,56.2,41,0.385,14.9,12,35,0.34299999999999997,12,0.33299999999999996,1,"TD Arena, Charleston, South Carolina",WICHITA-STATE,Wichita State,67.7,Away,DAVIDSON,Davidson,Wichita State,aac,2,False,True,True,Home,False,8,12,65,41,73,7,12,52,0,1,19,31,114,0.5219298245614035,56,122,0.45901639344262296,15,35,110,0.5227272727272727,0.5
3,2018-11-16-16-wichita-state,53.8,14,5.1,2,117.1,65.5,19,0.573,55,0.473,26,0.436,24,0.542,13,3,200,108.6,22.6,7,16,76,,4.3,3,0.436,24,0.45799999999999996,11,43.3,26,0.5720000000000001,15.5,12,31,0.484,15,0.25,1,"November 16, 2018",50.0,15,9.7,3,108.6,77.4,24,0.585,59,0.508,30,0.28800000000000003,17,0.765,13,2,200,117.1,34.5,10,21,82,,8.6,6,0.33899999999999997,20,0.45,9,56.7,34,0.611,14.2,11,39,0.5379999999999999,21,0.5,2,"TD Arena, Charleston, South Carolina",APPALACHIAN-STATE,Appalachian State,69.7,Home,WICHITA-STATE,Wichita State,Wichita State,aac,3,True,False,True,Home,True,9,21,59,34,60,11,15,55,1,0,27,43,179,0.4664804469273743,97,195,0.49743589743589745,22,47,162,0.49382716049382713,0.3333333333333333
4,2018-11-18-13-wichita-state,56.0,14,2.6,1,122.9,67.6,23,0.602,49,0.51,25,0.6729999999999999,33,0.9390000000000001,31,1,200,128.6,28.6,6,19,90,,1.4,1,0.38799999999999996,19,0.474,9,52.7,29,0.696,14.8,11,30,0.5329999999999999,16,0.8,4,"November 18, 2018",31.0,9,10.0,3,128.6,71.4,15,0.516,62,0.46799999999999997,29,0.435,27,0.815,22,3,200,122.9,32.4,11,25,86,,8.6,6,0.371,23,0.261,6,47.3,26,0.575,7.5,6,39,0.59,23,0.4,2,"TD Arena, Charleston, South Carolina",WICHITA-STATE,Wichita State,69.8,Away,ALABAMA,Alabama,Wichita State,aac,4,False,True,True,Home,False,6,23,62,26,55,9,16,49,0,1,36,64,238,0.4957983193277311,131,255,0.5137254901960784,33,62,217,0.5138248847926268,0.5
5,2018-11-25-15-wichita-state,45.5,10,0.0,0,116.9,75.8,25,0.414,58,0.379,22,0.345,20,0.65,13,4,200,79.2,22.9,8,21,61,,3.9,3,0.44799999999999995,26,0.154,4,48.5,33,0.452,19.3,16,32,0.563,18,0.429,3,"November 25, 2018",70.0,21,6.3,2,79.2,77.1,27,0.523,64,0.469,30,0.469,30,0.767,23,3,200,116.9,24.2,8,20,90,,7.8,6,0.375,24,0.292,7,51.5,35,0.575,10.4,9,40,0.575,23,0.5,3,"Charles Koch Arena, Wichita, Kansas",RICE,Rice,77.4,Home,WICHITA-STATE,Wichita State,Wichita State,aac,5,True,False,True,Home,True,7,23,64,35,68,4,18,58,1,0,42,87,300,0.5,157,310,0.5064516129032258,42,78,266,0.5300751879699248,0.4
6,2018-12-01-20-wichita-state,21.7,5,17.6,6,97.3,64.7,22,0.40299999999999997,62,0.371,23,0.258,16,0.813,13,3,200,86.3,30.0,12,18,63,,5.5,4,0.355,22,0.182,4,45.9,34,0.45299999999999996,15.8,13,40,0.475,19,0.625,5,"December 1, 2018",50.0,13,7.5,3,86.3,70.0,28,0.47,66,0.39399999999999996,26,0.258,17,0.529,9,3,200,97.3,35.3,12,17,71,,8.2,6,0.485,32,0.313,10,54.1,40,0.479,16.0,14,34,0.47100000000000003,16,0.5710000000000001,4,"Charles Koch Arena, Wichita, Kansas",BAYLOR,Baylor,73.3,Home,WICHITA-STATE,Wichita State,Wichita State,aac,6,True,False,True,Home,True,10,16,66,40,74,4,19,62,1,0,49,110,364,0.5041208791208791,192,378,0.5079365079365079,46,96,324,0.5092592592592593,0.5
7,2018-12-08-12-oklahoma,33.3,5,5.9,2,108.1,60.6,20,0.282,62,0.242,15,0.242,15,0.867,13,4,200,64.9,24.4,11,17,48,,8.1,6,0.435,27,0.185,5,39.7,31,0.34700000000000003,17.9,15,35,0.28600000000000003,10,0.5,4,"December 8, 2018",38.5,10,5.7,2,64.9,75.6,34,0.525,59,0.441,26,0.373,22,0.818,18,1,200,108.1,39.4,13,15,80,,9.5,7,0.424,25,0.4,10,60.3,47,0.5760000000000001,20.8,18,34,0.47100000000000003,16,0.889,8,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",WICHITA-STATE,Wichita State,73.8,Home,OKLAHOMA,Oklahoma,Wichita State,aac,7,False,False,False,Away,False,5,10,62,31,78,10,16,59,0,1,59,126,430,0.49883720930232556,232,452,0.5132743362831859,50,115,386,0.49222797927461137,0.5714285714285714
8,2018-12-12-20-wichita-state,50.0,12,10.2,5,93.2,64.9,24,0.429,63,0.381,24,0.20600000000000002,13,0.846,11,4,200,87.8,16.7,6,15,65,,9.5,7,0.23800000000000002,15,0.4,6,41.1,30,0.47,14.9,12,48,0.375,18,0.556,5,"December 12, 2018",41.4,12,8.3,4,87.8,83.3,30,0.47,67,0.433,29,0.149,10,0.6,6,4,200,93.2,35.1,13,15,69,,5.4,4,0.26899999999999996,18,0.278,5,58.9,43,0.48100000000000004,16.4,14,49,0.49,24,0.556,5,"Charles Koch Arena, Wichita, Kansas",JACKSONVILLE-STATE,Jacksonville State,74.0,Home,WICHITA-STATE,Wichita State,Wichita State,aac,8,True,False,True,Home,True,5,24,67,43,73,6,18,63,1,0,64,136,492,0.4715447154471545,263,530,0.4962264150943396,60,131,445,0.4966292134831461,0.5
9,2018-12-15-17-wichita-state,52.6,10,7.1,3,87.5,64.9,24,0.442,52,0.365,19,0.5,26,0.5379999999999999,14,3,200,83.3,8.8,3,18,60,,9.7,7,0.385,20,0.4,8,38.0,27,0.466,13.6,10,32,0.344,11,0.7,7,"December 15, 2018",60.9,14,12.5,4,83.3,91.2,31,0.425,60,0.38299999999999995,23,0.38299999999999995,23,0.522,12,4,200,87.5,35.1,13,16,63,,6.9,5,0.3,18,0.278,5,62.0,44,0.444,17.6,15,42,0.429,18,0.6,6,"Intrust Bank Arena, Wichita, Kansas",SOUTHERN-MISSISSIPPI,Southern Miss,72.1,Home,WICHITA-STATE,Wichita State,Wichita State,aac,9,True,False,True,Home,True,5,18,60,44,71,8,11,52,1,0,69,160,559,0.47137745974955275,306,603,0.5074626865671642,66,149,508,0.4881889763779528,0.5555555555555556
