,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-WILMINGTON_homegame,NORTH-CAROLINA-WILMINGTON_homegame2,NORTH-CAROLINA-WILMINGTON_home,NORTH-CAROLINA-WILMINGTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-campbell,62.1,18,5.1,2,116.9,78.0,32,0.579,63,0.46,29,0.429,27,0.741,20,1,225,112.0,33.3,10,20,93,,3.6,3,0.46,29,0.517,15,59.2,42,0.613,19.4,18,34,0.41200000000000003,14,0.0,0,"November 6, 2018",63.6,21,8.8,3,112.0,66.7,20,0.5489999999999999,72,0.45799999999999996,33,0.33299999999999996,24,0.75,18,0,225,116.9,22.0,9,17,97,,13.3,11,0.45799999999999996,33,0.39399999999999996,13,40.8,29,0.5820000000000001,7.8,7,39,0.513,20,1.0,1,"John W. Pope Jr. Convocation Center, Buies Creek, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,73.4,Home,CAMPBELL,Campbell,UNC Wilmington,colonial,0,False,False,False,Away,False,15,14,63,42,71,13,20,72,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-north-carolina-wilmington,15.4,4,8.6,3,81.9,66.7,24,0.509,53,0.491,26,0.547,29,0.621,18,0,200,100.0,36.4,12,25,72,,20.8,15,0.28300000000000003,15,0.133,2,52.2,36,0.539,19.6,16,38,0.632,24,1.0,2,"November 9, 2018",47.4,9,5.3,2,100.0,63.6,21,0.38,54,0.35200000000000004,19,0.46299999999999997,25,0.72,18,2,200,81.9,33.3,12,26,59,,8.3,6,0.35200000000000004,19,0.158,3,47.8,33,0.44799999999999995,23.5,20,35,0.457,16,0.0,0,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,72.3,Away,STANFORD,Stanford,UNC Wilmington,colonial,1,False,True,True,Home,False,3,16,54,33,69,2,24,53,0,1,15,14,63,0.5793650793650794,42,71,0.5915492957746479,13,20,72,0.5486111111111112,0.0
2,2018-11-13-19-north-carolina-wilmington,29.4,10,2.9,1,84.7,74.2,23,0.633,60,0.5670000000000001,34,0.16699999999999998,10,0.6,6,1,200,113.9,23.1,6,17,82,,6.9,5,0.35,21,0.381,8,50.9,29,0.633,17.9,14,39,0.667,26,0.667,2,"November 13, 2018",45.5,10,5.1,2,113.9,76.9,20,0.46299999999999997,54,0.40700000000000003,22,0.259,14,0.7859999999999999,11,3,200,84.7,25.8,8,12,61,,4.2,3,0.35200000000000004,19,0.316,6,49.1,28,0.503,23.0,18,35,0.457,16,0.0,0,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,71.7,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Wilmington,colonial,2,False,True,True,Home,False,6,16,54,28,57,8,26,60,0,1,18,30,117,0.48717948717948717,75,140,0.5357142857142857,15,44,125,0.532,0.0
3,2018-11-18-14-north-carolina-wilmington,41.7,10,2.9,1,139.5,33.3,12,0.434,68,0.353,24,0.33799999999999997,23,0.652,15,0,200,91.4,26.7,12,23,74,,7.4,6,0.456,31,0.355,11,29.6,24,0.469,15.2,14,37,0.35100000000000003,13,0.0,0,"November 18, 2018",62.9,22,13.5,5,91.4,73.3,33,0.604,67,0.522,35,0.642,43,0.7440000000000001,32,3,200,139.5,66.7,24,21,113,,13.6,11,0.493,33,0.33299999999999996,11,70.4,57,0.6459999999999999,17.3,18,34,0.706,24,0.25,1,"Trask Coliseum, Wilmington, North Carolina","Allen
			","Allen
			",81.2,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,UNC Wilmington,colonial,3,True,False,True,Home,True,11,24,67,57,81,11,13,68,1,0,24,46,171,0.47953216374269003,103,197,0.5228426395939086,23,70,185,0.5648648648648649,0.0
4,2018-11-23-19-north-carolina-wilmington,24.0,6,11.6,5,109.9,69.2,18,0.46,63,0.397,25,0.175,11,0.545,6,3,200,90.1,17.6,6,19,64,,9.9,7,0.413,26,0.308,8,40.0,24,0.469,12.8,10,37,0.45899999999999996,17,0.25,1,"November 23, 2018",26.7,8,2.7,1,90.1,82.4,28,0.544,57,0.526,30,0.386,22,0.727,16,3,200,109.9,30.8,8,15,78,,7.0,5,0.24600000000000002,14,0.14300000000000002,2,60.0,36,0.578,14.2,11,43,0.6509999999999999,28,0.4,2,"U.S. Cellular Center, Asheville, North Carolina",ARKANSAS-STATE,Arkansas State,71.3,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,UNC Wilmington,colonial,4,True,False,True,Home,True,2,28,57,36,60,8,17,63,1,0,35,70,238,0.5147058823529411,160,278,0.5755395683453237,34,83,253,0.5296442687747036,0.25
5,2018-11-24-19-gardner-webb,43.5,10,8.8,3,111.0,79.3,23,0.55,50,0.46,23,0.42,21,0.81,17,4,200,98.6,12.5,3,24,72,,5.5,4,0.46,23,0.391,9,49.1,26,0.6,21.3,16,27,0.519,14,0.33299999999999996,2,"November 24, 2018",53.6,15,11.1,3,98.6,87.5,21,0.586,58,0.483,28,0.379,22,0.591,13,4,200,111.0,20.7,6,18,81,,9.6,7,0.414,24,0.5,12,50.9,27,0.5920000000000001,12.9,10,34,0.47100000000000003,16,0.33299999999999996,2,"U.S. Cellular Center, Asheville, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,72.7,Home,GARDNER-WEBB,Gardner-Webb,UNC Wilmington,colonial,5,False,False,False,Away,False,9,14,50,26,53,12,16,58,0,1,37,98,295,0.5203389830508475,196,338,0.5798816568047337,42,100,316,0.5158227848101266,0.4
6,2018-11-25-13-north-carolina-wilmington,32.0,8,2.6,1,118.8,68.2,15,0.518,57,0.439,25,0.14,8,0.75,6,3,200,94.2,17.9,5,13,65,,11.6,8,0.439,25,0.36,9,40.0,20,0.535,16.5,12,32,0.5,16,0.5,3,"November 25, 2018",54.5,18,3.1,1,94.2,82.1,23,0.653,59,0.5589999999999999,33,0.153,9,0.556,5,4,200,118.8,31.8,7,14,82,,8.7,6,0.35600000000000004,21,0.524,11,60.0,30,0.648,17.1,13,38,0.579,22,0.429,3,"U.S. Cellular Center, Asheville, North Carolina",EASTERN-ILLINOIS,Eastern Illinois,68.5,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,UNC Wilmington,colonial,6,True,False,True,Home,True,11,22,59,30,50,9,16,57,1,0,46,112,345,0.5246376811594203,222,391,0.5677749360613811,54,116,374,0.5267379679144385,0.3333333333333333
7,2018-11-27-19-north-carolina-wilmington,30.0,9,0.0,0,120.3,79.3,23,0.43799999999999994,72,0.41700000000000004,30,0.375,27,0.852,23,4,200,108.9,31.8,14,27,86,,2.5,2,0.222,16,0.188,3,50.7,37,0.507,11.6,11,56,0.48200000000000004,27,0.5,4,"November 27, 2018",69.0,20,8.9,5,108.9,68.2,30,0.618,55,0.527,29,0.618,34,0.794,27,4,200,120.3,20.7,6,22,95,,5.1,4,0.436,24,0.41700000000000004,10,49.3,36,0.6679999999999999,14.6,12,31,0.613,19,0.5,4,"Trask Coliseum, Wilmington, North Carolina",EAST-CAROLINA,East Carolina,79.5,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,UNC Wilmington,colonial,7,True,False,True,Home,True,10,19,55,36,73,3,27,72,1,0,57,134,404,0.5433168316831684,252,441,0.5714285714285714,63,132,431,0.525522041763341,0.42857142857142855
8,2018-12-01-19-north-carolina-wilmington,48.3,14,8.6,3,121.4,59.5,25,0.696,51,0.569,29,0.51,26,0.769,20,1,200,130.0,20.0,5,25,91,,4.3,3,0.569,29,0.44799999999999995,13,44.8,30,0.718,16.1,12,22,0.727,16,0.875,7,"December 1, 2018",64.3,18,0.0,0,130.0,80.0,20,0.531,64,0.43799999999999994,28,0.43799999999999994,28,0.607,17,5,200,121.4,40.5,17,26,85,,4.3,3,0.45299999999999996,29,0.414,12,55.2,37,0.55,10.5,9,35,0.457,16,0.444,4,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,69.8,Away,DAVIDSON,Davidson,UNC Wilmington,colonial,8,False,True,True,Home,False,12,16,64,37,67,13,16,51,0,1,67,153,459,0.5522875816993464,288,514,0.5603112840466926,66,159,503,0.5129224652087475,0.5
9,2018-12-05-21-north-carolina,59.1,13,2.0,1,112.8,57.5,23,0.419,62,0.355,22,0.33899999999999997,21,0.7140000000000001,15,6,200,80.2,27.9,12,19,67,,10.5,9,0.435,27,0.29600000000000004,8,42.2,35,0.479,26.0,25,35,0.4,14,0.4,4,"December 5, 2018",62.2,23,11.4,4,80.2,72.1,31,0.5329999999999999,75,0.493,37,0.373,28,0.607,17,2,200,112.8,42.5,17,19,97,14.0,15.1,13,0.32,24,0.25,6,57.8,48,0.5489999999999999,14.7,15,51,0.608,31,0.778,7,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,85.6,Home,NORTH-CAROLINA,UNC,UNC Wilmington,colonial,9,False,False,False,Away,False,8,14,62,35,83,6,31,75,0,1,79,169,523,0.5497131931166348,325,581,0.5593803786574871,79,175,554,0.529783393501805,0.4444444444444444
