,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,COLLEGE-OF-CHARLESTON_homegame,COLLEGE-OF-CHARLESTON_homegame2,COLLEGE-OF-CHARLESTON_home,COLLEGE-OF-CHARLESTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-college-of-charleston,42.3,11,2.1,1,121.4,47.6,20,0.49200000000000005,60,0.433,26,0.233,14,1.0,14,1,200,104.3,19.4,6,18,73,,1.4,1,0.45,27,0.259,7,35.6,26,0.5479999999999999,14.3,11,33,0.5760000000000001,19,0.0,0,"November 6, 2018",34.5,10,15.2,5,104.3,80.6,25,0.457,70,0.414,29,0.371,26,0.8079999999999999,21,0,200,121.4,52.4,22,14,85,,8.6,6,0.32899999999999996,23,0.261,6,64.4,47,0.516,8.9,8,47,0.489,23,1.0,1,"TD Arena, Charleston, South Carolina",PRESBYTERIAN,Presbyterian,70.0,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,0,True,False,True,Home,True,6,23,70,47,73,7,19,60,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-12-western-carolina,24.1,7,21.2,7,110.4,72.4,21,0.602,54,0.537,29,0.35200000000000004,19,0.632,12,0,200,114.9,26.7,8,16,77,,16.4,11,0.389,21,0.33299999999999996,7,49.2,29,0.611,15.0,11,33,0.667,22,1.0,2,"November 10, 2018",51.7,15,0.0,0,114.9,73.3,22,0.588,57,0.509,29,0.228,13,0.5379999999999999,7,2,200,110.4,27.6,8,19,74,,10.4,7,0.42100000000000004,24,0.375,9,50.8,30,0.586,17.2,13,33,0.606,20,0.0,0,"Ramsey Center, Cullowhee, North Carolina",WESTERN-CAROLINA,Western Carolina,67.1,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,1,False,False,False,Away,True,7,22,54,29,59,9,20,57,1,0,6,23,70,0.45714285714285713,47,73,0.6438356164383562,7,19,60,0.49166666666666664,1.0
2,2018-11-13-19-college-of-charleston,31.8,7,3.3,1,98.5,75.0,21,0.359,64,0.344,22,0.25,16,0.563,9,1,200,82.1,28.9,13,22,55,,6.0,4,0.313,20,0.1,2,46.6,34,0.384,11.2,9,44,0.455,20,0.5,1,"November 13, 2018",47.6,10,9.1,4,82.1,71.1,32,0.469,48,0.43799999999999994,21,0.563,27,0.778,21,0,200,98.5,25.0,7,21,66,,4.5,3,0.375,18,0.16699999999999998,3,53.4,39,0.5429999999999999,16.7,12,30,0.6,18,1.0,3,"TD Arena, Charleston, South Carolina",RHODE-ISLAND,Rhode Island,66.7,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,2,True,False,True,Home,True,3,18,48,39,73,2,20,64,1,0,13,45,124,0.5201612903225806,76,132,0.5757575757575758,16,39,117,0.5384615384615384,1.0
3,2018-11-18-16-oklahoma-state,52.2,12,3.4,1,101.4,75.9,22,0.425,60,0.38299999999999995,23,0.183,11,0.636,7,1,200,84.1,17.6,6,16,58,,8.7,6,0.433,26,0.192,5,44.4,28,0.445,13.4,10,34,0.529,18,0.75,3,"November 18, 2018",54.2,13,17.6,6,84.1,82.4,28,0.569,51,0.47100000000000003,24,0.373,19,0.632,12,1,200,101.4,24.1,7,13,70,,5.8,4,0.431,22,0.455,10,55.6,35,0.583,20.2,15,29,0.483,14,0.667,2,"Gallagher-Iba Arena, Stillwater, Oklahoma",COLLEGE-OF-CHARLESTON,College of Charleston,68.6,Home,OKLAHOMA-STATE,Oklahoma State,College of Charleston,colonial,3,False,False,False,Away,False,5,18,60,28,63,10,14,51,0,1,16,63,172,0.5058139534883721,115,205,0.5609756097560976,18,59,181,0.47513812154696133,1.0
4,2018-11-22-19-louisiana-state,44.4,8,3.1,1,104.7,82.6,19,0.387,53,0.34,18,0.415,22,0.636,14,2,200,85.9,28.2,11,14,55,,9.4,6,0.45299999999999996,24,0.20800000000000002,5,48.4,30,0.433,14.9,11,29,0.44799999999999995,13,0.6,3,"November 22, 2018",66.7,18,3.4,1,85.9,71.8,28,0.5770000000000001,52,0.519,27,0.192,10,0.7,7,0,200,104.7,17.4,4,18,67,19.0,10.9,7,0.385,20,0.3,6,51.6,32,0.59,17.5,12,32,0.6559999999999999,21,1.0,5,"HP Field House, Orlando, Florida",COLLEGE-OF-CHARLESTON,College of Charleston,64.1,Home,LOUISIANA-STATE,LSU,College of Charleston,colonial,4,False,False,False,Away,False,5,13,53,30,62,6,21,52,0,1,21,81,232,0.4849137931034483,143,268,0.5335820895522388,28,73,232,0.4956896551724138,0.75
5,2018-11-23-19-alabama-birmingham,31.0,9,9.8,4,78.5,61.1,22,0.615,52,0.5579999999999999,29,0.28800000000000003,15,0.667,10,2,200,113.8,17.4,4,11,74,,10.8,7,0.365,19,0.316,6,44.1,26,0.626,13.3,9,33,0.6970000000000001,23,0.667,4,"November 23, 2018",38.1,8,3.0,1,113.8,82.6,19,0.392,60,0.35,21,0.133,8,0.5,4,2,200,78.5,38.9,14,16,51,,10.8,7,0.317,19,0.263,5,55.9,33,0.4,21.1,17,41,0.39,16,0.6,3,"HP Field House, Orlando, Florida",ALABAMA-BIRMINGHAM,Alabama-Birmingham,65.5,Away,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,5,False,False,False,Away,True,6,23,52,26,59,5,16,60,1,0,26,94,285,0.4666666666666667,173,330,0.5242424242424243,34,94,284,0.5105633802816901,0.6
6,2018-11-25-18-college-of-charleston,53.6,15,3.0,1,105.4,82.9,29,0.588,57,0.491,28,0.24600000000000002,14,0.5710000000000001,8,3,200,101.4,27.6,8,23,75,,6.8,5,0.42100000000000004,24,0.45799999999999996,11,57.8,37,0.589,22.2,18,33,0.515,17,0.5,3,"November 25, 2018",48.0,12,6.1,2,101.4,72.4,21,0.508,60,0.41700000000000004,25,0.35,21,0.81,17,2,200,105.4,17.1,6,17,78,,10.8,8,0.45,27,0.40700000000000003,11,42.2,27,0.557,13.7,11,33,0.424,14,0.7140000000000001,5,"HP Field House, Orlando, Florida",MEMPHIS,Memphis,74.3,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,6,True,False,True,Home,True,11,14,60,27,64,11,17,57,1,0,32,117,337,0.4896142433234421,199,389,0.5115681233933161,39,110,344,0.4898255813953488,0.6666666666666666
7,2018-11-28-19-college-of-charleston,34.6,9,0.0,0,120.3,88.0,22,0.5,55,0.473,26,0.382,21,0.7140000000000001,15,7,200,101.4,16.7,5,17,70,,7.2,5,0.218,12,0.25,3,49.1,27,0.539,11.1,8,43,0.535,23,0.125,1,"November 28, 2018",46.4,13,11.6,5,101.4,83.3,25,0.66,47,0.596,28,0.638,30,0.7,21,2,200,120.3,12.0,3,19,83,,7.2,5,0.36200000000000004,17,0.353,6,50.9,28,0.6779999999999999,15.4,11,30,0.733,22,0.75,6,"TD Arena, Charleston, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,68.6,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,7,True,False,True,Home,True,6,22,47,28,55,3,23,55,1,0,43,131,397,0.4924433249370277,226,453,0.4988962472406181,50,127,401,0.5037406483790524,0.7142857142857143
8,2018-12-01-16-college-of-charleston,58.3,14,9.4,3,114.3,86.2,25,0.518,56,0.429,24,0.107,6,1.0,6,4,200,101.6,32.1,9,21,64,,3.2,2,0.41100000000000003,23,0.435,10,59.6,34,0.544,17.0,12,33,0.424,14,0.33299999999999996,2,"December 1, 2018",50.0,12,9.1,3,101.6,67.9,19,0.5,54,0.444,24,0.389,21,0.857,18,2,200,114.3,13.8,4,10,72,,11.1,7,0.40700000000000003,22,0.273,6,40.4,23,0.563,5.9,4,32,0.563,18,0.778,7,"TD Arena, Charleston, South Carolina",CHARLOTTE,Charlotte,62.9,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,8,True,False,True,Home,True,6,18,54,23,57,10,14,56,1,0,49,153,444,0.5101351351351351,254,508,0.5,53,150,456,0.5032894736842105,0.75
9,2018-12-09-14-college-of-charleston,56.5,13,9.7,3,117.6,81.8,18,0.45799999999999996,60,0.38299999999999995,23,0.3,18,0.778,14,0,200,93.2,23.7,9,18,69,,10.8,8,0.467,28,0.321,9,45.0,27,0.503,18.1,15,32,0.43799999999999994,14,0.0,0,"December 9, 2018",65.5,19,12.5,4,93.2,76.3,29,0.644,52,0.5579999999999999,29,0.462,24,0.833,20,2,200,117.6,18.2,4,13,87,,12.2,9,0.40399999999999997,21,0.429,9,55.0,33,0.6859999999999999,19.3,15,31,0.645,20,0.8,8,"TD Arena, Charleston, South Carolina","Georgia College
			","Georgia College
			",74.5,Home,COLLEGE-OF-CHARLESTON,College of Charleston,College of Charleston,colonial,9,True,False,True,Home,True,9,20,52,33,60,9,14,60,1,0,55,171,498,0.5090361445783133,277,565,0.4902654867256637,63,164,512,0.5048828125,0.7777777777777778
