,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-GREENSBORO_homegame,NORTH-CAROLINA-GREENSBORO_homegame2,NORTH-CAROLINA-GREENSBORO_home,NORTH-CAROLINA-GREENSBORO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-north-carolina-at,34.4,11,23.7,9,101.5,62.9,22,0.523,64,0.5,32,0.156,10,0.7,7,0,200,113.8,53.3,16,20,74,,12.3,8,0.266,17,0.17600000000000002,3,58.5,38,0.5379999999999999,17.0,14,47,0.617,29,1.0,1,"November 6, 2018",45.8,11,2.1,1,113.8,46.7,14,0.509,56,0.429,24,0.375,21,0.429,9,1,200,101.5,37.1,13,14,66,,10.8,7,0.321,18,0.5,9,41.5,27,0.5,14.4,11,38,0.395,15,0.0,0,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,65.4,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,0,False,False,False,Away,True,3,29,64,38,65,9,15,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-20-louisiana-state,61.8,21,13.9,5,126.0,66.7,16,0.725,60,0.5670000000000001,34,0.15,9,0.444,4,1,200,118.2,7.7,2,26,91,,9.1,7,0.55,33,0.5760000000000001,19,36.0,18,0.708,18.0,14,27,0.556,15,0.5,1,"November 9, 2018",53.3,16,11.1,3,118.2,92.3,24,0.639,54,0.556,30,0.574,31,0.903,28,0,200,126.0,33.3,8,14,97,23.0,11.7,9,0.33299999999999996,18,0.5,9,64.0,32,0.706,19.1,16,36,0.583,21,1.0,2,"Maravich Assembly Center, Baton Rouge, Louisiana",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,76.5,Home,LOUISIANA-STATE,LSU,UNC Greensboro,southern,1,False,False,False,Away,False,19,15,60,18,50,9,21,54,0,1,3,29,64,0.5234375,38,65,0.5846153846153846,9,15,56,0.5089285714285714,1.0
2,2018-11-13-19-north-carolina-wilmington,29.4,10,2.9,1,84.7,74.2,23,0.633,60,0.5670000000000001,34,0.16699999999999998,10,0.6,6,1,200,113.9,23.1,6,17,82,,6.9,5,0.35,21,0.381,8,50.9,29,0.633,17.9,14,39,0.667,26,0.667,2,"November 13, 2018",45.5,10,5.1,2,113.9,76.9,20,0.46299999999999997,54,0.40700000000000003,22,0.259,14,0.7859999999999999,11,3,200,84.7,25.8,8,12,61,,4.2,3,0.35200000000000004,19,0.316,6,49.1,28,0.503,23.0,18,35,0.457,16,0.0,0,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,71.7,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,2,False,False,False,Away,True,8,26,60,29,57,6,16,54,1,0,22,44,124,0.6209677419354839,56,115,0.48695652173913045,18,36,110,0.5727272727272728,0.5
3,2018-11-16-19-north-carolina-greensboro,50.0,10,2.0,1,132.9,62.5,20,0.439,57,0.35100000000000003,20,0.14,8,0.875,7,0,200,72.2,28.1,9,22,57,,6.3,5,0.491,28,0.35700000000000004,10,45.3,29,0.469,30.9,27,29,0.345,10,0.0,0,"November 16, 2018",42.5,17,17.2,5,72.2,71.9,23,0.611,72,0.556,40,0.292,21,0.81,17,1,200,132.9,37.5,12,10,105,,19.0,15,0.306,22,0.364,8,54.7,35,0.64,11.0,10,50,0.64,32,0.75,3,"Greensboro Coliseum, Greensboro, North Carolina","Johnson &amp; Wales (NC)
			","Johnson &amp; Wales (NC)
			",79.4,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,3,True,False,True,Home,True,8,32,72,35,64,10,10,57,1,0,30,70,184,0.625,85,172,0.4941860465116279,24,52,164,0.5365853658536586,0.6666666666666666
4,2018-11-19-19-north-carolina-greensboro,36.4,8,2.4,1,104.2,61.5,16,0.52,51,0.431,22,0.392,20,0.65,13,4,200,93.0,20.7,6,21,66,,11.3,8,0.353,18,0.5,9,40.0,22,0.545,19.0,14,33,0.39399999999999996,13,0.2,1,"November 19, 2018",44.4,12,12.1,4,93.0,79.3,23,0.475,59,0.45799999999999996,27,0.39,23,0.7829999999999999,18,1,200,104.2,38.5,10,18,74,,8.5,6,0.28800000000000003,17,0.11800000000000001,2,60.0,33,0.529,15.8,13,42,0.595,25,0.8,4,"Greensboro Coliseum, Greensboro, North Carolina",PRAIRIE-VIEW,Prairie View,70.7,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,4,True,False,True,Home,True,2,25,59,33,55,9,13,51,1,0,38,102,256,0.62109375,120,236,0.5084745762711864,34,62,221,0.5113122171945701,0.75
5,2018-11-23-19-delaware,51.7,15,5.9,2,95.6,80.6,25,0.579,57,0.509,29,0.40399999999999997,23,0.7829999999999999,18,1,200,123.5,17.2,5,21,84,,8.8,6,0.42100000000000004,24,0.33299999999999996,8,50.0,30,0.618,8.2,6,33,0.636,21,0.833,5,"November 23, 2018",68.2,15,9.1,3,123.5,82.8,24,0.52,50,0.44,22,0.36,18,0.722,13,2,200,95.6,19.4,6,19,65,,2.9,2,0.32,16,0.5,8,50.0,30,0.555,20.6,15,34,0.41200000000000003,14,0.667,4,"Bob Carpenter Center, Newark, Delaware",DELAWARE,Delaware,68.2,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,5,False,False,False,Away,True,8,21,57,30,60,8,14,50,1,0,40,127,315,0.5936507936507937,153,291,0.5257731958762887,43,75,272,0.5128676470588235,0.8
6,2018-11-24-17-louisiana-tech,53.6,15,4.7,2,104.3,73.2,30,0.615,52,0.5379999999999999,28,0.48100000000000004,25,0.64,16,1,200,114.3,29.6,8,19,80,,2.9,2,0.385,20,0.4,8,55.9,38,0.626,16.0,12,32,0.625,20,0.857,6,"November 24, 2018",37.9,11,12.5,4,114.3,70.4,19,0.47700000000000004,66,0.439,29,0.28800000000000003,19,0.526,10,2,200,104.3,26.8,11,21,73,,7.1,5,0.348,23,0.217,5,44.1,30,0.48700000000000004,9.7,8,43,0.5579999999999999,24,0.667,4,"Bob Carpenter Center, Newark, Delaware",LOUISIANA-TECH,Louisiana Tech,70.0,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,6,False,False,False,Away,True,8,20,52,38,68,5,24,66,1,0,48,148,372,0.5913978494623656,183,351,0.5213675213675214,51,89,322,0.5139751552795031,0.8333333333333334
7,2018-11-27-19-north-carolina-greensboro,54.5,6,2.7,1,140.5,67.7,21,0.33799999999999997,37,0.297,11,0.324,12,0.667,8,0,200,41.8,7.1,2,18,33,,2.5,2,0.486,18,0.16699999999999998,3,39.0,23,0.386,45.3,35,19,0.42100000000000004,8,0.0,0,"November 27, 2018",64.3,27,26.3,5,41.8,92.9,26,0.6779999999999999,73,0.575,42,0.28800000000000003,21,0.5710000000000001,12,1,200,140.5,32.3,10,14,111,,29.1,23,0.493,36,0.41700000000000004,15,61.0,36,0.669,9.9,9,37,0.73,27,0.875,7,"Greensboro Coliseum, Greensboro, North Carolina","Greensboro
			","Greensboro
			",78.8,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,7,True,False,True,Home,True,15,27,73,36,59,3,8,37,1,0,56,168,424,0.5943396226415094,221,419,0.5274463007159904,56,113,388,0.5077319587628866,0.8571428571428571
8,2018-12-01-13-kentucky,29.2,7,6.5,3,106.8,55.2,16,0.41,67,0.358,24,0.149,10,0.6,6,2,200,83.6,26.2,11,17,61,,11.0,8,0.299,20,0.35,7,38.0,27,0.425,13.3,11,47,0.36200000000000004,17,0.778,7,"December 1, 2018",42.9,12,8.5,4,83.6,73.8,31,0.526,58,0.483,28,0.414,24,0.708,17,1,200,106.8,44.8,13,15,78,10.0,6.8,5,0.207,12,0.41700000000000004,5,62.0,44,0.562,19.9,17,46,0.5,23,0.875,7,"Rupp Arena, Lexington, Kentucky",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,72.6,Home,KENTUCKY,Kentucky,UNC Greensboro,southern,8,False,False,False,Away,False,7,17,67,27,71,5,23,58,0,1,71,195,497,0.6066398390342053,257,478,0.5376569037656904,59,121,425,0.4929411764705882,0.875
9,2018-12-07-19-elon,51.9,14,0.0,0,102.8,63.9,23,0.5529999999999999,57,0.474,27,0.24600000000000002,14,0.857,12,2,200,104.2,17.9,5,21,75,,11.1,8,0.439,25,0.36,9,43.8,28,0.589,18.1,14,32,0.563,18,0.8,8,"December 7, 2018",55.6,15,3.1,1,104.2,82.1,23,0.534,59,0.45799999999999996,27,0.33899999999999997,20,0.55,11,7,200,102.8,36.1,13,13,74,,8.3,6,0.5589999999999999,33,0.273,9,56.3,36,0.54,19.1,16,26,0.6920000000000001,18,0.3,3,"Schar Center, Elon, North Carolina",ELON,Elon,72.1,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,UNC Greensboro,southern,9,False,False,False,Away,True,9,18,57,28,64,9,18,59,1,0,78,212,564,0.5833333333333334,284,549,0.517304189435337,64,144,483,0.4968944099378882,0.7777777777777778
