,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TEXAS-AM-CORPUS-CHRISTI_homegame,TEXAS-AM-CORPUS-CHRISTI_homegame2,TEXAS-AM-CORPUS-CHRISTI_home,TEXAS-AM-CORPUS-CHRISTI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-20-texas-am-corpus-christi,69.2,9,4.5,2,100.0,67.5,27,0.272,57,0.228,13,0.08800000000000001,5,0.6,3,0,200,42.0,20.0,8,28,34,,3.7,3,0.42100000000000004,24,0.20800000000000002,5,43.8,35,0.28600000000000003,32.9,29,33,0.242,8,0.0,0,"November 7, 2018",37.9,11,18.2,6,42.0,80.0,32,0.47,67,0.433,29,0.433,29,0.621,18,0,200,100.0,32.5,13,16,81,,16.0,13,0.34299999999999997,23,0.217,5,56.3,45,0.501,14.0,13,44,0.545,24,1.0,1,"American Bank Center, Corpus Christi, Texas","Howard Payne
			","Howard Payne
			",80.6,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland,0,True,False,True,Home,True,5,24,67,45,80,5,8,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-20-texas-am-corpus-christi,37.0,10,5.5,3,132.9,45.7,16,0.561,57,0.474,27,0.491,28,0.679,19,0,200,97.6,6.1,2,23,83,,8.2,7,0.42100000000000004,24,0.41700000000000004,10,26.5,18,0.59,19.7,17,33,0.515,17,0.0,0,"November 9, 2018",45.2,19,12.1,4,97.6,93.9,31,0.59,78,0.5379999999999999,42,0.359,28,0.75,21,0,200,132.9,54.3,19,22,113,,12.9,11,0.295,23,0.348,8,73.5,50,0.619,11.7,12,55,0.618,34,1.0,2,"Dugan Wellness Center, Corpus Christi, Texas","Our Lady of the Lake
			","Our Lady of the Lake
			",84.8,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland,1,True,False,True,Home,True,8,34,78,50,68,10,17,57,1,0,5,24,67,0.4701492537313433,45,80,0.5625,5,8,57,0.2719298245614035,1.0
2,2018-11-12-20-texas-am-corpus-christi,50.0,13,7.9,3,104.5,65.6,21,0.46,63,0.413,26,0.349,22,0.818,18,1,200,115.2,33.3,12,18,76,,6.1,4,0.28600000000000003,18,0.33299999999999996,6,48.5,33,0.517,8.8,7,45,0.444,20,0.667,2,"November 12, 2018",47.8,11,17.8,8,115.2,66.7,24,0.491,54,0.426,23,0.37,20,0.8,16,1,200,104.5,34.4,11,23,69,,1.5,1,0.29600000000000004,16,0.43799999999999994,7,51.5,35,0.5429999999999999,16.0,12,38,0.42100000000000004,16,0.667,2,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,66.5,Away,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas A&M-Corpus Christi,southland,2,False,True,True,Home,False,7,16,54,35,68,6,20,63,0,1,13,58,145,0.5344827586206896,95,148,0.6418918918918919,15,25,114,0.4166666666666667,1.0
3,2018-11-16-20-texas-arlington,60.0,18,6.9,2,95.7,71.9,23,0.516,63,0.47600000000000003,30,0.20600000000000002,13,0.615,8,1,200,104.3,39.4,13,17,73,,8.6,6,0.23800000000000002,15,0.33299999999999996,5,55.4,36,0.528,12.7,10,48,0.521,25,0.75,3,"November 16, 2018",39.1,9,10.4,5,104.3,60.6,20,0.426,61,0.377,23,0.344,21,0.7140000000000001,15,1,200,95.7,28.1,9,17,67,,5.7,4,0.525,32,0.188,6,44.6,29,0.47200000000000003,14.6,12,29,0.586,17,0.667,2,"College Park Center, Arlington, Texas",TEXAS-ARLINGTON,Texas-Arlington,70.1,Away,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland,3,False,False,False,Away,True,5,25,63,36,65,6,17,61,1,0,20,74,199,0.5226130653266332,130,216,0.6018518518518519,21,45,177,0.4322033898305085,0.6666666666666666
4,2018-11-17-15-california-davis,28.6,6,10.3,3,78.1,75.8,25,0.39799999999999996,59,0.35600000000000004,21,0.203,12,0.583,7,2,225,74.0,21.1,8,18,54,,11.0,8,0.35600000000000004,21,0.23800000000000002,5,46.5,33,0.41700000000000004,20.9,17,38,0.42100000000000004,16,0.6,3,"November 17, 2018",50.0,9,7.9,3,74.0,78.9,30,0.39299999999999996,56,0.321,18,0.28600000000000003,16,0.813,13,3,225,78.1,24.2,8,16,57,,9.6,7,0.48200000000000004,27,0.29600000000000004,8,53.5,38,0.44799999999999995,21.2,17,29,0.345,10,0.25,1,"College Park Center, Arlington, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,65.0,Home,CALIFORNIA-DAVIS,UC-Davis,Texas A&M-Corpus Christi,southland,4,False,False,False,Away,False,5,16,59,33,71,8,10,56,0,1,25,99,262,0.5209923664122137,166,281,0.5907473309608541,27,62,238,0.43067226890756305,0.75
5,2018-11-21-20-texas-am-corpus-christi,65.2,15,8.8,3,96.8,75.8,25,0.48200000000000004,57,0.40399999999999997,23,0.07,4,0.75,3,0,200,92.1,22.6,7,20,58,,6.3,4,0.42100000000000004,24,0.375,9,50.0,32,0.49200000000000005,15.8,11,33,0.424,14,0.0,0,"November 21, 2018",50.0,11,9.1,3,92.1,77.4,24,0.446,56,0.39299999999999996,22,0.33899999999999997,19,0.579,11,2,200,96.8,24.2,8,7,61,,7.9,5,0.39299999999999996,22,0.273,6,50.0,32,0.469,9.8,7,34,0.47100000000000003,16,0.667,4,"American Bank Center, Corpus Christi, Texas","St. Mary's (TX)
			","St. Mary's (TX)
			",63.5,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland,5,True,False,True,Home,True,6,16,56,32,64,9,14,57,1,0,30,115,321,0.4984423676012461,199,352,0.5653409090909091,35,72,294,0.42346938775510207,0.6
6,2018-11-26-20-texas-pan-american,56.5,13,2.9,1,100.0,78.6,22,0.48100000000000004,52,0.442,23,0.26899999999999996,14,0.643,9,3,200,86.8,26.7,8,22,59,,5.9,4,0.327,17,0.235,4,51.7,30,0.503,22.6,17,35,0.5429999999999999,19,0.5710000000000001,4,"November 26, 2018",72.7,16,17.1,6,86.8,73.3,22,0.49,51,0.431,22,0.41200000000000003,21,0.857,18,3,200,100.0,21.4,6,18,68,,10.3,7,0.33299999999999996,17,0.353,6,48.3,28,0.5579999999999999,18.9,14,34,0.47100000000000003,16,0.625,5,"UTRGV Fieldhouse, Edinburg, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,68.3,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Texas A&M-Corpus Christi,southland,6,False,False,False,Away,False,4,19,52,30,58,6,16,51,0,1,36,131,377,0.4907161803713528,231,416,0.5552884615384616,44,86,351,0.43304843304843305,0.6666666666666666
7,2018-12-02-12-tennessee,52.6,10,3.1,1,114.5,84.0,21,0.39799999999999996,59,0.322,19,0.102,6,0.667,4,4,200,73.9,21.1,8,19,51,,8.7,6,0.424,25,0.36,9,46.0,29,0.41200000000000003,18.5,14,34,0.294,10,0.5,4,"December 2, 2018",76.9,20,17.6,6,73.9,78.9,30,0.602,49,0.531,26,0.51,25,0.8,20,1,200,114.5,16.0,4,7,79,6.0,14.5,10,0.34700000000000003,17,0.41200000000000003,7,54.0,34,0.649,17.8,13,32,0.594,19,0.857,6,"Thompson-Boling Arena, Knoxville, Tennessee",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,68.9,Home,TENNESSEE,Tennessee,Texas A&M-Corpus Christi,southland,7,False,False,False,Away,False,9,10,59,29,63,7,19,49,0,1,40,150,429,0.48951048951048953,261,474,0.5506329113924051,50,102,402,0.44029850746268656,0.5714285714285714
8,2018-12-05-20-texas-am-corpus-christi,83.3,15,11.9,5,80.9,72.2,26,0.41100000000000003,45,0.4,18,0.644,29,0.828,24,1,200,89.7,25.9,7,19,61,,8.8,6,0.37799999999999995,17,0.059000000000000004,1,52.4,33,0.519,21.7,16,28,0.607,17,0.889,8,"December 5, 2018",40.9,9,17.9,5,89.7,74.1,20,0.41200000000000003,57,0.386,22,0.281,16,0.5,8,5,200,80.9,27.8,10,24,55,,10.3,7,0.263,15,0.2,3,47.6,30,0.426,16.9,13,42,0.452,19,0.444,4,"American Bank Center, Corpus Christi, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,67.7,Away,TEXAS-STATE,Texas State,Texas A&M-Corpus Christi,southland,8,False,True,True,Home,False,3,19,57,30,63,1,17,45,0,1,49,160,488,0.47848360655737704,290,537,0.5400372439478585,57,121,451,0.45787139689578715,0.5
9,2018-12-18-20-texas-am-corpus-christi,40.0,8,7.9,3,115.7,78.9,30,0.444,54,0.37,20,0.444,24,0.625,15,0,200,90.0,13.9,5,10,63,,4.3,3,0.48100000000000004,26,0.308,8,47.3,35,0.48200000000000004,12.2,9,28,0.429,12,0.0,0,"December 18, 2018",71.0,22,3.6,1,90.0,86.1,31,0.5670000000000001,67,0.46299999999999997,31,0.11900000000000001,8,0.625,5,5,200,115.7,21.1,8,19,81,,7.1,5,0.433,29,0.483,14,52.7,39,0.5720000000000001,9.0,7,38,0.447,17,0.5,5,"American Bank Center, Corpus Christi, Texas","Huston-Tillotson
			","Huston-Tillotson
			",69.6,Home,TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,southland,9,True,False,True,Home,True,14,17,67,39,74,8,12,54,1,0,52,179,545,0.47155963302752296,320,600,0.5333333333333333,58,138,496,0.4536290322580645,0.4444444444444444
