,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,XAVIER_homegame,XAVIER_homegame2,XAVIER_home,XAVIER_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-xavier,55.0,11,8.1,3,109.3,67.5,27,0.43799999999999994,56,0.35700000000000004,20,0.46399999999999997,26,0.769,20,1,200,92.0,22.9,8,22,69,,5.3,4,0.48200000000000004,27,0.33299999999999996,9,46.7,35,0.505,18.2,15,29,0.379,11,0.0,0,"November 6, 2018",58.1,18,20.7,6,92.0,77.1,27,0.5379999999999999,66,0.47,31,0.28800000000000003,19,0.579,11,0,200,109.3,32.5,13,22,82,,13.3,10,0.439,29,0.31,9,53.3,40,0.546,14.9,13,37,0.595,22,1.0,1,"Cintas Center, Cincinnati, Ohio",IUPUI,IUPUI,75.2,Home,XAVIER,Xavier,Xavier,big-east,0,True,False,True,Home,True,9,22,66,40,75,9,11,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-16-xavier,74.1,20,2.5,1,126.4,51.4,19,0.602,59,0.45799999999999996,27,0.305,18,0.778,14,2,200,118.1,9.4,3,25,85,,6.9,5,0.5589999999999999,33,0.515,17,31.9,22,0.629,11.9,9,26,0.385,10,0.0,0,"November 10, 2018",56.3,18,23.1,6,118.1,90.6,29,0.597,62,0.516,32,0.5,31,0.5479999999999999,17,0,200,126.4,48.6,18,21,91,,5.6,4,0.355,22,0.455,10,68.1,47,0.593,13.7,12,40,0.55,22,1.0,2,"Cintas Center, Cincinnati, Ohio",EVANSVILLE,Evansville,72.1,Home,XAVIER,Xavier,Xavier,big-east,1,True,False,True,Home,True,10,22,62,47,69,17,10,59,1,0,9,22,66,0.5378787878787878,40,75,0.5333333333333333,9,11,56,0.4375,1.0
2,2018-11-13-18-xavier,45.2,14,11.4,4,103.0,77.1,27,0.573,62,0.5,31,0.21,13,0.462,6,0,200,116.7,35.3,12,15,77,,6.1,4,0.258,16,0.563,9,56.5,39,0.565,9.4,7,46,0.478,22,1.0,2,"November 13, 2018",37.0,10,8.7,4,116.7,64.7,22,0.5,59,0.45799999999999996,27,0.271,16,0.563,9,1,200,103.0,22.9,8,17,68,,4.5,3,0.40700000000000003,24,0.20800000000000002,5,43.5,30,0.511,13.2,10,35,0.629,22,0.667,2,"Cintas Center, Cincinnati, Ohio",XAVIER,Xavier,65.9,Away,WISCONSIN,Wisconsin,Xavier,big-east,2,False,True,True,Home,False,5,22,59,30,69,9,22,62,0,1,19,44,128,0.56640625,87,144,0.6041666666666666,26,21,115,0.5217391304347826,1.0
3,2018-11-19-14-xavier,53.3,16,20.6,7,101.3,57.1,20,0.5379999999999999,66,0.455,30,0.364,24,0.708,17,0,225,112.8,31.6,12,23,88,8.0,12.8,10,0.53,35,0.314,11,43.8,32,0.568,13.6,12,31,0.613,19,1.0,4,"November 19, 2018",54.2,13,9.7,3,112.8,68.4,26,0.475,61,0.39299999999999996,24,0.39299999999999996,24,0.875,21,2,225,101.3,42.9,15,20,79,,9.0,7,0.44299999999999995,27,0.37,10,56.2,41,0.546,22.7,21,34,0.41200000000000003,14,0.5,2,"Lahaina Civic Center, Lahaina, Hawaii",XAVIER,Xavier,69.2,Away,AUBURN,Auburn,Xavier,big-east,3,False,True,True,Home,False,10,14,61,41,73,11,19,66,0,1,24,66,187,0.5454545454545454,117,213,0.5492957746478874,35,43,177,0.53954802259887,0.6666666666666666
4,2018-11-20-14-san-diego-state,42.9,12,4.2,1,121.5,62.5,15,0.5329999999999999,60,0.467,28,0.25,15,0.667,10,3,200,113.8,28.6,8,20,74,,10.8,7,0.41700000000000004,25,0.32,8,44.2,23,0.551,10.7,8,35,0.5710000000000001,20,0.4,2,"November 20, 2018",65.4,17,17.1,6,113.8,71.4,20,0.618,51,0.51,26,0.392,20,0.8,16,1,200,121.5,37.5,9,18,79,,3.1,2,0.529,27,0.40700000000000003,11,55.8,29,0.653,16.7,12,24,0.625,15,0.75,3,"Lahaina Civic Center, Lahaina, Hawaii",XAVIER,Xavier,65.3,Home,SAN-DIEGO-STATE,San Diego State,Xavier,big-east,4,False,False,False,Away,False,8,20,60,23,52,11,15,51,0,1,34,80,248,0.5282258064516129,158,286,0.5524475524475524,46,62,243,0.5390946502057613,0.5
5,2018-11-21-21-illinois,45.2,14,8.8,3,101.4,79.4,27,0.648,54,0.574,31,0.40700000000000003,22,0.591,13,3,200,113.7,34.6,9,18,83,,8.2,6,0.37,20,0.4,8,60.0,36,0.644,21.1,17,34,0.6759999999999999,23,0.5,3,"November 21, 2018",65.4,17,0.0,0,113.7,65.4,17,0.5529999999999999,57,0.456,26,0.298,17,0.647,11,4,200,101.4,20.6,7,20,74,,11.0,8,0.40399999999999997,23,0.478,11,40.0,24,0.569,19.9,16,34,0.441,15,0.2,1,"Lahaina Civic Center, Lahaina, Hawaii",ILLINOIS,Illinois,73.3,Away,XAVIER,Xavier,Xavier,big-east,5,False,False,False,Away,True,8,23,54,36,60,11,15,57,1,0,42,100,308,0.5292207792207793,181,338,0.5355029585798816,57,77,294,0.5527210884353742,0.4
6,2018-11-28-18-xavier,42.9,9,7.7,3,126.2,82.1,23,0.389,63,0.33299999999999996,21,0.175,11,0.545,6,4,200,84.6,36.4,16,13,55,,3.1,2,0.46,29,0.24100000000000002,7,54.2,39,0.40299999999999997,16.1,13,34,0.41200000000000003,14,0.429,3,"November 28, 2018",45.5,15,14.7,5,84.6,63.6,28,0.598,61,0.541,33,0.19699999999999998,12,0.75,9,3,200,126.2,17.9,5,11,82,,13.8,9,0.361,22,0.318,7,45.8,33,0.615,4.3,3,39,0.667,26,0.5710000000000001,4,"Cintas Center, Cincinnati, Ohio",MIAMI-OH,Miami (OH),65.0,Home,XAVIER,Xavier,Xavier,big-east,6,True,False,True,Home,True,7,26,61,33,72,7,14,63,1,0,50,123,362,0.5469613259668509,217,398,0.5452261306532663,68,92,351,0.5527065527065527,0.5
7,2018-12-01-12-xavier,60.0,15,7.5,3,117.7,62.5,20,0.545,56,0.446,25,0.125,7,0.28600000000000003,2,5,200,101.6,23.5,8,18,63,,6.5,4,0.5,28,0.39299999999999996,11,42.4,28,0.531,15.7,11,28,0.5,14,0.375,3,"December 1, 2018",48.0,12,3.6,1,101.6,76.5,26,0.491,55,0.455,25,0.418,23,0.826,19,3,200,117.7,37.5,12,14,73,,14.5,9,0.273,15,0.267,4,57.6,38,0.5539999999999999,10.9,8,40,0.525,21,0.625,5,"Cintas Center, Cincinnati, Ohio",OAKLAND,Oakland,62.1,Home,XAVIER,Xavier,Xavier,big-east,7,True,False,True,Home,True,4,21,55,38,66,11,14,56,1,0,57,149,423,0.5543735224586288,250,470,0.5319148936170213,75,106,414,0.5277777777777778,0.5714285714285714
8,2018-12-05-18-xavier,56.5,13,5.7,2,118.8,70.8,17,0.52,50,0.46,23,0.3,15,0.6,9,3,200,88.4,17.9,5,16,61,,14.5,10,0.32,16,0.375,6,42.3,22,0.534,22.0,16,34,0.5,17,0.625,5,"December 5, 2018",51.6,16,5.9,2,88.4,82.1,23,0.648,54,0.574,31,0.33299999999999996,18,0.667,12,3,200,118.8,29.2,7,13,82,,11.6,8,0.35200000000000004,19,0.42100000000000004,8,57.7,30,0.655,19.5,15,35,0.657,23,0.667,6,"Cintas Center, Cincinnati, Ohio",OHIO,Ohio,69.3,Home,XAVIER,Xavier,Xavier,big-east,8,True,False,True,Home,True,8,23,54,30,52,6,17,50,1,0,61,170,478,0.547071129707113,288,536,0.5373134328358209,86,120,470,0.5297872340425532,0.625
9,2018-12-08-14-cincinnati,44.4,8,4.9,2,106.9,62.5,20,0.402,51,0.353,18,0.17600000000000002,9,0.667,6,4,200,81.0,25.0,7,14,47,,5.2,3,0.49,25,0.2,5,45.0,27,0.425,15.4,10,26,0.5,13,0.6,6,"December 8, 2018",66.7,16,15.4,4,81.0,75.0,21,0.449,59,0.40700000000000003,24,0.22,13,0.6920000000000001,9,1,200,106.9,37.5,12,14,62,,6.9,4,0.305,18,0.278,5,55.0,33,0.47600000000000003,7.2,5,41,0.46299999999999997,19,0.9,9,"Fifth Third Arena, Cincinnati, Ohio",XAVIER,Xavier,58.2,Home,CINCINNATI,Cincinnati,Xavier,big-east,9,False,False,False,Away,False,5,13,51,27,60,5,19,59,0,1,69,193,532,0.5573308270676691,318,588,0.5408163265306123,92,137,520,0.5288461538461539,0.6666666666666666
